test case : A100SXM_flash_attn::flash_attn.flash_attn_func
|    B     |    C     |    D     |    De    |   Drop    |   MQKV   |   NHK    |   NHQ    |     S     |  causal  |  deterministic  |  dropout_p  |  softmax_scale  |   window_size   |                            input_shape                            | dtype  | duration_min(us) | duration_mean(us) | duration_max(us) | latency_value(us) |    2D_flops    |  activation  |   params   |     flops_1D     |              flops_2D              |    flops_SFU     |  flops_efficient_1D  |  flops_efficient_2D  |  flops_efficient_SFU  |     io     | io_efficient |
|    8     |   True   |   128    |   True   |    0.0    |   2048   |    8     |    8     |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |     [[1, 2048, 8, 128], [1, 2048, 8, 128], [1, 2048, 8, 128]]     |  bf16  |      147.66      |      147.89       |      148.22      |       70.83       |    1.72e+10    |   2.62e+05   |  0.00e+00  |   [234881024]    |      [8589934592, 8589934592]      |    [33554432]    |       1.47e-01       |       4.20e-01       |       1.68e-01        |  2.10e+07  |    13.93%    |
|    16    |   True   |   128    |   True   |    0.0    |   2048   |    8     |    8     |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |     [[2, 2048, 8, 128], [2, 2048, 8, 128], [2, 2048, 8, 128]]     |  bf16  |      184.78      |      184.95       |      185.09      |      139.66       |    3.44e+10    |   5.24e+05   |  0.00e+00  |   [469762048]    |     [17179869184, 17179869184]     |    [67108864]    |       2.35e-01       |       6.70e-01       |       2.68e-01        |  4.19e+07  |    22.26%    |
|    32    |   True   |   128    |   True   |    0.0    |   2048   |    8     |    8     |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |     [[4, 2048, 8, 128], [4, 2048, 8, 128], [4, 2048, 8, 128]]     |  bf16  |      237.36      |      238.76       |      239.56      |      277.32       |    6.87e+10    |   1.05e+06   |  0.00e+00  |   [939524096]    |     [34359738368, 34359738368]     |   [134217728]    |       3.65e-01       |       1.04e+00       |       4.18e-01        |  8.39e+07  |    34.66%    |
|    8     |   True   |   128    |   True   |    0.0    |   4096   |    8     |    8     |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |     [[1, 4096, 8, 128], [1, 4096, 8, 128], [1, 4096, 8, 128]]     |  bf16  |      278.68      |      279.21       |      279.96      |      277.32       |    6.87e+10    |   5.24e+05   |  0.00e+00  |   [939524096]    |     [34359738368, 34359738368]     |   [134217728]    |       3.11e-01       |       8.89e-01       |       3.56e-01        |  4.19e+07  |    14.76%    |
|    16    |   True   |   128    |   True   |    0.0    |   4096   |    8     |    8     |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |     [[2, 4096, 8, 128], [2, 4096, 8, 128], [2, 4096, 8, 128]]     |  bf16  |      433.87      |      436.68       |      439.96      |      552.64       |    1.37e+11    |   1.05e+06   |  0.00e+00  |   [1879048192]   |     [68719476736, 68719476736]     |   [268435456]    |       4.00e-01       |       1.14e+00       |       4.57e-01        |  8.39e+07  |    18.96%    |
|    32    |   True   |   128    |   True   |    0.0    |   4096   |    8     |    8     |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |     [[4, 4096, 8, 128], [4, 4096, 8, 128], [4, 4096, 8, 128]]     |  bf16  |      740.30      |      744.69       |      750.64      |      1103.27      |    2.75e+11    |   2.10e+06   |  0.00e+00  |   [3758096384]   |    [137438953472, 137438953472]    |   [536870912]    |       4.69e-01       |       1.34e+00       |       5.36e-01        |  1.68e+08  |    22.23%    |
|    8     |   True   |   128    |   True   |    0.0    |   8192   |    8     |    8     |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |     [[1, 8192, 8, 128], [1, 8192, 8, 128], [1, 8192, 8, 128]]     |  bf16  |      841.22      |      843.93       |      847.34      |      1103.27      |    2.75e+11    |   1.05e+06   |  0.00e+00  |   [3758096384]   |    [137438953472, 137438953472]    |   [536870912]    |       4.12e-01       |       1.18e+00       |       4.71e-01        |  8.39e+07  |    9.78%     |
|    16    |   True   |   128    |   True   |    0.0    |   8192   |    8     |    8     |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |     [[2, 8192, 8, 128], [2, 8192, 8, 128], [2, 8192, 8, 128]]     |  bf16  |     1429.61      |      1431.74      |     1436.72      |      2204.55      |    5.50e+11    |   2.10e+06   |  0.00e+00  |   [7516192768]   |    [274877906944, 274877906944]    |   [1073741824]   |       4.85e-01       |       1.39e+00       |       5.55e-01        |  1.68e+08  |    11.51%    |
|    32    |   True   |   128    |   True   |    0.0    |   8192   |    8     |    8     |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |     [[4, 8192, 8, 128], [4, 8192, 8, 128], [4, 8192, 8, 128]]     |  bf16  |     2614.98      |      2657.45      |     2676.02      |      4407.09      |    1.10e+12    |   4.19e+06   |  0.00e+00  |  [15032385536]   |    [549755813888, 549755813888]    |   [2147483648]   |       5.31e-01       |       1.52e+00       |       6.06e-01        |  3.36e+08  |    12.59%    |
|    8     |   True   |   128    |   True   |    0.0    |  16384   |    8     |    8     |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   [[1, 16384, 8, 128], [1, 16384, 8, 128], [1, 16384, 8, 128]]    |  bf16  |     2806.68      |      2818.90      |     2835.76      |      4407.09      |    1.10e+12    |   2.10e+06   |  0.00e+00  |  [15032385536]   |    [549755813888, 549755813888]    |   [2147483648]   |       4.94e-01       |       1.41e+00       |       5.65e-01        |  1.68e+08  |    5.86%     |
|    16    |   True   |   128    |   True   |    0.0    |  16384   |    8     |    8     |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   [[2, 16384, 8, 128], [2, 16384, 8, 128], [2, 16384, 8, 128]]    |  bf16  |     5128.85      |      5228.97      |     5258.75      |      8812.19      |    2.20e+12    |   4.19e+06   |  0.00e+00  |  [30064771072]   |   [1099511627776, 1099511627776]   |   [4294967296]   |       5.41e-01       |       1.55e+00       |       6.18e-01        |  3.36e+08  |    6.42%     |
|    32    |   True   |   128    |   True   |    0.0    |  16384   |    8     |    8     |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   [[4, 16384, 8, 128], [4, 16384, 8, 128], [4, 16384, 8, 128]]    |  bf16  |     9918.43      |     10098.60      |     10188.75     |     17622.38      |    4.40e+12    |   8.39e+06   |  0.00e+00  |  [60129542144]   |   [2199023255552, 2199023255552]   |   [8589934592]   |       5.60e-01       |       1.60e+00       |       6.40e-01        |  6.71e+08  |    6.64%     |
|    8     |   True   |   128    |   True   |    0.0    |  32768   |    8     |    8     |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   [[1, 32768, 8, 128], [1, 32768, 8, 128], [1, 32768, 8, 128]]    |  bf16  |     10391.05     |     10521.23      |     10560.21     |     17622.38      |    4.40e+12    |   4.19e+06   |  0.00e+00  |  [60129542144]   |   [2199023255552, 2199023255552]   |   [8589934592]   |       5.34e-01       |       1.53e+00       |       6.10e-01        |  3.36e+08  |    3.17%     |
|    16    |   True   |   128    |   True   |    0.0    |  32768   |    8     |    8     |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   [[2, 32768, 8, 128], [2, 32768, 8, 128], [2, 32768, 8, 128]]    |  bf16  |     20168.09     |     20231.13      |     20290.09     |     35242.76      |    8.80e+12    |   8.39e+06   |  0.00e+00  |  [120259084288]  |   [4398046511104, 4398046511104]   |  [17179869184]   |       5.50e-01       |       1.57e+00       |       6.29e-01        |  6.71e+08  |    3.26%     |
|    32    |   True   |   128    |   True   |    0.0    |  32768   |    8     |    8     |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   [[4, 32768, 8, 128], [4, 32768, 8, 128], [4, 32768, 8, 128]]    |  bf16  |     39648.67     |     40057.19      |     40249.70     |     70483.51      |    1.76e+13    |   1.68e+07   |  0.00e+00  |  [240518168576]  |   [8796093022208, 8796093022208]   |  [34359738368]   |       5.60e-01       |       1.60e+00       |       6.40e-01        |  1.34e+09  |    3.32%     |
|    8     |   True   |   128    |   True   |    0.0    |  65536   |    8     |    8     |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   [[1, 65536, 8, 128], [1, 65536, 8, 128], [1, 65536, 8, 128]]    |  bf16  |     40756.48     |     40866.80      |     40982.68     |     70483.51      |    1.76e+13    |   8.39e+06   |  0.00e+00  |  [240518168576]  |   [8796093022208, 8796093022208]   |  [34359738368]   |       5.45e-01       |       1.56e+00       |       6.23e-01        |  6.71e+08  |    1.62%     |
|    16    |   True   |   128    |   True   |    0.0    |  65536   |    8     |    8     |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   [[2, 65536, 8, 128], [2, 65536, 8, 128], [2, 65536, 8, 128]]    |  bf16  |     80759.25     |     81013.99      |     81148.41     |     140965.03     |    3.52e+13    |   1.68e+07   |  0.00e+00  |  [481036337152]  |  [17592186044416, 17592186044416]  |  [68719476736]   |       5.50e-01       |       1.57e+00       |       6.28e-01        |  1.34e+09  |    1.63%     |
|    32    |   True   |   128    |   True   |    0.0    |  65536   |    8     |    8     |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   [[4, 65536, 8, 128], [4, 65536, 8, 128], [4, 65536, 8, 128]]    |  bf16  |    161459.81     |     161674.16     |    161780.83     |     281928.06     |    7.04e+13    |   3.36e+07   |  0.00e+00  |  [962072674304]  |  [35184372088832, 35184372088832]  |  [137438953472]  |       5.50e-01       |       1.57e+00       |       6.29e-01        |  2.68e+09  |    1.63%     |
|    8     |   True   |   128    |   True   |    0.0    |  131072  |    8     |    8     |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  [[1, 131072, 8, 128], [1, 131072, 8, 128], [1, 131072, 8, 128]]  |  bf16  |    166226.91     |     167316.09     |    167769.75     |     281928.06     |    7.04e+13    |   1.68e+07   |  0.00e+00  |  [962072674304]  |  [35184372088832, 35184372088832]  |  [137438953472]  |       5.34e-01       |       1.53e+00       |       6.11e-01        |  1.34e+09  |    0.79%     |
|    32    |   True   |   128    |   True   |    0.0    |   2048   |    8     |    32    |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |    [[1, 2048, 32, 128], [1, 2048, 8, 128], [1, 2048, 8, 128]]     |  bf16  |      295.42      |      297.50       |      299.83      |      277.32       |    6.87e+10    |   2.62e+05   |  0.00e+00  |   [939524096]    |     [34359738368, 34359738368]     |   [134217728]    |       2.94e-01       |       8.39e-01       |       3.35e-01        |  5.87e+07  |    19.50%    |
|    64    |   True   |   128    |   True   |    0.0    |   2048   |    8     |    32    |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |    [[2, 2048, 32, 128], [2, 2048, 8, 128], [2, 2048, 8, 128]]     |  bf16  |      498.64      |      500.33       |      501.86      |      552.64       |    1.37e+11    |   5.24e+05   |  0.00e+00  |   [1879048192]   |     [68719476736, 68719476736]     |   [268435456]    |       3.48e-01       |       9.94e-01       |       3.98e-01        |  1.17e+08  |    23.10%    |
|   128    |   True   |   128    |   True   |    0.0    |   2048   |    8     |    32    |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |    [[4, 2048, 32, 128], [4, 2048, 8, 128], [4, 2048, 8, 128]]     |  bf16  |      908.65      |      914.19       |      916.99      |      1103.27      |    2.75e+11    |   1.05e+06   |  0.00e+00  |   [3758096384]   |    [137438953472, 137438953472]    |   [536870912]    |       3.82e-01       |       1.09e+00       |       4.36e-01        |  2.35e+08  |    25.36%    |
|    32    |   True   |   128    |   True   |    0.0    |   4096   |    8     |    32    |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |    [[1, 4096, 32, 128], [1, 4096, 8, 128], [1, 4096, 8, 128]]     |  bf16  |      735.74      |      873.00       |      944.90      |      1103.27      |    2.75e+11    |   5.24e+05   |  0.00e+00  |   [3758096384]   |    [137438953472, 137438953472]    |   [536870912]    |       4.71e-01       |       1.35e+00       |       5.39e-01        |  1.17e+08  |    15.66%    |
|    64    |   True   |   128    |   True   |    0.0    |   4096   |    8     |    32    |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |    [[2, 4096, 32, 128], [2, 4096, 8, 128], [2, 4096, 8, 128]]     |  bf16  |     1365.09      |      1469.52      |     1591.19      |      2204.55      |    5.50e+11    |   1.05e+06   |  0.00e+00  |   [7516192768]   |    [274877906944, 274877906944]    |   [1073741824]   |       5.08e-01       |       1.45e+00       |       5.81e-01        |  2.35e+08  |    16.88%    |
|   128    |   True   |   128    |   True   |    0.0    |   4096   |    8     |    32    |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |    [[4, 4096, 32, 128], [4, 4096, 8, 128], [4, 4096, 8, 128]]     |  bf16  |     2569.29      |      2631.74      |     2648.93      |      4407.09      |    1.10e+12    |   2.10e+06   |  0.00e+00  |  [15032385536]   |    [549755813888, 549755813888]    |   [2147483648]   |       5.40e-01       |       1.54e+00       |       6.17e-01        |  4.70e+08  |    17.93%    |
|    32    |   True   |   128    |   True   |    0.0    |   8192   |    8     |    32    |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |    [[1, 8192, 32, 128], [1, 8192, 8, 128], [1, 8192, 8, 128]]     |  bf16  |     2605.63      |      2638.92      |     2649.14      |      4407.09      |    1.10e+12    |   1.05e+06   |  0.00e+00  |  [15032385536]   |    [549755813888, 549755813888]    |   [2147483648]   |       5.33e-01       |       1.52e+00       |       6.09e-01        |  2.35e+08  |    8.84%     |
|    64    |   True   |   128    |   True   |    0.0    |   8192   |    8     |    32    |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |    [[2, 8192, 32, 128], [2, 8192, 8, 128], [2, 8192, 8, 128]]     |  bf16  |     5070.75      |      5131.85      |     5162.19      |      8812.19      |    2.20e+12    |   2.10e+06   |  0.00e+00  |  [30064771072]   |   [1099511627776, 1099511627776]   |   [4294967296]   |       5.47e-01       |       1.56e+00       |       6.25e-01        |  4.70e+08  |    9.09%     |
|   128    |   True   |   128    |   True   |    0.0    |   8192   |    8     |    32    |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |    [[4, 8192, 32, 128], [4, 8192, 8, 128], [4, 8192, 8, 128]]     |  bf16  |     9875.93      |     10060.79      |     10124.80     |     17622.38      |    4.40e+12    |   4.19e+06   |  0.00e+00  |  [60129542144]   |   [2199023255552, 2199023255552]   |   [8589934592]   |       5.62e-01       |       1.61e+00       |       6.42e-01        |  9.40e+08  |    9.33%     |
|    32    |   True   |   128    |   True   |    0.0    |  16384   |    8     |    32    |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   [[1, 16384, 32, 128], [1, 16384, 8, 128], [1, 16384, 8, 128]]   |  bf16  |     10103.55     |     10129.24      |     10144.61     |     17622.38      |    4.40e+12    |   2.10e+06   |  0.00e+00  |  [60129542144]   |   [2199023255552, 2199023255552]   |   [8589934592]   |       5.49e-01       |       1.57e+00       |       6.28e-01        |  4.70e+08  |    4.56%     |
