test case : A100SXM_flash_attn::flash_attn.flash_attn_func
|  causal  |  deterministic  |  dropout_p  |  softmax_scale  |   window_size   |                            input_shape                            | dtype  | duration_min(us) | duration_mean(us) | duration_max(us) | latency_value(us) | flops_1D  |        flops_2D        | flops_SFU | flops_efficient_1D | flops_efficient_2D | flops_efficient_SFU |     io     | flops_efficient_1D | flops_efficient_2D | flops_efficient_SFU | io_efficient |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |           [[1, 1, 1, 64], [1, 1, 1, 64], [1, 1, 1, 64]]           |  bf16  |       9.01       |       9.07        |       9.11       |       2.00        |    [7]    |       [128, 128]       |    [1]    |      8.07e-08      |      1.02e-07      |      1.66e-07       |  6.40e+02  |       0.00%        |       0.00%        |        0.00%        |    0.01%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |           [[2, 1, 1, 64], [2, 1, 1, 64], [2, 1, 1, 64]]           |  bf16  |       9.01       |       9.03        |       9.06       |       2.00        |   [14]    |       [256, 256]       |    [2]    |      1.61e-07      |      2.05e-07      |      3.32e-07       |  1.15e+03  |       0.00%        |       0.00%        |        0.00%        |    0.01%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |           [[4, 1, 1, 64], [4, 1, 1, 64], [4, 1, 1, 64]]           |  bf16  |       9.11       |       9.17        |       9.22       |       2.00        |   [28]    |       [512, 512]       |    [4]    |      3.19e-07      |      4.05e-07      |      6.56e-07       |  2.18e+03  |       0.00%        |       0.00%        |        0.00%        |    0.02%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |           [[8, 1, 1, 64], [8, 1, 1, 64], [8, 1, 1, 64]]           |  bf16  |       9.16       |       9.16        |       9.16       |       2.01        |   [56]    |      [1024, 1024]      |    [8]    |      6.35e-07      |      8.06e-07      |      1.31e-06       |  4.22e+03  |       0.00%        |       0.00%        |        0.00%        |    0.05%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |         [[16, 1, 1, 64], [16, 1, 1, 64], [16, 1, 1, 64]]          |  bf16  |       9.16       |       9.19        |       9.22       |       2.01        |   [112]   |      [2048, 2048]      |   [16]    |      1.27e-06      |      1.61e-06      |      2.61e-06       |  8.32e+03  |       0.00%        |       0.00%        |        0.00%        |    0.09%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |         [[32, 1, 1, 64], [32, 1, 1, 64], [32, 1, 1, 64]]          |  bf16  |       9.27       |       9.27        |       9.27       |       2.02        |   [224]   |      [4096, 4096]      |   [32]    |      2.51e-06      |      3.19e-06      |      5.16e-06       |  1.65e+04  |       0.00%        |       0.00%        |        0.00%        |    0.17%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |           [[1, 4, 1, 64], [1, 4, 1, 64], [1, 4, 1, 64]]           |  bf16  |      10.14       |       10.17       |      10.24       |       2.00        |   [28]    |       [512, 512]       |    [4]    |      2.87e-07      |      3.64e-07      |      5.90e-07       |  2.18e+03  |       0.00%        |       0.00%        |        0.00%        |    0.02%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |           [[2, 4, 1, 64], [2, 4, 1, 64], [2, 4, 1, 64]]           |  bf16  |      10.19       |       10.23       |      10.29       |       2.01        |   [56]    |      [1024, 1024]      |    [8]    |      5.71e-07      |      7.25e-07      |      1.17e-06       |  4.22e+03  |       0.00%        |       0.00%        |        0.00%        |    0.04%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |           [[4, 4, 1, 64], [4, 4, 1, 64], [4, 4, 1, 64]]           |  bf16  |      10.29       |       10.31       |      10.34       |       2.01        |   [112]   |      [2048, 2048]      |   [16]    |      1.13e-06      |      1.44e-06      |      2.32e-06       |  8.32e+03  |       0.00%        |       0.00%        |        0.00%        |    0.08%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |           [[8, 4, 1, 64], [8, 4, 1, 64], [8, 4, 1, 64]]           |  bf16  |      10.24       |       10.27       |      10.29       |       2.02        |   [224]   |      [4096, 4096]      |   [32]    |      2.27e-06      |      2.88e-06      |      4.67e-06       |  1.65e+04  |       0.00%        |       0.00%        |        0.00%        |    0.16%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |         [[16, 4, 1, 64], [16, 4, 1, 64], [16, 4, 1, 64]]          |  bf16  |      10.29       |       10.34       |      10.34       |       2.04        |   [448]   |      [8192, 8192]      |   [64]    |      4.52e-06      |      5.74e-06      |      9.30e-06       |  3.29e+04  |       0.00%        |       0.00%        |        0.00%        |    0.31%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |         [[32, 4, 1, 64], [32, 4, 1, 64], [32, 4, 1, 64]]          |  bf16  |      10.39       |       10.40       |      10.44       |       2.08        |   [896]   |     [16384, 16384]     |   [128]   |      8.95e-06      |      1.14e-05      |      1.84e-05       |  6.57e+04  |       0.00%        |       0.00%        |        0.00%        |    0.62%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |           [[1, 8, 1, 64], [1, 8, 1, 64], [1, 8, 1, 64]]           |  bf16  |      10.14       |       10.15       |      10.19       |       2.01        |   [56]    |      [1024, 1024]      |    [8]    |      5.74e-07      |      7.28e-07      |      1.18e-06       |  4.22e+03  |       0.00%        |       0.00%        |        0.00%        |    0.04%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |           [[2, 8, 1, 64], [2, 8, 1, 64], [2, 8, 1, 64]]           |  bf16  |      10.14       |       10.19       |      10.24       |       2.01        |   [112]   |      [2048, 2048]      |   [16]    |      1.15e-06      |      1.46e-06      |      2.36e-06       |  8.32e+03  |       0.00%        |       0.00%        |        0.00%        |    0.08%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |           [[4, 8, 1, 64], [4, 8, 1, 64], [4, 8, 1, 64]]           |  bf16  |      10.24       |       10.28       |      10.29       |       2.02        |   [224]   |      [4096, 4096]      |   [32]    |      2.27e-06      |      2.88e-06      |      4.67e-06       |  1.65e+04  |       0.00%        |       0.00%        |        0.00%        |    0.16%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |           [[8, 8, 1, 64], [8, 8, 1, 64], [8, 8, 1, 64]]           |  bf16  |      10.24       |       10.24       |      10.24       |       2.04        |   [448]   |      [8192, 8192]      |   [64]    |      4.54e-06      |      5.77e-06      |      9.35e-06       |  3.29e+04  |       0.00%        |       0.00%        |        0.00%        |    0.32%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |         [[16, 8, 1, 64], [16, 8, 1, 64], [16, 8, 1, 64]]          |  bf16  |      10.29       |       10.30       |      10.34       |       2.08        |   [896]   |     [16384, 16384]     |   [128]   |      9.04e-06      |      1.15e-05      |      1.86e-05       |  6.57e+04  |       0.00%        |       0.00%        |        0.00%        |    0.63%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |         [[32, 8, 1, 64], [32, 8, 1, 64], [32, 8, 1, 64]]          |  bf16  |      10.34       |       10.36       |      10.39       |       2.16        |  [1792]   |     [32768, 32768]     |   [256]   |      1.80e-05      |      2.28e-05      |      3.70e-05       |  1.31e+05  |       0.00%        |       0.00%        |        0.00%        |    1.24%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |         [[1, 16, 1, 64], [1, 16, 1, 64], [1, 16, 1, 64]]          |  bf16  |      10.24       |       10.28       |      10.34       |       2.01        |   [112]   |      [2048, 2048]      |   [16]    |      1.14e-06      |      1.44e-06      |      2.34e-06       |  8.32e+03  |       0.00%        |       0.00%        |        0.00%        |    0.08%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |         [[2, 16, 1, 64], [2, 16, 1, 64], [2, 16, 1, 64]]          |  bf16  |      10.19       |       10.23       |      10.24       |       2.02        |   [224]   |      [4096, 4096]      |   [32]    |      2.28e-06      |      2.90e-06      |      4.70e-06       |  1.65e+04  |       0.00%        |       0.00%        |        0.00%        |    0.16%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |         [[4, 16, 1, 64], [4, 16, 1, 64], [4, 16, 1, 64]]          |  bf16  |      10.34       |       10.38       |      10.39       |       2.04        |   [448]   |      [8192, 8192]      |   [64]    |      4.50e-06      |      5.71e-06      |      9.25e-06       |  3.29e+04  |       0.00%        |       0.00%        |        0.00%        |    0.31%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |         [[8, 16, 1, 64], [8, 16, 1, 64], [8, 16, 1, 64]]          |  bf16  |      10.29       |       10.32       |      10.34       |       2.08        |   [896]   |     [16384, 16384]     |   [128]   |      9.04e-06      |      1.15e-05      |      1.86e-05       |  6.57e+04  |       0.00%        |       0.00%        |        0.00%        |    0.63%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |        [[16, 16, 1, 64], [16, 16, 1, 64], [16, 16, 1, 64]]        |  bf16  |      10.39       |       10.42       |      10.44       |       2.16        |  [1792]   |     [32768, 32768]     |   [256]   |      1.79e-05      |      2.27e-05      |      3.68e-05       |  1.31e+05  |       0.00%        |       0.00%        |        0.00%        |    1.24%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |        [[32, 16, 1, 64], [32, 16, 1, 64], [32, 16, 1, 64]]        |  bf16  |      10.44       |       10.49       |      10.55       |       2.32        |  [3584]   |     [65536, 65536]     |   [512]   |      3.56e-05      |      4.52e-05      |      7.33e-05       |  2.62e+05  |       0.00%        |       0.00%        |        0.01%        |    2.46%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |         [[1, 32, 1, 64], [1, 32, 1, 64], [1, 32, 1, 64]]          |  bf16  |      10.19       |       10.25       |      10.29       |       2.02        |   [224]   |      [4096, 4096]      |   [32]    |      2.28e-06      |      2.90e-06      |      4.70e-06       |  1.65e+04  |       0.00%        |       0.00%        |        0.00%        |    0.16%     |
