test case : A100SXM_flash_attn::flash_attn.flash_attn_qkvpacked_func
|  causal  |  deterministic  |  dropout_p  |  softmax_scale  |   window_size   |   M    |        input_shape         | dtype  | duration_min(us) | duration_mean(us) | duration_max(us) | latency_value(us) | flops_1D |      flops_2D      | flops_SFU | flops_efficient_1D | flops_efficient_2D | flops_efficient_SFU |     io     | flops_efficient_1D | flops_efficient_2D | flops_efficient_SFU | io_efficient |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   1    |     [[1, 1, 3, 1, 64]]     |  bf16  |      10.04       |       10.11       |      10.14       |       2.00        |   [7]    |     [128, 128]     |    [1]    |      7.24e-08      |      9.20e-08      |      1.49e-07       |  6.40e+02  |       0.00%        |       0.00%        |        0.00%        |    0.01%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   1    |     [[2, 1, 3, 1, 64]]     |  bf16  |       9.06       |       9.08        |       9.11       |       2.00        |   [14]   |     [256, 256]     |    [2]    |      1.60e-07      |      2.04e-07      |      3.30e-07       |  1.15e+03  |       0.00%        |       0.00%        |        0.00%        |    0.01%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   1    |     [[4, 1, 3, 1, 64]]     |  bf16  |       9.16       |       9.18        |       9.22       |       2.00        |   [28]   |     [512, 512]     |    [4]    |      3.17e-07      |      4.03e-07      |      6.53e-07       |  2.18e+03  |       0.00%        |       0.00%        |        0.00%        |    0.02%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   1    |     [[8, 1, 3, 1, 64]]     |  bf16  |       9.22       |       9.22        |       9.22       |       2.01        |   [56]   |    [1024, 1024]    |    [8]    |      6.31e-07      |      8.01e-07      |      1.30e-06       |  4.22e+03  |       0.00%        |       0.00%        |        0.00%        |    0.04%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   1    |    [[16, 1, 3, 1, 64]]     |  bf16  |       9.16       |       9.19        |       9.22       |       2.01        |  [112]   |    [2048, 2048]    |   [16]    |      1.27e-06      |      1.61e-06      |      2.61e-06       |  8.32e+03  |       0.00%        |       0.00%        |        0.00%        |    0.09%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   1    |    [[32, 1, 3, 1, 64]]     |  bf16  |       9.22       |       9.26        |       9.32       |       2.02        |  [224]   |    [4096, 4096]    |   [32]    |      2.52e-06      |      3.21e-06      |      5.19e-06       |  1.65e+04  |       0.00%        |       0.00%        |        0.00%        |    0.18%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   4    |     [[1, 4, 3, 1, 64]]     |  bf16  |      10.14       |       10.17       |      10.24       |       2.00        |   [7]    |     [128, 128]     |    [1]    |      7.17e-08      |      9.11e-08      |      1.48e-07       |  6.40e+02  |       0.00%        |       0.00%        |        0.00%        |    0.01%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   4    |     [[2, 4, 3, 1, 64]]     |  bf16  |      10.19       |       10.23       |      10.24       |       2.00        |   [14]   |     [256, 256]     |    [2]    |      1.43e-07      |      1.81e-07      |      2.94e-07       |  1.15e+03  |       0.00%        |       0.00%        |        0.00%        |    0.01%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   4    |     [[4, 4, 3, 1, 64]]     |  bf16  |      10.29       |       10.30       |      10.34       |       2.00        |   [28]   |     [512, 512]     |    [4]    |      2.83e-07      |      3.59e-07      |      5.81e-07       |  2.18e+03  |       0.00%        |       0.00%        |        0.00%        |    0.02%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   4    |     [[8, 4, 3, 1, 64]]     |  bf16  |      10.24       |       10.30       |      10.34       |       2.01        |   [56]   |    [1024, 1024]    |    [8]    |      5.68e-07      |      7.21e-07      |      1.17e-06       |  4.22e+03  |       0.00%        |       0.00%        |        0.00%        |    0.04%     |
