Test Case: A100SXM_apex_fused_layer_norm_cuda.forward
|   M   |   N   |  _val   | _val(1) |   input_shape    | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) | flops_1D | flops_SFU |    io    | flops_efficiency_1D | flops_efficiency_SFU | io_efficiency |
|   1   |  32   |  [32]   | 0.0001  |    [[1, 32]]     | bf16  |       4.92       |       4.96        |       5.02       |        2.0         | 2.56e+02 | 3.20e+01  | 6.40e+01 |        0.0%         |         0.0%         |     0.0%      |
|   2   |  32   |  [32]   | 0.0001  |    [[2, 32]]     | bf16  |       4.2        |        4.2        |       4.2        |        2.0         | 5.12e+02 | 6.40e+01  | 1.28e+02 |        0.0%         |         0.0%         |     0.0%      |
|   4   |  32   |  [32]   | 0.0001  |    [[4, 32]]     | bf16  |       4.15       |        4.2        |       4.25       |        2.0         | 1.02e+03 | 1.28e+02  | 2.56e+02 |        0.0%         |         0.0%         |     0.01%     |
|   8   |  32   |  [32]   | 0.0001  |    [[8, 32]]     | bf16  |       4.2        |       4.23        |       4.25       |        2.0         | 2.05e+03 | 2.56e+02  | 5.12e+02 |        0.0%         |         0.0%         |     0.01%     |
|  16   |  32   |  [32]   | 0.0001  |    [[16, 32]]    | bf16  |       4.25       |       4.27        |       4.3        |        2.0         | 4.10e+03 | 5.12e+02  | 1.02e+03 |        0.0%         |         0.0%         |     0.02%     |
|  32   |  32   |  [32]   | 0.0001  |    [[32, 32]]    | bf16  |       4.25       |       4.28        |       4.3        |        2.0         | 8.19e+03 | 1.02e+03  | 2.05e+03 |        0.01%        |        0.01%         |     0.05%     |
|  64   |  32   |  [32]   | 0.0001  |    [[64, 32]]    | bf16  |       4.3        |       4.32        |       4.35       |        2.01        | 1.64e+04 | 2.05e+03  | 4.10e+03 |        0.02%        |        0.02%         |     0.09%     |
|  128  |  32   |  [32]   | 0.0001  |   [[128, 32]]    | bf16  |       4.45       |       4.45        |       4.45       |        2.01        | 3.28e+04 | 4.10e+03  | 8.19e+03 |        0.04%        |        0.04%         |     0.18%     |
|  256  |  32   |  [32]   | 0.0001  |   [[256, 32]]    | bf16  |       4.61       |       4.63        |       4.66       |        2.02        | 6.55e+04 | 8.19e+03  | 1.64e+04 |        0.07%        |        0.07%         |     0.35%     |
|  512  |  32   |  [32]   | 0.0001  |   [[512, 32]]    | bf16  |       4.97       |       4.99        |       5.02       |        2.04        | 1.31e+05 | 1.64e+04  | 3.28e+04 |        0.14%        |        0.14%         |     0.65%     |
| 1024  |  32   |  [32]   | 0.0001  |   [[1024, 32]]   | bf16  |       5.63       |       5.69        |       5.73       |        2.08        | 2.62e+05 | 3.28e+04  | 6.55e+04 |        0.24%        |        0.24%         |     1.14%     |
| 2048  |  32   |  [32]   | 0.0001  |   [[2048, 32]]   | bf16  |       8.24       |       8.27        |       8.29       |        2.16        | 5.24e+05 | 6.55e+04  | 1.31e+05 |        0.33%        |        0.33%         |     1.56%     |
| 4096  |  32   |  [32]   | 0.0001  |   [[4096, 32]]   | bf16  |      13.11       |       13.11       |      13.11       |        2.32        | 1.05e+06 | 1.31e+05  | 2.62e+05 |        0.41%        |        0.41%         |     1.96%     |
