Test Case: A100SXM_apex_fused_layer_norm_cuda.rms_forward
|   M   |   N   |  _val   | _val(1) |   input_shape    | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) | flops_1D | flops_SFU |    io    | flops_efficiency_1D | flops_efficiency_SFU | io_efficiency |
|   1   |  32   |  [32]   | 0.0001  |    [[1, 32]]     | bf16  |       3.38       |       3.41        |       3.43       |        2.0         | 2.56e+02 | 3.20e+01  | 6.40e+01 |        0.0%         |         0.0%         |     0.0%      |
|   2   |  32   |  [32]   | 0.0001  |    [[2, 32]]     | bf16  |       3.64       |       3.66        |       3.69       |        2.0         | 5.12e+02 | 6.40e+01  | 1.28e+02 |        0.0%         |         0.0%         |     0.0%      |
|   4   |  32   |  [32]   | 0.0001  |    [[4, 32]]     | bf16  |       3.64       |       3.66        |       3.69       |        2.0         | 1.02e+03 | 1.28e+02  | 2.56e+02 |        0.0%         |         0.0%         |     0.01%     |
|   8   |  32   |  [32]   | 0.0001  |    [[8, 32]]     | bf16  |       3.64       |       3.64        |       3.64       |        2.0         | 2.05e+03 | 2.56e+02  | 5.12e+02 |        0.0%         |         0.0%         |     0.01%     |
|  16   |  32   |  [32]   | 0.0001  |    [[16, 32]]    | bf16  |       3.69       |       3.71        |       3.74       |        2.0         | 4.10e+03 | 5.12e+02  | 1.02e+03 |        0.01%        |        0.01%         |     0.03%     |
|  32   |  32   |  [32]   | 0.0001  |    [[32, 32]]    | bf16  |       3.64       |       3.69        |       3.74       |        2.0         | 8.19e+03 | 1.02e+03  | 2.05e+03 |        0.01%        |        0.01%         |     0.06%     |
|  64   |  32   |  [32]   | 0.0001  |    [[64, 32]]    | bf16  |       3.69       |       3.74        |       3.79       |        2.01        | 1.64e+04 | 2.05e+03  | 4.10e+03 |        0.02%        |        0.02%         |     0.11%     |
|  128  |  32   |  [32]   | 0.0001  |   [[128, 32]]    | bf16  |       3.89       |       3.91        |       3.94       |        2.01        | 3.28e+04 | 4.10e+03  | 8.19e+03 |        0.04%        |        0.04%         |     0.21%     |
|  256  |  32   |  [32]   | 0.0001  |   [[256, 32]]    | bf16  |       3.99       |       3.99        |       3.99       |        2.02        | 6.55e+04 | 8.19e+03  | 1.64e+04 |        0.08%        |        0.08%         |     0.4%      |
|  512  |  32   |  [32]   | 0.0001  |   [[512, 32]]    | bf16  |       4.25       |       4.27        |       4.3        |        2.04        | 1.31e+05 | 1.64e+04  | 3.28e+04 |        0.16%        |        0.16%         |     0.76%     |
| 1024  |  32   |  [32]   | 0.0001  |   [[1024, 32]]   | bf16  |       4.81       |       4.83        |       4.86       |        2.08        | 2.62e+05 | 3.28e+04  | 6.55e+04 |        0.28%        |        0.28%         |     1.34%     |
| 2048  |  32   |  [32]   | 0.0001  |   [[2048, 32]]   | bf16  |       6.3        |       6.32        |       6.35       |        2.16        | 5.24e+05 | 6.55e+04  | 1.31e+05 |        0.43%        |        0.43%         |     2.04%     |
| 4096  |  32   |  [32]   | 0.0001  |   [[4096, 32]]   | bf16  |       9.06       |       9.11        |       9.16       |        2.32        | 1.05e+06 | 1.31e+05  | 2.62e+05 |        0.59%        |        0.59%         |     2.84%     |
| 8192  |  32   |  [32]   | 0.0001  |   [[8192, 32]]   | bf16  |      14.28       |       14.31       |      14.34       |        2.64        | 2.10e+06 | 2.62e+05  | 5.24e+05 |        0.75%        |        0.75%         |     3.6%      |
| 16384 |  32   |  [32]   | 0.0001  |  [[16384, 32]]   | bf16  |      24.88       |       24.91       |      24.93       |        3.29        | 4.19e+06 | 5.24e+05  | 1.05e+06 |        0.86%        |        0.86%         |     4.13%     |
| 32768 |  32   |  [32]   | 0.0001  |  [[32768, 32]]   | bf16  |      46.08       |       46.13       |      46.18       |        4.57        | 8.39e+06 | 1.05e+06  | 2.10e+06 |        0.93%        |        0.93%         |     4.46%     |
| 65536 |  32   |  [32]   | 0.0001  |  [[65536, 32]]   | bf16  |      88.47       |       88.52       |      88.58       |        7.14        | 1.68e+07 | 2.10e+06  | 4.19e+06 |        0.97%        |        0.97%         |     4.65%     |
