Test Case: A100SXM_apex_fused_rotary_positional_embedding.backward
|  M  |  N  |      _tensor       | _val  |      input_shape       | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|  2  | 16  |   [1, 1, 1, 16]    | True  |    [[1, 1, 2, 16]]     | bf16  |       2.92       |       2.94        |       2.97       |        2.0         | 5.12e+02 | 6.40e+01 |       0.0%       |     0.0%      |
|  2  | 16  |   [2, 1, 1, 16]    | True  |    [[2, 1, 2, 16]]     | bf16  |       3.07       |       3.11        |       3.17       |        2.0         | 1.02e+03 | 1.28e+02 |       0.0%       |     0.0%      |
|  2  | 16  |   [4, 1, 1, 16]    | True  |    [[4, 1, 2, 16]]     | bf16  |       3.07       |       3.12        |       3.17       |        2.0         | 2.05e+03 | 2.56e+02 |       0.0%       |     0.01%     |
|  2  | 16  |  [256, 1, 1, 16]   | True  |   [[256, 1, 2, 16]]    | bf16  |       3.38       |       3.43        |       3.48       |        2.02        | 1.31e+05 | 1.64e+04 |       0.2%       |     0.48%     |
|  2  | 16  |  [512, 1, 1, 16]   | True  |   [[512, 1, 2, 16]]    | bf16  |       3.69       |       3.69        |       3.69       |        2.04        | 2.62e+05 | 3.28e+04 |      0.36%       |     0.87%     |
|  2  | 16  |  [1024, 1, 1, 16]  | True  |   [[1024, 1, 2, 16]]   | bf16  |       4.2        |       4.23        |       4.25       |        2.08        | 5.24e+05 | 6.55e+04 |      0.64%       |     1.53%     |
|  2  | 16  |  [2048, 1, 1, 16]  | True  |   [[2048, 1, 2, 16]]   | bf16  |       5.48       |        5.5        |       5.53       |        2.16        | 1.05e+06 | 1.31e+05 |      0.98%       |     2.35%     |
|  2  | 16  |  [4096, 1, 1, 16]  | True  |   [[4096, 1, 2, 16]]   | bf16  |       7.83       |       7.88        |       7.94       |        2.32        | 2.10e+06 | 2.62e+05 |      1.37%       |     3.28%     |
|  2  | 16  |  [8192, 1, 1, 16]  | True  |   [[8192, 1, 2, 16]]   | bf16  |      12.65       |       12.67       |       12.7       |        2.64        | 4.19e+06 | 5.24e+05 |       1.7%       |     4.07%     |
|  2  | 16  | [16384, 1, 1, 16]  | True  |  [[16384, 1, 2, 16]]   | bf16  |      22.07       |       22.11       |      22.17       |        3.29        | 8.39e+06 | 1.05e+06 |      1.95%       |     4.66%     |
|  2  | 16  | [32768, 1, 1, 16]  | True  |  [[32768, 1, 2, 16]]   | bf16  |      40.91       |       40.94       |      40.96       |        4.57        | 1.68e+07 | 2.10e+06 |       2.1%       |     5.03%     |
|  2  | 16  | [65536, 1, 1, 16]  | True  |  [[65536, 1, 2, 16]]   | bf16  |      78.44       |       78.49       |      78.54       |        7.14        | 3.36e+07 | 4.19e+06 |      2.19%       |     5.24%     |
|  4  | 16  |   [1, 1, 1, 16]    | True  |    [[1, 1, 4, 16]]     | bf16  |       2.87       |       2.92        |       2.97       |        2.0         | 1.02e+03 | 1.28e+02 |       0.0%       |     0.0%      |
|  4  | 16  |   [2, 1, 1, 16]    | True  |    [[2, 1, 4, 16]]     | bf16  |       3.07       |       3.09        |       3.12       |        2.0         | 2.05e+03 | 2.56e+02 |       0.0%       |     0.01%     |
|  4  | 16  |   [4, 1, 1, 16]    | True  |    [[4, 1, 4, 16]]     | bf16  |       3.07       |       3.12        |       3.17       |        2.0         | 4.10e+03 | 5.12e+02 |      0.01%       |     0.02%     |
|  4  | 16  |  [256, 1, 1, 16]   | True  |   [[256, 1, 4, 16]]    | bf16  |       3.43       |       3.45        |       3.48       |        2.04        | 2.62e+05 | 3.28e+04 |      0.39%       |     0.94%     |
|  4  | 16  |  [512, 1, 1, 16]   | True  |   [[512, 1, 4, 16]]    | bf16  |       3.69       |       3.74        |       3.79       |        2.08        | 5.24e+05 | 6.55e+04 |      0.73%       |     1.74%     |
|  4  | 16  |  [1024, 1, 1, 16]  | True  |   [[1024, 1, 4, 16]]   | bf16  |       5.27       |        5.3        |       5.32       |        2.16        | 1.05e+06 | 1.31e+05 |      1.02%       |     2.44%     |
|  4  | 16  |  [2048, 1, 1, 16]  | True  |   [[2048, 1, 4, 16]]   | bf16  |       7.07       |       7.09        |       7.12       |        2.32        | 2.10e+06 | 2.62e+05 |      1.52%       |     3.64%     |
|  4  | 16  |  [4096, 1, 1, 16]  | True  |   [[4096, 1, 4, 16]]   | bf16  |       10.5       |       10.55       |       10.6       |        2.64        | 4.19e+06 | 5.24e+05 |      2.05%       |     4.9%      |
|  4  | 16  |  [8192, 1, 1, 16]  | True  |   [[8192, 1, 4, 16]]   | bf16  |      17.36       |       17.38       |      17.41       |        3.29        | 8.39e+06 | 1.05e+06 |      2.48%       |     5.92%     |
|  4  | 16  | [16384, 1, 1, 16]  | True  |  [[16384, 1, 4, 16]]   | bf16  |      30.82       |       30.88       |      30.92       |        4.57        | 1.68e+07 | 2.10e+06 |      2.79%       |     6.67%     |
|  4  | 16  | [32768, 1, 1, 16]  | True  |  [[32768, 1, 4, 16]]   | bf16  |      57.91       |       57.93       |      57.96       |        7.14        | 3.36e+07 | 4.19e+06 |      2.97%       |     7.1%      |
|  4  | 16  | [65536, 1, 1, 16]  | True  |  [[65536, 1, 4, 16]]   | bf16  |      112.54      |      112.59       |      112.64      |       12.29        | 6.71e+07 | 8.39e+06 |      3.06%       |     7.31%     |
|  8  | 16  |   [1, 1, 1, 16]    | True  |    [[1, 1, 8, 16]]     | bf16  |       3.74       |       3.76        |       3.79       |        2.0         | 2.05e+03 | 2.56e+02 |       0.0%       |     0.01%     |
|  8  | 16  |   [2, 1, 1, 16]    | True  |    [[2, 1, 8, 16]]     | bf16  |       3.94       |       3.97        |       3.99       |        2.0         | 4.10e+03 | 5.12e+02 |      0.01%       |     0.01%     |
|  8  | 16  |   [4, 1, 1, 16]    | True  |    [[4, 1, 8, 16]]     | bf16  |       3.99       |       4.01        |       4.04       |        2.0         | 8.19e+03 | 1.02e+03 |      0.01%       |     0.03%     |
|  8  | 16  |  [256, 1, 1, 16]   | True  |   [[256, 1, 8, 16]]    | bf16  |       4.4        |       4.46        |       4.51       |        2.08        | 5.24e+05 | 6.55e+04 |      0.61%       |     1.46%     |
|  8  | 16  |  [512, 1, 1, 16]   | True  |   [[512, 1, 8, 16]]    | bf16  |       4.81       |       4.83        |       4.86       |        2.16        | 1.05e+06 | 1.31e+05 |      1.12%       |     2.67%     |
|  8  | 16  |  [1024, 1, 1, 16]  | True  |   [[1024, 1, 8, 16]]   | bf16  |       5.73       |       5.79        |       5.84       |        2.32        | 2.10e+06 | 2.62e+05 |      1.88%       |     4.49%     |
|  8  | 16  |  [2048, 1, 1, 16]  | True  |   [[2048, 1, 8, 16]]   | bf16  |       7.88       |       7.91        |       7.94       |        2.64        | 4.19e+06 | 5.24e+05 |      2.73%       |     6.53%     |
|  8  | 16  |  [4096, 1, 1, 16]  | True  |   [[4096, 1, 8, 16]]   | bf16  |      11.78       |       11.81       |      11.83       |        3.29        | 8.39e+06 | 1.05e+06 |      3.65%       |     8.73%     |
|  8  | 16  |  [8192, 1, 1, 16]  | True  |   [[8192, 1, 8, 16]]   | bf16  |      19.66       |       19.72       |      19.76       |        4.57        | 1.68e+07 | 2.10e+06 |      4.38%       |    10.46%     |
|  8  | 16  | [16384, 1, 1, 16]  | True  |  [[16384, 1, 8, 16]]   | bf16  |      35.38       |       35.43       |      35.48       |        7.14        | 3.36e+07 | 4.19e+06 |      4.86%       |    11.63%     |
