Test Case: A100SXM_apex_fused_rotary_positional_embedding.forward
|  M  |  N  |      _tensor       | _val  |      input_shape       | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|  2  | 16  |   [1, 1, 1, 16]    | True  |    [[1, 1, 2, 16]]     | bf16  |       3.79       |        3.9        |       4.04       |        2.0         | 5.12e+02 | 6.40e+01 |       0.0%       |     0.0%      |
|  2  | 16  |   [2, 1, 1, 16]    | True  |    [[2, 1, 2, 16]]     | bf16  |       3.28       |       3.31        |       3.33       |        2.0         | 1.02e+03 | 1.28e+02 |       0.0%       |     0.0%      |
|  2  | 16  |   [4, 1, 1, 16]    | True  |    [[4, 1, 2, 16]]     | bf16  |       3.33       |       3.36        |       3.38       |        2.0         | 2.05e+03 | 2.56e+02 |       0.0%       |     0.01%     |
|  2  | 16  |  [256, 1, 1, 16]   | True  |   [[256, 1, 2, 16]]    | bf16  |       3.74       |       3.76        |       3.79       |        2.02        | 1.31e+05 | 1.64e+04 |      0.18%       |     0.43%     |
|  2  | 16  |  [512, 1, 1, 16]   | True  |   [[512, 1, 2, 16]]    | bf16  |       3.99       |       4.01        |       4.04       |        2.04        | 2.62e+05 | 3.28e+04 |      0.34%       |     0.81%     |
|  2  | 16  |  [1024, 1, 1, 16]  | True  |   [[1024, 1, 2, 16]]   | bf16  |       4.51       |       4.53        |       4.56       |        2.08        | 5.24e+05 | 6.55e+04 |       0.6%       |     1.43%     |
|  2  | 16  |  [2048, 1, 1, 16]  | True  |   [[2048, 1, 2, 16]]   | bf16  |       5.48       |       5.51        |       5.53       |        2.16        | 1.05e+06 | 1.31e+05 |      0.98%       |     2.35%     |
|  2  | 16  |  [4096, 1, 1, 16]  | True  |   [[4096, 1, 2, 16]]   | bf16  |       7.53       |       7.56        |       7.58       |        2.32        | 2.10e+06 | 2.62e+05 |      1.43%       |     3.41%     |
|  2  | 16  |  [8192, 1, 1, 16]  | True  |   [[8192, 1, 2, 16]]   | bf16  |      11.42       |       11.47       |      11.52       |        2.64        | 4.19e+06 | 5.24e+05 |      1.88%       |     4.5%      |
|  2  | 16  | [16384, 1, 1, 16]  | True  |  [[16384, 1, 2, 16]]   | bf16  |      19.15       |       19.17       |       19.2       |        3.29        | 8.39e+06 | 1.05e+06 |      2.25%       |     5.37%     |
|  2  | 16  | [32768, 1, 1, 16]  | True  |  [[32768, 1, 2, 16]]   | bf16  |      34.71       |       34.73       |      34.76       |        4.57        | 1.68e+07 | 2.10e+06 |      2.48%       |     5.93%     |
|  2  | 16  | [65536, 1, 1, 16]  | True  |  [[65536, 1, 2, 16]]   | bf16  |      65.95       |       65.97       |       66.0       |        7.14        | 3.36e+07 | 4.19e+06 |      2.61%       |     6.24%     |
|  4  | 16  |   [1, 1, 1, 16]    | True  |    [[1, 1, 4, 16]]     | bf16  |       3.07       |       3.09        |       3.12       |        2.0         | 1.02e+03 | 1.28e+02 |       0.0%       |     0.0%      |
|  4  | 16  |   [2, 1, 1, 16]    | True  |    [[2, 1, 4, 16]]     | bf16  |       3.33       |       3.33        |       3.33       |        2.0         | 2.05e+03 | 2.56e+02 |       0.0%       |     0.01%     |
|  4  | 16  |   [4, 1, 1, 16]    | True  |    [[4, 1, 4, 16]]     | bf16  |       3.33       |       3.35        |       3.38       |        2.0         | 4.10e+03 | 5.12e+02 |      0.01%       |     0.02%     |
|  4  | 16  |  [256, 1, 1, 16]   | True  |   [[256, 1, 4, 16]]    | bf16  |       3.74       |       3.74        |       3.74       |        2.04        | 2.62e+05 | 3.28e+04 |      0.36%       |     0.86%     |
|  4  | 16  |  [512, 1, 1, 16]   | True  |   [[512, 1, 4, 16]]    | bf16  |       4.1        |       4.13        |       4.15       |        2.08        | 5.24e+05 | 6.55e+04 |      0.66%       |     1.57%     |
|  4  | 16  |  [1024, 1, 1, 16]  | True  |   [[1024, 1, 4, 16]]   | bf16  |       4.66       |       4.68        |       4.71       |        2.16        | 1.05e+06 | 1.31e+05 |      1.15%       |     2.76%     |
|  4  | 16  |  [2048, 1, 1, 16]  | True  |   [[2048, 1, 4, 16]]   | bf16  |       5.68       |        5.7        |       5.73       |        2.32        | 2.10e+06 | 2.62e+05 |      1.89%       |     4.53%     |
|  4  | 16  |  [4096, 1, 1, 16]  | True  |   [[4096, 1, 4, 16]]   | bf16  |       7.83       |       7.86        |       7.88       |        2.64        | 4.19e+06 | 5.24e+05 |      2.75%       |     6.57%     |
|  4  | 16  |  [8192, 1, 1, 16]  | True  |   [[8192, 1, 4, 16]]   | bf16  |      12.13       |       12.16       |      12.19       |        3.29        | 8.39e+06 | 1.05e+06 |      3.55%       |     8.48%     |
|  4  | 16  | [16384, 1, 1, 16]  | True  |  [[16384, 1, 4, 16]]   | bf16  |      20.53       |       20.56       |      20.58       |        4.57        | 1.68e+07 | 2.10e+06 |      4.19%       |    10.02%     |
|  4  | 16  | [32768, 1, 1, 16]  | True  |  [[32768, 1, 4, 16]]   | bf16  |      37.38       |       37.41       |      37.43       |        7.14        | 3.36e+07 | 4.19e+06 |       4.6%       |    11.01%     |
|  4  | 16  | [65536, 1, 1, 16]  | True  |  [[65536, 1, 4, 16]]   | bf16  |      76.03       |       76.05       |      76.08       |       12.29        | 6.71e+07 | 8.39e+06 |      4.53%       |    10.82%     |
|  8  | 16  |   [1, 1, 1, 16]    | True  |    [[1, 1, 8, 16]]     | bf16  |       3.38       |        3.4        |       3.43       |        2.0         | 2.05e+03 | 2.56e+02 |       0.0%       |     0.01%     |
|  8  | 16  |   [2, 1, 1, 16]    | True  |    [[2, 1, 8, 16]]     | bf16  |       3.64       |       3.67        |       3.69       |        2.0         | 4.10e+03 | 5.12e+02 |      0.01%       |     0.01%     |
|  8  | 16  |   [4, 1, 1, 16]    | True  |    [[4, 1, 8, 16]]     | bf16  |       3.64       |       3.66        |       3.69       |        2.0         | 8.19e+03 | 1.02e+03 |      0.01%       |     0.03%     |
|  8  | 16  |  [256, 1, 1, 16]   | True  |   [[256, 1, 8, 16]]    | bf16  |       4.04       |        4.1        |       4.15       |        2.08        | 5.24e+05 | 6.55e+04 |      0.67%       |     1.59%     |
|  8  | 16  |  [512, 1, 1, 16]   | True  |   [[512, 1, 8, 16]]    | bf16  |       4.4        |        4.4        |       4.4        |        2.16        | 1.05e+06 | 1.31e+05 |      1.22%       |     2.92%     |
|  8  | 16  |  [1024, 1, 1, 16]  | True  |   [[1024, 1, 8, 16]]   | bf16  |       5.02       |       5.05        |       5.07       |        2.32        | 2.10e+06 | 2.62e+05 |      2.14%       |     5.12%     |
|  8  | 16  |  [2048, 1, 1, 16]  | True  |   [[2048, 1, 8, 16]]   | bf16  |       6.55       |       6.58        |       6.6        |        2.64        | 4.19e+06 | 5.24e+05 |      3.28%       |     7.85%     |
|  8  | 16  |  [4096, 1, 1, 16]  | True  |   [[4096, 1, 8, 16]]   | bf16  |       9.27       |       9.32        |       9.37       |        3.29        | 8.39e+06 | 1.05e+06 |      4.64%       |     11.1%     |
|  8  | 16  |  [8192, 1, 1, 16]  | True  |   [[8192, 1, 8, 16]]   | bf16  |      14.85       |       14.9        |      14.95       |        4.57        | 1.68e+07 | 2.10e+06 |      5.79%       |    13.85%     |
|  8  | 16  | [16384, 1, 1, 16]  | True  |  [[16384, 1, 8, 16]]   | bf16  |      25.96       |       25.98       |      26.01       |        7.14        | 3.36e+07 | 4.19e+06 |      6.63%       |    15.85%     |
