Test Case: A100SXM_aten_baddbmm
|  B  |  M   |  K   |  N   |                        input_shape                        | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|  1  |  1   |  32  |  32  |           [[1, 1, 32], [1, 1, 32], [1, 32, 32]]           | bf16  |      32.97       |       43.36       |      45.57       |        2.0         | 2.05e+03 | 1.09e+03 |       0.0%       |     0.0%      |
|  8  |  1   |  32  |  32  |           [[8, 1, 32], [8, 1, 32], [8, 32, 32]]           | bf16  |      27.14       |       27.27       |      27.44       |        2.01        | 1.64e+04 | 8.70e+03 |       0.0%       |     0.03%     |
| 128 |  1   |  32  |  32  |        [[128, 1, 32], [128, 1, 32], [128, 32, 32]]        | bf16  |      26.88       |       27.17       |      27.49       |        2.17        | 2.62e+05 | 1.39e+05 |       0.0%       |     0.51%     |
|  1  |  64  |  32  |  32  |          [[1, 64, 32], [1, 64, 32], [1, 32, 32]]          | bf16  |      28.11       |       28.22       |      28.36       |        2.01        | 1.31e+05 | 5.12e+03 |       0.0%       |     0.02%     |
|  8  |  64  |  32  |  32  |          [[8, 64, 32], [8, 64, 32], [8, 32, 32]]          | bf16  |      29.03       |       29.18       |      29.34       |        2.05        | 1.05e+06 | 4.10e+04 |      0.01%       |     0.14%     |
| 128 |  64  |  32  |  32  |       [[128, 64, 32], [128, 64, 32], [128, 32, 32]]       | bf16  |      29.34       |       29.45       |      29.64       |        2.8         | 1.68e+07 | 6.55e+05 |      0.18%       |     2.19%     |
|  1  | 1024 |  32  |  32  |        [[1, 1024, 32], [1, 1024, 32], [1, 32, 32]]        | bf16  |      28.21       |       28.47       |      28.72       |        2.08        | 2.10e+06 | 6.66e+04 |      0.02%       |     0.23%     |
|  8  | 1024 |  32  |  32  |        [[8, 1024, 32], [8, 1024, 32], [8, 32, 32]]        | bf16  |      29.13       |       29.42       |      29.75       |        2.65        | 1.68e+07 | 5.32e+05 |      0.18%       |     1.79%     |
| 128 | 1024 |  32  |  32  |     [[128, 1024, 32], [128, 1024, 32], [128, 32, 32]]     | bf16  |      40.86       |       40.92       |      40.96       |       12.45        | 2.68e+08 | 8.52e+06 |      2.11%       |    20.45%     |
|  1  |  1   | 3072 |  32  |         [[1, 1, 32], [1, 1, 3072], [1, 3072, 32]]         | bf16  |      30.21       |       30.48       |      30.92       |        2.12        | 1.97e+05 | 1.01e+05 |       0.0%       |     0.33%     |
|  8  |  1   | 3072 |  32  |         [[8, 1, 32], [8, 1, 3072], [8, 3072, 32]]         | bf16  |      26.78       |       27.02       |      27.34       |        2.99        | 1.57e+06 | 8.11e+05 |      0.02%       |     2.97%     |
| 128 |  1   | 3072 |  32  |      [[128, 1, 32], [128, 1, 3072], [128, 3072, 32]]      | bf16  |       42.6       |       42.66       |      42.75       |       17.91        | 2.52e+07 | 1.30e+07 |      0.19%       |    29.89%     |
|  1  |  64  | 3072 |  32  |        [[1, 64, 32], [1, 64, 3072], [1, 3072, 32]]        | bf16  |      33.13       |       33.27       |      33.48       |        2.36        | 1.26e+07 | 2.97e+05 |      0.12%       |     0.88%     |
|  8  |  64  | 3072 |  32  |        [[8, 64, 32], [8, 64, 3072], [8, 3072, 32]]        | bf16  |      29.13       |       29.27       |      29.39       |        4.91        | 1.01e+08 | 2.38e+06 |      1.11%       |     8.0%      |
| 128 |  64  | 3072 |  32  |     [[128, 64, 32], [128, 64, 3072], [128, 3072, 32]]     | bf16  |       77.0       |       77.28       |      77.52       |        48.6        | 1.61e+09 | 3.80e+07 |       6.7%       |    48.42%     |
|  1  | 1024 | 3072 |  32  |      [[1, 1024, 32], [1, 1024, 3072], [1, 3072, 32]]      | bf16  |      33.43       |       33.62       |      33.95       |        6.02        | 2.01e+08 | 3.28e+06 |      1.93%       |     9.61%     |
|  8  | 1024 | 3072 |  32  |      [[8, 1024, 32], [8, 1024, 3072], [8, 3072, 32]]      | bf16  |      62.21       |       62.36       |      62.46       |       34.14        | 1.61e+09 | 2.62e+07 |       8.3%       |    41.33%     |
| 128 | 1024 | 3072 |  32  |   [[128, 1024, 32], [128, 1024, 3072], [128, 3072, 32]]   | bf16  |      647.42      |      648.73       |      649.78      |       516.26       | 2.58e+10 | 4.19e+08 |      12.76%      |    63.55%     |
|  1  |  1   | 8192 |  32  |         [[1, 1, 32], [1, 1, 8192], [1, 8192, 32]]         | bf16  |      30.62       |       30.75       |      30.98       |        2.33        | 5.24e+05 | 2.70e+05 |      0.01%       |     0.87%     |
|  8  |  1   | 8192 |  32  |         [[8, 1, 32], [8, 1, 8192], [8, 8192, 32]]         | bf16  |      26.98       |       27.13       |      27.24       |        4.65        | 4.19e+06 | 2.16e+06 |      0.05%       |     7.86%     |
| 128 |  1   | 8192 |  32  |      [[128, 1, 32], [128, 1, 8192], [128, 8192, 32]]      | bf16  |      77.93       |       78.02       |      78.13       |       44.43        | 6.71e+07 | 3.46e+07 |      0.28%       |    43.56%     |
|  1  |  64  | 8192 |  32  |        [[1, 64, 32], [1, 64, 8192], [1, 8192, 32]]        | bf16  |      31.69       |       31.84       |       32.0       |        2.97        | 3.36e+07 | 7.88e+05 |      0.34%       |     2.44%     |
|  8  |  64  | 8192 |  32  |        [[8, 64, 32], [8, 64, 8192], [8, 8192, 32]]        | bf16  |      45.57       |       45.65       |      45.72       |        9.73        | 2.68e+08 | 6.31e+06 |      1.89%       |    13.58%     |
