Test Case: A100SXM_aten_bmm
|  B  |  M   |  K   |  N   |              input_shape               | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|  1  |  1   |  32  |  32  |       [[1, 1, 32], [1, 32, 32]]        | bf16  |      19.61       |       19.8        |      19.92       |        2.0         | 2.05e+03 | 1.09e+03 |       0.0%       |     0.01%     |
|  8  |  1   |  32  |  32  |       [[8, 1, 32], [8, 32, 32]]        | bf16  |      18.89       |       19.27       |      19.66       |        2.01        | 1.64e+04 | 8.70e+03 |       0.0%       |     0.05%     |
| 128 |  1   |  32  |  32  |     [[128, 1, 32], [128, 32, 32]]      | bf16  |      18.84       |       18.99       |       19.2       |        2.17        | 2.62e+05 | 1.39e+05 |       0.0%       |     0.73%     |
|  1  |  64  |  32  |  32  |       [[1, 64, 32], [1, 32, 32]]       | bf16  |      19.61       |       19.84       |      20.07       |        2.01        | 1.31e+05 | 5.12e+03 |       0.0%       |     0.03%     |
|  8  |  64  |  32  |  32  |       [[8, 64, 32], [8, 32, 32]]       | bf16  |      20.79       |       21.04       |       21.5       |        2.05        | 1.05e+06 | 4.10e+04 |      0.02%       |     0.19%     |
| 128 |  64  |  32  |  32  |     [[128, 64, 32], [128, 32, 32]]     | bf16  |      20.68       |       20.88       |      21.15       |        2.8         | 1.68e+07 | 6.55e+05 |      0.26%       |     3.11%     |
|  1  | 1024 |  32  |  32  |      [[1, 1024, 32], [1, 32, 32]]      | bf16  |      20.07       |       20.15       |      20.28       |        2.08        | 2.10e+06 | 6.66e+04 |      0.03%       |     0.33%     |
|  8  | 1024 |  32  |  32  |      [[8, 1024, 32], [8, 32, 32]]      | bf16  |      21.45       |       21.53       |      21.71       |        2.65        | 1.68e+07 | 5.32e+05 |      0.25%       |     2.43%     |
| 128 | 1024 |  32  |  32  |    [[128, 1024, 32], [128, 32, 32]]    | bf16  |       21.2       |       21.31       |       21.5       |       12.45        | 2.68e+08 | 8.52e+06 |      4.06%       |    39.42%     |
|  1  |  1   | 3072 |  32  |     [[1, 1, 3072], [1, 3072, 32]]      | bf16  |      22.02       |       22.24       |      22.53       |        2.12        | 1.97e+05 | 1.01e+05 |       0.0%       |     0.45%     |
|  8  |  1   | 3072 |  32  |     [[8, 1, 3072], [8, 3072, 32]]      | bf16  |      18.84       |       19.02       |      19.35       |        2.99        | 1.57e+06 | 8.11e+05 |      0.03%       |     4.22%     |
| 128 |  1   | 3072 |  32  |   [[128, 1, 3072], [128, 3072, 32]]    | bf16  |      30.62       |       30.65       |      30.72       |       17.91        | 2.52e+07 | 1.30e+07 |      0.26%       |    41.58%     |
|  1  |  64  | 3072 |  32  |     [[1, 64, 3072], [1, 3072, 32]]     | bf16  |      24.01       |       24.17       |      24.42       |        2.36        | 1.26e+07 | 2.97e+05 |      0.17%       |     1.21%     |
|  8  |  64  | 3072 |  32  |     [[8, 64, 3072], [8, 3072, 32]]     | bf16  |      20.28       |       20.34       |      20.43       |        4.91        | 1.01e+08 | 2.38e+06 |      1.59%       |    11.49%     |
| 128 |  64  | 3072 |  32  |   [[128, 64, 3072], [128, 3072, 32]]   | bf16  |      70.86       |       71.04       |      71.17       |        48.6        | 1.61e+09 | 3.80e+07 |      7.29%       |    52.62%     |
|  1  | 1024 | 3072 |  32  |    [[1, 1024, 3072], [1, 3072, 32]]    | bf16  |      24.47       |       24.66       |      25.04       |        6.02        | 2.01e+08 | 3.28e+06 |      2.64%       |    13.13%     |
|  8  | 1024 | 3072 |  32  |    [[8, 1024, 3072], [8, 3072, 32]]    | bf16  |      55.55       |       55.69       |      55.96       |       34.14        | 1.61e+09 | 2.62e+07 |      9.29%       |    46.29%     |
| 128 | 1024 | 3072 |  32  |  [[128, 1024, 3072], [128, 3072, 32]]  | bf16  |      622.13      |      622.45       |      622.59      |       516.26       | 2.58e+10 | 4.19e+08 |      13.28%      |    66.13%     |
|  1  |  1   | 8192 |  32  |     [[1, 1, 8192], [1, 8192, 32]]      | bf16  |      22.17       |       22.34       |      22.53       |        2.33        | 5.24e+05 | 2.70e+05 |      0.01%       |     1.2%      |
|  8  |  1   | 8192 |  32  |     [[8, 1, 8192], [8, 8192, 32]]      | bf16  |      19.46       |       19.54       |      19.61       |        4.65        | 4.19e+06 | 2.16e+06 |      0.07%       |     10.9%     |
| 128 |  1   | 8192 |  32  |   [[128, 1, 8192], [128, 8192, 32]]    | bf16  |      68.76       |       68.94       |      69.07       |       44.43        | 6.71e+07 | 3.46e+07 |      0.31%       |    49.37%     |
|  1  |  64  | 8192 |  32  |     [[1, 64, 8192], [1, 8192, 32]]     | bf16  |      23.09       |       23.26       |      23.55       |        2.97        | 3.36e+07 | 7.88e+05 |      0.47%       |     3.35%     |
|  8  |  64  | 8192 |  32  |     [[8, 64, 8192], [8, 8192, 32]]     | bf16  |      37.68       |       37.73       |      37.79       |        9.73        | 2.68e+08 | 6.31e+06 |      2.28%       |    16.42%     |
| 128 |  64  | 8192 |  32  |   [[128, 64, 8192], [128, 8192, 32]]   | bf16  |      166.71      |      167.29       |      167.63      |       125.74       | 4.29e+09 | 1.01e+08 |      8.26%       |    59.38%     |
|  1  | 1024 | 8192 |  32  |    [[1, 1024, 8192], [1, 8192, 32]]    | bf16  |      24.93       |       25.05       |      25.24       |       12.65        | 5.37e+08 | 8.68e+06 |       6.9%       |    34.17%     |
