Test Case: A100SXM_aten_fill_
|   M   |   N   |  B  | _val |    input_shape     | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|   1   |  32   | N/A |  1   |     [[1, 32]]      | bf16  |       2.05       |       2.08        |       2.1        |        2.0         | 0.00e+00 | 3.20e+01 |        0%        |     0.0%      |
|   2   |  32   | N/A |  1   |     [[2, 32]]      | bf16  |       2.15       |       2.17        |       2.2        |        2.0         | 0.00e+00 | 6.40e+01 |        0%        |     0.0%      |
|   4   |  32   | N/A |  1   |     [[4, 32]]      | bf16  |       2.15       |       2.17        |       2.2        |        2.0         | 0.00e+00 | 1.28e+02 |        0%        |     0.01%     |
|   8   |  32   | N/A |  1   |     [[8, 32]]      | bf16  |       2.15       |        2.2        |       2.25       |        2.0         | 0.00e+00 | 2.56e+02 |        0%        |     0.01%     |
|  16   |  32   | N/A |  1   |     [[16, 32]]     | bf16  |       2.1        |       2.12        |       2.15       |        2.0         | 0.00e+00 | 5.12e+02 |        0%        |     0.02%     |
|  32   |  32   | N/A |  1   |     [[32, 32]]     | bf16  |       2.15       |       2.17        |       2.2        |        2.0         | 0.00e+00 | 1.02e+03 |        0%        |     0.05%     |
|  64   |  32   | N/A |  1   |     [[64, 32]]     | bf16  |       2.15       |       2.18        |       2.2        |        2.0         | 0.00e+00 | 2.05e+03 |        0%        |     0.09%     |
|  128  |  32   | N/A |  1   |    [[128, 32]]     | bf16  |       2.15       |        2.2        |       2.25       |        2.01        | 0.00e+00 | 4.10e+03 |        0%        |     0.19%     |
|  256  |  32   | N/A |  1   |    [[256, 32]]     | bf16  |       2.2        |       2.22        |       2.25       |        2.01        | 0.00e+00 | 8.19e+03 |        0%        |     0.37%     |
|  512  |  32   | N/A |  1   |    [[512, 32]]     | bf16  |       2.2        |       2.23        |       2.25       |        2.02        | 0.00e+00 | 1.64e+04 |        0%        |     0.73%     |
| 1024  |  32   | N/A |  1   |    [[1024, 32]]    | bf16  |       2.25       |        2.3        |       2.36       |        2.04        | 0.00e+00 | 3.28e+04 |        0%        |     1.43%     |
| 2048  |  32   | N/A |  1   |    [[2048, 32]]    | bf16  |       2.36       |       2.38        |       2.41       |        2.08        | 0.00e+00 | 6.55e+04 |        0%        |     2.72%     |
| 4096  |  32   | N/A |  1   |    [[4096, 32]]    | bf16  |       2.41       |       2.44        |       2.46       |        2.16        | 0.00e+00 | 1.31e+05 |        0%        |     5.33%     |
| 8192  |  32   | N/A |  1   |    [[8192, 32]]    | bf16  |       2.61       |       2.64        |       2.66       |        2.32        | 0.00e+00 | 2.62e+05 |        0%        |     9.85%     |
| 16384 |  32   | N/A |  1   |   [[16384, 32]]    | bf16  |       2.97       |       3.01        |       3.07       |        2.64        | 0.00e+00 | 5.24e+05 |        0%        |    17.32%     |
| 32768 |  32   | N/A |  1   |   [[32768, 32]]    | bf16  |       3.74       |       3.77        |       3.79       |        3.29        | 0.00e+00 | 1.05e+06 |        0%        |     27.5%     |
|   1   |  64   | N/A |  1   |     [[1, 64]]      | bf16  |       2.51       |       2.53        |       2.56       |        2.0         | 0.00e+00 | 6.40e+01 |        0%        |     0.0%      |
|   2   |  64   | N/A |  1   |     [[2, 64]]      | bf16  |       2.51       |       2.53        |       2.56       |        2.0         | 0.00e+00 | 1.28e+02 |        0%        |     0.01%     |
|   4   |  64   | N/A |  1   |     [[4, 64]]      | bf16  |       2.51       |       2.56        |       2.61       |        2.0         | 0.00e+00 | 2.56e+02 |        0%        |     0.01%     |
|   8   |  64   | N/A |  1   |     [[8, 64]]      | bf16  |       2.41       |       2.44        |       2.46       |        2.0         | 0.00e+00 | 5.12e+02 |        0%        |     0.02%     |
|  16   |  64   | N/A |  1   |     [[16, 64]]     | bf16  |       2.46       |       2.48        |       2.51       |        2.0         | 0.00e+00 | 1.02e+03 |        0%        |     0.04%     |
