Test Case: A100SXM_aten_gelu
|   M   |   N   |  B  |    input_shape     | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|   1   |  32   | N/A |     [[1, 32]]      | bf16  |       2.41       |       2.45        |       2.51       |        2.0         | 4.16e+02 | 6.40e+01 |       0.0%       |     0.0%      |
|   2   |  32   | N/A |     [[2, 32]]      | bf16  |       2.25       |        2.3        |       2.36       |        2.0         | 8.32e+02 | 1.28e+02 |       0.0%       |     0.01%     |
|   4   |  32   | N/A |     [[4, 32]]      | bf16  |       2.3        |       2.33        |       2.36       |        2.0         | 1.66e+03 | 2.56e+02 |       0.0%       |     0.01%     |
|   8   |  32   | N/A |     [[8, 32]]      | bf16  |       2.41       |       2.44        |       2.46       |        2.0         | 3.33e+03 | 5.12e+02 |      0.01%       |     0.02%     |
|  16   |  32   | N/A |     [[16, 32]]     | bf16  |       2.25       |       2.28        |       2.3        |        2.0         | 6.66e+03 | 1.02e+03 |      0.02%       |     0.04%     |
|  32   |  32   | N/A |     [[32, 32]]     | bf16  |       2.46       |       2.48        |       2.51       |        2.0         | 1.33e+04 | 2.05e+03 |      0.03%       |     0.08%     |
|  64   |  32   | N/A |     [[64, 32]]     | bf16  |       2.46       |       2.49        |       2.51       |        2.01        | 2.66e+04 | 4.10e+03 |      0.06%       |     0.16%     |
|  128  |  32   | N/A |    [[128, 32]]     | bf16  |       2.41       |       2.47        |       2.51       |        2.01        | 5.32e+04 | 8.19e+03 |      0.11%       |     0.33%     |
|  256  |  32   | N/A |    [[256, 32]]     | bf16  |       2.46       |       2.53        |       2.61       |        2.02        | 1.06e+05 | 1.64e+04 |      0.22%       |     0.65%     |
|  512  |  32   | N/A |    [[512, 32]]     | bf16  |       2.51       |       2.53        |       2.56       |        2.04        | 2.13e+05 | 3.28e+04 |      0.44%       |     1.28%     |
| 1024  |  32   | N/A |    [[1024, 32]]    | bf16  |       2.56       |       2.59        |       2.61       |        2.08        | 4.26e+05 | 6.55e+04 |      0.85%       |     2.51%     |
| 2048  |  32   | N/A |    [[2048, 32]]    | bf16  |       2.66       |       2.68        |       2.71       |        2.16        | 8.52e+05 | 1.31e+05 |      1.64%       |     4.83%     |
| 4096  |  32   | N/A |    [[4096, 32]]    | bf16  |       3.33       |       3.38        |       3.43       |        2.32        | 1.70e+06 | 2.62e+05 |      2.62%       |     7.72%     |
| 8192  |  32   | N/A |    [[8192, 32]]    | bf16  |       3.84       |        3.9        |       3.94       |        2.64        | 3.41e+06 | 5.24e+05 |      4.55%       |    13.39%     |
| 16384 |  32   | N/A |   [[16384, 32]]    | bf16  |       4.66       |       4.68        |       4.71       |        3.29        | 6.82e+06 | 1.05e+06 |       7.5%       |    22.07%     |
| 32768 |  32   | N/A |   [[32768, 32]]    | bf16  |       6.2        |       6.25        |       6.3        |        4.57        | 1.36e+07 | 2.10e+06 |      11.28%      |    33.18%     |
|   1   |  64   | N/A |     [[1, 64]]      | bf16  |       2.71       |       2.73        |       2.76       |        2.0         | 8.32e+02 | 1.28e+02 |       0.0%       |     0.0%      |
|   2   |  64   | N/A |     [[2, 64]]      | bf16  |       2.66       |       2.69        |       2.71       |        2.0         | 1.66e+03 | 2.56e+02 |       0.0%       |     0.01%     |
|   4   |  64   | N/A |     [[4, 64]]      | bf16  |       2.82       |       2.86        |       2.92       |        2.0         | 3.33e+03 | 5.12e+02 |      0.01%       |     0.02%     |
|   8   |  64   | N/A |     [[8, 64]]      | bf16  |       2.61       |       2.68        |       2.76       |        2.0         | 6.66e+03 | 1.02e+03 |      0.01%       |     0.04%     |
|  16   |  64   | N/A |     [[16, 64]]     | bf16  |       2.82       |       2.87        |       2.92       |        2.0         | 1.33e+04 | 2.05e+03 |      0.02%       |     0.07%     |
|  32   |  64   | N/A |     [[32, 64]]     | bf16  |       2.87       |        2.9        |       2.92       |        2.01        | 2.66e+04 | 4.10e+03 |      0.05%       |     0.14%     |
|  64   |  64   | N/A |     [[64, 64]]     | bf16  |       2.87       |       2.92        |       2.97       |        2.01        | 5.32e+04 | 8.19e+03 |       0.1%       |     0.28%     |
|  128  |  64   | N/A |    [[128, 64]]     | bf16  |       2.92       |       2.94        |       2.97       |        2.02        | 1.06e+05 | 1.64e+04 |      0.19%       |     0.55%     |
|  256  |  64   | N/A |    [[256, 64]]     | bf16  |       2.97       |        3.0        |       3.02       |        2.04        | 2.13e+05 | 3.28e+04 |      0.37%       |     1.08%     |
|  512  |  64   | N/A |    [[512, 64]]     | bf16  |       3.07       |       3.09        |       3.12       |        2.08        | 4.26e+05 | 6.55e+04 |      0.71%       |     2.09%     |
| 1024  |  64   | N/A |    [[1024, 64]]    | bf16  |       3.17       |        3.2        |       3.23       |        2.16        | 8.52e+05 | 1.31e+05 |      1.38%       |     4.06%     |
| 2048  |  64   | N/A |    [[2048, 64]]    | bf16  |       3.33       |       3.36        |       3.38       |        2.32        | 1.70e+06 | 2.62e+05 |      2.62%       |     7.72%     |
| 4096  |  64   | N/A |    [[4096, 64]]    | bf16  |       3.94       |       3.96        |       3.99       |        2.64        | 3.41e+06 | 5.24e+05 |      4.44%       |    13.05%     |
| 8192  |  64   | N/A |    [[8192, 64]]    | bf16  |       4.61       |       4.64        |       4.66       |        3.29        | 6.82e+06 | 1.05e+06 |      7.58%       |    22.31%     |
| 16384 |  64   | N/A |   [[16384, 64]]    | bf16  |       6.14       |        6.2        |       6.25       |        4.57        | 1.36e+07 | 2.10e+06 |      11.39%      |     33.5%     |
| 32768 |  64   | N/A |   [[32768, 64]]    | bf16  |       9.06       |       9.11        |       9.16       |        7.14        | 2.73e+07 | 4.19e+06 |      15.43%      |    45.41%     |
|   1   |  128  | N/A |     [[1, 128]]     | bf16  |       2.71       |       2.74        |       2.76       |        2.0         | 1.66e+03 | 2.56e+02 |       0.0%       |     0.01%     |
|   2   |  128  | N/A |     [[2, 128]]     | bf16  |       2.82       |       2.87        |       2.92       |        2.0         | 3.33e+03 | 5.12e+02 |      0.01%       |     0.02%     |
|   4   |  128  | N/A |     [[4, 128]]     | bf16  |       2.61       |       2.66        |       2.71       |        2.0         | 6.66e+03 | 1.02e+03 |      0.01%       |     0.04%     |
|   8   |  128  | N/A |     [[8, 128]]     | bf16  |       2.87       |        2.9        |       2.92       |        2.0         | 1.33e+04 | 2.05e+03 |      0.02%       |     0.07%     |
|  16   |  128  | N/A |    [[16, 128]]     | bf16  |       2.87       |        2.9        |       2.92       |        2.01        | 2.66e+04 | 4.10e+03 |      0.05%       |     0.14%     |
|  32   |  128  | N/A |    [[32, 128]]     | bf16  |       2.92       |       2.92        |       2.92       |        2.01        | 5.32e+04 | 8.19e+03 |      0.09%       |     0.28%     |
|  64   |  128  | N/A |    [[64, 128]]     | bf16  |       2.92       |       2.95        |       2.97       |        2.02        | 1.06e+05 | 1.64e+04 |      0.19%       |     0.55%     |
|  128  |  128  | N/A |    [[128, 128]]    | bf16  |       2.97       |       2.99        |       3.02       |        2.04        | 2.13e+05 | 3.28e+04 |      0.37%       |     1.08%     |
|  256  |  128  | N/A |    [[256, 128]]    | bf16  |       3.02       |       3.07        |       3.12       |        2.08        | 4.26e+05 | 6.55e+04 |      0.72%       |     2.13%     |
|  512  |  128  | N/A |    [[512, 128]]    | bf16  |       3.17       |        3.2        |       3.23       |        2.16        | 8.52e+05 | 1.31e+05 |      1.38%       |     4.06%     |
| 1024  |  128  | N/A |   [[1024, 128]]    | bf16  |       3.33       |       3.36        |       3.38       |        2.32        | 1.70e+06 | 2.62e+05 |      2.62%       |     7.72%     |
| 2048  |  128  | N/A |   [[2048, 128]]    | bf16  |       3.94       |       3.96        |       3.99       |        2.64        | 3.41e+06 | 5.24e+05 |      4.44%       |    13.05%     |
| 4096  |  128  | N/A |   [[4096, 128]]    | bf16  |       4.61       |       4.66        |       4.71       |        3.29        | 6.82e+06 | 1.05e+06 |      7.58%       |    22.31%     |
| 8192  |  128  | N/A |   [[8192, 128]]    | bf16  |       6.2        |       6.25        |       6.3        |        4.57        | 1.36e+07 | 2.10e+06 |      11.28%      |    33.18%     |
| 16384 |  128  | N/A |   [[16384, 128]]   | bf16  |       9.11       |       9.13        |       9.16       |        7.14        | 2.73e+07 | 4.19e+06 |      15.35%      |    45.16%     |
| 32768 |  128  | N/A |   [[32768, 128]]   | bf16  |      15.31       |       15.36       |      15.41       |       12.29        | 5.45e+07 | 8.39e+06 |      18.26%      |    53.74%     |
|   1   |  512  | N/A |     [[1, 512]]     | bf16  |       2.61       |       2.64        |       2.66       |        2.0         | 6.66e+03 | 1.02e+03 |      0.01%       |     0.04%     |
|   2   |  512  | N/A |     [[2, 512]]     | bf16  |       2.87       |       2.89        |       2.92       |        2.0         | 1.33e+04 | 2.05e+03 |      0.02%       |     0.07%     |
|   4   |  512  | N/A |     [[4, 512]]     | bf16  |       2.82       |       2.86        |       2.92       |        2.01        | 2.66e+04 | 4.10e+03 |      0.05%       |     0.14%     |
|   8   |  512  | N/A |     [[8, 512]]     | bf16  |       2.87       |       2.92        |       2.97       |        2.01        | 5.32e+04 | 8.19e+03 |       0.1%       |     0.28%     |
|  16   |  512  | N/A |    [[16, 512]]     | bf16  |       2.92       |       2.94        |       2.97       |        2.02        | 1.06e+05 | 1.64e+04 |      0.19%       |     0.55%     |
|  32   |  512  | N/A |    [[32, 512]]     | bf16  |       2.97       |       2.97        |       2.97       |        2.04        | 2.13e+05 | 3.28e+04 |      0.37%       |     1.08%     |
|  64   |  512  | N/A |    [[64, 512]]     | bf16  |       3.02       |       3.05        |       3.07       |        2.08        | 4.26e+05 | 6.55e+04 |      0.72%       |     2.13%     |
|  128  |  512  | N/A |    [[128, 512]]    | bf16  |       3.17       |        3.2        |       3.23       |        2.16        | 8.52e+05 | 1.31e+05 |      1.38%       |     4.06%     |
|  256  |  512  | N/A |    [[256, 512]]    | bf16  |       3.33       |       3.36        |       3.38       |        2.32        | 1.70e+06 | 2.62e+05 |      2.62%       |     7.72%     |
|  512  |  512  | N/A |    [[512, 512]]    | bf16  |       3.89       |       3.91        |       3.94       |        2.64        | 3.41e+06 | 5.24e+05 |      4.49%       |    13.22%     |
| 1024  |  512  | N/A |   [[1024, 512]]    | bf16  |       4.66       |       4.68        |       4.71       |        3.29        | 6.82e+06 | 1.05e+06 |       7.5%       |    22.07%     |
| 2048  |  512  | N/A |   [[2048, 512]]    | bf16  |       6.2        |       6.23        |       6.25       |        4.57        | 1.36e+07 | 2.10e+06 |      11.28%      |    33.18%     |
| 4096  |  512  | N/A |   [[4096, 512]]    | bf16  |       9.11       |       9.13        |       9.16       |        7.14        | 2.73e+07 | 4.19e+06 |      15.35%      |    45.16%     |
| 8192  |  512  | N/A |   [[8192, 512]]    | bf16  |      15.31       |       15.36       |      15.41       |       12.29        | 5.45e+07 | 8.39e+06 |      18.26%      |    53.74%     |
| 16384 |  512  | N/A |   [[16384, 512]]   | bf16  |       31.9       |       31.95       |       32.0       |       22.57        | 1.09e+08 | 1.68e+07 |      17.53%      |    51.59%     |
| 32768 |  512  | N/A |   [[32768, 512]]   | bf16  |      60.11       |       60.18       |      60.26       |       43.14        | 2.18e+08 | 3.36e+07 |      18.61%      |    54.75%     |
|   1   |  768  | N/A |     [[1, 768]]     | bf16  |       3.07       |        3.1        |       3.12       |        2.0         | 9.98e+03 | 1.54e+03 |      0.02%       |     0.05%     |
|   2   |  768  | N/A |     [[2, 768]]     | bf16  |       2.87       |        2.9        |       2.92       |        2.0         | 2.00e+04 | 3.07e+03 |      0.04%       |     0.1%      |
|   4   |  768  | N/A |     [[4, 768]]     | bf16  |       2.87       |        2.9        |       2.92       |        2.01        | 3.99e+04 | 6.14e+03 |      0.07%       |     0.21%     |
|   8   |  768  | N/A |     [[8, 768]]     | bf16  |       2.87       |        2.9        |       2.92       |        2.02        | 7.99e+04 | 1.23e+04 |      0.14%       |     0.42%     |
|  16   |  768  | N/A |    [[16, 768]]     | bf16  |       2.97       |        3.0        |       3.02       |        2.03        | 1.60e+05 | 2.46e+04 |      0.28%       |     0.81%     |
|  32   |  768  | N/A |    [[32, 768]]     | bf16  |       2.97       |        3.0        |       3.02       |        2.06        | 3.19e+05 | 4.92e+04 |      0.55%       |     1.62%     |
|  64   |  768  | N/A |    [[64, 768]]     | bf16  |       3.12       |       3.15        |       3.17       |        2.12        | 6.39e+05 | 9.83e+04 |      1.05%       |     3.09%     |
|  128  |  768  | N/A |    [[128, 768]]    | bf16  |       3.28       |        3.3        |       3.33       |        2.24        | 1.28e+06 | 1.97e+05 |       2.0%       |     5.88%     |
|  256  |  768  | N/A |    [[256, 768]]    | bf16  |       3.64       |       3.66        |       3.69       |        2.48        | 2.56e+06 | 3.93e+05 |       3.6%       |     10.6%     |
|  512  |  768  | N/A |    [[512, 768]]    | bf16  |       4.3        |       4.32        |       4.35       |        2.96        | 5.11e+06 | 7.86e+05 |       6.1%       |    17.94%     |
