Test Case: A100SXM_aten_mm
| B |  M   |  K   |   N   |          input_shape          | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
| 1 |  1   |  32  |  32   |      [[1, 32], [32, 32]]      | bf16  |      19.05       |       19.21       |      19.35       |        2.0         | 2.05e+03 | 1.09e+03 |       0.0%       |     0.01%     |
| 1 |  2   |  32  |  32   |      [[2, 32], [32, 32]]      | bf16  |      20.84       |       21.03       |      21.09       |        2.0         | 4.10e+03 | 1.15e+03 |       0.0%       |     0.01%     |
| 1 |  4   |  32  |  32   |      [[4, 32], [32, 32]]      | bf16  |      20.63       |       20.77       |      20.99       |        2.0         | 8.19e+03 | 1.28e+03 |       0.0%       |     0.01%     |
| 1 |  8   |  32  |  32   |      [[8, 32], [32, 32]]      | bf16  |      20.84       |       20.9        |      21.15       |        2.0         | 1.64e+04 | 1.54e+03 |       0.0%       |     0.01%     |
| 1 |  32  |  32  |  32   |     [[32, 32], [32, 32]]      | bf16  |      19.46       |       19.6        |      19.71       |        2.0         | 6.55e+04 | 3.07e+03 |       0.0%       |     0.02%     |
| 1 |  64  |  32  |  32   |     [[64, 32], [32, 32]]      | bf16  |      19.35       |       19.46       |      19.61       |        2.01        | 1.31e+05 | 5.12e+03 |       0.0%       |     0.03%     |
| 1 | 128  |  32  |  32   |     [[128, 32], [32, 32]]     | bf16  |      19.66       |       19.79       |      20.12       |        2.01        | 2.62e+05 | 9.22e+03 |       0.0%       |     0.05%     |
| 1 | 256  |  32  |  32   |     [[256, 32], [32, 32]]     | bf16  |      19.87       |       20.01       |      20.07       |        2.02        | 5.24e+05 | 1.74e+04 |      0.01%       |     0.09%     |
| 1 | 512  |  32  |  32   |     [[512, 32], [32, 32]]     | bf16  |      19.51       |       19.7        |      20.02       |        2.04        | 1.05e+06 | 3.38e+04 |      0.02%       |     0.17%     |
| 1 | 1024 |  32  |  32   |    [[1024, 32], [32, 32]]     | bf16  |       19.4       |       19.5        |      19.66       |        2.08        | 2.10e+06 | 6.66e+04 |      0.03%       |     0.34%     |
| 1 | 2048 |  32  |  32   |    [[2048, 32], [32, 32]]     | bf16  |      20.79       |       20.98       |      21.25       |        2.16        | 4.19e+06 | 1.32e+05 |      0.06%       |     0.62%     |
| 1 | 4096 |  32  |  32   |    [[4096, 32], [32, 32]]     | bf16  |      20.43       |       20.62       |      20.89       |        2.32        | 8.39e+06 | 2.63e+05 |      0.13%       |     1.26%     |
| 1 | 8192 |  32  |  32   |    [[8192, 32], [32, 32]]     | bf16  |      20.58       |       20.66       |      20.89       |        2.64        | 1.68e+07 | 5.25e+05 |      0.26%       |     2.5%      |
| 1 |  1   |  64  |  32   |      [[1, 64], [64, 32]]      | bf16  |      18.59       |       18.83       |       19.3       |        2.0         | 4.10e+03 | 2.14e+03 |       0.0%       |     0.01%     |
| 1 |  2   |  64  |  32   |      [[2, 64], [64, 32]]      | bf16  |      20.38       |       20.76       |      21.04       |        2.0         | 8.19e+03 | 2.24e+03 |       0.0%       |     0.01%     |
| 1 |  4   |  64  |  32   |      [[4, 64], [64, 32]]      | bf16  |      20.48       |       20.68       |      20.84       |        2.0         | 1.64e+04 | 2.43e+03 |       0.0%       |     0.01%     |
| 1 |  8   |  64  |  32   |      [[8, 64], [64, 32]]      | bf16  |      20.17       |       20.76       |      21.15       |        2.0         | 3.28e+04 | 2.82e+03 |       0.0%       |     0.01%     |
| 1 |  32  |  64  |  32   |     [[32, 64], [64, 32]]      | bf16  |      19.15       |       19.29       |      19.46       |        2.01        | 1.31e+05 | 5.12e+03 |       0.0%       |     0.03%     |
| 1 |  64  |  64  |  32   |     [[64, 64], [64, 32]]      | bf16  |      19.35       |       19.54       |      19.87       |        2.01        | 2.62e+05 | 8.19e+03 |       0.0%       |     0.04%     |
| 1 | 128  |  64  |  32   |     [[128, 64], [64, 32]]     | bf16  |       19.3       |       19.38       |      19.46       |        2.02        | 5.24e+05 | 1.43e+04 |      0.01%       |     0.07%     |
| 1 | 256  |  64  |  32   |     [[256, 64], [64, 32]]     | bf16  |      19.66       |       19.87       |      20.07       |        2.03        | 1.05e+06 | 2.66e+04 |      0.02%       |     0.13%     |
| 1 | 512  |  64  |  32   |     [[512, 64], [64, 32]]     | bf16  |      19.25       |       19.35       |      19.66       |        2.06        | 2.10e+06 | 5.12e+04 |      0.03%       |     0.26%     |
| 1 | 1024 |  64  |  32   |    [[1024, 64], [64, 32]]     | bf16  |      21.09       |       21.24       |      21.45       |        2.12        | 4.19e+06 | 1.00e+05 |      0.06%       |     0.47%     |
| 1 | 2048 |  64  |  32   |    [[2048, 64], [64, 32]]     | bf16  |      20.38       |       20.47       |      20.68       |        2.24        | 8.39e+06 | 1.99e+05 |      0.13%       |     0.96%     |
| 1 | 4096 |  64  |  32   |    [[4096, 64], [64, 32]]     | bf16  |      20.89       |       21.02       |      21.15       |        2.48        | 1.68e+07 | 3.95e+05 |      0.26%       |     1.86%     |
| 1 | 8192 |  64  |  32   |    [[8192, 64], [64, 32]]     | bf16  |      20.17       |       20.52       |      20.74       |        2.97        | 3.36e+07 | 7.88e+05 |      0.53%       |     3.83%     |
| 1 |  1   | 128  |  32   |     [[1, 128], [128, 32]]     | bf16  |      18.64       |       18.92       |      19.25       |        2.01        | 8.19e+03 | 4.26e+03 |       0.0%       |     0.02%     |
| 1 |  2   | 128  |  32   |     [[2, 128], [128, 32]]     | bf16  |      20.28       |       20.48       |      20.89       |        2.01        | 1.64e+04 | 4.42e+03 |       0.0%       |     0.02%     |
| 1 |  4   | 128  |  32   |     [[4, 128], [128, 32]]     | bf16  |      20.43       |       20.63       |      20.79       |        2.01        | 3.28e+04 | 4.74e+03 |       0.0%       |     0.02%     |
| 1 |  8   | 128  |  32   |     [[8, 128], [128, 32]]     | bf16  |      20.89       |       20.98       |       21.2       |        2.01        | 6.55e+04 | 5.38e+03 |       0.0%       |     0.03%     |
| 1 |  32  | 128  |  32   |    [[32, 128], [128, 32]]     | bf16  |      19.66       |       19.78       |      19.97       |        2.01        | 2.62e+05 | 9.22e+03 |       0.0%       |     0.05%     |
| 1 |  64  | 128  |  32   |    [[64, 128], [128, 32]]     | bf16  |       19.2       |       19.36       |      19.76       |        2.02        | 5.24e+05 | 1.43e+04 |      0.01%       |     0.07%     |
| 1 | 128  | 128  |  32   |    [[128, 128], [128, 32]]    | bf16  |      19.66       |       19.79       |      19.97       |        2.03        | 1.05e+06 | 2.46e+04 |      0.02%       |     0.12%     |
| 1 | 256  | 128  |  32   |    [[256, 128], [128, 32]]    | bf16  |      19.25       |       19.3        |      19.46       |        2.06        | 2.10e+06 | 4.51e+04 |      0.03%       |     0.23%     |
| 1 | 512  | 128  |  32   |    [[512, 128], [128, 32]]    | bf16  |      20.38       |       20.59       |      20.99       |        2.11        | 4.19e+06 | 8.60e+04 |      0.07%       |     0.41%     |
| 1 | 1024 | 128  |  32   |   [[1024, 128], [128, 32]]    | bf16  |      20.38       |       20.71       |      20.94       |        2.21        | 8.39e+06 | 1.68e+05 |      0.13%       |     0.81%     |
