Test Case: A100SXM_aten_mul
|   M   |   N   |  B  |             input_shape              | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|   1   |  32   | N/A |           [[1, 32], [32]]            | bf16  |       2.15       |       2.18        |       2.2        |        2.0         | 3.20e+01 | 9.60e+01 |       0.0%       |     0.0%      |
|   2   |  32   | N/A |           [[2, 32], [32]]            | bf16  |       2.51       |       2.54        |       2.56       |        2.0         | 6.40e+01 | 1.92e+02 |       0.0%       |     0.01%     |
|   4   |  32   | N/A |           [[4, 32], [32]]            | bf16  |       2.51       |       2.53        |       2.56       |        2.0         | 1.28e+02 | 3.84e+02 |       0.0%       |     0.02%     |
|   8   |  32   | N/A |           [[8, 32], [32]]            | bf16  |       2.82       |       2.84        |       2.87       |        2.0         | 2.56e+02 | 7.68e+02 |       0.0%       |     0.03%     |
|  16   |  32   | N/A |           [[16, 32], [32]]           | bf16  |       3.17       |        3.2        |       3.23       |        2.0         | 5.12e+02 | 1.54e+03 |       0.0%       |     0.05%     |
|  32   |  32   | N/A |           [[32, 32], [32]]           | bf16  |       3.33       |       3.36        |       3.38       |        2.0         | 1.02e+03 | 3.07e+03 |       0.0%       |     0.09%     |
|  64   |  32   | N/A |           [[64, 32], [32]]           | bf16  |       3.33       |       3.36        |       3.38       |        2.01        | 2.05e+03 | 6.14e+03 |       0.0%       |     0.18%     |
|  128  |  32   | N/A |          [[128, 32], [32]]           | bf16  |       3.38       |        3.4        |       3.43       |        2.02        | 4.10e+03 | 1.23e+04 |      0.01%       |     0.36%     |
|  256  |  32   | N/A |          [[256, 32], [32]]           | bf16  |       3.43       |       3.49        |       3.53       |        2.03        | 8.19e+03 | 2.46e+04 |      0.01%       |     0.7%      |
|  512  |  32   | N/A |          [[512, 32], [32]]           | bf16  |       3.43       |       3.46        |       3.48       |        2.06        | 1.64e+04 | 4.92e+04 |      0.02%       |     1.41%     |
| 1024  |  32   | N/A |          [[1024, 32], [32]]          | bf16  |       3.48       |       3.48        |       3.48       |        2.12        | 3.28e+04 | 9.83e+04 |      0.05%       |     2.77%     |
| 2048  |  32   | N/A |          [[2048, 32], [32]]          | bf16  |       3.74       |       3.76        |       3.79       |        2.24        | 6.55e+04 | 1.97e+05 |      0.09%       |     5.16%     |
