Test Case: A100SXM_aten_silu
|   M   |   N   |  B  |    input_shape     | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|   1   |  32   | N/A |     [[1, 32]]      | bf16  |       2.36       |       2.38        |       2.41       |        2.0         | 4.16e+02 | 6.40e+01 |       0.0%       |     0.0%      |
|   2   |  32   | N/A |     [[2, 32]]      | bf16  |       2.41       |       2.46        |       2.51       |        2.0         | 8.32e+02 | 1.28e+02 |       0.0%       |     0.01%     |
|   4   |  32   | N/A |     [[4, 32]]      | bf16  |       2.46       |       2.51        |       2.56       |        2.0         | 1.66e+03 | 2.56e+02 |       0.0%       |     0.01%     |
|   8   |  32   | N/A |     [[8, 32]]      | bf16  |       2.76       |       2.81        |       2.87       |        2.0         | 3.33e+03 | 5.12e+02 |      0.01%       |     0.02%     |
|  16   |  32   | N/A |     [[16, 32]]     | bf16  |       2.76       |       2.79        |       2.82       |        2.0         | 6.66e+03 | 1.02e+03 |      0.01%       |     0.04%     |
|  32   |  32   | N/A |     [[32, 32]]     | bf16  |       2.97       |        3.0        |       3.02       |        2.0         | 1.33e+04 | 2.05e+03 |      0.02%       |     0.07%     |
|  64   |  32   | N/A |     [[64, 32]]     | bf16  |       2.82       |       2.82        |       2.82       |        2.01        | 2.66e+04 | 4.10e+03 |      0.05%       |     0.14%     |
|  128  |  32   | N/A |    [[128, 32]]     | bf16  |       2.97       |       2.97        |       2.97       |        2.01        | 5.32e+04 | 8.19e+03 |      0.09%       |     0.27%     |
|  256  |  32   | N/A |    [[256, 32]]     | bf16  |       2.97       |        3.0        |       3.02       |        2.02        | 1.06e+05 | 1.64e+04 |      0.18%       |     0.54%     |
|  512  |  32   | N/A |    [[512, 32]]     | bf16  |       2.97       |       3.02        |       3.07       |        2.04        | 2.13e+05 | 3.28e+04 |      0.37%       |     1.08%     |
| 1024  |  32   | N/A |    [[1024, 32]]    | bf16  |       3.17       |        3.2        |       3.23       |        2.08        | 4.26e+05 | 6.55e+04 |      0.69%       |     2.03%     |
| 2048  |  32   | N/A |    [[2048, 32]]    | bf16  |       3.28       |       3.31        |       3.33       |        2.16        | 8.52e+05 | 1.31e+05 |      1.33%       |     3.92%     |
| 4096  |  32   | N/A |    [[4096, 32]]    | bf16  |       3.38       |        3.4        |       3.43       |        2.32        | 1.70e+06 | 2.62e+05 |      2.59%       |     7.61%     |
| 8192  |  32   | N/A |    [[8192, 32]]    | bf16  |       3.58       |       3.62        |       3.64       |        2.64        | 3.41e+06 | 5.24e+05 |      4.88%       |    14.36%     |
| 16384 |  32   | N/A |   [[16384, 32]]    | bf16  |       4.15       |       4.17        |       4.2        |        3.29        | 6.82e+06 | 1.05e+06 |      8.42%       |    24.78%     |
| 32768 |  32   | N/A |   [[32768, 32]]    | bf16  |       6.6        |       6.66        |       6.71       |        4.57        | 1.36e+07 | 2.10e+06 |      10.59%      |    31.17%     |
|   1   |  64   | N/A |     [[1, 64]]      | bf16  |       2.92       |       2.95        |       2.97       |        2.0         | 8.32e+02 | 1.28e+02 |       0.0%       |     0.0%      |
|   2   |  64   | N/A |     [[2, 64]]      | bf16  |       3.12       |       3.15        |       3.17       |        2.0         | 1.66e+03 | 2.56e+02 |       0.0%       |     0.01%     |
|   4   |  64   | N/A |     [[4, 64]]      | bf16  |       3.28       |       3.28        |       3.28       |        2.0         | 3.33e+03 | 5.12e+02 |      0.01%       |     0.02%     |
|   8   |  64   | N/A |     [[8, 64]]      | bf16  |       3.28       |        3.3        |       3.33       |        2.0         | 6.66e+03 | 1.02e+03 |      0.01%       |     0.03%     |
|  16   |  64   | N/A |     [[16, 64]]     | bf16  |       3.38       |       3.38        |       3.38       |        2.0         | 1.33e+04 | 2.05e+03 |      0.02%       |     0.06%     |
|  32   |  64   | N/A |     [[32, 64]]     | bf16  |       3.53       |       3.59        |       3.64       |        2.01        | 2.66e+04 | 4.10e+03 |      0.04%       |     0.11%     |
