test case : A100SXM_flash_attn::flash_attn.flash_attn_func
|    B     |    C     |    D     |    De    |   Drop    |   MQKV   |   NHK    |     S     |      W       |  causal  |  deterministic  |  dropout_p  |  softmax_scale  |   window_size   |                             input_shape                              | dtype  | duration_min(us) | duration_mean(us) | duration_max(us) | latency_value(us) |     2D_flops      |  activation  |   params   |     flops_1D      |              flops_2D              |    flops_SFU     |  flops_efficient_1D  |  flops_efficient_2D  |  flops_efficient_SFU  |     io     | io_efficient |
|    1     |  False   |   128    |  False   |    0.0    |   2048   |    10    |    0.0    |   [-1, -1]   |  False   |      False      |     0.0     |       0.0       |    [-1, -1]     |     [[1, 2048, 10, 128], [1, 2048, 10, 128], [1, 2048, 10, 128]]     |  bf16  |      169.83      |      169.91       |      170.04      |       88.04       |     2.15e+10      |   2.62e+06   |  0.00e+00  |    ['2.94e...     |      ['1.07e+10', '1.07e+10']      |    ['4.19...     |       1.60e-01       |       4.56e-01       |       1.82e-01        |  2.62e+07  |    15.14%    |
|    1     |  False   |   128    |  False   |    0.0    |   4096   |    10    |    0.0    |   [-1, -1]   |  False   |      False      |     0.0     |       0.0       |    [-1, -1]     |     [[1, 4096, 10, 128], [1, 4096, 10, 128], [1, 4096, 10, 128]]     |  bf16  |      496.08      |      496.39       |      496.64      |      346.15       |     8.59e+10      |   5.25e+06   |  0.00e+00  |    ['1.17e+...    |      ['4.29e+10', '4.29e+10']      |    ['1.68e...    |       2.19e-01       |       6.24e-01       |       2.50e-01        |  5.24e+07  |    10.37%    |
|    1     |  False   |   128    |  False   |    0.0    |   8192   |    10    |    0.0    |   [-1, -1]   |  False   |      False      |     0.0     |       0.0       |    [-1, -1]     |     [[1, 8192, 10, 128], [1, 8192, 10, 128], [1, 8192, 10, 128]]     |  bf16  |     1489.97      |      1553.85      |     1637.17      |      1378.59      |     3.44e+11      |   1.05e+07   |  0.00e+00  |    ['4.70e+...    |      ['1.72e+11', '1.72e+11']      |    ['6.71e...    |       2.91e-01       |       8.32e-01       |       3.33e-01        |  1.05e+08  |    6.90%     |
|    1     |  False   |   128    |  False   |    0.0    |  16384   |    10    |    0.0    |   [-1, -1]   |  False   |      False      |     0.0     |       0.0       |    [-1, -1]     |   [[1, 16384, 10, 128], [1, 16384, 10, 128], [1, 16384, 10, 128]]    |  bf16  |     5756.52      |      5826.81      |     5838.90      |      5508.37      |     1.37e+12      |   2.10e+07   |  0.00e+00  |   ['1.88e+10']    |      ['6.87e+11', '6.87e+11']      |   ['2.68e+...    |       3.01e-01       |       8.61e-01       |       3.44e-01        |  2.10e+08  |    3.57%     |
|    1     |  False   |   128    |  False   |    0.0    |  32768   |    10    |    0.0    |   [-1, -1]   |  False   |      False      |     0.0     |       0.0       |    [-1, -1]     |   [[1, 32768, 10, 128], [1, 32768, 10, 128], [1, 32768, 10, 128]]    |  bf16  |     23081.22     |     23202.83      |     23377.10     |     22027.47      |     5.50e+12      |   4.20e+07   |  0.00e+00  |   ['7.52e+10']    |      ['2.75e+12', '2.75e+12']      |   ['1.07e+10']   |       3.01e-01       |       8.59e-01       |       3.44e-01        |  4.19e+08  |    1.78%     |
|    1     |  False   |   128    |  False   |    0.0    |  65536   |    10    |    0.0    |   [-1, -1]   |  False   |      False      |     0.0     |       0.0       |    [-1, -1]     |   [[1, 65536, 10, 128], [1, 65536, 10, 128], [1, 65536, 10, 128]]    |  bf16  |     92966.81     |     93272.53      |     93424.64     |     88103.89      |     2.20e+13      |   8.40e+07   |  0.00e+00  |   ['3.01e+11']    |      ['1.10e+13', '1.10e+13']      |   ['4.29e+10']   |       2.99e-01       |       8.53e-01       |       3.41e-01        |  8.39e+08  |    0.89%     |
|    1     |  False   |   128    |  False   |    0.0    |  131072  |    10    |    0.0    |   [-1, -1]   |  False   |      False      |     0.0     |       0.0       |    [-1, -1]     |  [[1, 131072, 10, 128], [1, 131072, 10, 128], [1, 131072, 10, 128]]  |  bf16  |    371044.31     |     371629.41     |    371907.94     |     352409.57     |     8.80e+13      |   1.68e+08   |  0.00e+00  |   ['1.20e+12']    |      ['4.40e+13', '4.40e+13']      |   ['1.72e+11']   |       2.99e-01       |       8.55e-01       |       3.42e-01        |  1.68e+09  |    0.44%     |
|    1     |  False   |   128    |  False   |    0.0    |  75348   |    10    |    0.0    |   [-1, -1]   |  False   |      False      |     0.0     |       0.0       |    [-1, -1]     |   [[1, 75348, 10, 128], [1, 75348, 10, 128], [1, 75348, 10, 128]]    |  bf16  |    126475.11     |     126531.28     |    126575.30     |     116459.87     |     2.91e+13      |   9.65e+07   |  0.00e+00  |   ['3.97e+11']    |      ['1.45e+13', '1.45e+13']      |   ['5.68e+10']   |       2.90e-01       |       8.29e-01       |       3.31e-01        |  9.64e+08  |    0.75%     |
|    1     |  False   |   128    |  False   |    0.0    |   2048   |    40    |    0.0    |   [-1, -1]   |  False   |      False      |     0.0     |       0.0       |    [-1, -1]     |     [[1, 2048, 40, 128], [1, 2048, 40, 128], [1, 2048, 40, 128]]     |  bf16  |      382.16      |      383.80       |      386.05      |      346.15       |     8.59e+10      |   1.05e+07   |  0.00e+00  |    ['1.17e+...    |      ['4.29e+10', '4.29e+10']      |   ['1.68e+...    |       2.84e-01       |       8.10e-01       |       3.24e-01        |  1.05e+08  |    26.91%    |
|    1     |  False   |   128    |  False   |    0.0    |   4096   |    40    |    0.0    |   [-1, -1]   |  False   |      False      |     0.0     |       0.0       |    [-1, -1]     |     [[1, 4096, 40, 128], [1, 4096, 40, 128], [1, 4096, 40, 128]]     |  bf16  |     1456.64      |      1487.37      |     1499.29      |      1378.59      |     3.44e+11      |   2.10e+07   |  0.00e+00  |    ['4.70e+...    |      ['1.72e+11', '1.72e+11']      |   ['6.71e+...    |       2.98e-01       |       8.51e-01       |       3.40e-01        |  2.10e+08  |    14.12%    |
|    1     |  False   |   128    |  False   |    0.0    |   8192   |    40    |    0.0    |   [-1, -1]   |  False   |      False      |     0.0     |       0.0       |    [-1, -1]     |     [[1, 8192, 40, 128], [1, 8192, 40, 128], [1, 8192, 40, 128]]     |  bf16  |     5822.98      |      5925.17      |     5948.42      |      5508.37      |     1.37e+12      |   4.20e+07   |  0.00e+00  |   ['1.88e+10']    |      ['6.87e+11', '6.87e+11']      |   ['2.68e+...    |       2.98e-01       |       8.51e-01       |       3.40e-01        |  4.19e+08  |    7.07%     |
|    1     |  False   |   128    |  False   |    0.0    |  16384   |    40    |    0.0    |   [-1, -1]   |  False   |      False      |     0.0     |       0.0       |    [-1, -1]     |   [[1, 16384, 40, 128], [1, 16384, 40, 128], [1, 16384, 40, 128]]    |  bf16  |     23390.21     |     23564.19      |     23593.73     |     22027.47      |     5.50e+12      |   8.39e+07   |  0.00e+00  |   ['7.52e+10']    |      ['2.75e+12', '2.75e+12']      |   ['1.07e+10']   |       2.97e-01       |       8.47e-01       |       3.39e-01        |  8.39e+08  |    3.52%     |
|    1     |  False   |   128    |  False   |    0.0    |  32768   |    40    |    0.0    |   [-1, -1]   |  False   |      False      |     0.0     |       0.0       |    [-1, -1]     |   [[1, 32768, 40, 128], [1, 32768, 40, 128], [1, 32768, 40, 128]]    |  bf16  |     93051.19     |     93201.95      |     93253.27     |     88103.89      |     2.20e+13      |   1.68e+08   |  0.00e+00  |   ['3.01e+11']    |      ['1.10e+13', '1.10e+13']      |   ['4.29e+10']   |       2.98e-01       |       8.52e-01       |       3.41e-01        |  1.68e+09  |    1.77%     |
