Test Case: B200_aten-add
|   M   |   N   |    _tensor     | _tensor_1 | dtype | duration_mean(us) | duration_min(us) | duration_max(us) | theory_latency(us) |
|   1   |  32   |    [1, 32]     |   [32]    | bf16  |       91.51       |      90.42       |      92.33       |        2.0         |
|   2   |  32   |    [2, 32]     |   [32]    | bf16  |       92.02       |      91.07       |      93.55       |        2.0         |
|   8   |  32   |    [8, 32]     |   [32]    | bf16  |       91.72       |      90.99       |      92.51       |        2.0         |
|  128  |  32   |   [128, 32]    |   [32]    | bf16  |       92.19       |      91.45       |      92.85       |        2.0         |
| 1024  |  32   |   [1024, 32]   |   [32]    | bf16  |       92.58       |      91.86       |      93.63       |        2.03        |
| 4096  |  32   |   [4096, 32]   |   [32]    | bf16  |       92.75       |      91.66       |      93.19       |        2.12        |
| 16384 |  32   |  [16384, 32]   |   [32]    | bf16  |       93.89       |      92.45       |      96.61       |        2.49        |
|   1   |  128  |    [1, 128]    |   [128]   | bf16  |       93.63       |      92.14       |      95.29       |        2.0         |
|   2   |  128  |    [2, 128]    |   [128]   | bf16  |       93.57       |      92.37       |      94.32       |        2.0         |
|   8   |  128  |    [8, 128]    |   [128]   | bf16  |       93.94       |      93.61       |      94.43       |        2.0         |
|  128  |  128  |   [128, 128]   |   [128]   | bf16  |       94.53       |      93.65       |      95.38       |        2.02        |
| 1024  |  128  |  [1024, 128]   |   [128]   | bf16  |       94.36       |      93.12       |      95.16       |        2.12        |
| 4096  |  128  |  [4096, 128]   |   [128]   | bf16  |       94.1        |      93.48       |      95.16       |        2.49        |
| 16384 |  128  |  [16384, 128]  |   [128]   | bf16  |       94.74       |      93.68       |      96.28       |        3.97        |
|   1   | 1024  |   [1, 1024]    |  [1024]   | bf16  |       93.51       |      93.21       |      93.85       |        2.0         |
|   2   | 1024  |   [2, 1024]    |  [1024]   | bf16  |       93.5        |      92.98       |      94.07       |        2.0         |
|   8   | 1024  |   [8, 1024]    |  [1024]   | bf16  |       92.99       |       92.0       |      93.81       |        2.01        |
|  128  | 1024  |  [128, 1024]   |  [1024]   | bf16  |       91.22       |      90.32       |      91.98       |        2.12        |
| 1024  | 1024  |  [1024, 1024]  |  [1024]   | bf16  |       91.46       |      90.57       |      92.38       |        2.98        |
| 4096  | 1024  |  [4096, 1024]  |  [1024]   | bf16  |       92.54       |      91.16       |      95.64       |        5.93        |
| 16384 | 1024  | [16384, 1024]  |  [1024]   | bf16  |       95.04       |       91.8       |      105.19      |       17.73        |
|   1   | 8192  |   [1, 8192]    |  [8192]   | bf16  |       92.06       |       90.8       |      92.92       |        2.01        |
|   2   | 8192  |   [2, 8192]    |  [8192]   | bf16  |       92.43       |      92.01       |      93.13       |        2.02        |
|   8   | 8192  |   [8, 8192]    |  [8192]   | bf16  |       91.81       |      90.98       |      92.33       |        2.06        |
|  128  | 8192  |  [128, 8192]   |  [8192]   | bf16  |       91.73       |       90.9       |      94.28       |        2.98        |
| 1024  | 8192  |  [1024, 8192]  |  [8192]   | bf16  |       91.74       |      91.04       |      92.27       |        9.86        |
| 4096  | 8192  |  [4096, 8192]  |  [8192]   | bf16  |       93.9        |      92.53       |       96.7       |       33.46        |
| 16384 | 8192  | [16384, 8192]  |  [8192]   | bf16  |      325.34       |      325.16      |      325.64      |       127.83       |
|   1   | 16384 |   [1, 16384]   |  [16384]  | bf16  |       91.68       |      90.81       |      92.28       |        2.02        |
|   2   | 16384 |   [2, 16384]   |  [16384]  | bf16  |       91.58       |      91.21       |      91.95       |        2.03        |
|   8   | 16384 |   [8, 16384]   |  [16384]  | bf16  |       92.25       |      91.78       |      92.73       |        2.12        |
|  128  | 16384 |  [128, 16384]  |  [16384]  | bf16  |       92.88       |       91.2       |      97.06       |        3.97        |
| 1024  | 16384 | [1024, 16384]  |  [16384]  | bf16  |       93.62       |       91.7       |      100.65      |       17.73        |
| 4096  | 16384 | [4096, 16384]  |  [16384]  | bf16  |      167.34       |      167.2       |      167.51      |       64.91        |
| 16384 | 16384 | [16384, 16384] |  [16384]  | bf16  |      642.46       |      642.17      |      642.64      |       253.66       |
