Test Case: B200_aten-argmax
|   M   |   N   |    _tensor     |      dtype       | duration_mean(us) | duration_min(us) | duration_max(us) | theory_latency(us) |
|   1   |  32   |    [1, 32]     | ['bf16', 'fp16'] |       92.85       |      91.37       |      93.96       |        2.0         |
|   2   |  32   |    [2, 32]     | ['bf16', 'fp16'] |       92.01       |      91.56       |      92.78       |        2.0         |
|   8   |  32   |    [8, 32]     | ['bf16', 'fp16'] |       91.83       |      91.02       |      92.25       |        2.0         |
|  128  |  32   |   [128, 32]    | ['bf16', 'fp16'] |       92.37       |      92.09       |      93.06       |        2.0         |
| 1024  |  32   |   [1024, 32]   | ['bf16', 'fp16'] |       92.03       |      91.39       |      92.61       |        2.02        |
| 4096  |  32   |   [4096, 32]   | ['bf16', 'fp16'] |       95.41       |       94.8       |       96.2       |        2.08        |
| 16384 |  32   |  [16384, 32]   | ['bf16', 'fp16'] |       95.31       |      94.63       |      96.19       |        2.33        |
|   1   |  128  |    [1, 128]    | ['bf16', 'fp16'] |       92.46       |      91.08       |      92.93       |        2.0         |
|   2   |  128  |    [2, 128]    | ['bf16', 'fp16'] |       92.11       |      91.24       |      92.89       |        2.0         |
|   8   |  128  |    [8, 128]    | ['bf16', 'fp16'] |       92.72       |       91.4       |      93.73       |        2.0         |
|  128  |  128  |   [128, 128]   | ['bf16', 'fp16'] |       91.67       |      91.03       |      93.16       |        2.01        |
| 1024  |  128  |  [1024, 128]   | ['bf16', 'fp16'] |       95.07       |      94.32       |      96.07       |        2.08        |
| 4096  |  128  |  [4096, 128]   | ['bf16', 'fp16'] |       95.66       |      94.92       |       96.3       |        2.33        |
| 16384 |  128  |  [16384, 128]  | ['bf16', 'fp16'] |       95.27       |      94.44       |      95.92       |        3.31        |
|   1   | 1024  |   [1, 1024]    | ['bf16', 'fp16'] |       92.12       |      91.55       |      92.75       |        2.0         |
|   2   | 1024  |   [2, 1024]    | ['bf16', 'fp16'] |       92.35       |      91.77       |      93.18       |        2.0         |
|   8   | 1024  |   [8, 1024]    | ['bf16', 'fp16'] |       92.05       |      91.14       |      93.47       |        2.01        |
|  128  | 1024  |  [128, 1024]   | ['bf16', 'fp16'] |       96.14       |      95.52       |      97.67       |        2.08        |
| 1024  | 1024  |  [1024, 1024]  | ['bf16', 'fp16'] |       95.55       |      94.77       |      96.77       |        2.66        |
| 4096  | 1024  |  [4096, 1024]  | ['bf16', 'fp16'] |       95.35       |      94.23       |      96.44       |        4.62        |
| 16384 | 1024  | [16384, 1024]  | ['bf16', 'fp16'] |       96.12       |      95.02       |      96.89       |       12.49        |
|   1   | 8192  |   [1, 8192]    | ['bf16', 'fp16'] |       93.22       |      91.92       |      94.72       |        2.01        |
|   2   | 8192  |   [2, 8192]    | ['bf16', 'fp16'] |       92.49       |      91.26       |       93.2       |        2.01        |
|   8   | 8192  |   [8, 8192]    | ['bf16', 'fp16'] |       92.65       |      91.36       |      93.45       |        2.04        |
|  128  | 8192  |  [128, 8192]   | ['bf16', 'fp16'] |       96.38       |      94.76       |      97.24       |        2.66        |
| 1024  | 8192  |  [1024, 8192]  | ['bf16', 'fp16'] |       96.15       |      95.05       |      97.15       |        7.24        |
| 4096  | 8192  |  [4096, 8192]  | ['bf16', 'fp16'] |       96.43       |      95.63       |      97.19       |       22.97        |
| 16384 | 8192  | [16384, 8192]  | ['bf16', 'fp16'] |       137.4       |      136.98      |      137.67      |       85.89        |
|   1   | 16384 |   [1, 16384]   | ['bf16', 'fp16'] |       92.9        |      92.33       |       93.2       |        2.01        |
|   2   | 16384 |   [2, 16384]   | ['bf16', 'fp16'] |       92.44       |      91.98       |      93.21       |        2.02        |
|   8   | 16384 |   [8, 16384]   | ['bf16', 'fp16'] |       96.58       |       95.2       |      97.37       |        2.08        |
|  128  | 16384 |  [128, 16384]  | ['bf16', 'fp16'] |       96.43       |      96.03       |      96.66       |        3.31        |
| 1024  | 16384 | [1024, 16384]  | ['bf16', 'fp16'] |       96.57       |      96.15       |      97.03       |       12.49        |
| 4096  | 16384 | [4096, 16384]  | ['bf16', 'fp16'] |       96.76       |      96.28       |      97.39       |       43.94        |
| 16384 | 16384 | [16384, 16384] | ['bf16', 'fp16'] |      254.17       |      253.86      |      254.35      |       169.77       |
