Test Case: B200_aten-baddbmm
| B  |  M   |  K   |  N   |     _tensor      |    _tensor_1     |    _tensor_2     | dtype | duration_mean(us) | duration_min(us) | duration_max(us) | theory_latency(us) |
| 1  |  1   | 3072 | 3072 |   [1, 1, 3072]   |   [1, 1, 3072]   | [1, 3072, 3072]  | bf16  |      104.12       |      103.2       |      105.26      |        N/A         |
| 2  |  1   | 3072 | 3072 |   [2, 1, 3072]   |   [2, 1, 3072]   | [2, 3072, 3072]  | bf16  |      104.37       |      103.52      |      104.89      |        N/A         |
| 8  |  1   | 3072 | 3072 |   [8, 1, 3072]   |   [8, 1, 3072]   | [8, 3072, 3072]  | bf16  |      104.22       |      103.02      |      106.59      |        N/A         |
| 16 |  1   | 3072 | 3072 |  [16, 1, 3072]   |  [16, 1, 3072]   | [16, 3072, 3072] | bf16  |      105.48       |      103.58      |      108.8       |        N/A         |
| 32 |  1   | 3072 | 3072 |  [32, 1, 3072]   |  [32, 1, 3072]   | [32, 3072, 3072] | bf16  |      105.43       |      104.26      |      107.51      |        N/A         |
| 1  |  2   | 3072 | 3072 |   [1, 2, 3072]   |   [1, 2, 3072]   | [1, 3072, 3072]  | bf16  |      104.23       |      103.73      |      104.63      |        N/A         |
| 2  |  2   | 3072 | 3072 |   [2, 2, 3072]   |   [2, 2, 3072]   | [2, 3072, 3072]  | bf16  |      103.93       |      102.99      |      104.92      |        N/A         |
| 8  |  2   | 3072 | 3072 |   [8, 2, 3072]   |   [8, 2, 3072]   | [8, 3072, 3072]  | bf16  |      104.69       |      103.65      |      105.47      |        N/A         |
| 16 |  2   | 3072 | 3072 |  [16, 2, 3072]   |  [16, 2, 3072]   | [16, 3072, 3072] | bf16  |      104.82       |      103.95      |      105.53      |        N/A         |
| 32 |  2   | 3072 | 3072 |  [32, 2, 3072]   |  [32, 2, 3072]   | [32, 3072, 3072] | bf16  |      107.48       |      106.34      |      108.15      |        N/A         |
| 1  |  8   | 3072 | 3072 |   [1, 8, 3072]   |   [1, 8, 3072]   | [1, 3072, 3072]  | bf16  |      105.08       |      104.49      |      105.64      |        N/A         |
| 2  |  8   | 3072 | 3072 |   [2, 8, 3072]   |   [2, 8, 3072]   | [2, 3072, 3072]  | bf16  |      105.33       |      104.69      |      105.91      |        N/A         |
| 8  |  8   | 3072 | 3072 |   [8, 8, 3072]   |   [8, 8, 3072]   | [8, 3072, 3072]  | bf16  |      107.44       |      105.68      |      111.95      |        N/A         |
