Test Case: B200_aten-bmm
|  B  |  M  |  K   |  N  |     _tensor     |    _tensor_1    | dtype | duration_mean(us) | duration_min(us) | duration_max(us) | theory_latency(us) |
| 64  |  1  |  32  | 32  |   [64, 1, 32]   |  [64, 32, 32]   | bf16  |       102.0       |      101.24      |      103.25      |       255.95       |
| 128 |  1  |  32  | 32  |  [128, 1, 32]   |  [128, 32, 32]  | bf16  |      101.41       |      100.97      |      101.81      |       509.9        |
| 64  |  2  |  32  | 32  |   [64, 2, 32]   |  [64, 32, 32]   | bf16  |      100.75       |      99.94       |      101.47      |        18.3        |
| 128 |  2  |  32  | 32  |  [128, 2, 32]   |  [128, 32, 32]  | bf16  |      100.75       |      100.14      |      101.46      |        34.6        |
| 64  |  8  |  32  | 32  |   [64, 8, 32]   |  [64, 32, 32]   | bf16  |       99.49       |       98.8       |      100.35      |       132.42       |
| 128 |  8  |  32  | 32  |  [128, 8, 32]   |  [128, 32, 32]  | bf16  |       98.82       |      97.54       |      99.34       |       262.83       |
| 64  | 32  |  32  | 32  |  [64, 32, 32]   |  [64, 32, 32]   | bf16  |       98.69       |      98.28       |      99.24       |       523.67       |
| 128 | 32  |  32  | 32  |  [128, 32, 32]  |  [128, 32, 32]  | bf16  |       98.71       |      98.13       |      99.26       |       27.45        |
| 64  | 128 |  32  | 32  |  [64, 128, 32]  |  [64, 32, 32]   | bf16  |       98.74       |      98.14       |      99.38       |        52.9        |
| 128 | 128 |  32  | 32  | [128, 128, 32]  |  [128, 32, 32]  | bf16  |       97.78       |      97.06       |      98.46       |       205.61       |
| 64  | 256 |  32  | 32  |  [64, 256, 32]  |  [64, 32, 32]   | bf16  |       98.04       |      97.12       |       99.2       |       409.23       |
| 128 | 256 |  32  | 32  | [128, 256, 32]  |  [128, 32, 32]  | bf16  |       97.11       |      96.18       |      97.88       |       816.45       |
| 64  |  1  | 128  | 32  |  [64, 1, 128]   |  [64, 128, 32]  | bf16  |       97.04       |      96.35       |      97.76       |        52.9        |
| 128 |  1  | 128  | 32  |  [128, 1, 128]  | [128, 128, 32]  | bf16  |       96.2        |      95.32       |      98.61       |       103.81       |
