Test Case: B200_aten-contiguous
|   M    |   N   |     _tensor     | dtype | duration_mean(us) | duration_min(us) | duration_max(us) | theory_latency(us) |
|   1    |  32   |     [1, 32]     | bf16  |       85.65       |      85.28       |      85.91       |       22.97        |
|   2    |  32   |     [2, 32]     | bf16  |       85.29       |      84.42       |      86.05       |       43.95        |
|   8    |  32   |     [8, 32]     | bf16  |       85.53       |      84.68       |      86.21       |       85.89        |
|  128   |  32   |    [128, 32]    | bf16  |       85.31       |      84.31       |      85.97       |        3.31        |
|  1024  |  32   |   [1024, 32]    | bf16  |       85.38       |      84.83       |       85.7       |        4.62        |
|  4096  |  32   |   [4096, 32]    | bf16  |       85.83       |      85.19       |       86.4       |        7.25        |
| 16384  |  32   |   [16384, 32]   | bf16  |       85.61       |      85.07       |      86.37       |       12.49        |
| 131072 |  32   |  [131072, 32]   | bf16  |       85.89       |      85.18       |      86.55       |        4.62        |
|   1    |  128  |    [1, 128]     | bf16  |       85.54       |      84.68       |      86.12       |        7.24        |
|   2    |  128  |    [2, 128]     | bf16  |       85.15       |      84.43       |      85.84       |       12.49        |
|   8    |  128  |    [8, 128]     | bf16  |       85.3        |      84.36       |      86.02       |       22.98        |
|  128   |  128  |   [128, 128]    | bf16  |       84.69       |      83.45       |      85.59       |        7.24        |
|  1024  |  128  |   [1024, 128]   | bf16  |       84.91       |      84.51       |      85.48       |       12.49        |
|  4096  |  128  |   [4096, 128]   | bf16  |       84.76       |      83.92       |      85.62       |       22.98        |
| 16384  |  128  |  [16384, 128]   | bf16  |       84.45       |      83.64       |       85.9       |       43.95        |
| 131072 |  128  |  [131072, 128]  | bf16  |       84.5        |      83.49       |      85.07       |       12.49        |
|   1    | 1024  |    [1, 1024]    | bf16  |       84.55       |      83.69       |      85.32       |       22.97        |
|   2    | 1024  |    [2, 1024]    | bf16  |       84.37       |      83.89       |      84.95       |       43.95        |
|   8    | 1024  |    [8, 1024]    | bf16  |       85.01       |      84.43       |      85.56       |       85.89        |
|  128   | 1024  |   [128, 1024]   | bf16  |       84.7        |      83.98       |      85.33       |       22.97        |
|  1024  | 1024  |  [1024, 1024]   | bf16  |       84.42       |      83.65       |      85.31       |       43.94        |
|  4096  | 1024  |  [4096, 1024]   | bf16  |       84.76       |       83.7       |      85.35       |       85.89        |
| 16384  | 1024  |  [16384, 1024]  | bf16  |       84.65       |       84.1       |      85.02       |       169.78       |
| 131072 | 1024  | [131072, 1024]  | bf16  |       84.21       |      83.09       |      85.09       |       43.94        |
|   1    | 8192  |    [1, 8192]    | bf16  |       84.51       |      83.64       |      85.79       |       85.89        |
|   2    | 8192  |    [2, 8192]    | bf16  |       84.6        |      83.97       |      85.09       |       169.78       |
|   8    | 8192  |    [8, 8192]    | bf16  |       84.41       |      83.88       |      84.83       |       337.55       |
|  128   | 8192  |   [128, 8192]   | bf16  |       84.7        |      83.69       |      85.13       |        2.49        |
|  1024  | 8192  |  [1024, 8192]   | bf16  |       84.04       |      83.49       |      84.79       |        2.99        |
