Test Case: B200_aten-copy_
|   M    |   N   |     _tensor     |    _tensor_1    | dtype | duration_mean(us) | duration_min(us) | duration_max(us) | theory_latency(us) |
|   1    |  32   |     [1, 32]     |     [1, 32]     | bf16  |       92.18       |      91.24       |      92.88       |       33.46        |
|   2    |  32   |     [2, 32]     |     [2, 32]     | bf16  |       91.77       |      91.39       |      92.65       |       64.92        |
|   8    |  32   |     [8, 32]     |     [8, 32]     | bf16  |       91.65       |      90.83       |      92.82       |       127.84       |
|  128   |  32   |    [128, 32]    |    [128, 32]    | bf16  |       91.75       |      90.89       |      93.19       |       33.46        |
|  1024  |  32   |   [1024, 32]    |   [1024, 32]    | bf16  |       92.01       |      91.07       |      92.76       |       64.92        |
|  4096  |  32   |   [4096, 32]    |   [4096, 32]    | bf16  |       91.76       |       90.7       |      92.46       |       127.83       |
| 16384  |  32   |   [16384, 32]   |   [16384, 32]   | bf16  |       91.78       |      91.08       |       92.5       |       253.67       |
| 131072 |  32   |  [131072, 32]   |  [131072, 32]   | bf16  |       91.81       |      90.64       |      92.89       |       64.92        |
|   1    |  128  |    [1, 128]     |    [1, 128]     | bf16  |       91.66       |      91.11       |      92.04       |       127.83       |
|   2    |  128  |    [2, 128]     |    [2, 128]     | bf16  |       91.11       |      90.31       |      91.92       |       253.66       |
|   8    |  128  |    [8, 128]     |    [8, 128]     | bf16  |       91.43       |      90.43       |       92.1       |       505.33       |
|  128   |  128  |   [128, 128]    |   [128, 128]    | bf16  |       91.49       |       90.8       |      92.02       |        2.66        |
|  1024  |  128  |   [1024, 128]   |   [1024, 128]   | bf16  |       91.41       |      90.51       |      92.04       |        3.32        |
|  4096  |  128  |   [4096, 128]   |   [4096, 128]   | bf16  |       91.76       |       91.2       |      92.56       |        4.64        |
| 16384  |  128  |  [16384, 128]   |  [16384, 128]   | bf16  |       92.12       |      91.64       |      92.41       |        7.28        |
| 131072 |  128  |  [131072, 128]  |  [131072, 128]  | bf16  |       92.21       |       91.3       |      93.49       |        3.32        |
|   1    | 1024  |    [1, 1024]    |    [1, 1024]    | bf16  |       91.79       |      91.05       |      92.33       |        4.64        |
|   2    | 1024  |    [2, 1024]    |    [2, 1024]    | bf16  |       91.97       |      91.44       |      92.85       |        7.27        |
|   8    | 1024  |    [8, 1024]    |    [8, 1024]    | bf16  |       91.76       |      91.32       |      92.16       |       12.54        |
|  128   | 1024  |   [128, 1024]   |   [128, 1024]   | bf16  |       91.59       |      90.56       |      92.33       |        4.63        |
|  1024  | 1024  |  [1024, 1024]   |  [1024, 1024]   | bf16  |       92.39       |      91.26       |      93.46       |        7.27        |
|  4096  | 1024  |  [4096, 1024]   |  [4096, 1024]   | bf16  |       92.34       |      91.67       |      92.74       |       12.53        |
| 16384  | 1024  |  [16384, 1024]  |  [16384, 1024]  | bf16  |       91.74       |      90.73       |      92.51       |       23.07        |
| 131072 | 1024  | [131072, 1024]  | [131072, 1024]  | bf16  |       94.47       |       94.1       |      94.88       |        7.27        |
|   1    | 8192  |    [1, 8192]    |    [1, 8192]    | bf16  |       92.03       |      91.28       |      92.46       |       12.53        |
|   2    | 8192  |    [2, 8192]    |    [2, 8192]    | bf16  |       91.66       |      91.15       |      92.11       |       23.06        |
|   8    | 8192  |    [8, 8192]    |    [8, 8192]    | bf16  |       91.92       |      91.33       |      92.64       |       44.12        |
|  128   | 8192  |   [128, 8192]   |   [128, 8192]   | bf16  |       92.32       |      91.86       |      92.85       |       12.53        |
|  1024  | 8192  |  [1024, 8192]   |  [1024, 8192]   | bf16  |       92.17       |      91.42       |      92.79       |       23.06        |
|  4096  | 8192  |  [4096, 8192]   |  [4096, 8192]   | bf16  |       91.86       |      91.06       |      92.84       |       44.11        |
| 16384  | 8192  |  [16384, 8192]  |  [16384, 8192]  | bf16  |       94.29       |      93.73       |      95.08       |       86.23        |
| 131072 | 8192  | [131072, 8192]  | [131072, 8192]  | bf16  |      682.03       |      679.12      |      682.65      |       23.06        |
|   1    | 16384 |   [1, 16384]    |   [1, 16384]    | bf16  |       92.53       |      91.53       |      93.42       |       44.11        |
|   2    | 16384 |   [2, 16384]    |   [2, 16384]    | bf16  |       92.85       |      91.81       |      93.51       |       86.22        |
|   8    | 16384 |   [8, 16384]    |   [8, 16384]    | bf16  |       92.88       |      92.32       |      93.27       |       170.44       |
|  128   | 16384 |  [128, 16384]   |  [128, 16384]   | bf16  |       92.69       |      91.81       |      93.67       |        4.63        |
|  1024  | 16384 |  [1024, 16384]  |  [1024, 16384]  | bf16  |       92.52       |      90.97       |      93.27       |        7.27        |
|  4096  | 16384 |  [4096, 16384]  |  [4096, 16384]  | bf16  |       92.76       |       92.1       |      93.41       |       12.53        |
