Test Case: B200_aten-cos
|   M   |   N   |    _tensor     | dtype | duration_mean(us) | duration_min(us) | duration_max(us) | theory_latency(us) |
|   1   |  32   |    [1, 32]     | bf16  |       90.82       |      90.32       |      91.16       |         2          |
|   2   |  32   |    [2, 32]     | bf16  |       90.97       |      90.34       |      91.33       |         2          |
|   8   |  32   |    [8, 32]     | bf16  |       91.13       |      90.82       |      91.38       |         2          |
|  128  |  32   |   [128, 32]    | bf16  |       90.86       |      90.26       |      91.38       |         2          |
| 1024  |  32   |   [1024, 32]   | bf16  |       91.12       |      90.87       |      91.41       |         2          |
| 4096  |  32   |   [4096, 32]   | bf16  |       91.13       |      90.79       |      91.47       |         2          |
| 16384 |  32   |  [16384, 32]   | bf16  |       91.28       |      90.31       |      94.69       |         2          |
|   1   |  128  |    [1, 128]    | bf16  |       90.88       |      90.03       |       91.3       |         2          |
|   2   |  128  |    [2, 128]    | bf16  |       91.11       |      90.77       |      91.66       |         2          |
|   8   |  128  |    [8, 128]    | bf16  |       90.26       |      89.27       |      90.95       |         2          |
|  128  |  128  |   [128, 128]   | bf16  |       90.89       |      89.64       |      91.44       |         2          |
| 1024  |  128  |  [1024, 128]   | bf16  |       91.26       |      90.57       |      92.48       |         2          |
| 4096  |  128  |  [4096, 128]   | bf16  |       92.33       |      90.61       |      96.17       |         2          |
| 16384 |  128  |  [16384, 128]  | bf16  |       91.2        |      90.53       |      91.98       |         2          |
|   1   | 1024  |   [1, 1024]    | bf16  |       90.92       |      89.42       |      91.89       |         2          |
|   2   | 1024  |   [2, 1024]    | bf16  |       90.81       |      89.57       |       91.6       |         2          |
|   8   | 1024  |   [8, 1024]    | bf16  |       90.96       |      89.46       |       91.7       |         2          |
|  128  | 1024  |  [128, 1024]   | bf16  |       91.24       |      89.98       |      92.01       |         2          |
| 1024  | 1024  |  [1024, 1024]  | bf16  |       91.3        |      90.18       |      92.89       |         2          |
| 4096  | 1024  |  [4096, 1024]  | bf16  |       91.18       |      90.27       |      91.93       |         2          |
| 16384 | 1024  | [16384, 1024]  | bf16  |       91.02       |      90.22       |      91.91       |         2          |
|   1   | 8192  |   [1, 8192]    | bf16  |       91.1        |      90.66       |      91.55       |         2          |
|   2   | 8192  |   [2, 8192]    | bf16  |       91.41       |       90.4       |       92.0       |         2          |
|   8   | 8192  |   [8, 8192]    | bf16  |       91.29       |      90.58       |      91.77       |         2          |
|  128  | 8192  |  [128, 8192]   | bf16  |       91.16       |      90.19       |      91.84       |         2          |
| 1024  | 8192  |  [1024, 8192]  | bf16  |       91.76       |      91.28       |      92.22       |         2          |
| 4096  | 8192  |  [4096, 8192]  | bf16  |       92.2        |      90.88       |      94.26       |         2          |
| 16384 | 8192  | [16384, 8192]  | bf16  |      155.85       |      154.87      |      159.83      |         2          |
|   1   | 16384 |   [1, 16384]   | bf16  |       90.94       |       89.6       |      91.57       |         2          |
|   2   | 16384 |   [2, 16384]   | bf16  |       91.63       |      91.07       |       92.8       |         2          |
|   8   | 16384 |   [8, 16384]   | bf16  |       91.16       |      90.49       |      93.28       |         2          |
|  128  | 16384 |  [128, 16384]  | bf16  |       91.3        |      90.73       |      92.05       |         2          |
| 1024  | 16384 | [1024, 16384]  | bf16  |       91.42       |       90.6       |      92.23       |         2          |
| 4096  | 16384 | [4096, 16384]  | bf16  |       93.11       |      91.17       |      95.75       |         2          |
| 16384 | 16384 | [16384, 16384] | bf16  |      301.92       |      301.32      |      302.4       |         2          |
