Test Case: B200_aten-cumsum
| B |   M   |  _tensor   | dim | dtype | duration_mean(us) | duration_min(us) | duration_max(us) | theory_latency(us) |
| 1 |   1   |   [1, 1]   | -1  | bf16  |       97.63       |      96.78       |      98.34       |         2          |
| 1 |   2   |   [1, 2]   | -1  | bf16  |       97.72       |       97.1       |      98.39       |         2          |
| 1 |   4   |   [1, 4]   | -1  | bf16  |       97.1        |      96.44       |      97.77       |         2          |
| 1 |   8   |   [1, 8]   | -1  | bf16  |       97.2        |      96.88       |      97.42       |         2          |
| 1 |  16   |  [1, 16]   | -1  | bf16  |       97.27       |      96.77       |      97.83       |         2          |
| 1 |  32   |  [1, 32]   | -1  | bf16  |       97.73       |      96.23       |      100.4       |         2          |
| 1 |  64   |  [1, 64]   | -1  | bf16  |       97.29       |      96.47       |      98.97       |         2          |
| 1 |  128  |  [1, 128]  | -1  | bf16  |       96.82       |      96.36       |      97.69       |         2          |
| 1 |  256  |  [1, 256]  | -1  | bf16  |       97.34       |      97.06       |      97.55       |         2          |
| 1 |  512  |  [1, 512]  | -1  | bf16  |       97.23       |      96.67       |      98.12       |         2          |
| 1 | 1024  | [1, 1024]  | -1  | bf16  |       96.68       |       95.4       |      97.72       |         2          |
| 1 | 2048  | [1, 2048]  | -1  | bf16  |       96.86       |      95.84       |      97.39       |         2          |
| 1 | 4096  | [1, 4096]  | -1  | bf16  |       97.08       |       96.4       |      97.85       |         2          |
| 1 | 8192  | [1, 8192]  | -1  | bf16  |       97.43       |       96.4       |      98.62       |         2          |
| 1 | 16384 | [1, 16384] | -1  | bf16  |       97.25       |      96.81       |      97.62       |         2          |
| 1 | 32768 | [1, 32768] | -1  | bf16  |       97.82       |      96.87       |      98.49       |         2          |
| 1 |   1   |   [1, 1]   | -1  | fp16  |       97.4        |      96.09       |      98.03       |         2          |
| 1 |   2   |   [1, 2]   | -1  | fp16  |       97.15       |      96.44       |      97.94       |         2          |
| 1 |   4   |   [1, 4]   | -1  | fp16  |       97.27       |      96.92       |       97.7       |         2          |
| 1 |   8   |   [1, 8]   | -1  | fp16  |       96.85       |      96.24       |      97.44       |         2          |
| 1 |  16   |  [1, 16]   | -1  | fp16  |       97.25       |      97.07       |      97.53       |         2          |
| 1 |  32   |  [1, 32]   | -1  | fp16  |       96.99       |      96.29       |      98.46       |         2          |
| 1 |  64   |  [1, 64]   | -1  | fp16  |       97.01       |      96.61       |      97.31       |         2          |
| 1 |  128  |  [1, 128]  | -1  | fp16  |       97.04       |      96.78       |      97.47       |         2          |
| 1 |  256  |  [1, 256]  | -1  | fp16  |       97.07       |      95.78       |       97.8       |         2          |
| 1 |  512  |  [1, 512]  | -1  | fp16  |       97.3        |      96.76       |      97.95       |         2          |
| 1 | 1024  | [1, 1024]  | -1  | fp16  |       96.65       |      96.22       |      97.08       |         2          |
| 1 | 2048  | [1, 2048]  | -1  | fp16  |       96.91       |      96.32       |      97.79       |         2          |
| 1 | 4096  | [1, 4096]  | -1  | fp16  |       96.52       |      95.91       |      97.05       |         2          |
| 1 | 8192  | [1, 8192]  | -1  | fp16  |       96.77       |      96.44       |      97.06       |         2          |
| 1 | 16384 | [1, 16384] | -1  | fp16  |       96.87       |      96.36       |      97.77       |         2          |
| 1 | 32768 | [1, 32768] | -1  | fp16  |       96.88       |      96.06       |       98.5       |         2          |
