Test Case: B200_aten-div
|   M   |   N   |    _tensor     |   _tensor_1    | dtype | duration_mean(us) | duration_min(us) | duration_max(us) | theory_latency(us) |
|   1   |  32   |    [1, 32]     |    [1, 32]     | bf16  |       91.93       |      91.17       |      92.38       |        2.0         |
|   2   |  32   |    [2, 32]     |    [2, 32]     | bf16  |       91.39       |      90.82       |      91.92       |        2.0         |
|   8   |  32   |    [8, 32]     |    [8, 32]     | bf16  |       91.79       |      91.05       |      93.08       |        2.0         |
|  128  |  32   |   [128, 32]    |   [128, 32]    | bf16  |       91.53       |      90.79       |      92.51       |        2.0         |
| 1024  |  32   |   [1024, 32]   |   [1024, 32]   | bf16  |       91.42       |      90.12       |       92.2       |        2.03        |
| 4096  |  32   |   [4096, 32]   |   [4096, 32]   | bf16  |       91.42       |      90.65       |      93.01       |        2.12        |
| 16384 |  32   |  [16384, 32]   |  [16384, 32]   | bf16  |       91.59       |      90.42       |      94.27       |        2.49        |
|   1   |  128  |    [1, 128]    |    [1, 128]    | bf16  |       91.47       |      91.03       |      91.85       |        2.0         |
|   2   |  128  |    [2, 128]    |    [2, 128]    | bf16  |       91.47       |      90.69       |      91.99       |        2.0         |
|   8   |  128  |    [8, 128]    |    [8, 128]    | bf16  |       91.3        |      90.58       |      92.37       |        2.0         |
|  128  |  128  |   [128, 128]   |   [128, 128]   | bf16  |       91.43       |      90.83       |      91.76       |        2.02        |
| 1024  |  128  |  [1024, 128]   |  [1024, 128]   | bf16  |       91.98       |      91.46       |      92.88       |        2.12        |
| 4096  |  128  |  [4096, 128]   |  [4096, 128]   | bf16  |       91.53       |      90.48       |      92.63       |        2.49        |
| 16384 |  128  |  [16384, 128]  |  [16384, 128]  | bf16  |       91.94       |      90.64       |      94.35       |        3.97        |
|   1   | 1024  |   [1, 1024]    |   [1, 1024]    | bf16  |       90.96       |      90.23       |       91.5       |        2.0         |
|   2   | 1024  |   [2, 1024]    |   [2, 1024]    | bf16  |       91.54       |      91.06       |      92.16       |        2.0         |
|   8   | 1024  |   [8, 1024]    |   [8, 1024]    | bf16  |       90.74       |      90.02       |      91.79       |        2.01        |
|  128  | 1024  |  [128, 1024]   |  [128, 1024]   | bf16  |       91.8        |      91.03       |      93.01       |        2.12        |
| 1024  | 1024  |  [1024, 1024]  |  [1024, 1024]  | bf16  |       91.52       |      90.79       |      92.13       |        2.98        |
| 4096  | 1024  |  [4096, 1024]  |  [4096, 1024]  | bf16  |       91.99       |      91.54       |      92.38       |        5.93        |
| 16384 | 1024  | [16384, 1024]  | [16384, 1024]  | bf16  |       91.76       |      90.57       |      93.95       |       17.73        |
|   1   | 8192  |   [1, 8192]    |   [1, 8192]    | bf16  |       91.75       |      91.13       |      92.24       |        2.01        |
|   2   | 8192  |   [2, 8192]    |   [2, 8192]    | bf16  |       92.1        |       91.3       |      93.29       |        2.02        |
|   8   | 8192  |   [8, 8192]    |   [8, 8192]    | bf16  |       91.99       |      91.61       |      92.27       |        2.06        |
|  128  | 8192  |  [128, 8192]   |  [128, 8192]   | bf16  |       91.94       |      91.15       |      92.53       |        2.98        |
| 1024  | 8192  |  [1024, 8192]  |  [1024, 8192]  | bf16  |       92.67       |      91.15       |      93.98       |        9.86        |
| 4096  | 8192  |  [4096, 8192]  |  [4096, 8192]  | bf16  |       92.82       |      90.09       |      99.03       |       33.46        |
| 16384 | 8192  | [16384, 8192]  | [16384, 8192]  | bf16  |      155.88       |      155.63      |      156.02      |       127.83       |
|   1   | 16384 |   [1, 16384]   |   [1, 16384]   | bf16  |       90.84       |      89.96       |       91.5       |        2.02        |
|   2   | 16384 |   [2, 16384]   |   [2, 16384]   | bf16  |       91.51       |      91.16       |      91.96       |        2.03        |
|   8   | 16384 |   [8, 16384]   |   [8, 16384]   | bf16  |       91.79       |      91.03       |      92.42       |        2.12        |
|  128  | 16384 |  [128, 16384]  |  [128, 16384]  | bf16  |       92.07       |      91.43       |      92.83       |        3.97        |
| 1024  | 16384 | [1024, 16384]  | [1024, 16384]  | bf16  |       91.79       |      90.57       |       96.0       |       17.73        |
| 4096  | 16384 | [4096, 16384]  | [4096, 16384]  | bf16  |       93.5        |      93.13       |      94.04       |       64.91        |
| 16384 | 16384 | [16384, 16384] | [16384, 16384] | bf16  |      305.14       |      304.28      |      308.91      |       253.66       |
|   1   |  32   |    [1, 32]     |    [1, 32]     | fp16  |       91.5        |      91.11       |      91.94       |        2.0         |
|   2   |  32   |    [2, 32]     |    [2, 32]     | fp16  |       91.7        |      90.52       |      92.33       |        2.0         |
|   8   |  32   |    [8, 32]     |    [8, 32]     | fp16  |       91.59       |      91.27       |      92.02       |        2.0         |
|  128  |  32   |   [128, 32]    |   [128, 32]    | fp16  |       91.83       |      91.37       |      92.48       |        2.0         |
| 1024  |  32   |   [1024, 32]   |   [1024, 32]   | fp16  |       91.55       |      90.76       |      92.04       |        2.03        |
| 4096  |  32   |   [4096, 32]   |   [4096, 32]   | fp16  |       92.6        |      91.71       |      93.75       |        2.12        |
| 16384 |  32   |  [16384, 32]   |  [16384, 32]   | fp16  |       92.47       |      91.55       |      94.97       |        2.49        |
|   1   |  128  |    [1, 128]    |    [1, 128]    | fp16  |       91.93       |      91.42       |      92.37       |        2.0         |
|   2   |  128  |    [2, 128]    |    [2, 128]    | fp16  |       91.92       |      90.84       |      92.76       |        2.0         |
|   8   |  128  |    [8, 128]    |    [8, 128]    | fp16  |       91.37       |      91.03       |      91.78       |        2.0         |
|  128  |  128  |   [128, 128]   |   [128, 128]   | fp16  |       91.91       |      91.12       |      92.57       |        2.02        |
| 1024  |  128  |  [1024, 128]   |  [1024, 128]   | fp16  |       91.95       |      91.06       |      92.81       |        2.12        |
| 4096  |  128  |  [4096, 128]   |  [4096, 128]   | fp16  |       92.37       |      90.91       |      93.72       |        2.49        |
| 16384 |  128  |  [16384, 128]  |  [16384, 128]  | fp16  |       92.04       |      91.49       |      92.48       |        3.97        |
|   1   | 1024  |   [1, 1024]    |   [1, 1024]    | fp16  |       92.35       |      91.47       |      93.11       |        2.0         |
|   2   | 1024  |   [2, 1024]    |   [2, 1024]    | fp16  |       91.23       |      90.27       |       91.9       |        2.0         |
|   8   | 1024  |   [8, 1024]    |   [8, 1024]    | fp16  |       92.1        |      91.26       |      93.11       |        2.01        |
|  128  | 1024  |  [128, 1024]   |  [128, 1024]   | fp16  |       91.59       |      90.49       |      93.92       |        2.12        |
| 1024  | 1024  |  [1024, 1024]  |  [1024, 1024]  | fp16  |       90.94       |      90.14       |       92.4       |        2.98        |
| 4096  | 1024  |  [4096, 1024]  |  [4096, 1024]  | fp16  |       92.01       |      91.43       |      92.49       |        5.93        |
| 16384 | 1024  | [16384, 1024]  | [16384, 1024]  | fp16  |       91.36       |      90.28       |      91.92       |       17.73        |
|   1   | 8192  |   [1, 8192]    |   [1, 8192]    | fp16  |       91.69       |      90.81       |       92.3       |        2.01        |
|   2   | 8192  |   [2, 8192]    |   [2, 8192]    | fp16  |       91.22       |      90.28       |      91.71       |        2.02        |
|   8   | 8192  |   [8, 8192]    |   [8, 8192]    | fp16  |       91.21       |      90.36       |      91.99       |        2.06        |
|  128  | 8192  |  [128, 8192]   |  [128, 8192]   | fp16  |       91.46       |      91.05       |      91.76       |        2.98        |
| 1024  | 8192  |  [1024, 8192]  |  [1024, 8192]  | fp16  |       93.57       |      92.23       |      96.87       |        9.86        |
| 4096  | 8192  |  [4096, 8192]  |  [4096, 8192]  | fp16  |       92.09       |      91.45       |      93.33       |       33.46        |
| 16384 | 8192  | [16384, 8192]  | [16384, 8192]  | fp16  |      137.52       |      137.25      |      137.78      |       127.83       |
|   1   | 16384 |   [1, 16384]   |   [1, 16384]   | fp16  |       91.62       |       90.6       |      92.67       |        2.02        |
|   2   | 16384 |   [2, 16384]   |   [2, 16384]   | fp16  |       91.79       |      90.56       |      92.62       |        2.03        |
|   8   | 16384 |   [8, 16384]   |   [8, 16384]   | fp16  |       91.86       |      91.35       |      92.37       |        2.12        |
|  128  | 16384 |  [128, 16384]  |  [128, 16384]  | fp16  |       92.01       |      91.72       |      92.32       |        3.97        |
| 1024  | 16384 | [1024, 16384]  | [1024, 16384]  | fp16  |       92.25       |      91.59       |      93.88       |       17.73        |
| 4096  | 16384 | [4096, 16384]  | [4096, 16384]  | fp16  |       92.39       |      91.57       |      93.91       |       64.91        |
| 16384 | 16384 | [16384, 16384] | [16384, 16384] | fp16  |      269.65       |      269.13      |      270.24      |       253.66       |
