Test Case: B200_aten-exponential_
|   M   |   N   |  self__tensor  | lambd | dtype | duration_mean(us) | duration_min(us) | duration_max(us) |
|   1   |  32   |    [1, 32]     |   1   | bf16  |       92.69       |      92.17       |       93.2       |
|   2   |  32   |    [2, 32]     |   1   | bf16  |       92.81       |      91.78       |      93.39       |
|   8   |  32   |    [8, 32]     |   1   | bf16  |       92.27       |      91.73       |       92.8       |
|  128  |  32   |   [128, 32]    |   1   | bf16  |       93.0        |      92.32       |      93.39       |
| 1024  |  32   |   [1024, 32]   |   1   | bf16  |       92.78       |      92.25       |       93.5       |
| 4096  |  32   |   [4096, 32]   |   1   | bf16  |       92.59       |      92.12       |       93.1       |
| 16384 |  32   |  [16384, 32]   |   1   | bf16  |       92.7        |      91.11       |      93.24       |
|   1   |  128  |    [1, 128]    |   1   | bf16  |       92.73       |      92.32       |      93.29       |
|   2   |  128  |    [2, 128]    |   1   | bf16  |       92.97       |      92.11       |       93.5       |
|   8   |  128  |    [8, 128]    |   1   | bf16  |       92.79       |      91.79       |      93.64       |
|  128  |  128  |   [128, 128]   |   1   | bf16  |       92.75       |      92.27       |      93.06       |
| 1024  |  128  |  [1024, 128]   |   1   | bf16  |       92.52       |      92.28       |      92.94       |
| 4096  |  128  |  [4096, 128]   |   1   | bf16  |       92.93       |      92.13       |      93.91       |
| 16384 |  128  |  [16384, 128]  |   1   | bf16  |       92.81       |      92.64       |      93.23       |
|   1   | 1024  |   [1, 1024]    |   1   | bf16  |       92.58       |      91.86       |      93.09       |
|   2   | 1024  |   [2, 1024]    |   1   | bf16  |       92.53       |      92.21       |       93.0       |
|   8   | 1024  |   [8, 1024]    |   1   | bf16  |       92.65       |      92.33       |      93.53       |
|  128  | 1024  |  [128, 1024]   |   1   | bf16  |       92.16       |       91.7       |      92.57       |
| 1024  | 1024  |  [1024, 1024]  |   1   | bf16  |       92.69       |      92.08       |       93.6       |
| 4096  | 1024  |  [4096, 1024]  |   1   | bf16  |       92.86       |      92.34       |      93.44       |
| 16384 | 1024  | [16384, 1024]  |   1   | bf16  |       93.52       |      93.07       |      93.85       |
|   1   | 8192  |   [1, 8192]    |   1   | bf16  |       92.94       |      92.42       |      93.28       |
|   2   | 8192  |   [2, 8192]    |   1   | bf16  |       92.92       |      92.08       |      93.33       |
|   8   | 8192  |   [8, 8192]    |   1   | bf16  |       92.95       |      92.56       |      93.43       |
|  128  | 8192  |  [128, 8192]   |   1   | bf16  |       92.32       |      91.63       |      92.89       |
| 1024  | 8192  |  [1024, 8192]  |   1   | bf16  |       92.87       |      91.85       |      93.39       |
| 4096  | 8192  |  [4096, 8192]  |   1   | bf16  |       93.34       |      92.74       |       94.1       |
| 16384 | 8192  | [16384, 8192]  |   1   | bf16  |      216.51       |      216.41      |      216.67      |
|   1   | 16384 |   [1, 16384]   |   1   | bf16  |       93.24       |      92.55       |      94.02       |
|   2   | 16384 |   [2, 16384]   |   1   | bf16  |       92.99       |      91.62       |      94.57       |
|   8   | 16384 |   [8, 16384]   |   1   | bf16  |       92.94       |      91.83       |      93.73       |
|  128  | 16384 |  [128, 16384]  |   1   | bf16  |       92.98       |      92.07       |      93.58       |
| 1024  | 16384 | [1024, 16384]  |   1   | bf16  |       93.29       |      92.47       |      93.64       |
| 4096  | 16384 | [4096, 16384]  |   1   | bf16  |      113.76       |      113.32      |      114.01      |
| 16384 | 16384 | [16384, 16384] |   1   | bf16  |      424.16       |      423.44      |      425.38      |
|   1   |  32   |    [1, 32]     |   1   | fp16  |       92.96       |       92.4       |      93.36       |
