Test Case: B200_aten-fill_
|   M    |   N   |     _tensor     | _val | dtype | duration_mean(us) | duration_min(us) | duration_max(us) | theory_latency(us) |
|   1    |  32   |     [1, 32]     |  1   | bf16  |       91.4        |      90.66       |      92.27       |        3.31        |
|   2    |  32   |     [2, 32]     |  1   | bf16  |       91.15       |      90.35       |      92.09       |        4.63        |
|   8    |  32   |     [8, 32]     |  1   | bf16  |       91.34       |      90.28       |      91.84       |        7.25        |
|  128   |  32   |    [128, 32]    |  1   | bf16  |       91.46       |      90.84       |      91.96       |        3.31        |
|  1024  |  32   |   [1024, 32]    |  1   | bf16  |       91.48       |      90.65       |      92.17       |        4.62        |
|  4096  |  32   |   [4096, 32]    |  1   | bf16  |       91.19       |      90.01       |       91.9       |        7.25        |
| 16384  |  32   |   [16384, 32]   |  1   | bf16  |       91.54       |      91.14       |      92.13       |       12.49        |
| 131072 |  32   |  [131072, 32]   |  1   | bf16  |       91.45       |      90.69       |      92.27       |        4.62        |
|   1    |  128  |    [1, 128]     |  1   | bf16  |       91.09       |      90.64       |      91.39       |        7.24        |
|   2    |  128  |    [2, 128]     |  1   | bf16  |       91.02       |      89.99       |      92.08       |       12.49        |
|   8    |  128  |    [8, 128]     |  1   | bf16  |       91.63       |      90.71       |      92.48       |       22.98        |
|  128   |  128  |   [128, 128]    |  1   | bf16  |       91.62       |      91.02       |      92.05       |        7.24        |
|  1024  |  128  |   [1024, 128]   |  1   | bf16  |       91.27       |      90.37       |      91.81       |       12.49        |
|  4096  |  128  |   [4096, 128]   |  1   | bf16  |       91.08       |      90.55       |      91.76       |       22.98        |
| 16384  |  128  |  [16384, 128]   |  1   | bf16  |       91.01       |      90.33       |      91.31       |       43.95        |
| 131072 |  128  |  [131072, 128]  |  1   | bf16  |       91.22       |      89.99       |      92.09       |       12.49        |
|   1    | 1024  |    [1, 1024]    |  1   | bf16  |       91.26       |      90.47       |      91.88       |       22.97        |
|   2    | 1024  |    [2, 1024]    |  1   | bf16  |       91.09       |      90.32       |      91.88       |       43.95        |
|   8    | 1024  |    [8, 1024]    |  1   | bf16  |       91.32       |      90.65       |       91.8       |       85.89        |
|  128   | 1024  |   [128, 1024]   |  1   | bf16  |       91.4        |      90.62       |      92.39       |        3.31        |
|  1024  | 1024  |  [1024, 1024]   |  1   | bf16  |       91.27       |      90.44       |      92.03       |        4.62        |
|  4096  | 1024  |  [4096, 1024]   |  1   | bf16  |       90.89       |      89.89       |      91.46       |        7.25        |
| 16384  | 1024  |  [16384, 1024]  |  1   | bf16  |       91.42       |      90.87       |      91.87       |       12.49        |
| 131072 | 1024  | [131072, 1024]  |  1   | bf16  |       92.4        |      92.07       |       93.4       |        4.62        |
|   1    | 8192  |    [1, 8192]    |  1   | bf16  |       91.33       |      90.16       |      92.02       |        7.24        |
|   2    | 8192  |    [2, 8192]    |  1   | bf16  |       91.64       |       91.1       |      92.37       |       12.49        |
|   8    | 8192  |    [8, 8192]    |  1   | bf16  |       91.45       |      90.61       |      92.08       |       22.98        |
|  128   | 8192  |   [128, 8192]   |  1   | bf16  |       91.76       |      90.12       |      92.57       |        7.24        |
|  1024  | 8192  |  [1024, 8192]   |  1   | bf16  |       91.24       |      90.82       |      91.71       |       12.49        |
|  4096  | 8192  |  [4096, 8192]   |  1   | bf16  |       91.33       |      90.32       |      92.24       |       22.98        |
| 16384  | 8192  |  [16384, 8192]  |  1   | bf16  |       92.74       |      92.45       |      92.99       |       43.95        |
| 131072 | 8192  | [131072, 8192]  |  1   | bf16  |      580.31       |      577.58      |      580.84      |       12.49        |
|   1    | 16384 |   [1, 16384]    |  1   | bf16  |       91.2        |      90.15       |      92.02       |       22.97        |
|   2    | 16384 |   [2, 16384]    |  1   | bf16  |       90.7        |      90.09       |      91.31       |       43.95        |
|   8    | 16384 |   [8, 16384]    |  1   | bf16  |       90.86       |      90.56       |      91.36       |       85.89        |
|  128   | 16384 |  [128, 16384]   |  1   | bf16  |       91.07       |      89.85       |      91.74       |       22.97        |
|  1024  | 16384 |  [1024, 16384]  |  1   | bf16  |       90.84       |      90.36       |      91.97       |       43.94        |
|  4096  | 16384 |  [4096, 16384]  |  1   | bf16  |       91.45       |      90.54       |      92.28       |       85.89        |
| 16384  | 16384 | [16384, 16384]  |  1   | bf16  |      150.83       |      150.76      |      150.96      |       169.78       |
| 131072 | 16384 | [131072, 16384] |  1   | bf16  |      1155.9       |     1150.63      |     1157.96      |       43.94        |
|   1    |  32   |     [1, 32]     |  1   | fp16  |       91.48       |      91.23       |       92.3       |       85.89        |
|   2    |  32   |     [2, 32]     |  1   | fp16  |       91.6        |      90.63       |      92.33       |       169.78       |
|   8    |  32   |     [8, 32]     |  1   | fp16  |       91.95       |      90.94       |      93.39       |       337.55       |
|  128   |  32   |    [128, 32]    |  1   | fp16  |       91.35       |      90.62       |      92.18       |        2.49        |
|  1024  |  32   |   [1024, 32]    |  1   | fp16  |       92.03       |      91.75       |      92.45       |        2.99        |
|  4096  |  32   |   [4096, 32]    |  1   | fp16  |       92.38       |      91.72       |      93.21       |        3.97        |
| 16384  |  32   |   [16384, 32]   |  1   | fp16  |       92.15       |      91.14       |      92.88       |        5.94        |
| 131072 |  32   |  [131072, 32]   |  1   | fp16  |       91.65       |      90.37       |      92.62       |        2.98        |
|   1    |  128  |    [1, 128]     |  1   | fp16  |       92.1        |      91.24       |      92.88       |        3.97        |
|   2    |  128  |    [2, 128]     |  1   | fp16  |       91.83       |      91.08       |      92.21       |        5.94        |
|   8    |  128  |    [8, 128]     |  1   | fp16  |       92.05       |      90.68       |      92.86       |        9.88        |
|  128   |  128  |   [128, 128]    |  1   | fp16  |       91.93       |      91.43       |      92.25       |        3.97        |
|  1024  |  128  |   [1024, 128]   |  1   | fp16  |       92.6        |      91.94       |      93.29       |        5.94        |
|  4096  |  128  |   [4096, 128]   |  1   | fp16  |       93.08       |      92.34       |      93.63       |        9.87        |
| 16384  |  128  |  [16384, 128]   |  1   | fp16  |       92.82       |      91.91       |       93.4       |       17.74        |
| 131072 |  128  |  [131072, 128]  |  1   | fp16  |       93.13       |      91.76       |      93.62       |        5.93        |
|   1    | 1024  |    [1, 1024]    |  1   | fp16  |       92.64       |      91.84       |      93.21       |        9.87        |
|   2    | 1024  |    [2, 1024]    |  1   | fp16  |       92.94       |      92.01       |      93.48       |       17.73        |
|   8    | 1024  |    [8, 1024]    |  1   | fp16  |       92.48       |      91.74       |      92.96       |       33.47        |
|  128   | 1024  |   [128, 1024]   |  1   | fp16  |       92.37       |      91.72       |      93.15       |        9.87        |
|  1024  | 1024  |  [1024, 1024]   |  1   | fp16  |       91.86       |      90.76       |      93.07       |       17.73        |
|  4096  | 1024  |  [4096, 1024]   |  1   | fp16  |       92.04       |      91.17       |      93.49       |       33.46        |
| 16384  | 1024  |  [16384, 1024]  |  1   | fp16  |       91.85       |      90.97       |      92.76       |       64.93        |
| 131072 | 1024  | [131072, 1024]  |  1   | fp16  |       92.58       |      91.15       |      93.42       |       17.73        |
|   1    | 8192  |    [1, 8192]    |  1   | fp16  |       91.66       |      90.96       |      92.14       |       33.46        |
|   2    | 8192  |    [2, 8192]    |  1   | fp16  |       91.75       |      90.72       |      92.36       |       64.92        |
|   8    | 8192  |    [8, 8192]    |  1   | fp16  |       91.74       |      90.71       |      92.34       |       127.84       |
|  128   | 8192  |   [128, 8192]   |  1   | fp16  |       91.43       |      90.71       |      91.83       |        3.97        |
|  1024  | 8192  |  [1024, 8192]   |  1   | fp16  |       91.33       |      90.69       |      91.91       |        5.94        |
|  4096  | 8192  |  [4096, 8192]   |  1   | fp16  |       91.9        |      91.03       |      92.37       |        9.87        |
| 16384  | 8192  |  [16384, 8192]  |  1   | fp16  |       92.96       |      92.36       |      93.36       |       17.74        |
| 131072 | 8192  | [131072, 8192]  |  1   | fp16  |       578.2       |      575.39      |      578.76      |        5.93        |
|   1    | 16384 |   [1, 16384]    |  1   | fp16  |       91.87       |      91.41       |      92.21       |        9.87        |
|   2    | 16384 |   [2, 16384]    |  1   | fp16  |       91.47       |      90.43       |      92.23       |       17.73        |
|   8    | 16384 |   [8, 16384]    |  1   | fp16  |       91.49       |      90.84       |      92.12       |       33.47        |
|  128   | 16384 |  [128, 16384]   |  1   | fp16  |       91.73       |      91.33       |      92.21       |        9.87        |
|  1024  | 16384 |  [1024, 16384]  |  1   | fp16  |       91.7        |      91.07       |      92.11       |       17.73        |
|  4096  | 16384 |  [4096, 16384]  |  1   | fp16  |       91.91       |       91.5       |      92.43       |       33.46        |
| 16384  | 16384 | [16384, 16384]  |  1   | fp16  |      149.37       |      149.18      |      149.54      |       64.93        |
| 131072 | 16384 | [131072, 16384] |  1   | fp16  |      1154.38      |     1150.52      |     1157.96      |       17.73        |
