Test Case: B200_aten-gelu
|   M   |   N   |    _tensor     | dtype | duration_mean(us) | duration_min(us) | duration_max(us) | theory_latency(us) |
|   1   |  32   |    [1, 32]     | bf16  |       91.72       |      91.33       |      91.88       |        2.0         |
|   2   |  32   |    [2, 32]     | bf16  |       90.35       |      90.04       |      90.68       |        2.0         |
|   8   |  32   |    [8, 32]     | bf16  |       90.9        |      89.81       |      91.96       |        2.0         |
|  128  |  32   |   [128, 32]    | bf16  |       90.73       |      89.76       |      91.64       |        2.0         |
| 1024  |  32   |   [1024, 32]   | bf16  |       91.36       |      90.48       |      92.06       |        2.02        |
| 4096  |  32   |   [4096, 32]   | bf16  |       90.56       |      89.88       |      91.07       |        2.08        |
| 16384 |  32   |  [16384, 32]   | bf16  |       91.23       |      90.57       |      91.76       |        2.33        |
|   1   |  128  |    [1, 128]    | bf16  |       91.15       |      90.16       |       92.0       |        2.0         |
|   2   |  128  |    [2, 128]    | bf16  |       90.82       |      89.52       |      92.41       |        2.0         |
|   8   |  128  |    [8, 128]    | bf16  |       91.34       |      90.11       |      93.93       |        2.0         |
|  128  |  128  |   [128, 128]   | bf16  |       90.82       |      90.31       |      91.74       |        2.01        |
| 1024  |  128  |  [1024, 128]   | bf16  |       91.09       |      90.11       |      91.69       |        2.08        |
| 4096  |  128  |  [4096, 128]   | bf16  |       91.2        |      90.36       |      91.92       |        2.33        |
| 16384 |  128  |  [16384, 128]  | bf16  |       91.84       |      91.53       |       92.3       |        3.31        |
|   1   | 1024  |   [1, 1024]    | bf16  |       90.77       |      90.23       |       91.4       |        2.0         |
|   2   | 1024  |   [2, 1024]    | bf16  |       91.3        |      90.83       |      91.61       |        2.0         |
|   8   | 1024  |   [8, 1024]    | bf16  |       91.17       |      90.51       |      91.82       |        2.01        |
|  128  | 1024  |  [128, 1024]   | bf16  |       91.11       |      90.68       |      91.56       |        2.08        |
| 1024  | 1024  |  [1024, 1024]  | bf16  |       91.28       |      90.33       |      92.27       |        2.66        |
| 4096  | 1024  |  [4096, 1024]  | bf16  |       93.26       |      90.46       |      99.32       |        4.62        |
| 16384 | 1024  | [16384, 1024]  | bf16  |       90.82       |      89.96       |       91.6       |       12.49        |
|   1   | 8192  |   [1, 8192]    | bf16  |       91.38       |      90.82       |      91.68       |        2.01        |
|   2   | 8192  |   [2, 8192]    | bf16  |       91.52       |      90.87       |      92.41       |        2.01        |
|   8   | 8192  |   [8, 8192]    | bf16  |       91.64       |      90.52       |      92.49       |        2.04        |
|  128  | 8192  |  [128, 8192]   | bf16  |       91.41       |      90.82       |      91.81       |        2.66        |
| 1024  | 8192  |  [1024, 8192]  | bf16  |       92.39       |      90.48       |      96.65       |        7.24        |
| 4096  | 8192  |  [4096, 8192]  | bf16  |       91.31       |      89.93       |      93.38       |       22.97        |
| 16384 | 8192  | [16384, 8192]  | bf16  |      165.03       |      164.86      |      165.26      |       85.89        |
|   1   | 16384 |   [1, 16384]   | bf16  |       92.03       |      90.94       |      93.87       |        2.01        |
|   2   | 16384 |   [2, 16384]   | bf16  |       91.24       |      90.61       |      91.72       |        2.02        |
|   8   | 16384 |   [8, 16384]   | bf16  |       91.12       |       89.6       |      92.01       |        2.08        |
|  128  | 16384 |  [128, 16384]  | bf16  |       91.43       |       90.6       |      91.91       |        3.31        |
| 1024  | 16384 | [1024, 16384]  | bf16  |       91.19       |      90.86       |      91.42       |       12.49        |
| 4096  | 16384 | [4096, 16384]  | bf16  |       93.16       |      92.61       |      93.54       |       43.94        |
| 16384 | 16384 | [16384, 16384] | bf16  |      321.17       |      321.05      |      321.44      |       169.77       |
|   1   |  32   |    [1, 32]     | fp16  |       91.84       |      91.16       |      92.37       |        2.0         |
|   2   |  32   |    [2, 32]     | fp16  |       91.99       |      91.65       |      92.27       |        2.0         |
|   8   |  32   |    [8, 32]     | fp16  |       91.52       |      91.13       |      92.14       |        2.0         |
|  128  |  32   |   [128, 32]    | fp16  |       91.46       |      90.83       |      92.08       |        2.0         |
| 1024  |  32   |   [1024, 32]   | fp16  |       91.56       |      90.92       |      92.09       |        2.02        |
| 4096  |  32   |   [4096, 32]   | fp16  |       91.73       |      90.43       |      93.73       |        2.08        |
| 16384 |  32   |  [16384, 32]   | fp16  |       91.84       |      91.23       |      92.38       |        2.33        |
|   1   |  128  |    [1, 128]    | fp16  |       91.28       |      90.37       |      92.12       |        2.0         |
|   2   |  128  |    [2, 128]    | fp16  |       91.75       |      90.77       |      92.88       |        2.0         |
|   8   |  128  |    [8, 128]    | fp16  |       91.95       |      90.79       |      92.79       |        2.0         |
|  128  |  128  |   [128, 128]   | fp16  |       91.62       |      91.39       |      92.55       |        2.01        |
| 1024  |  128  |  [1024, 128]   | fp16  |       92.01       |      90.65       |      94.52       |        2.08        |
| 4096  |  128  |  [4096, 128]   | fp16  |       91.71       |      90.84       |      92.22       |        2.33        |
| 16384 |  128  |  [16384, 128]  | fp16  |       91.73       |      91.24       |      92.57       |        3.31        |
|   1   | 1024  |   [1, 1024]    | fp16  |       91.82       |      91.13       |      92.44       |        2.0         |
|   2   | 1024  |   [2, 1024]    | fp16  |       91.75       |      91.12       |      92.15       |        2.0         |
|   8   | 1024  |   [8, 1024]    | fp16  |       91.78       |      91.21       |      92.22       |        2.01        |
|  128  | 1024  |  [128, 1024]   | fp16  |       91.69       |      90.66       |      94.71       |        2.08        |
| 1024  | 1024  |  [1024, 1024]  | fp16  |       91.51       |      90.53       |       92.3       |        2.66        |
| 4096  | 1024  |  [4096, 1024]  | fp16  |       92.8        |      92.18       |      93.54       |        4.62        |
| 16384 | 1024  | [16384, 1024]  | fp16  |       91.92       |      90.05       |      99.08       |       12.49        |
|   1   | 8192  |   [1, 8192]    | fp16  |       91.21       |      90.57       |      91.96       |        2.01        |
|   2   | 8192  |   [2, 8192]    | fp16  |       90.74       |       89.6       |       91.2       |        2.01        |
|   8   | 8192  |   [8, 8192]    | fp16  |       90.59       |      90.07       |      91.57       |        2.04        |
|  128  | 8192  |  [128, 8192]   | fp16  |       90.55       |      89.75       |      91.09       |        2.66        |
| 1024  | 8192  |  [1024, 8192]  | fp16  |       92.04       |      91.18       |      93.07       |        7.24        |
| 4096  | 8192  |  [4096, 8192]  | fp16  |       94.04       |      89.99       |      100.22      |       22.97        |
| 16384 | 8192  | [16384, 8192]  | fp16  |       161.3       |      161.24      |      161.37      |       85.89        |
|   1   | 16384 |   [1, 16384]   | fp16  |       91.32       |      90.36       |      91.93       |        2.01        |
|   2   | 16384 |   [2, 16384]   | fp16  |       91.28       |      89.88       |      92.98       |        2.02        |
|   8   | 16384 |   [8, 16384]   | fp16  |       91.85       |       90.8       |      92.61       |        2.08        |
|  128  | 16384 |  [128, 16384]  | fp16  |       91.41       |      90.66       |      92.33       |        3.31        |
| 1024  | 16384 | [1024, 16384]  | fp16  |       91.51       |      90.67       |      92.07       |       12.49        |
| 4096  | 16384 | [4096, 16384]  | fp16  |       92.6        |       91.6       |      93.51       |       43.94        |
| 16384 | 16384 | [16384, 16384] | fp16  |      314.83       |      314.67      |      315.07      |       169.77       |
