Test Case: B200_aten-log
|   M   |   N   |    _tensor     | dtype | duration_mean(us) | duration_min(us) | duration_max(us) | theory_latency(us) |
|   1   |  32   |    [1, 32]     | bf16  |       90.64       |      89.61       |      91.17       |         2          |
|   2   |  32   |    [2, 32]     | bf16  |       90.65       |      89.91       |      90.99       |         2          |
|   8   |  32   |    [8, 32]     | bf16  |       90.73       |       89.8       |       91.8       |         2          |
|  128  |  32   |   [128, 32]    | bf16  |       91.04       |       90.3       |      91.64       |         2          |
| 1024  |  32   |   [1024, 32]   | bf16  |       91.01       |      89.91       |      91.76       |         2          |
| 4096  |  32   |   [4096, 32]   | bf16  |       90.61       |      89.83       |      91.63       |         2          |
| 16384 |  32   |  [16384, 32]   | bf16  |       90.66       |       89.4       |      91.91       |         2          |
|   1   |  128  |    [1, 128]    | bf16  |       90.6        |      90.18       |       91.0       |         2          |
|   2   |  128  |    [2, 128]    | bf16  |       90.94       |      89.52       |      91.84       |         2          |
|   8   |  128  |    [8, 128]    | bf16  |       91.12       |      90.66       |      92.39       |         2          |
|  128  |  128  |   [128, 128]   | bf16  |       90.73       |      89.88       |      91.91       |         2          |
| 1024  |  128  |  [1024, 128]   | bf16  |       91.51       |       90.4       |      92.08       |         2          |
| 4096  |  128  |  [4096, 128]   | bf16  |       91.09       |      90.05       |      92.35       |         2          |
| 16384 |  128  |  [16384, 128]  | bf16  |       91.37       |      90.28       |      93.82       |         2          |
|   1   | 1024  |   [1, 1024]    | bf16  |       90.62       |      89.98       |      91.39       |         2          |
|   2   | 1024  |   [2, 1024]    | bf16  |       91.44       |      90.77       |      91.96       |         2          |
|   8   | 1024  |   [8, 1024]    | bf16  |       91.3        |      90.71       |      92.39       |         2          |
|  128  | 1024  |  [128, 1024]   | bf16  |       90.77       |      90.29       |      91.57       |         2          |
| 1024  | 1024  |  [1024, 1024]  | bf16  |       91.29       |      90.53       |       91.8       |         2          |
| 4096  | 1024  |  [4096, 1024]  | bf16  |       91.84       |      91.27       |      92.26       |         2          |
| 16384 | 1024  | [16384, 1024]  | bf16  |       91.65       |      91.38       |      92.07       |         2          |
|   1   | 8192  |   [1, 8192]    | bf16  |       91.78       |       90.6       |      92.27       |         2          |
