Test Case: B200_aten-max
|   M   |   N   |    _tensor     |      dtype       | duration_mean(us) | duration_min(us) | duration_max(us) | theory_latency(us) |
|   1   |  32   |    [1, 32]     | ['bf16', 'fp16'] |       98.39       |      97.05       |      99.96       |         2          |
|   2   |  32   |    [2, 32]     | ['bf16', 'fp16'] |       98.57       |       97.5       |      99.63       |         2          |
|   8   |  32   |    [8, 32]     | ['bf16', 'fp16'] |       98.06       |      97.38       |      98.65       |         2          |
|  128  |  32   |   [128, 32]    | ['bf16', 'fp16'] |       98.13       |      97.01       |      99.76       |         2          |
| 1024  |  32   |   [1024, 32]   | ['bf16', 'fp16'] |       98.42       |      97.36       |      99.36       |         2          |
| 4096  |  32   |   [4096, 32]   | ['bf16', 'fp16'] |      102.02       |      101.4       |      103.14      |         2          |
| 16384 |  32   |  [16384, 32]   | ['bf16', 'fp16'] |      102.18       |      101.59      |      102.89      |         2          |
|   1   |  128  |    [1, 128]    | ['bf16', 'fp16'] |       98.55       |      97.96       |      99.04       |         2          |
|   2   |  128  |    [2, 128]    | ['bf16', 'fp16'] |       97.83       |      97.19       |      98.39       |         2          |
|   8   |  128  |    [8, 128]    | ['bf16', 'fp16'] |       98.42       |      97.62       |      99.12       |         2          |
|  128  |  128  |   [128, 128]   | ['bf16', 'fp16'] |       98.25       |      97.23       |      99.04       |         2          |
| 1024  |  128  |  [1024, 128]   | ['bf16', 'fp16'] |      102.16       |      101.73      |      102.95      |         2          |
| 4096  |  128  |  [4096, 128]   | ['bf16', 'fp16'] |      101.73       |      100.86      |      102.48      |         2          |
| 16384 |  128  |  [16384, 128]  | ['bf16', 'fp16'] |      102.28       |      100.86      |      103.69      |         2          |
|   1   | 1024  |   [1, 1024]    | ['bf16', 'fp16'] |       98.17       |      97.53       |      99.32       |         2          |
|   2   | 1024  |   [2, 1024]    | ['bf16', 'fp16'] |       99.33       |      98.02       |      102.03      |         2          |
|   8   | 1024  |   [8, 1024]    | ['bf16', 'fp16'] |       98.29       |      97.67       |      98.81       |         2          |
|  128  | 1024  |  [128, 1024]   | ['bf16', 'fp16'] |      102.38       |      101.63      |      102.88      |         2          |
| 1024  | 1024  |  [1024, 1024]  | ['bf16', 'fp16'] |      102.03       |      101.67      |      102.64      |         2          |
| 4096  | 1024  |  [4096, 1024]  | ['bf16', 'fp16'] |      102.67       |      102.17      |      103.52      |         2          |
| 16384 | 1024  | [16384, 1024]  | ['bf16', 'fp16'] |      103.08       |      102.25      |      104.65      |         2          |
|   1   | 8192  |   [1, 8192]    | ['bf16', 'fp16'] |       98.75       |      97.45       |      100.4       |         2          |
|   2   | 8192  |   [2, 8192]    | ['bf16', 'fp16'] |       98.58       |      98.22       |      99.43       |         2          |
|   8   | 8192  |   [8, 8192]    | ['bf16', 'fp16'] |       98.41       |      97.46       |      99.34       |         2          |
|  128  | 8192  |  [128, 8192]   | ['bf16', 'fp16'] |      102.16       |      100.44      |      103.17      |         2          |
| 1024  | 8192  |  [1024, 8192]  | ['bf16', 'fp16'] |      102.91       |      101.89      |      103.95      |         2          |
| 4096  | 8192  |  [4096, 8192]  | ['bf16', 'fp16'] |       102.2       |      100.84      |      103.91      |         2          |
| 16384 | 8192  | [16384, 8192]  | ['bf16', 'fp16'] |      105.15       |      103.8       |      106.08      |         2          |
|   1   | 16384 |   [1, 16384]   | ['bf16', 'fp16'] |       98.6        |      97.92       |       99.4       |         2          |
|   2   | 16384 |   [2, 16384]   | ['bf16', 'fp16'] |       98.37       |      98.12       |      98.53       |         2          |
|   8   | 16384 |   [8, 16384]   | ['bf16', 'fp16'] |      102.61       |      102.14      |      103.07      |         2          |
|  128  | 16384 |  [128, 16384]  | ['bf16', 'fp16'] |      102.42       |      101.72      |      103.48      |         2          |
| 1024  | 16384 | [1024, 16384]  | ['bf16', 'fp16'] |      102.23       |      100.85      |      102.91      |         2          |
| 4096  | 16384 | [4096, 16384]  | ['bf16', 'fp16'] |      102.24       |      101.5       |      102.76      |         2          |
| 16384 | 16384 | [16384, 16384] | ['bf16', 'fp16'] |      189.71       |      189.28      |      189.94      |         2          |
