Test Case: B200_aten-mean
| B |   M   |   N   |      _tensor      | dim | keepdim | dtype | duration_mean(us) | duration_min(us) | duration_max(us) | theory_latency(us) |
| 1 |   1   |  32   |    [1, 1, 32]     | -1  |  True   | bf16  |       99.37       |      98.36       |      100.45      |        2.0         |
| 1 |   2   |  32   |    [1, 2, 32]     | -1  |  True   | bf16  |       99.74       |      99.14       |      100.66      |        2.0         |
| 1 |   8   |  32   |    [1, 8, 32]     | -1  |  True   | bf16  |       99.6        |      99.24       |      99.89       |        2.0         |
| 1 |  128  |  32   |   [1, 128, 32]    | -1  |  True   | bf16  |       99.2        |      98.56       |      99.68       |        2.0         |
| 1 | 1024  |  32   |   [1, 1024, 32]   | -1  |  True   | bf16  |       99.75       |      99.23       |      101.53      |        2.01        |
| 1 | 4096  |  32   |   [1, 4096, 32]   | -1  |  True   | bf16  |       99.22       |      98.35       |      99.82       |        2.04        |
| 1 | 16384 |  32   |  [1, 16384, 32]   | -1  |  True   | bf16  |       99.39       |      98.75       |      99.96       |        2.16        |
| 1 |   1   |  128  |    [1, 1, 128]    | -1  |  True   | bf16  |       99.77       |      99.11       |      100.19      |        2.0         |
| 1 |   2   |  128  |    [1, 2, 128]    | -1  |  True   | bf16  |       99.84       |      99.07       |      100.48      |        2.0         |
| 1 |   8   |  128  |    [1, 8, 128]    | -1  |  True   | bf16  |       99.98       |       99.5       |      100.76      |        2.0         |
| 1 |  128  |  128  |   [1, 128, 128]   | -1  |  True   | bf16  |      100.05       |      98.98       |      100.64      |        2.01        |
| 1 | 1024  |  128  |  [1, 1024, 128]   | -1  |  True   | bf16  |       99.93       |      99.17       |      100.97      |        2.04        |
| 1 | 4096  |  128  |  [1, 4096, 128]   | -1  |  True   | bf16  |       100.1       |      98.53       |      101.69      |        2.16        |
| 1 | 16384 |  128  |  [1, 16384, 128]  | -1  |  True   | bf16  |       98.99       |      98.34       |      100.13      |        2.66        |
| 1 |   1   | 1024  |   [1, 1, 1024]    | -1  |  True   | bf16  |       98.8        |      98.19       |      99.17       |        2.0         |
| 1 |   2   | 1024  |   [1, 2, 1024]    | -1  |  True   | bf16  |       99.24       |      98.25       |      100.05      |        2.0         |
| 1 |   8   | 1024  |   [1, 8, 1024]    | -1  |  True   | bf16  |       99.26       |      98.71       |      99.72       |        2.0         |
| 1 |  128  | 1024  |  [1, 128, 1024]   | -1  |  True   | bf16  |       99.37       |      98.54       |      100.01      |        2.04        |
| 1 | 1024  | 1024  |  [1, 1024, 1024]  | -1  |  True   | bf16  |       99.77       |      98.63       |      100.39      |        2.33        |
| 1 | 4096  | 1024  |  [1, 4096, 1024]  | -1  |  True   | bf16  |      100.28       |       99.5       |      100.68      |        3.31        |
| 1 | 16384 | 1024  | [1, 16384, 1024]  | -1  |  True   | bf16  |      100.05       |      99.63       |      100.53      |        7.24        |
| 1 |   1   | 8192  |   [1, 1, 8192]    | -1  |  True   | bf16  |       99.78       |      99.11       |      100.33      |        2.0         |
