Test Case: B200_aten-minimum
|   M   |   N   |    _tensor     |   _tensor_1    | dtype | duration_mean(us) | duration_min(us) | duration_max(us) | theory_latency(us) |
|   1   |  32   |    [1, 32]     |    [1, 32]     | bf16  |       91.57       |      90.77       |      93.08       |         2          |
|   2   |  32   |    [2, 32]     |    [2, 32]     | bf16  |       91.44       |      90.84       |      92.01       |         2          |
|   8   |  32   |    [8, 32]     |    [8, 32]     | bf16  |       91.05       |      90.65       |      91.41       |         2          |
|  128  |  32   |   [128, 32]    |   [128, 32]    | bf16  |       91.83       |      90.15       |      92.52       |         2          |
| 1024  |  32   |   [1024, 32]   |   [1024, 32]   | bf16  |       91.32       |      89.88       |      92.98       |         2          |
| 4096  |  32   |   [4096, 32]   |   [4096, 32]   | bf16  |       91.59       |      90.66       |      93.43       |         2          |
| 16384 |  32   |  [16384, 32]   |  [16384, 32]   | bf16  |       92.2        |      90.34       |      95.84       |         2          |
|   1   |  128  |    [1, 128]    |    [1, 128]    | bf16  |       91.12       |       90.8       |      91.54       |         2          |
|   2   |  128  |    [2, 128]    |    [2, 128]    | bf16  |       91.38       |       90.1       |      91.98       |         2          |
|   8   |  128  |    [8, 128]    |    [8, 128]    | bf16  |       91.19       |      90.77       |      91.65       |         2          |
|  128  |  128  |   [128, 128]   |   [128, 128]   | bf16  |       91.31       |      90.49       |      92.02       |         2          |
| 1024  |  128  |  [1024, 128]   |  [1024, 128]   | bf16  |       91.5        |       91.0       |       92.0       |         2          |
| 4096  |  128  |  [4096, 128]   |  [4096, 128]   | bf16  |       91.82       |      90.72       |       92.7       |         2          |
| 16384 |  128  |  [16384, 128]  |  [16384, 128]  | bf16  |       91.45       |      90.59       |      92.39       |         2          |
|   1   | 1024  |   [1, 1024]    |   [1, 1024]    | bf16  |       91.14       |       90.0       |       91.8       |         2          |
|   2   | 1024  |   [2, 1024]    |   [2, 1024]    | bf16  |       91.11       |      90.16       |      91.69       |         2          |
|   8   | 1024  |   [8, 1024]    |   [8, 1024]    | bf16  |       91.33       |       90.3       |      91.86       |         2          |
|  128  | 1024  |  [128, 1024]   |  [128, 1024]   | bf16  |       91.81       |      90.76       |      92.58       |         2          |
| 1024  | 1024  |  [1024, 1024]  |  [1024, 1024]  | bf16  |       91.05       |      90.03       |      91.94       |         2          |
| 4096  | 1024  |  [4096, 1024]  |  [4096, 1024]  | bf16  |       92.63       |      91.35       |      94.86       |         2          |
| 16384 | 1024  | [16384, 1024]  | [16384, 1024]  | bf16  |       92.08       |      90.33       |      94.76       |         2          |
|   1   | 8192  |   [1, 8192]    |   [1, 8192]    | bf16  |       91.82       |       91.2       |      92.99       |         2          |
|   2   | 8192  |   [2, 8192]    |   [2, 8192]    | bf16  |       91.68       |      90.48       |       92.5       |         2          |
|   8   | 8192  |   [8, 8192]    |   [8, 8192]    | bf16  |       91.75       |      90.76       |      92.67       |         2          |
|  128  | 8192  |  [128, 8192]   |  [128, 8192]   | bf16  |       91.65       |       91.1       |       92.3       |         2          |
| 1024  | 8192  |  [1024, 8192]  |  [1024, 8192]  | bf16  |       91.17       |      89.86       |       91.9       |         2          |
| 4096  | 8192  |  [4096, 8192]  |  [4096, 8192]  | bf16  |       91.85       |      90.95       |      92.33       |         2          |
| 16384 | 8192  | [16384, 8192]  | [16384, 8192]  | bf16  |      120.84       |      120.4       |      121.18      |         2          |
|   1   | 16384 |   [1, 16384]   |   [1, 16384]   | bf16  |       91.8        |      91.34       |      93.05       |         2          |
|   2   | 16384 |   [2, 16384]   |   [2, 16384]   | bf16  |       91.08       |      90.16       |      91.79       |         2          |
|   8   | 16384 |   [8, 16384]   |   [8, 16384]   | bf16  |       91.66       |      90.75       |      95.73       |         2          |
|  128  | 16384 |  [128, 16384]  |  [128, 16384]  | bf16  |       91.39       |       91.0       |      91.79       |         2          |
| 1024  | 16384 | [1024, 16384]  | [1024, 16384]  | bf16  |       91.7        |      90.35       |      94.62       |         2          |
| 4096  | 16384 | [4096, 16384]  | [4096, 16384]  | bf16  |       92.22       |      91.29       |      92.82       |         2          |
| 16384 | 16384 | [16384, 16384] | [16384, 16384] | bf16  |      237.27       |      237.13      |      237.38      |         2          |
|   1   |  32   |    [1, 32]     |    [1, 32]     | fp16  |       91.76       |      91.11       |      92.53       |         2          |
|   2   |  32   |    [2, 32]     |    [2, 32]     | fp16  |       92.34       |      91.09       |      94.16       |         2          |
|   8   |  32   |    [8, 32]     |    [8, 32]     | fp16  |       91.54       |       91.3       |       92.1       |         2          |
|  128  |  32   |   [128, 32]    |   [128, 32]    | fp16  |       91.51       |      90.69       |      93.22       |         2          |
| 1024  |  32   |   [1024, 32]   |   [1024, 32]   | fp16  |       91.32       |      90.94       |      91.75       |         2          |
| 4096  |  32   |   [4096, 32]   |   [4096, 32]   | fp16  |       91.65       |       90.7       |      92.53       |         2          |
| 16384 |  32   |  [16384, 32]   |  [16384, 32]   | fp16  |       91.23       |      90.48       |      91.81       |         2          |
|   1   |  128  |    [1, 128]    |    [1, 128]    | fp16  |       91.35       |      90.65       |      91.99       |         2          |
|   2   |  128  |    [2, 128]    |    [2, 128]    | fp16  |       91.3        |       90.4       |      92.25       |         2          |
|   8   |  128  |    [8, 128]    |    [8, 128]    | fp16  |       91.69       |      90.26       |      92.66       |         2          |
|  128  |  128  |   [128, 128]   |   [128, 128]   | fp16  |       91.47       |      91.12       |      91.77       |         2          |
| 1024  |  128  |  [1024, 128]   |  [1024, 128]   | fp16  |       91.86       |       90.2       |      94.98       |         2          |
| 4096  |  128  |  [4096, 128]   |  [4096, 128]   | fp16  |       91.49       |      90.95       |      92.15       |         2          |
| 16384 |  128  |  [16384, 128]  |  [16384, 128]  | fp16  |       91.76       |       91.2       |      92.55       |         2          |
|   1   | 1024  |   [1, 1024]    |   [1, 1024]    | fp16  |       91.29       |      90.54       |       91.8       |         2          |
|   2   | 1024  |   [2, 1024]    |   [2, 1024]    | fp16  |       91.75       |      91.31       |      92.48       |         2          |
|   8   | 1024  |   [8, 1024]    |   [8, 1024]    | fp16  |       91.67       |      91.33       |      92.43       |         2          |
|  128  | 1024  |  [128, 1024]   |  [128, 1024]   | fp16  |       92.48       |      92.07       |      93.19       |         2          |
| 1024  | 1024  |  [1024, 1024]  |  [1024, 1024]  | fp16  |       91.91       |      90.58       |      94.31       |         2          |
| 4096  | 1024  |  [4096, 1024]  |  [4096, 1024]  | fp16  |       92.46       |      91.17       |      95.18       |         2          |
| 16384 | 1024  | [16384, 1024]  | [16384, 1024]  | fp16  |       91.54       |      90.09       |      92.49       |         2          |
|   1   | 8192  |   [1, 8192]    |   [1, 8192]    | fp16  |       90.73       |      89.38       |      91.58       |         2          |
|   2   | 8192  |   [2, 8192]    |   [2, 8192]    | fp16  |       90.91       |      89.99       |      91.61       |         2          |
|   8   | 8192  |   [8, 8192]    |   [8, 8192]    | fp16  |       90.96       |       90.5       |      91.63       |         2          |
|  128  | 8192  |  [128, 8192]   |  [128, 8192]   | fp16  |       91.55       |      90.68       |      92.13       |         2          |
| 1024  | 8192  |  [1024, 8192]  |  [1024, 8192]  | fp16  |       92.43       |      90.93       |      96.58       |         2          |
| 4096  | 8192  |  [4096, 8192]  |  [4096, 8192]  | fp16  |       93.5        |      90.38       |      106.83      |         2          |
| 16384 | 8192  | [16384, 8192]  | [16384, 8192]  | fp16  |      121.41       |      120.3       |      124.68      |         2          |
|   1   | 16384 |   [1, 16384]   |   [1, 16384]   | fp16  |       91.29       |      90.51       |      92.08       |         2          |
|   2   | 16384 |   [2, 16384]   |   [2, 16384]   | fp16  |       91.55       |      90.75       |      92.66       |         2          |
|   8   | 16384 |   [8, 16384]   |   [8, 16384]   | fp16  |       91.81       |      90.87       |      93.26       |         2          |
|  128  | 16384 |  [128, 16384]  |  [128, 16384]  | fp16  |       91.69       |      90.87       |       92.6       |         2          |
| 1024  | 16384 | [1024, 16384]  | [1024, 16384]  | fp16  |       91.97       |      91.16       |      92.77       |         2          |
| 4096  | 16384 | [4096, 16384]  | [4096, 16384]  | fp16  |       92.09       |      90.88       |      93.15       |         2          |
| 16384 | 16384 | [16384, 16384] | [16384, 16384] | fp16  |      233.45       |      233.22      |      233.76      |         2          |
