Test Case: B200_aten-mm
|   M   |   K   |   N   |    _tensor     |   _tensor_1    | dtype | duration_mean(us) | duration_min(us) | duration_max(us) |
|   1   |  32   |  32   |    [1, 32]     |    [32, 32]    | bf16  |      100.58       |      99.51       |      101.86      |
|   2   |  32   |  32   |    [2, 32]     |    [32, 32]    | bf16  |       99.59       |      99.16       |      100.4       |
|   8   |  32   |  32   |    [8, 32]     |    [32, 32]    | bf16  |       99.92       |      99.06       |      100.49      |
|  128  |  32   |  32   |   [128, 32]    |    [32, 32]    | bf16  |       99.79       |      99.14       |      100.62      |
| 1024  |  32   |  32   |   [1024, 32]   |    [32, 32]    | bf16  |       99.2        |      97.89       |      100.26      |
| 4096  |  32   |  32   |   [4096, 32]   |    [32, 32]    | bf16  |       98.33       |       97.0       |      101.13      |
| 16384 |  32   |  32   |  [16384, 32]   |    [32, 32]    | bf16  |       98.82       |      96.74       |      101.79      |
|   1   |  128  |  32   |    [1, 128]    |   [128, 32]    | bf16  |       97.47       |      96.87       |      98.24       |
|   2   |  128  |  32   |    [2, 128]    |   [128, 32]    | bf16  |       97.16       |      96.56       |      97.77       |
|   8   |  128  |  32   |    [8, 128]    |   [128, 32]    | bf16  |       96.97       |      96.29       |       97.6       |
|  128  |  128  |  32   |   [128, 128]   |   [128, 32]    | bf16  |       96.82       |      96.29       |      97.19       |
| 1024  |  128  |  32   |  [1024, 128]   |   [128, 32]    | bf16  |       97.32       |      96.54       |      98.24       |
| 4096  |  128  |  32   |  [4096, 128]   |   [128, 32]    | bf16  |       97.78       |      97.02       |      98.89       |
| 16384 |  128  |  32   |  [16384, 128]  |   [128, 32]    | bf16  |       98.32       |       97.5       |      98.77       |
|   1   | 1024  |  32   |   [1, 1024]    |   [1024, 32]   | bf16  |       97.66       |      97.12       |      98.16       |
|   2   | 1024  |  32   |   [2, 1024]    |   [1024, 32]   | bf16  |       97.07       |      96.41       |      97.58       |
|   8   | 1024  |  32   |   [8, 1024]    |   [1024, 32]   | bf16  |       97.26       |      96.51       |      97.81       |
|  128  | 1024  |  32   |  [128, 1024]   |   [1024, 32]   | bf16  |       97.45       |      96.13       |      98.22       |
| 1024  | 1024  |  32   |  [1024, 1024]  |   [1024, 32]   | bf16  |       97.51       |      96.86       |      98.38       |
| 4096  | 1024  |  32   |  [4096, 1024]  |   [1024, 32]   | bf16  |       97.92       |      97.49       |      98.48       |
| 16384 | 1024  |  32   | [16384, 1024]  |   [1024, 32]   | bf16  |       98.48       |      97.58       |      99.76       |
|   1   | 8192  |  32   |   [1, 8192]    |   [8192, 32]   | bf16  |       100.2       |      99.33       |      100.84      |
|   2   | 8192  |  32   |   [2, 8192]    |   [8192, 32]   | bf16  |       99.81       |      98.66       |      100.54      |
|   8   | 8192  |  32   |   [8, 8192]    |   [8192, 32]   | bf16  |       99.96       |      98.98       |      100.59      |
|  128  | 8192  |  32   |  [128, 8192]   |   [8192, 32]   | bf16  |      100.48       |      99.66       |      101.48      |
| 1024  | 8192  |  32   |  [1024, 8192]  |   [8192, 32]   | bf16  |      100.87       |      100.15      |      101.31      |
| 4096  | 8192  |  32   |  [4096, 8192]  |   [8192, 32]   | bf16  |      100.54       |      99.77       |      100.97      |
| 16384 | 8192  |  32   | [16384, 8192]  |   [8192, 32]   | bf16  |       97.64       |      97.19       |      98.79       |
|   1   | 16384 |  32   |   [1, 16384]   |  [16384, 32]   | bf16  |       99.97       |      99.51       |      100.43      |
|   2   | 16384 |  32   |   [2, 16384]   |  [16384, 32]   | bf16  |      100.59       |      100.11      |      101.08      |
|   8   | 16384 |  32   |   [8, 16384]   |  [16384, 32]   | bf16  |      100.43       |      99.98       |      100.81      |
|  128  | 16384 |  32   |  [128, 16384]  |  [16384, 32]   | bf16  |       99.77       |      99.01       |      100.36      |
| 1024  | 16384 |  32   | [1024, 16384]  |  [16384, 32]   | bf16  |      100.53       |       99.6       |      101.22      |
| 4096  | 16384 |  32   | [4096, 16384]  |  [16384, 32]   | bf16  |       100.9       |      100.39      |      101.38      |
| 16384 | 16384 |  32   | [16384, 16384] |  [16384, 32]   | bf16  |       99.02       |      98.33       |       99.5       |
|   1   |  32   |  128  |    [1, 32]     |   [32, 128]    | bf16  |       97.59       |      97.07       |      98.02       |
|   2   |  32   |  128  |    [2, 32]     |   [32, 128]    | bf16  |       97.49       |      97.07       |      98.15       |
|   8   |  32   |  128  |    [8, 32]     |   [32, 128]    | bf16  |       96.65       |      95.37       |       98.0       |
|  128  |  32   |  128  |   [128, 32]    |   [32, 128]    | bf16  |       96.88       |      96.36       |      97.33       |
| 1024  |  32   |  128  |   [1024, 32]   |   [32, 128]    | bf16  |       97.45       |      96.33       |      98.51       |
| 4096  |  32   |  128  |   [4096, 32]   |   [32, 128]    | bf16  |       97.61       |      96.73       |      99.86       |
| 16384 |  32   |  128  |  [16384, 32]   |   [32, 128]    | bf16  |       97.24       |      96.79       |      98.26       |
|   1   |  128  |  128  |    [1, 128]    |   [128, 128]   | bf16  |       96.76       |      95.68       |      97.44       |
|   2   |  128  |  128  |    [2, 128]    |   [128, 128]   | bf16  |       96.73       |      96.02       |       97.4       |
|   8   |  128  |  128  |    [8, 128]    |   [128, 128]   | bf16  |       97.31       |      96.57       |      97.97       |
|  128  |  128  |  128  |   [128, 128]   |   [128, 128]   | bf16  |       97.36       |      97.18       |      97.56       |
| 1024  |  128  |  128  |  [1024, 128]   |   [128, 128]   | bf16  |       97.5        |      97.05       |      97.93       |
| 4096  |  128  |  128  |  [4096, 128]   |   [128, 128]   | bf16  |       97.3        |      96.24       |      99.29       |
| 16384 |  128  |  128  |  [16384, 128]  |   [128, 128]   | bf16  |       97.6        |      97.34       |      97.97       |
|   1   | 1024  |  128  |   [1, 1024]    |  [1024, 128]   | bf16  |       96.53       |      96.06       |       97.0       |
|   2   | 1024  |  128  |   [2, 1024]    |  [1024, 128]   | bf16  |       97.87       |      96.97       |      98.56       |
|   8   | 1024  |  128  |   [8, 1024]    |  [1024, 128]   | bf16  |       97.25       |      96.73       |      97.69       |
|  128  | 1024  |  128  |  [128, 1024]   |  [1024, 128]   | bf16  |       97.52       |      96.54       |      98.56       |
| 1024  | 1024  |  128  |  [1024, 1024]  |  [1024, 128]   | bf16  |       98.28       |      96.88       |      100.29      |
| 4096  | 1024  |  128  |  [4096, 1024]  |  [1024, 128]   | bf16  |       98.88       |       97.3       |      102.04      |
| 16384 | 1024  |  128  | [16384, 1024]  |  [1024, 128]   | bf16  |       97.84       |      97.11       |      99.04       |
|   1   | 8192  |  128  |   [1, 8192]    |  [8192, 128]   | bf16  |       100.3       |      99.83       |      101.47      |
|   2   | 8192  |  128  |   [2, 8192]    |  [8192, 128]   | bf16  |       99.83       |      99.02       |      100.46      |
|   8   | 8192  |  128  |   [8, 8192]    |  [8192, 128]   | bf16  |       99.93       |      99.61       |      100.62      |
|  128  | 8192  |  128  |  [128, 8192]   |  [8192, 128]   | bf16  |      100.41       |      99.63       |      101.05      |
