Test Case: B200_aten-mul
|   M   |   N   |    _tensor     | _tensor_1  | dtype | duration_mean(us) | duration_min(us) | duration_max(us) | theory_latency(us) |
|   1   |  32   |    [1, 32]     |  [1, 32]   | bf16  |       91.26       |      90.05       |      92.13       |        2.0         |
|   2   |  32   |    [2, 32]     |  [1, 32]   | bf16  |       90.98       |      90.03       |      91.23       |        2.0         |
|   8   |  32   |    [8, 32]     |  [1, 32]   | bf16  |       90.97       |      90.38       |      91.58       |        2.0         |
|  128  |  32   |   [128, 32]    |  [1, 32]   | bf16  |       90.82       |      90.07       |      91.35       |        2.0         |
| 1024  |  32   |   [1024, 32]   |  [1, 32]   | bf16  |       91.51       |      90.53       |      92.52       |        2.03        |
| 4096  |  32   |   [4096, 32]   |  [1, 32]   | bf16  |       92.15       |      91.48       |      93.93       |        2.12        |
| 16384 |  32   |  [16384, 32]   |  [1, 32]   | bf16  |       92.09       |      91.46       |      92.62       |        2.49        |
|   1   |  128  |    [1, 128]    |  [1, 128]  | bf16  |       91.83       |      91.23       |      92.27       |        2.0         |
|   2   |  128  |    [2, 128]    |  [1, 128]  | bf16  |       90.91       |       89.8       |      91.41       |        2.0         |
|   8   |  128  |    [8, 128]    |  [1, 128]  | bf16  |       91.48       |       90.9       |       92.0       |        2.0         |
|  128  |  128  |   [128, 128]   |  [1, 128]  | bf16  |       91.6        |      90.72       |      92.24       |        2.02        |
| 1024  |  128  |  [1024, 128]   |  [1, 128]  | bf16  |       91.81       |      91.36       |      92.56       |        2.12        |
| 4096  |  128  |  [4096, 128]   |  [1, 128]  | bf16  |       91.79       |       91.6       |      92.01       |        2.49        |
| 16384 |  128  |  [16384, 128]  |  [1, 128]  | bf16  |       92.24       |      91.65       |      92.96       |        3.97        |
|   1   | 1024  |   [1, 1024]    | [1, 1024]  | bf16  |       90.28       |      89.95       |      90.63       |        2.0         |
|   2   | 1024  |   [2, 1024]    | [1, 1024]  | bf16  |       90.88       |      90.23       |      91.42       |        2.0         |
|   8   | 1024  |   [8, 1024]    | [1, 1024]  | bf16  |       90.46       |      89.31       |      92.19       |        2.01        |
|  128  | 1024  |  [128, 1024]   | [1, 1024]  | bf16  |       90.92       |      89.96       |      93.29       |        2.12        |
| 1024  | 1024  |  [1024, 1024]  | [1, 1024]  | bf16  |       90.89       |       90.2       |      91.16       |        2.98        |
| 4096  | 1024  |  [4096, 1024]  | [1, 1024]  | bf16  |       91.85       |      91.12       |      92.36       |        5.93        |
| 16384 | 1024  | [16384, 1024]  | [1, 1024]  | bf16  |       91.65       |      90.84       |      92.37       |       17.73        |
|   1   | 8192  |   [1, 8192]    | [1, 8192]  | bf16  |       91.48       |      90.34       |      92.22       |        2.01        |
|   2   | 8192  |   [2, 8192]    | [1, 8192]  | bf16  |       91.25       |       90.4       |       92.4       |        2.02        |
|   8   | 8192  |   [8, 8192]    | [1, 8192]  | bf16  |       90.98       |      90.39       |      91.57       |        2.06        |
|  128  | 8192  |  [128, 8192]   | [1, 8192]  | bf16  |       91.25       |      90.48       |       92.1       |        2.98        |
| 1024  | 8192  |  [1024, 8192]  | [1, 8192]  | bf16  |       91.64       |      90.44       |      93.23       |        9.86        |
| 4096  | 8192  |  [4096, 8192]  | [1, 8192]  | bf16  |       93.87       |      92.02       |      95.39       |       33.46        |
| 16384 | 8192  | [16384, 8192]  | [1, 8192]  | bf16  |      325.16       |      324.88      |      326.18      |       127.83       |
|   1   | 16384 |   [1, 16384]   | [1, 16384] | bf16  |       90.52       |      89.87       |      90.93       |        2.02        |
|   2   | 16384 |   [2, 16384]   | [1, 16384] | bf16  |       90.56       |      89.93       |      91.39       |        2.03        |
|   8   | 16384 |   [8, 16384]   | [1, 16384] | bf16  |       90.66       |      89.94       |      91.01       |        2.12        |
|  128  | 16384 |  [128, 16384]  | [1, 16384] | bf16  |       91.65       |      91.05       |      92.25       |        3.97        |
| 1024  | 16384 | [1024, 16384]  | [1, 16384] | bf16  |       91.46       |      90.78       |      91.95       |       17.73        |
| 4096  | 16384 | [4096, 16384]  | [1, 16384] | bf16  |      166.77       |      166.63      |      166.97      |       64.91        |
| 16384 | 16384 | [16384, 16384] | [1, 16384] | bf16  |      640.57       |      640.27      |      640.72      |       253.66       |
|   1   |  32   |    [1, 32]     |  [1, 32]   | fp16  |       91.66       |      90.76       |      92.22       |        2.0         |
|   2   |  32   |    [2, 32]     |  [1, 32]   | fp16  |       92.41       |      91.55       |       92.9       |        2.0         |
|   8   |  32   |    [8, 32]     |  [1, 32]   | fp16  |       91.28       |      90.23       |      92.38       |        2.0         |
|  128  |  32   |   [128, 32]    |  [1, 32]   | fp16  |       92.04       |      91.67       |      92.24       |        2.0         |
| 1024  |  32   |   [1024, 32]   |  [1, 32]   | fp16  |       91.88       |      91.61       |      92.28       |        2.03        |
| 4096  |  32   |   [4096, 32]   |  [1, 32]   | fp16  |       91.41       |      90.43       |       92.5       |        2.12        |
| 16384 |  32   |  [16384, 32]   |  [1, 32]   | fp16  |       91.9        |      91.56       |      92.43       |        2.49        |
|   1   |  128  |    [1, 128]    |  [1, 128]  | fp16  |       91.81       |      90.73       |      92.65       |        2.0         |
|   2   |  128  |    [2, 128]    |  [1, 128]  | fp16  |       91.07       |      90.11       |      91.84       |        2.0         |
|   8   |  128  |    [8, 128]    |  [1, 128]  | fp16  |       91.84       |      91.18       |      92.32       |        2.0         |
|  128  |  128  |   [128, 128]   |  [1, 128]  | fp16  |       91.57       |       90.6       |       92.7       |        2.02        |
| 1024  |  128  |  [1024, 128]   |  [1, 128]  | fp16  |       91.93       |      90.91       |      92.75       |        2.12        |
| 4096  |  128  |  [4096, 128]   |  [1, 128]  | fp16  |       92.01       |      91.14       |      93.01       |        2.49        |
| 16384 |  128  |  [16384, 128]  |  [1, 128]  | fp16  |       92.01       |      91.21       |      92.97       |        3.97        |
