Test Case: B200_aten-native_layer_norm_backward
| B |   M   |   N   |      _tensor      |     _tensor_1     |  _val   |   _tensor_2   |   _tensor_3   | precision_1 | _tensor_4 | _tensor_5 |       _val_1       | dtype | duration_mean(us) | duration_min(us) | duration_max(us) |
| 1 |   1   |  32   |    [1, 1, 32]     |    [1, 1, 32]     |  [32]   |   [1, 1, 1]   |   [1, 1, 1]   |    fp32     |   [32]    |   [32]    | [True, True, True] | bf16  |      201.32       |      197.25      |      204.23      |
| 1 |   2   |  32   |    [1, 2, 32]     |    [1, 2, 32]     |  [32]   |   [2, 1, 1]   |   [2, 1, 1]   |    fp32     |   [32]    |   [32]    | [True, True, True] | bf16  |      199.56       |      196.4       |      201.38      |
| 1 |   8   |  32   |    [1, 8, 32]     |    [1, 8, 32]     |  [32]   |   [8, 1, 1]   |   [8, 1, 1]   |    fp32     |   [32]    |   [32]    | [True, True, True] | bf16  |      198.98       |      198.09      |      199.91      |
| 1 |  128  |  32   |   [1, 128, 32]    |   [1, 128, 32]    |  [32]   |  [128, 1, 1]  |  [128, 1, 1]  |    fp32     |   [32]    |   [32]    | [True, True, True] | bf16  |      198.65       |      197.74      |      199.63      |
| 1 | 1024  |  32   |   [1, 1024, 32]   |   [1, 1024, 32]   |  [32]   | [1024, 1, 1]  | [1024, 1, 1]  |    fp32     |   [32]    |   [32]    | [True, True, True] | bf16  |      196.54       |      192.13      |      198.68      |
| 1 | 4096  |  32   |   [1, 4096, 32]   |   [1, 4096, 32]   |  [32]   | [4096, 1, 1]  | [4096, 1, 1]  |    fp32     |   [32]    |   [32]    | [True, True, True] | bf16  |      197.24       |      193.93      |      198.83      |
| 1 | 16384 |  32   |  [1, 16384, 32]   |  [1, 16384, 32]   |  [32]   | [16384, 1, 1] | [16384, 1, 1] |    fp32     |   [32]    |   [32]    | [True, True, True] | bf16  |      199.02       |      195.42      |      200.53      |
| 1 |   1   |  128  |    [1, 1, 128]    |    [1, 1, 128]    |  [128]  |   [1, 1, 1]   |   [1, 1, 1]   |    fp32     |   [128]   |   [128]   | [True, True, True] | bf16  |      197.79       |      193.64      |      199.35      |
| 1 |   2   |  128  |    [1, 2, 128]    |    [1, 2, 128]    |  [128]  |   [2, 1, 1]   |   [2, 1, 1]   |    fp32     |   [128]   |   [128]   | [True, True, True] | bf16  |      198.01       |      192.56      |      200.02      |
| 1 |   8   |  128  |    [1, 8, 128]    |    [1, 8, 128]    |  [128]  |   [8, 1, 1]   |   [8, 1, 1]   |    fp32     |   [128]   |   [128]   | [True, True, True] | bf16  |      197.51       |      193.53      |      198.84      |
| 1 |  128  |  128  |   [1, 128, 128]   |   [1, 128, 128]   |  [128]  |  [128, 1, 1]  |  [128, 1, 1]  |    fp32     |   [128]   |   [128]   | [True, True, True] | bf16  |      198.63       |      194.16      |      200.02      |
| 1 | 1024  |  128  |  [1, 1024, 128]   |  [1, 1024, 128]   |  [128]  | [1024, 1, 1]  | [1024, 1, 1]  |    fp32     |   [128]   |   [128]   | [True, True, True] | bf16  |      197.75       |      193.88      |      199.04      |
| 1 | 4096  |  128  |  [1, 4096, 128]   |  [1, 4096, 128]   |  [128]  | [4096, 1, 1]  | [4096, 1, 1]  |    fp32     |   [128]   |   [128]   | [True, True, True] | bf16  |      198.48       |      194.71      |      200.28      |
