Test Case: B200_aten-pow
| B |   M   |   N   |      _tensor      | exponent | dtype | duration_mean(us) | duration_min(us) | duration_max(us) | theory_latency(us) |
| 1 |   1   |  32   |    [1, 1, 32]     |    2     | bf16  |      105.83       |      104.87      |      107.3       |        2.0         |
| 1 |   2   |  32   |    [1, 2, 32]     |    2     | bf16  |      105.78       |      105.28      |      106.28      |        2.0         |
| 1 |   8   |  32   |    [1, 8, 32]     |    2     | bf16  |      106.56       |      105.41      |      107.44      |        2.0         |
| 1 |  128  |  32   |   [1, 128, 32]    |    2     | bf16  |      106.48       |      105.56      |      107.39      |        2.0         |
| 1 | 1024  |  32   |   [1, 1024, 32]   |    2     | bf16  |      106.42       |      105.4       |      107.67      |        2.03        |
| 1 | 4096  |  32   |   [1, 4096, 32]   |    2     | bf16  |      106.58       |      105.85      |      107.49      |        2.12        |
| 1 | 16384 |  32   |  [1, 16384, 32]   |    2     | bf16  |      106.02       |      105.01      |      106.53      |        2.49        |
| 1 |   1   |  128  |    [1, 1, 128]    |    2     | bf16  |      105.86       |      105.18      |      106.47      |        2.0         |
| 1 |   2   |  128  |    [1, 2, 128]    |    2     | bf16  |      105.04       |      104.32      |      106.0       |        2.0         |
| 1 |   8   |  128  |    [1, 8, 128]    |    2     | bf16  |      105.11       |      104.63      |      106.55      |        2.0         |
| 1 |  128  |  128  |   [1, 128, 128]   |    2     | bf16  |      105.08       |      104.54      |      105.39      |        2.02        |
| 1 | 1024  |  128  |  [1, 1024, 128]   |    2     | bf16  |      105.33       |      104.4       |      106.17      |        2.12        |
| 1 | 4096  |  128  |  [1, 4096, 128]   |    2     | bf16  |      105.47       |      103.48      |      112.66      |        2.49        |
| 1 | 16384 |  128  |  [1, 16384, 128]  |    2     | bf16  |       106.6       |      104.49      |      110.9       |        3.97        |
| 1 |   1   | 1024  |   [1, 1, 1024]    |    2     | bf16  |      104.46       |      103.78      |      105.29      |        2.0         |
| 1 |   2   | 1024  |   [1, 2, 1024]    |    2     | bf16  |      105.28       |      104.85      |      106.15      |        2.0         |
| 1 |   8   | 1024  |   [1, 8, 1024]    |    2     | bf16  |      105.15       |      104.41      |      106.2       |        2.01        |
| 1 |  128  | 1024  |  [1, 128, 1024]   |    2     | bf16  |      104.95       |      103.93      |      107.99      |        2.12        |
| 1 | 1024  | 1024  |  [1, 1024, 1024]  |    2     | bf16  |      104.85       |      104.2       |      105.69      |        2.98        |
| 1 | 4096  | 1024  |  [1, 4096, 1024]  |    2     | bf16  |      105.81       |      104.89      |      106.75      |        5.93        |
| 1 | 16384 | 1024  | [1, 16384, 1024]  |    2     | bf16  |      105.78       |      104.24      |      109.03      |       17.73        |
| 1 |   1   | 8192  |   [1, 1, 8192]    |    2     | bf16  |       104.9       |      104.28      |      105.26      |        2.01        |
| 1 |   2   | 8192  |   [1, 2, 8192]    |    2     | bf16  |      104.62       |      103.72      |      105.8       |        2.02        |
| 1 |   8   | 8192  |   [1, 8, 8192]    |    2     | bf16  |      105.31       |      104.04      |      106.29      |        2.06        |
| 1 |  128  | 8192  |  [1, 128, 8192]   |    2     | bf16  |      105.34       |      104.0       |      108.23      |        2.98        |
| 1 | 1024  | 8192  |  [1, 1024, 8192]  |    2     | bf16  |      106.59       |      104.68      |      110.17      |        9.86        |
| 1 | 4096  | 8192  |  [1, 4096, 8192]  |    2     | bf16  |      105.02       |      104.41      |      105.4       |       33.46        |
| 1 | 16384 | 8192  | [1, 16384, 8192]  |    2     | bf16  |       107.1       |      106.73      |      107.54      |       127.83       |
| 1 |   1   | 16384 |   [1, 1, 16384]   |    2     | bf16  |      105.61       |      105.11      |      106.34      |        2.02        |
| 1 |   2   | 16384 |   [1, 2, 16384]   |    2     | bf16  |      106.33       |      105.33      |      106.98      |        2.03        |
| 1 |   8   | 16384 |   [1, 8, 16384]   |    2     | bf16  |      105.71       |      104.7       |      108.25      |        2.12        |
| 1 |  128  | 16384 |  [1, 128, 16384]  |    2     | bf16  |      105.45       |      103.34      |      109.59      |        3.97        |
| 1 | 1024  | 16384 | [1, 1024, 16384]  |    2     | bf16  |      105.15       |      104.55      |      106.34      |       17.73        |
| 1 | 4096  | 16384 | [1, 4096, 16384]  |    2     | bf16  |      106.83       |      105.59      |      109.93      |       64.91        |
| 1 | 16384 | 16384 | [1, 16384, 16384] |    2     | bf16  |      172.35       |      170.93      |      177.83      |       253.66       |
| 1 |   1   |  32   |    [1, 1, 32]     |    2     | fp16  |      105.24       |      104.33      |      106.54      |        2.0         |
| 1 |   2   |  32   |    [1, 2, 32]     |    2     | fp16  |      104.91       |      104.39      |      105.73      |        2.0         |
| 1 |   8   |  32   |    [1, 8, 32]     |    2     | fp16  |      105.57       |      104.77      |      106.55      |        2.0         |
| 1 |  128  |  32   |   [1, 128, 32]    |    2     | fp16  |      104.82       |      103.62      |      105.78      |        2.0         |
| 1 | 1024  |  32   |   [1, 1024, 32]   |    2     | fp16  |      104.71       |      103.54      |      105.49      |        2.03        |
| 1 | 4096  |  32   |   [1, 4096, 32]   |    2     | fp16  |      105.23       |      104.46      |      106.57      |        2.12        |
| 1 | 16384 |  32   |  [1, 16384, 32]   |    2     | fp16  |       104.9       |      104.12      |      105.48      |        2.49        |
| 1 |   1   |  128  |    [1, 1, 128]    |    2     | fp16  |      104.52       |      103.98      |      105.04      |        2.0         |
| 1 |   2   |  128  |    [1, 2, 128]    |    2     | fp16  |      104.58       |      104.08      |      105.12      |        2.0         |
| 1 |   8   |  128  |    [1, 8, 128]    |    2     | fp16  |      104.08       |      103.31      |      104.59      |        2.0         |
| 1 |  128  |  128  |   [1, 128, 128]   |    2     | fp16  |      104.66       |      103.13      |      105.2       |        2.02        |
| 1 | 1024  |  128  |  [1, 1024, 128]   |    2     | fp16  |      105.28       |      104.25      |      107.52      |        2.12        |
| 1 | 4096  |  128  |  [1, 4096, 128]   |    2     | fp16  |      105.18       |      104.54      |      107.64      |        2.49        |
| 1 | 16384 |  128  |  [1, 16384, 128]  |    2     | fp16  |      104.86       |      104.28      |      105.89      |        3.97        |
| 1 |   1   | 1024  |   [1, 1, 1024]    |    2     | fp16  |      105.56       |      104.79      |      106.2       |        2.0         |
| 1 |   2   | 1024  |   [1, 2, 1024]    |    2     | fp16  |      104.55       |      103.75      |      105.57      |        2.0         |
| 1 |   8   | 1024  |   [1, 8, 1024]    |    2     | fp16  |       105.4       |      104.94      |      105.73      |        2.01        |
| 1 |  128  | 1024  |  [1, 128, 1024]   |    2     | fp16  |      104.99       |      103.7       |      108.95      |        2.12        |
| 1 | 1024  | 1024  |  [1, 1024, 1024]  |    2     | fp16  |      105.13       |      104.0       |      108.86      |        2.98        |
| 1 | 4096  | 1024  |  [1, 4096, 1024]  |    2     | fp16  |      105.59       |      105.42      |      105.94      |        5.93        |
| 1 | 16384 | 1024  | [1, 16384, 1024]  |    2     | fp16  |      106.67       |      104.52      |      108.86      |       17.73        |
