Test Case: B200_aten-reciprocal
|   M   |   N   |    _tensor     | dtype | duration_mean(us) | duration_min(us) | duration_max(us) | theory_latency(us) |
|   1   |  32   |    [1, 32]     | bf16  |       90.98       |      90.53       |      91.49       |         2          |
|   2   |  32   |    [2, 32]     | bf16  |       91.08       |      90.41       |      91.49       |         2          |
|   8   |  32   |    [8, 32]     | bf16  |       90.65       |      90.04       |       91.0       |         2          |
|  128  |  32   |   [128, 32]    | bf16  |       90.94       |       89.9       |      91.75       |         2          |
| 1024  |  32   |   [1024, 32]   | bf16  |       91.12       |      90.24       |      92.21       |         2          |
| 4096  |  32   |   [4096, 32]   | bf16  |       91.59       |      91.16       |       92.0       |         2          |
| 16384 |  32   |  [16384, 32]   | bf16  |       92.14       |      90.81       |      93.81       |         2          |
|   1   |  128  |    [1, 128]    | bf16  |       90.69       |      90.03       |      91.03       |         2          |
|   2   |  128  |    [2, 128]    | bf16  |       91.07       |      89.67       |      91.92       |         2          |
|   8   |  128  |    [8, 128]    | bf16  |       90.72       |      90.37       |      91.09       |         2          |
|  128  |  128  |   [128, 128]   | bf16  |       91.03       |      90.44       |      92.08       |         2          |
| 1024  |  128  |  [1024, 128]   | bf16  |       91.5        |      90.57       |      92.48       |         2          |
| 4096  |  128  |  [4096, 128]   | bf16  |       91.28       |      90.02       |      91.96       |         2          |
| 16384 |  128  |  [16384, 128]  | bf16  |       91.81       |      89.76       |      94.58       |         2          |
|   1   | 1024  |   [1, 1024]    | bf16  |       90.38       |      89.98       |      90.69       |         2          |
|   2   | 1024  |   [2, 1024]    | bf16  |       90.78       |      90.19       |      91.51       |         2          |
|   8   | 1024  |   [8, 1024]    | bf16  |       90.41       |      89.41       |      91.51       |         2          |
|  128  | 1024  |  [128, 1024]   | bf16  |       91.21       |      90.69       |      91.48       |         2          |
| 1024  | 1024  |  [1024, 1024]  | bf16  |       91.21       |      90.24       |      91.93       |         2          |
| 4096  | 1024  |  [4096, 1024]  | bf16  |       91.7        |      91.33       |       92.1       |         2          |
| 16384 | 1024  | [16384, 1024]  | bf16  |       91.44       |      90.38       |      92.63       |         2          |
|   1   | 8192  |   [1, 8192]    | bf16  |       90.98       |      90.65       |      91.41       |         2          |
|   2   | 8192  |   [2, 8192]    | bf16  |       90.34       |      89.93       |      90.72       |         2          |
|   8   | 8192  |   [8, 8192]    | bf16  |       90.89       |      90.21       |      91.53       |         2          |
|  128  | 8192  |  [128, 8192]   | bf16  |       90.72       |      89.94       |      91.36       |         2          |
| 1024  | 8192  |  [1024, 8192]  | bf16  |       92.26       |      90.75       |      98.35       |         2          |
| 4096  | 8192  |  [4096, 8192]  | bf16  |       91.45       |      90.58       |       92.8       |         2          |
| 16384 | 8192  | [16384, 8192]  | bf16  |      109.09       |      108.73      |      109.98      |         2          |
|   1   | 16384 |   [1, 16384]   | bf16  |       91.35       |      90.64       |      92.31       |         2          |
|   2   | 16384 |   [2, 16384]   | bf16  |       91.16       |      90.51       |      92.14       |         2          |
|   8   | 16384 |   [8, 16384]   | bf16  |       90.98       |      90.58       |      91.36       |         2          |
|  128  | 16384 |  [128, 16384]  | bf16  |       91.72       |      90.64       |      93.94       |         2          |
| 1024  | 16384 | [1024, 16384]  | bf16  |       91.21       |      90.28       |      91.82       |         2          |
| 4096  | 16384 | [4096, 16384]  | bf16  |       91.25       |       90.5       |      91.83       |         2          |
| 16384 | 16384 | [16384, 16384] | bf16  |      209.98       |      209.52      |      210.52      |         2          |
|   1   |  32   |    [1, 32]     | fp16  |       91.56       |       90.8       |      92.52       |         2          |
|   2   |  32   |    [2, 32]     | fp16  |       91.26       |      90.67       |      91.79       |         2          |
|   8   |  32   |    [8, 32]     | fp16  |       91.54       |      90.83       |      91.99       |         2          |
|  128  |  32   |   [128, 32]    | fp16  |       91.04       |      90.45       |      91.38       |         2          |
| 1024  |  32   |   [1024, 32]   | fp16  |       91.45       |      90.93       |      92.31       |         2          |
| 4096  |  32   |   [4096, 32]   | fp16  |       91.94       |       90.5       |      94.27       |         2          |
| 16384 |  32   |  [16384, 32]   | fp16  |       91.87       |      90.33       |      93.55       |         2          |
|   1   |  128  |    [1, 128]    | fp16  |       90.95       |       89.8       |      91.99       |         2          |
|   2   |  128  |    [2, 128]    | fp16  |       90.87       |      90.02       |      91.34       |         2          |
|   8   |  128  |    [8, 128]    | fp16  |       91.29       |      90.48       |      92.41       |         2          |
|  128  |  128  |   [128, 128]   | fp16  |       91.49       |      90.39       |      92.16       |         2          |
| 1024  |  128  |  [1024, 128]   | fp16  |       91.79       |      91.16       |      94.31       |         2          |
| 4096  |  128  |  [4096, 128]   | fp16  |       91.78       |      91.13       |      92.68       |         2          |
| 16384 |  128  |  [16384, 128]  | fp16  |       91.67       |      90.83       |      92.33       |         2          |
|   1   | 1024  |   [1, 1024]    | fp16  |       90.46       |      89.84       |      91.08       |         2          |
|   2   | 1024  |   [2, 1024]    | fp16  |       91.0        |       90.4       |      91.28       |         2          |
|   8   | 1024  |   [8, 1024]    | fp16  |       90.83       |      90.49       |      91.54       |         2          |
|  128  | 1024  |  [128, 1024]   | fp16  |       91.24       |      90.52       |      93.22       |         2          |
