Test Case: B200_aten-scaled_dot_product_attention
| B  | MQ  |  MK   | MQKV  | NHQ | NHK | DQK | DV  |   C   |   S   |       _tensor       |      _tensor_1      |      _tensor_2      | is_causal | scale | dtype | duration_mean(us) | duration_min(us) | duration_max(us) | theory_latency(us) |
| 1  | N/A |  N/A  | 4096  |  8  |  8  | 257 | 192 | True  | 0.08  |  [1, 8, 4096, 257]  |  [1, 8, 4096, 257]  |  [1, 8, 4096, 192]  |   True    | 0.08  | bf16  |      2549.64      |     2548.21      |     2550.58      |       96.86        |
| 2  | N/A |  N/A  | 4096  |  8  |  8  | 257 | 192 | True  | 0.08  |  [2, 8, 4096, 257]  |  [2, 8, 4096, 257]  |  [2, 8, 4096, 192]  |   True    | 0.08  | bf16  |      4893.34      |     4892.99      |     4893.95      |        5.01        |
| 4  | N/A |  N/A  | 4096  |  8  |  8  | 257 | 192 | True  | 0.08  |  [4, 8, 4096, 257]  |  [4, 8, 4096, 257]  |  [4, 8, 4096, 192]  |   True    | 0.08  | bf16  |      9551.44      |     9550.32      |     9552.45      |        8.02        |
| 8  | N/A |  N/A  | 4096  |  8  |  8  | 257 | 192 | True  | 0.08  |  [8, 8, 4096, 257]  |  [8, 8, 4096, 257]  |  [8, 8, 4096, 192]  |   True    | 0.08  | bf16  |     18917.68      |     18916.74     |     18919.4      |       26.08        |
| 1  | N/A |  N/A  | 8192  |  8  |  8  | 257 | 192 | True  | 0.08  |  [1, 8, 8192, 257]  |  [1, 8, 8192, 257]  |  [1, 8, 8192, 192]  |   True    | 0.08  | bf16  |     10133.17      |     10130.0      |     10135.42     |       50.17        |
| 2  | N/A |  N/A  | 8192  |  8  |  8  | 257 | 192 | True  | 0.08  |  [2, 8, 8192, 257]  |  [2, 8, 8192, 257]  |  [2, 8, 8192, 192]  |   True    | 0.08  | bf16  |     19801.75      |     19798.85     |     19804.93     |       98.34        |
| 4  | N/A |  N/A  | 8192  |  8  |  8  | 257 | 192 | True  | 0.08  |  [4, 8, 8192, 257]  |  [4, 8, 8192, 257]  |  [4, 8, 8192, 192]  |   True    | 0.08  | bf16  |     39203.57      |     39197.93     |     39209.09     |        5.19        |
| 8  | N/A |  N/A  | 8192  |  8  |  8  | 257 | 192 | True  | 0.08  |  [8, 8, 8192, 257]  |  [8, 8, 8192, 257]  |  [8, 8, 8192, 192]  |   True    | 0.08  | bf16  |     78017.98      |     77988.16     |     78036.11     |        8.39        |
| 1  | N/A |  N/A  | 16384 |  8  |  8  | 257 | 192 | True  | 0.08  | [1, 8, 16384, 257]  | [1, 8, 16384, 257]  | [1, 8, 16384, 192]  |   True    | 0.08  | bf16  |      35229.1      |     35224.66     |     35232.62     |       27.56        |
| 2  | N/A |  N/A  | 16384 |  8  |  8  | 257 | 192 | True  | 0.08  | [2, 8, 16384, 257]  | [2, 8, 16384, 257]  | [2, 8, 16384, 192]  |   True    | 0.08  | bf16  |      69230.6      |     69225.08     |     69237.48     |       53.12        |
| 4  | N/A |  N/A  | 16384 |  8  |  8  | 257 | 192 | True  | 0.08  | [4, 8, 16384, 257]  | [4, 8, 16384, 257]  | [4, 8, 16384, 192]  |   True    | 0.08  | bf16  |     137314.84     |    137308.28     |    137318.78     |       104.24       |
| 8  | N/A |  N/A  | 16384 |  8  |  8  | 257 | 192 | True  | 0.08  | [8, 8, 16384, 257]  | [8, 8, 16384, 257]  | [8, 8, 16384, 192]  |   True    | 0.08  | bf16  |     275709.53     |    275663.47     |    275783.56     |        6.77        |
| 1  | N/A |  N/A  | 32768 |  8  |  8  | 257 | 192 | True  | 0.08  | [1, 8, 32768, 257]  | [1, 8, 32768, 257]  | [1, 8, 32768, 192]  |   True    | 0.08  | bf16  |     126456.27     |    126451.19     |    126459.44     |       11.54        |
| 2  | N/A |  N/A  | 32768 |  8  |  8  | 257 | 192 | True  | 0.08  | [2, 8, 32768, 257]  | [2, 8, 32768, 257]  | [2, 8, 32768, 192]  |   True    | 0.08  | bf16  |     249984.09     |    249967.48     |    250004.34     |       40.18        |
| 1  | N/A |  N/A  | 2048  |  8  |  1  | 128 | 257 | True  | 0.08  |  [1, 8, 2048, 128]  |  [1, 1, 2048, 128]  |  [1, 1, 2048, 257]  |   True    | 0.08  | bf16  |      734.75       |      733.35      |      735.87      |       78.35        |
| 2  | N/A |  N/A  | 2048  |  8  |  1  | 128 | 257 | True  | 0.08  |  [2, 8, 2048, 128]  |  [2, 1, 2048, 128]  |  [2, 1, 2048, 257]  |   True    | 0.08  | bf16  |      1338.03      |     1337.24      |     1338.45      |       154.71       |
| 4  | N/A |  N/A  | 2048  |  8  |  1  | 128 | 257 | True  | 0.08  |  [4, 8, 2048, 128]  |  [4, 1, 2048, 128]  |  [4, 1, 2048, 257]  |   True    | 0.08  | bf16  |      2512.24      |      2511.2      |     2512.85      |       11.54        |
| 8  | N/A |  N/A  | 2048  |  8  |  1  | 128 | 257 | True  | 0.08  |  [8, 8, 2048, 128]  |  [8, 1, 2048, 128]  |  [8, 1, 2048, 257]  |   True    | 0.08  | bf16  |      4816.08      |     4815.02      |     4817.26      |       21.09        |
| 1  | N/A |  N/A  | 4096  |  8  |  1  | 128 | 257 | True  | 0.08  |  [1, 8, 4096, 128]  |  [1, 1, 4096, 128]  |  [1, 1, 4096, 257]  |   True    | 0.08  | bf16  |      2550.86      |     2549.73      |     2551.96      |       78.35        |
| 2  | N/A |  N/A  | 4096  |  8  |  1  | 128 | 257 | True  | 0.08  |  [2, 8, 4096, 128]  |  [2, 1, 4096, 128]  |  [2, 1, 4096, 257]  |   True    | 0.08  | bf16  |      4917.98      |     4916.86      |      4918.8      |       154.71       |
| 4  | N/A |  N/A  | 4096  |  8  |  1  | 128 | 257 | True  | 0.08  |  [4, 8, 4096, 128]  |  [4, 1, 4096, 128]  |  [4, 1, 4096, 257]  |   True    | 0.08  | bf16  |      9492.81      |     9492.28      |      9493.1      |       307.42       |
| 8  | N/A |  N/A  | 4096  |  8  |  1  | 128 | 257 | True  | 0.08  |  [8, 8, 4096, 128]  |  [8, 1, 4096, 128]  |  [8, 1, 4096, 257]  |   True    | 0.08  | bf16  |     18653.79      |     18652.5      |     18654.97     |        5.93        |
| 1  | N/A |  N/A  | 8192  |  8  |  1  | 128 | 257 | True  | 0.08  |  [1, 8, 8192, 128]  |  [1, 1, 8192, 128]  |  [1, 1, 8192, 257]  |   True    | 0.08  | bf16  |     10195.74      |     10194.31     |     10196.74     |        9.87        |
| 2  | N/A |  N/A  | 8192  |  8  |  1  | 128 | 257 | True  | 0.08  |  [2, 8, 8192, 128]  |  [2, 1, 8192, 128]  |  [2, 1, 8192, 257]  |   True    | 0.08  | bf16  |     19853.21      |     19851.14     |     19854.93     |       33.48        |
| 4  | N/A |  N/A  | 8192  |  8  |  1  | 128 | 257 | True  | 0.08  |  [4, 8, 8192, 128]  |  [4, 1, 8192, 128]  |  [4, 1, 8192, 257]  |   True    | 0.08  | bf16  |     39017.71      |     38994.62     |     39024.87     |       64.95        |
| 8  | N/A |  N/A  | 8192  |  8  |  1  | 128 | 257 | True  | 0.08  |  [8, 8, 8192, 128]  |  [8, 1, 8192, 128]  |  [8, 1, 8192, 257]  |   True    | 0.08  | bf16  |     77365.57      |     77358.24     |     77377.33     |       127.9        |
| 1  | N/A |  N/A  | 16384 |  8  |  1  | 128 | 257 | True  | 0.08  | [1, 8, 16384, 128]  | [1, 1, 16384, 128]  | [1, 1, 16384, 257]  |   True    | 0.08  | bf16  |      35314.6      |     35311.86     |     35316.83     |        5.94        |
| 2  | N/A |  N/A  | 16384 |  8  |  1  | 128 | 257 | True  | 0.08  | [2, 8, 16384, 128]  | [2, 1, 16384, 128]  | [2, 1, 16384, 257]  |   True    | 0.08  | bf16  |     69230.95      |     69229.27     |     69233.08     |        9.87        |
| 4  | N/A |  N/A  | 16384 |  8  |  1  | 128 | 257 | True  | 0.08  | [4, 8, 16384, 128]  | [4, 1, 16384, 128]  | [4, 1, 16384, 257]  |   True    | 0.08  | bf16  |     136783.64     |    136778.17     |    136788.92     |       33.49        |
| 8  | N/A |  N/A  | 16384 |  8  |  1  | 128 | 257 | True  | 0.08  | [8, 8, 16384, 128]  | [8, 1, 16384, 128]  | [8, 1, 16384, 257]  |   True    | 0.08  | bf16  |     271838.5      |    271819.47     |    271861.72     |       64.99        |
| 1  | N/A |  N/A  | 32768 |  8  |  1  | 128 | 257 | True  | 0.08  | [1, 8, 32768, 128]  | [1, 1, 32768, 128]  | [1, 1, 32768, 257]  |   True    | 0.08  | bf16  |     126674.34     |    126668.01     |    126677.82     |       127.97       |
| 2  | N/A |  N/A  | 32768 |  8  |  1  | 128 | 257 | True  | 0.08  | [2, 8, 32768, 128]  | [2, 1, 32768, 128]  | [2, 1, 32768, 257]  |   True    | 0.08  | bf16  |     248484.75     |    248458.78     |    248498.47     |        5.95        |
| 1  | N/A |  N/A  | 2048  |  8  |  8  | 128 | 257 | True  | 0.08  |  [1, 8, 2048, 128]  |  [1, 8, 2048, 128]  |  [1, 8, 2048, 257]  |   True    | 0.08  | bf16  |      750.24       |      749.16      |      750.74      |        9.9         |
| 2  | N/A |  N/A  | 2048  |  8  |  8  | 128 | 257 | True  | 0.08  |  [2, 8, 2048, 128]  |  [2, 8, 2048, 128]  |  [2, 8, 2048, 257]  |   True    | 0.08  | bf16  |      1331.49      |     1330.97      |     1331.99      |        33.6        |
| 4  | N/A |  N/A  | 2048  |  8  |  8  | 128 | 257 | True  | 0.08  |  [4, 8, 2048, 128]  |  [4, 8, 2048, 128]  |  [4, 8, 2048, 257]  |   True    | 0.08  | bf16  |      2502.62      |     2501.58      |      2503.4      |        65.2        |
| 8  | N/A |  N/A  | 2048  |  8  |  8  | 128 | 257 | True  | 0.08  |  [8, 8, 2048, 128]  |  [8, 8, 2048, 128]  |  [8, 8, 2048, 257]  |   True    | 0.08  | bf16  |      4800.43      |     4799.55      |     4801.27      |       128.4        |
| 1  | N/A |  N/A  | 4096  |  8  |  8  | 128 | 257 | True  | 0.08  |  [1, 8, 4096, 128]  |  [1, 8, 4096, 128]  |  [1, 8, 4096, 257]  |   True    | 0.08  | bf16  |      2591.18      |     2590.05      |     2591.97      |        6.0         |
| 2  | N/A |  N/A  | 4096  |  8  |  8  | 128 | 257 | True  | 0.08  |  [2, 8, 4096, 128]  |  [2, 8, 4096, 128]  |  [2, 8, 4096, 257]  |   True    | 0.08  | bf16  |      4911.51      |     4910.03      |     4912.53      |       10.01        |
| 4  | N/A |  N/A  | 4096  |  8  |  8  | 128 | 257 | True  | 0.08  |  [4, 8, 4096, 128]  |  [4, 8, 4096, 128]  |  [4, 8, 4096, 257]  |   True    | 0.08  | bf16  |      9477.12      |     9475.71      |     9478.52      |       34.03        |
| 8  | N/A |  N/A  | 4096  |  8  |  8  | 128 | 257 | True  | 0.08  |  [8, 8, 4096, 128]  |  [8, 8, 4096, 128]  |  [8, 8, 4096, 257]  |   True    | 0.08  | bf16  |     18627.67      |     18626.07     |     18628.55     |       66.06        |
| 1  | N/A |  N/A  | 8192  |  8  |  8  | 128 | 257 | True  | 0.08  |  [1, 8, 8192, 128]  |  [1, 8, 8192, 128]  |  [1, 8, 8192, 257]  |   True    | 0.08  | bf16  |      10275.1      |     10273.68     |     10277.55     |       130.12       |
| 2  | N/A |  N/A  | 8192  |  8  |  8  | 128 | 257 | True  | 0.08  |  [2, 8, 8192, 128]  |  [2, 8, 8192, 128]  |  [2, 8, 8192, 257]  |   True    | 0.08  | bf16  |     19835.83      |     19831.26     |     19839.45     |        6.22        |
| 4  | N/A |  N/A  | 8192  |  8  |  8  | 128 | 257 | True  | 0.08  |  [4, 8, 8192, 128]  |  [4, 8, 8192, 128]  |  [4, 8, 8192, 257]  |   True    | 0.08  | bf16  |     39005.91      |     38987.43     |     39015.2      |       10.44        |
| 8  | N/A |  N/A  | 8192  |  8  |  8  | 128 | 257 | True  | 0.08  |  [8, 8, 8192, 128]  |  [8, 8, 8192, 128]  |  [8, 8, 8192, 257]  |   True    | 0.08  | bf16  |     77335.77      |     77316.54     |     77351.77     |       35.75        |
| 1  | N/A |  N/A  | 16384 |  8  |  8  | 128 | 257 | True  | 0.08  | [1, 8, 16384, 128]  | [1, 8, 16384, 128]  | [1, 8, 16384, 257]  |   True    | 0.08  | bf16  |     35462.75      |     35460.23     |     35464.91     |        69.5        |
| 2  | N/A |  N/A  | 16384 |  8  |  8  | 128 | 257 | True  | 0.08  | [2, 8, 16384, 128]  | [2, 8, 16384, 128]  | [2, 8, 16384, 257]  |   True    | 0.08  | bf16  |     69193.41      |     69191.51     |     69194.6      |       137.0        |
| 4  | N/A |  N/A  | 16384 |  8  |  8  | 128 | 257 | True  | 0.08  | [4, 8, 16384, 128]  | [4, 8, 16384, 128]  | [4, 8, 16384, 257]  |   True    | 0.08  | bf16  |     136761.59     |    136739.45     |    136769.22     |        8.36        |
| 8  | N/A |  N/A  | 16384 |  8  |  8  | 128 | 257 | True  | 0.08  | [8, 8, 16384, 128]  | [8, 8, 16384, 128]  | [8, 8, 16384, 257]  |   True    | 0.08  | bf16  |     271724.81     |    271708.75     |    271738.62     |       14.73        |
| 1  | N/A |  N/A  | 32768 |  8  |  8  | 128 | 257 | True  | 0.08  | [1, 8, 32768, 128]  | [1, 8, 32768, 128]  | [1, 8, 32768, 257]  |   True    | 0.08  | bf16  |     126960.84     |    126955.16     |    126966.95     |        52.9        |
| 2  | N/A |  N/A  | 32768 |  8  |  8  | 128 | 257 | True  | 0.08  | [2, 8, 32768, 128]  | [2, 8, 32768, 128]  | [2, 8, 32768, 257]  |   True    | 0.08  | bf16  |     248446.33     |    248400.91     |    248459.33     |       103.81       |
| 1  | N/A |  N/A  | 2048  |  8  |  1  | 192 | 257 | True  | 0.08  |  [1, 8, 2048, 192]  |  [1, 1, 2048, 192]  |  [1, 1, 2048, 257]  |   True    | 0.08  | bf16  |       741.9       |      741.27      |      742.94      |       205.61       |
| 2  | N/A |  N/A  | 2048  |  8  |  1  | 192 | 257 | True  | 0.08  |  [2, 8, 2048, 192]  |  [2, 1, 2048, 192]  |  [2, 1, 2048, 257]  |   True    | 0.08  | bf16  |      1359.01      |     1358.33      |     1359.52      |       14.73        |
| 4  | N/A |  N/A  | 2048  |  8  |  1  | 192 | 257 | True  | 0.08  |  [4, 8, 2048, 192]  |  [4, 1, 2048, 192]  |  [4, 1, 2048, 257]  |   True    | 0.08  | bf16  |      2558.58      |     2558.03      |     2559.22      |       27.45        |
| 8  | N/A |  N/A  | 2048  |  8  |  1  | 192 | 257 | True  | 0.08  |  [8, 8, 2048, 192]  |  [8, 1, 2048, 192]  |  [8, 1, 2048, 257]  |   True    | 0.08  | bf16  |      4911.57      |     4910.34      |     4912.68      |       103.81       |
| 1  | N/A |  N/A  | 4096  |  8  |  1  | 192 | 257 | True  | 0.08  |  [1, 8, 4096, 192]  |  [1, 1, 4096, 192]  |  [1, 1, 4096, 257]  |   True    | 0.08  | bf16  |      2566.02      |     2565.46      |     2567.48      |       205.61       |
| 2  | N/A |  N/A  | 4096  |  8  |  1  | 192 | 257 | True  | 0.08  |  [2, 8, 4096, 192]  |  [2, 1, 4096, 192]  |  [2, 1, 4096, 257]  |   True    | 0.08  | bf16  |      4974.0       |     4973.32      |     4974.75      |       409.23       |
| 4  | N/A |  N/A  | 4096  |  8  |  1  | 192 | 257 | True  | 0.08  |  [4, 8, 4096, 192]  |  [4, 1, 4096, 192]  |  [4, 1, 4096, 257]  |   True    | 0.08  | bf16  |      9611.09      |     9608.82      |     9612.68      |        7.9         |
| 8  | N/A |  N/A  | 4096  |  8  |  1  | 192 | 257 | True  | 0.08  |  [8, 8, 4096, 192]  |  [8, 1, 4096, 192]  |  [8, 1, 4096, 257]  |   True    | 0.08  | bf16  |     18870.44      |     18858.67     |     18875.5      |        13.8        |
| 1  | N/A |  N/A  | 8192  |  8  |  1  | 192 | 257 | True  | 0.08  |  [1, 8, 8192, 192]  |  [1, 1, 8192, 192]  |  [1, 1, 8192, 257]  |   True    | 0.08  | bf16  |      10248.7      |     10244.87     |     10252.1      |       49.21        |
