Test Case: B200_aten-silu
|   M   |   N   |    _tensor     | dtype | duration_mean(us) | duration_min(us) | duration_max(us) | theory_latency(us) |
|   1   |  32   |    [1, 32]     | bf16  |       91.27       |      90.79       |      91.89       |        2.0         |
|   2   |  32   |    [2, 32]     | bf16  |       90.81       |      89.86       |      91.48       |        2.0         |
|   8   |  32   |    [8, 32]     | bf16  |       90.48       |      89.81       |      91.19       |        2.0         |
|  128  |  32   |   [128, 32]    | bf16  |       90.37       |      89.91       |      90.65       |        2.0         |
| 1024  |  32   |   [1024, 32]   | bf16  |       90.77       |      90.03       |      91.62       |        2.02        |
| 4096  |  32   |   [4096, 32]   | bf16  |       90.96       |      90.31       |      91.55       |        2.08        |
| 16384 |  32   |  [16384, 32]   | bf16  |       91.29       |      90.71       |      92.99       |        2.33        |
|   1   |  128  |    [1, 128]    | bf16  |       90.9        |      90.31       |      91.56       |        2.0         |
|   2   |  128  |    [2, 128]    | bf16  |       90.52       |      89.66       |      91.15       |        2.0         |
|   8   |  128  |    [8, 128]    | bf16  |       90.6        |      90.03       |       91.0       |        2.0         |
|  128  |  128  |   [128, 128]   | bf16  |       90.66       |      89.88       |      91.18       |        2.01        |
| 1024  |  128  |  [1024, 128]   | bf16  |       90.65       |      89.86       |      91.12       |        2.08        |
| 4096  |  128  |  [4096, 128]   | bf16  |       91.61       |      90.34       |      93.09       |        2.33        |
| 16384 |  128  |  [16384, 128]  | bf16  |       91.64       |      90.83       |      92.25       |        3.31        |
|   1   | 1024  |   [1, 1024]    | bf16  |       91.26       |      90.36       |      92.22       |        2.0         |
|   2   | 1024  |   [2, 1024]    | bf16  |       90.48       |      90.06       |      91.09       |        2.0         |
|   8   | 1024  |   [8, 1024]    | bf16  |       90.9        |      90.52       |      91.32       |        2.01        |
|  128  | 1024  |  [128, 1024]   | bf16  |       90.72       |      89.94       |      91.12       |        2.08        |
| 1024  | 1024  |  [1024, 1024]  | bf16  |       90.51       |      89.99       |      91.31       |        2.66        |
| 4096  | 1024  |  [4096, 1024]  | bf16  |       91.07       |      90.41       |      91.86       |        4.62        |
| 16384 | 1024  | [16384, 1024]  | bf16  |       91.97       |      90.75       |      93.42       |       12.49        |
|   1   | 8192  |   [1, 8192]    | bf16  |       90.42       |      89.85       |      90.83       |        2.01        |
|   2   | 8192  |   [2, 8192]    | bf16  |       90.77       |      90.14       |      91.81       |        2.01        |
|   8   | 8192  |   [8, 8192]    | bf16  |       90.66       |      89.89       |      91.19       |        2.04        |
|  128  | 8192  |  [128, 8192]   | bf16  |       90.65       |      89.92       |       91.3       |        2.66        |
| 1024  | 8192  |  [1024, 8192]  | bf16  |       91.13       |      90.25       |      92.18       |        7.24        |
| 4096  | 8192  |  [4096, 8192]  | bf16  |       90.89       |      90.19       |       91.5       |       22.97        |
| 16384 | 8192  | [16384, 8192]  | bf16  |       137.0       |      136.54      |      138.64      |       85.89        |
|   1   | 16384 |   [1, 16384]   | bf16  |       91.2        |      90.37       |      91.62       |        2.01        |
|   2   | 16384 |   [2, 16384]   | bf16  |       90.75       |       90.4       |      91.12       |        2.02        |
|   8   | 16384 |   [8, 16384]   | bf16  |       91.74       |       90.7       |      94.56       |        2.08        |
|  128  | 16384 |  [128, 16384]  | bf16  |       91.53       |      90.84       |      92.53       |        3.31        |
| 1024  | 16384 | [1024, 16384]  | bf16  |       91.41       |      90.21       |      92.14       |       12.49        |
| 4096  | 16384 | [4096, 16384]  | bf16  |       92.71       |      91.54       |      93.47       |       43.94        |
| 16384 | 16384 | [16384, 16384] | bf16  |      264.74       |      264.41      |      265.02      |       169.77       |
|   1   |  32   |    [1, 32]     | fp16  |       91.49       |      90.97       |      91.98       |        2.0         |
|   2   |  32   |    [2, 32]     | fp16  |       90.79       |      89.74       |      92.75       |        2.0         |
|   8   |  32   |    [8, 32]     | fp16  |       90.7        |      89.48       |      91.28       |        2.0         |
|  128  |  32   |   [128, 32]    | fp16  |       90.78       |      90.23       |      91.54       |        2.0         |
| 1024  |  32   |   [1024, 32]   | fp16  |       90.52       |      90.25       |      90.89       |        2.02        |
| 4096  |  32   |   [4096, 32]   | fp16  |       90.61       |       90.0       |      91.22       |        2.08        |
| 16384 |  32   |  [16384, 32]   | fp16  |       91.12       |      90.18       |      91.75       |        2.33        |
|   1   |  128  |    [1, 128]    | fp16  |       90.7        |      89.96       |       91.3       |        2.0         |
|   2   |  128  |    [2, 128]    | fp16  |       90.32       |      89.69       |      90.69       |        2.0         |
|   8   |  128  |    [8, 128]    | fp16  |       90.72       |      89.78       |       91.2       |        2.0         |
|  128  |  128  |   [128, 128]   | fp16  |       90.57       |      89.97       |      91.47       |        2.01        |
| 1024  |  128  |  [1024, 128]   | fp16  |       90.64       |      89.63       |      91.21       |        2.08        |
| 4096  |  128  |  [4096, 128]   | fp16  |       90.73       |      89.54       |       91.5       |        2.33        |
| 16384 |  128  |  [16384, 128]  | fp16  |       92.1        |      90.63       |      95.05       |        3.31        |
|   1   | 1024  |   [1, 1024]    | fp16  |       90.9        |      89.86       |      91.48       |        2.0         |
|   2   | 1024  |   [2, 1024]    | fp16  |       90.68       |      90.21       |      91.19       |        2.0         |
|   8   | 1024  |   [8, 1024]    | fp16  |       90.67       |      90.09       |      91.21       |        2.01        |
|  128  | 1024  |  [128, 1024]   | fp16  |       90.53       |      90.28       |      90.86       |        2.08        |
| 1024  | 1024  |  [1024, 1024]  | fp16  |       90.69       |      90.11       |      91.16       |        2.66        |
| 4096  | 1024  |  [4096, 1024]  | fp16  |       91.43       |      90.08       |      95.07       |        4.62        |
| 16384 | 1024  | [16384, 1024]  | fp16  |       91.36       |       90.9       |       92.1       |       12.49        |
|   1   | 8192  |   [1, 8192]    | fp16  |       91.01       |      90.18       |      91.89       |        2.01        |
|   2   | 8192  |   [2, 8192]    | fp16  |       90.89       |      90.13       |      91.77       |        2.01        |
|   8   | 8192  |   [8, 8192]    | fp16  |       90.86       |      90.04       |      91.76       |        2.04        |
|  128  | 8192  |  [128, 8192]   | fp16  |       91.33       |       90.6       |      92.14       |        2.66        |
| 1024  | 8192  |  [1024, 8192]  | fp16  |       92.19       |      90.24       |      97.51       |        7.24        |
| 4096  | 8192  |  [4096, 8192]  | fp16  |       91.24       |      90.26       |      92.17       |       22.97        |
| 16384 | 8192  | [16384, 8192]  | fp16  |      122.55       |      122.34      |      122.65      |       85.89        |
|   1   | 16384 |   [1, 16384]   | fp16  |       91.52       |      90.35       |      92.59       |        2.01        |
|   2   | 16384 |   [2, 16384]   | fp16  |       92.02       |      90.93       |      92.54       |        2.02        |
|   8   | 16384 |   [8, 16384]   | fp16  |       91.71       |      90.96       |      92.54       |        2.08        |
|  128  | 16384 |  [128, 16384]  | fp16  |       91.4        |      90.27       |      94.23       |        3.31        |
| 1024  | 16384 | [1024, 16384]  | fp16  |       93.11       |       90.8       |      99.75       |       12.49        |
| 4096  | 16384 | [4096, 16384]  | fp16  |       92.74       |      92.08       |      93.38       |       43.94        |
| 16384 | 16384 | [16384, 16384] | fp16  |      237.19       |      236.9       |      237.37      |       169.77       |
