Test Case: B200_aten-sin
|   M   |   N   |    _tensor     | dtype | duration_mean(us) | duration_min(us) | duration_max(us) | theory_latency(us) |
|   1   |  32   |    [1, 32]     | bf16  |       91.03       |      90.44       |      91.48       |         2          |
|   2   |  32   |    [2, 32]     | bf16  |       90.53       |      89.92       |       91.0       |         2          |
|   8   |  32   |    [8, 32]     | bf16  |       90.23       |       89.7       |      90.85       |         2          |
|  128  |  32   |   [128, 32]    | bf16  |       89.87       |      89.45       |      90.32       |         2          |
| 1024  |  32   |   [1024, 32]   | bf16  |       90.51       |      89.44       |      91.57       |         2          |
| 4096  |  32   |   [4096, 32]   | bf16  |       90.79       |      89.38       |      91.55       |         2          |
| 16384 |  32   |  [16384, 32]   | bf16  |       90.41       |      89.51       |      91.22       |         2          |
|   1   |  128  |    [1, 128]    | bf16  |       90.65       |      90.19       |      90.94       |         2          |
|   2   |  128  |    [2, 128]    | bf16  |       90.14       |      89.59       |      90.51       |         2          |
|   8   |  128  |    [8, 128]    | bf16  |       90.64       |      89.75       |       91.2       |         2          |
|  128  |  128  |   [128, 128]   | bf16  |       90.35       |      89.61       |      90.85       |         2          |
| 1024  |  128  |  [1024, 128]   | bf16  |       90.52       |      90.02       |      90.95       |         2          |
| 4096  |  128  |  [4096, 128]   | bf16  |       90.66       |      89.78       |      91.86       |         2          |
| 16384 |  128  |  [16384, 128]  | bf16  |       91.02       |       89.8       |      91.77       |         2          |
|   1   | 1024  |   [1, 1024]    | bf16  |       90.99       |       90.2       |      92.15       |         2          |
|   2   | 1024  |   [2, 1024]    | bf16  |       91.2        |      90.04       |      92.74       |         2          |
|   8   | 1024  |   [8, 1024]    | bf16  |       90.75       |      90.26       |      91.11       |         2          |
|  128  | 1024  |  [128, 1024]   | bf16  |       91.54       |      90.78       |      93.51       |         2          |
| 1024  | 1024  |  [1024, 1024]  | bf16  |       91.23       |      89.96       |      92.13       |         2          |
| 4096  | 1024  |  [4096, 1024]  | bf16  |       91.12       |      90.25       |       91.6       |         2          |
| 16384 | 1024  | [16384, 1024]  | bf16  |       91.68       |      90.23       |       94.7       |         2          |
|   1   | 8192  |   [1, 8192]    | bf16  |       90.65       |      90.15       |      91.16       |         2          |
|   2   | 8192  |   [2, 8192]    | bf16  |       90.7        |      90.18       |      91.46       |         2          |
|   8   | 8192  |   [8, 8192]    | bf16  |       91.16       |      90.25       |      92.12       |         2          |
|  128  | 8192  |  [128, 8192]   | bf16  |       91.1        |      90.27       |      91.96       |         2          |
| 1024  | 8192  |  [1024, 8192]  | bf16  |       91.43       |      90.53       |      92.78       |         2          |
| 4096  | 8192  |  [4096, 8192]  | bf16  |       92.4        |      90.65       |      96.19       |         2          |
| 16384 | 8192  | [16384, 8192]  | bf16  |      149.67       |      149.46      |      149.81      |         2          |
|   1   | 16384 |   [1, 16384]   | bf16  |       91.07       |      90.59       |      91.36       |         2          |
|   2   | 16384 |   [2, 16384]   | bf16  |       91.08       |       90.1       |      91.77       |         2          |
|   8   | 16384 |   [8, 16384]   | bf16  |       90.82       |      90.22       |      91.38       |         2          |
|  128  | 16384 |  [128, 16384]  | bf16  |       91.12       |      90.54       |      91.64       |         2          |
| 1024  | 16384 | [1024, 16384]  | bf16  |       92.94       |      91.56       |      95.35       |         2          |
| 4096  | 16384 | [4096, 16384]  | bf16  |       92.93       |      92.08       |      93.59       |         2          |
| 16384 | 16384 | [16384, 16384] | bf16  |      291.56       |      291.24      |      292.0       |         2          |
|   1   |  32   |    [1, 32]     | fp16  |       90.61       |      89.48       |      91.85       |         2          |
|   2   |  32   |    [2, 32]     | fp16  |       91.02       |      90.29       |      91.47       |         2          |
|   8   |  32   |    [8, 32]     | fp16  |       91.09       |      90.61       |      91.62       |         2          |
|  128  |  32   |   [128, 32]    | fp16  |       90.77       |      89.54       |      92.38       |         2          |
| 1024  |  32   |   [1024, 32]   | fp16  |       90.62       |      90.18       |      91.17       |         2          |
| 4096  |  32   |   [4096, 32]   | fp16  |       91.2        |      89.91       |      92.46       |         2          |
| 16384 |  32   |  [16384, 32]   | fp16  |       91.16       |       90.4       |      91.91       |         2          |
|   1   |  128  |    [1, 128]    | fp16  |       90.67       |      89.63       |      91.52       |         2          |
|   2   |  128  |    [2, 128]    | fp16  |       90.88       |      89.89       |       91.6       |         2          |
|   8   |  128  |    [8, 128]    | fp16  |       90.78       |      90.06       |      92.09       |         2          |
|  128  |  128  |   [128, 128]   | fp16  |       90.84       |      89.94       |      91.46       |         2          |
| 1024  |  128  |  [1024, 128]   | fp16  |       91.0        |      90.89       |      91.32       |         2          |
| 4096  |  128  |  [4096, 128]   | fp16  |       90.85       |      90.17       |      91.85       |         2          |
| 16384 |  128  |  [16384, 128]  | fp16  |       90.7        |      90.04       |      91.07       |         2          |
|   1   | 1024  |   [1, 1024]    | fp16  |       90.87       |      90.21       |      91.16       |         2          |
|   2   | 1024  |   [2, 1024]    | fp16  |       90.27       |      89.13       |      90.83       |         2          |
|   8   | 1024  |   [8, 1024]    | fp16  |       90.56       |      89.74       |      91.21       |         2          |
|  128  | 1024  |  [128, 1024]   | fp16  |       90.33       |      89.77       |      90.87       |         2          |
| 1024  | 1024  |  [1024, 1024]  | fp16  |       90.67       |      89.78       |      91.97       |         2          |
| 4096  | 1024  |  [4096, 1024]  | fp16  |       91.55       |      90.67       |      92.73       |         2          |
| 16384 | 1024  | [16384, 1024]  | fp16  |       91.6        |      91.05       |      92.15       |         2          |
|   1   | 8192  |   [1, 8192]    | fp16  |       90.81       |      89.69       |      91.64       |         2          |
|   2   | 8192  |   [2, 8192]    | fp16  |       90.79       |      90.37       |      91.26       |         2          |
|   8   | 8192  |   [8, 8192]    | fp16  |       90.87       |       90.3       |      91.55       |         2          |
|  128  | 8192  |  [128, 8192]   | fp16  |       91.2        |      90.74       |      91.92       |         2          |
| 1024  | 8192  |  [1024, 8192]  | fp16  |       93.74       |      93.16       |      94.93       |         2          |
| 4096  | 8192  |  [4096, 8192]  | fp16  |       92.07       |      91.29       |      92.74       |         2          |
| 16384 | 8192  | [16384, 8192]  | fp16  |       147.3       |      146.88      |      149.14      |         2          |
|   1   | 16384 |   [1, 16384]   | fp16  |       91.71       |      91.28       |       92.3       |         2          |
|   2   | 16384 |   [2, 16384]   | fp16  |       91.58       |      91.05       |      92.21       |         2          |
|   8   | 16384 |   [8, 16384]   | fp16  |       91.82       |      91.26       |      92.96       |         2          |
|  128  | 16384 |  [128, 16384]  | fp16  |       91.39       |      90.72       |      92.56       |         2          |
| 1024  | 16384 | [1024, 16384]  | fp16  |       92.45       |       91.5       |      94.95       |         2          |
| 4096  | 16384 | [4096, 16384]  | fp16  |       93.28       |       91.9       |      95.58       |         2          |
| 16384 | 16384 | [16384, 16384] | fp16  |      286.17       |      286.0       |      286.36      |         2          |
