Test Case: B200_aten-slice
|  M   |  N   | start | end |   _tensor    | step | dim | dtype | duration_mean(us) | duration_min(us) | duration_max(us) | theory_latency(us) |
|  1   |  32  |   0   |  8  |   [1, 32]    |  1   |  0  | bf16  |       89.4        |      88.88       |      90.48       |        4.64        |
|  2   |  32  |   0   |  8  |   [2, 32]    |  1   |  0  | bf16  |       87.51       |      86.82       |      88.59       |        7.27        |
|  8   |  32  |   0   |  8  |   [8, 32]    |  1   |  0  | bf16  |       88.13       |       86.9       |      89.09       |       12.54        |
| 128  |  32  |   0   |  8  |  [128, 32]   |  1   |  0  | bf16  |       88.57       |      87.47       |      89.64       |        4.63        |
| 1024 |  32  |   0   |  8  |  [1024, 32]  |  1   |  0  | bf16  |       88.22       |      87.69       |      88.89       |        7.27        |
| 4096 |  32  |   0   |  8  |  [4096, 32]  |  1   |  0  | bf16  |       87.97       |      86.57       |      88.91       |       12.53        |
|  1   | 128  |   0   |  8  |   [1, 128]   |  1   |  0  | bf16  |       88.26       |      87.32       |      89.14       |       23.07        |
|  2   | 128  |   0   |  8  |   [2, 128]   |  1   |  0  | bf16  |       87.4        |      87.01       |      88.07       |        7.27        |
|  8   | 128  |   0   |  8  |   [8, 128]   |  1   |  0  | bf16  |       87.76       |      87.14       |      88.67       |       12.53        |
| 128  | 128  |   0   |  8  |  [128, 128]  |  1   |  0  | bf16  |       87.76       |      86.64       |      88.44       |       23.06        |
| 1024 | 128  |   0   |  8  | [1024, 128]  |  1   |  0  | bf16  |       87.88       |      86.78       |      90.87       |       44.12        |
| 4096 | 128  |   0   |  8  | [4096, 128]  |  1   |  0  | bf16  |       87.7        |      87.07       |      88.47       |       12.53        |
|  1   | 1024 |   0   |  8  |  [1, 1024]   |  1   |  0  | bf16  |       87.95       |      87.12       |      88.49       |       23.06        |
|  2   | 1024 |   0   |  8  |  [2, 1024]   |  1   |  0  | bf16  |       87.52       |       87.0       |      87.86       |       44.11        |
|  8   | 1024 |   0   |  8  |  [8, 1024]   |  1   |  0  | bf16  |       87.99       |      87.56       |      88.51       |       86.23        |
| 128  | 1024 |   0   |  8  | [128, 1024]  |  1   |  0  | bf16  |       86.99       |      86.68       |      87.43       |       23.06        |
| 1024 | 1024 |   0   |  8  | [1024, 1024] |  1   |  0  | bf16  |       87.68       |      86.56       |      88.39       |       44.11        |
| 4096 | 1024 |   0   |  8  | [4096, 1024] |  1   |  0  | bf16  |       87.33       |      86.64       |      88.06       |       86.22        |
|  1   | 8192 |   0   |  8  |  [1, 8192]   |  1   |  0  | bf16  |       87.15       |      86.08       |      88.01       |       170.44       |
|  2   | 8192 |   0   |  8  |  [2, 8192]   |  1   |  0  | bf16  |       88.0        |       87.3       |      88.95       |        4.63        |
