Test Case: B200_aten-sub
|   M   |   N   |    _tensor     |   _tensor_1    | dtype | duration_mean(us) | duration_min(us) | duration_max(us) | theory_latency(us) |
|   1   |  32   |    [1, 32]     |    [1, 32]     | bf16  |       90.97       |      90.23       |      92.18       |        2.0         |
|   2   |  32   |    [2, 32]     |    [2, 32]     | bf16  |       91.03       |      90.14       |      91.55       |        2.0         |
|   8   |  32   |    [8, 32]     |    [8, 32]     | bf16  |       91.43       |      90.83       |      91.88       |        2.0         |
|  128  |  32   |   [128, 32]    |   [128, 32]    | bf16  |       90.97       |      90.69       |      91.36       |        2.0         |
| 1024  |  32   |   [1024, 32]   |   [1024, 32]   | bf16  |       90.99       |      90.38       |      91.81       |        2.03        |
| 4096  |  32   |   [4096, 32]   |   [4096, 32]   | bf16  |       91.33       |      90.48       |       91.8       |        2.12        |
| 16384 |  32   |  [16384, 32]   |  [16384, 32]   | bf16  |       91.34       |      90.34       |       91.9       |        2.49        |
|   1   |  128  |    [1, 128]    |    [1, 128]    | bf16  |       90.66       |      90.32       |      91.01       |        2.0         |
|   2   |  128  |    [2, 128]    |    [2, 128]    | bf16  |       91.57       |      90.94       |      92.19       |        2.0         |
|   8   |  128  |    [8, 128]    |    [8, 128]    | bf16  |       91.66       |      91.04       |      92.09       |        2.0         |
|  128  |  128  |   [128, 128]   |   [128, 128]   | bf16  |       90.83       |      89.76       |      91.28       |        2.02        |
| 1024  |  128  |  [1024, 128]   |  [1024, 128]   | bf16  |       91.87       |      90.69       |      92.66       |        2.12        |
| 4096  |  128  |  [4096, 128]   |  [4096, 128]   | bf16  |       91.62       |      90.66       |      92.66       |        2.49        |
| 16384 |  128  |  [16384, 128]  |  [16384, 128]  | bf16  |       91.72       |      90.29       |      95.08       |        3.97        |
|   1   | 1024  |   [1, 1024]    |   [1, 1024]    | bf16  |       91.14       |      90.65       |      91.49       |        2.0         |
|   2   | 1024  |   [2, 1024]    |   [2, 1024]    | bf16  |       91.55       |      90.93       |       92.3       |        2.0         |
|   8   | 1024  |   [8, 1024]    |   [8, 1024]    | bf16  |       91.17       |      90.62       |      91.58       |        2.01        |
|  128  | 1024  |  [128, 1024]   |  [128, 1024]   | bf16  |       91.41       |      90.94       |      92.13       |        2.12        |
| 1024  | 1024  |  [1024, 1024]  |  [1024, 1024]  | bf16  |       91.52       |      90.49       |      91.97       |        2.98        |
| 4096  | 1024  |  [4096, 1024]  |  [4096, 1024]  | bf16  |       91.36       |      90.05       |      94.07       |        5.93        |
| 16384 | 1024  | [16384, 1024]  | [16384, 1024]  | bf16  |       91.24       |      90.18       |      92.53       |       17.73        |
|   1   | 8192  |   [1, 8192]    |   [1, 8192]    | bf16  |       91.7        |      91.26       |      92.25       |        2.01        |
|   2   | 8192  |   [2, 8192]    |   [2, 8192]    | bf16  |       91.66       |      90.68       |      92.46       |        2.02        |
|   8   | 8192  |   [8, 8192]    |   [8, 8192]    | bf16  |       91.41       |      90.13       |      92.12       |        2.06        |
|  128  | 8192  |  [128, 8192]   |  [128, 8192]   | bf16  |       91.34       |      90.96       |      91.93       |        2.98        |
| 1024  | 8192  |  [1024, 8192]  |  [1024, 8192]  | bf16  |       92.11       |      91.21       |      92.71       |        9.86        |
| 4096  | 8192  |  [4096, 8192]  |  [4096, 8192]  | bf16  |       91.63       |      90.39       |      92.71       |       33.46        |
| 16384 | 8192  | [16384, 8192]  | [16384, 8192]  | bf16  |      122.67       |      122.35      |      123.17      |       127.83       |
|   1   | 16384 |   [1, 16384]   |   [1, 16384]   | bf16  |       92.26       |      91.58       |      93.13       |        2.02        |
|   2   | 16384 |   [2, 16384]   |   [2, 16384]   | bf16  |       91.94       |      91.53       |      92.42       |        2.03        |
|   8   | 16384 |   [8, 16384]   |   [8, 16384]   | bf16  |       92.32       |      91.84       |      93.33       |        2.12        |
|  128  | 16384 |  [128, 16384]  |  [128, 16384]  | bf16  |       92.95       |      91.07       |      100.22      |        3.97        |
| 1024  | 16384 | [1024, 16384]  | [1024, 16384]  | bf16  |       91.77       |      90.96       |      92.85       |       17.73        |
| 4096  | 16384 | [4096, 16384]  | [4096, 16384]  | bf16  |       91.81       |      90.95       |      94.05       |       64.91        |
| 16384 | 16384 | [16384, 16384] | [16384, 16384] | bf16  |      239.59       |      239.2       |      239.89      |       253.66       |
|   1   |  32   |    [1, 32]     |    [1, 32]     | fp16  |       91.19       |       90.6       |      92.11       |        2.0         |
|   2   |  32   |    [2, 32]     |    [2, 32]     | fp16  |       91.63       |      91.21       |      92.13       |        2.0         |
