Test Case: B200_aten-sum
|   M   |   N   |    _tensor     | dtype | duration_mean(us) | duration_min(us) | duration_max(us) | theory_latency(us) |
|   1   |  32   |    [1, 32]     | bf16  |       99.42       |      98.96       |      99.92       |        2.0         |
|   2   |  32   |    [2, 32]     | bf16  |       99.03       |      98.45       |      100.22      |        2.0         |
|   8   |  32   |    [8, 32]     | bf16  |       97.94       |      97.08       |      98.96       |        2.0         |
|  128  |  32   |   [128, 32]    | bf16  |       98.26       |      97.75       |      98.85       |        2.0         |
| 1024  |  32   |   [1024, 32]   | bf16  |       98.36       |      97.62       |      99.25       |        2.01        |
| 4096  |  32   |   [4096, 32]   | bf16  |      101.79       |      100.96      |      102.52      |        2.04        |
| 16384 |  32   |  [16384, 32]   | bf16  |      102.14       |      101.74      |      102.52      |        2.16        |
|   1   |  128  |    [1, 128]    | bf16  |       98.63       |      97.93       |      98.98       |        2.0         |
|   2   |  128  |    [2, 128]    | bf16  |       98.49       |      97.94       |       99.3       |        2.0         |
|   8   |  128  |    [8, 128]    | bf16  |       98.65       |      97.96       |      99.53       |        2.0         |
|  128  |  128  |   [128, 128]   | bf16  |       99.05       |      98.69       |      99.32       |        2.01        |
| 1024  |  128  |  [1024, 128]   | bf16  |       102.0       |      101.53      |      102.81      |        2.04        |
| 4096  |  128  |  [4096, 128]   | bf16  |      102.03       |      100.79      |      102.7       |        2.16        |
| 16384 |  128  |  [16384, 128]  | bf16  |      102.57       |      102.01      |      103.14      |        2.66        |
|   1   | 1024  |   [1, 1024]    | bf16  |       98.69       |       97.3       |      99.24       |        2.0         |
|   2   | 1024  |   [2, 1024]    | bf16  |       98.7        |      98.22       |      99.06       |        2.0         |
|   8   | 1024  |   [8, 1024]    | bf16  |       98.92       |      98.08       |      99.69       |        2.0         |
|  128  | 1024  |  [128, 1024]   | bf16  |      102.44       |      102.07      |      102.72      |        2.04        |
| 1024  | 1024  |  [1024, 1024]  | bf16  |      102.91       |      102.02      |      103.45      |        2.33        |
| 4096  | 1024  |  [4096, 1024]  | bf16  |      102.38       |      101.66      |      102.9       |        3.31        |
| 16384 | 1024  | [16384, 1024]  | bf16  |      103.23       |      102.51      |      105.0       |        7.24        |
|   1   | 8192  |   [1, 8192]    | bf16  |       99.61       |      99.24       |      99.88       |        2.0         |
|   2   | 8192  |   [2, 8192]    | bf16  |       99.15       |      98.33       |      100.11      |        2.01        |
|   8   | 8192  |   [8, 8192]    | bf16  |       98.72       |      98.28       |      98.92       |        2.02        |
|  128  | 8192  |  [128, 8192]   | bf16  |      102.52       |      101.7       |      103.09      |        2.33        |
| 1024  | 8192  |  [1024, 8192]  | bf16  |      102.92       |      101.94      |      103.54      |        4.62        |
| 4096  | 8192  |  [4096, 8192]  | bf16  |      102.89       |      102.12      |      104.76      |       12.49        |
