test case : H100PCIE_flash_attn::flash_attn.flash_attn_func
|    B     |    C     |    D     |    De    |   Drop    |   MQKV   |   NHK    |   NHQ    |     S     |  causal  |  deterministic  |  dropout_p  |  softmax_scale  |   window_size   |                             input_shape                              | dtype  | duration_min(us) | duration_mean(us) | duration_max(us) | latency_value(us) |    2D_flops     |  activation  |   params   |     flops_1D      |               flops_2D               |    flops_SFU     |  flops_efficient_1D  |  flops_efficient_2D  |  flops_efficient_SFU  |     io     | io_efficient |
|    8     |   True   |   128    |   True   |    0.0    |   2048   |    8     |    8     |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |      [[1, 2048, 8, 128], [1, 2048, 8, 128], [1, 2048, 8, 128]]       |  bf16  |      70.69       |       70.79       |      70.87       |       30.41       |    1.72e+10     |   2.62e+05   |  0.00e+00  |    [234881024]    |       [8589934592, 8589934592]       |    [33554432]    |       1.17e-01       |       3.62e-01       |       1.34e-01        |  2.10e+07  |    29.67%    |
|    16    |   True   |   128    |   True   |    0.0    |   2048   |    8     |    8     |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |      [[2, 2048, 8, 128], [2, 2048, 8, 128], [2, 2048, 8, 128]]       |  bf16  |      114.00      |      116.02       |      116.77      |       58.81       |    3.44e+10     |   5.24e+05   |  0.00e+00  |    [469762048]    |      [17179869184, 17179869184]      |    [67108864]    |       1.45e-01       |       4.49e-01       |       1.66e-01        |  4.19e+07  |    36.79%    |
|    32    |   True   |   128    |   True   |    0.0    |   2048   |    8     |    8     |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |      [[4, 2048, 8, 128], [4, 2048, 8, 128], [4, 2048, 8, 128]]       |  bf16  |      193.34      |      194.76       |      195.71      |      115.62       |    6.87e+10     |   1.05e+06   |  0.00e+00  |    [939524096]    |      [34359738368, 34359738368]      |   [134217728]    |       1.72e-01       |       5.29e-01       |       1.96e-01        |  8.39e+07  |    43.39%    |
|    8     |   True   |   128    |   True   |    0.0    |   4096   |    8     |    8     |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |      [[1, 4096, 8, 128], [1, 4096, 8, 128], [1, 4096, 8, 128]]       |  bf16  |      199.03      |      200.90       |      203.58      |      115.62       |    6.87e+10     |   5.24e+05   |  0.00e+00  |    [939524096]    |      [34359738368, 34359738368]      |   [134217728]    |       1.67e-01       |       5.14e-01       |       1.90e-01        |  4.19e+07  |    21.07%    |
|    16    |   True   |   128    |   True   |    0.0    |   4096   |    8     |    8     |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |      [[2, 4096, 8, 128], [2, 4096, 8, 128], [2, 4096, 8, 128]]       |  bf16  |      346.53      |      353.78       |      358.90      |      229.25       |    1.37e+11     |   1.05e+06   |  0.00e+00  |   [1879048192]    |      [68719476736, 68719476736]      |   [268435456]    |       1.91e-01       |       5.90e-01       |       2.19e-01        |  8.39e+07  |    24.21%    |
|    32    |   True   |   128    |   True   |    0.0    |   4096   |    8     |    8     |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |      [[4, 4096, 8, 128], [4, 4096, 8, 128], [4, 4096, 8, 128]]       |  bf16  |      583.87      |      586.75       |      589.98      |      456.49       |    2.75e+11     |   2.10e+06   |  0.00e+00  |   [3758096384]    |     [137438953472, 137438953472]     |   [536870912]    |       2.27e-01       |       7.01e-01       |       2.60e-01        |  1.68e+08  |    28.73%    |
|    8     |   True   |   128    |   True   |    0.0    |   8192   |    8     |    8     |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |      [[1, 8192, 8, 128], [1, 8192, 8, 128], [1, 8192, 8, 128]]       |  bf16  |      642.94      |      655.48       |      661.48      |      456.49       |    2.75e+11     |   1.05e+06   |  0.00e+00  |   [3758096384]    |     [137438953472, 137438953472]     |   [536870912]    |       2.06e-01       |       6.36e-01       |       2.36e-01        |  8.39e+07  |    13.05%    |
|    16    |   True   |   128    |   True   |    0.0    |   8192   |    8     |    8     |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |      [[2, 8192, 8, 128], [2, 8192, 8, 128], [2, 8192, 8, 128]]       |  bf16  |     1113.52      |      1168.49      |     1205.68      |      910.99       |    5.50e+11     |   2.10e+06   |  0.00e+00  |   [7516192768]    |     [274877906944, 274877906944]     |   [1073741824]   |       2.38e-01       |       7.35e-01       |       2.72e-01        |  1.68e+08  |    15.07%    |
|    32    |   True   |   128    |   True   |    0.0    |   8192   |    8     |    8     |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |      [[4, 8192, 8, 128], [4, 8192, 8, 128], [4, 8192, 8, 128]]       |  bf16  |     2006.64      |      2209.35      |     2272.00      |      1819.98      |    1.10e+12     |   4.19e+06   |  0.00e+00  |   [15032385536]   |     [549755813888, 549755813888]     |   [2147483648]   |       2.64e-01       |       8.15e-01       |       3.02e-01        |  3.36e+08  |    16.72%    |
|    8     |   True   |   128    |   True   |    0.0    |  16384   |    8     |    8     |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |     [[1, 16384, 8, 128], [1, 16384, 8, 128], [1, 16384, 8, 128]]     |  bf16  |     2168.88      |      2285.70      |     2330.23      |      1819.98      |    1.10e+12     |   2.10e+06   |  0.00e+00  |   [15032385536]   |     [549755813888, 549755813888]     |   [2147483648]   |       2.45e-01       |       7.54e-01       |       2.80e-01        |  1.68e+08  |    7.74%     |
