test case : H100PCIE_flash_attn::flash_attn.flash_attn_qkvpacked_func
|  causal  |  deterministic  |  dropout_p  |  softmax_scale  |   window_size   |   M    |        input_shape         | dtype  | duration_min(us) | duration_mean(us) | duration_max(us) | latency_value(us) | flops_1D |      flops_2D      | flops_SFU | flops_efficient_1D | flops_efficient_2D | flops_efficient_SFU |     io     | flops_efficient_1D | flops_efficient_2D | flops_efficient_SFU | io_efficient |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   1    |     [[1, 1, 3, 1, 64]]     |  bf16  |       6.54       |       6.59        |       6.64       |       2.00        |   [7]    |     [128, 128]     |    [1]    |      4.25e-08      |      5.83e-08      |      8.74e-08       |  6.40e+02  |       0.00%        |       0.00%        |        0.00%        |    0.01%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   1    |     [[2, 1, 3, 1, 64]]     |  bf16  |       6.57       |       6.60        |       6.62       |       2.00        |   [14]   |     [256, 256]     |    [2]    |      8.46e-08      |      1.16e-07      |      1.74e-07       |  1.15e+03  |       0.00%        |       0.00%        |        0.00%        |    0.02%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   1    |     [[4, 1, 3, 1, 64]]     |  bf16  |       6.55       |       6.57        |       6.59       |       2.00        |   [28]   |     [512, 512]     |    [4]    |      1.70e-07      |      2.33e-07      |      3.49e-07       |  2.18e+03  |       0.00%        |       0.00%        |        0.00%        |    0.03%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   1    |     [[8, 1, 3, 1, 64]]     |  bf16  |       7.02       |       7.04        |       7.06       |       2.01        |   [56]   |    [1024, 1024]    |    [8]    |      3.17e-07      |      4.34e-07      |      6.51e-07       |  4.22e+03  |       0.00%        |       0.00%        |        0.00%        |    0.06%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   1    |    [[16, 1, 3, 1, 64]]     |  bf16  |       7.03       |       7.05        |       7.09       |       2.01        |  [112]   |    [2048, 2048]    |   [16]    |      6.33e-07      |      8.67e-07      |      1.30e-06       |  8.32e+03  |       0.00%        |       0.00%        |        0.00%        |    0.12%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   1    |    [[32, 1, 3, 1, 64]]     |  bf16  |       6.99       |       7.00        |       7.02       |       2.02        |  [224]   |    [4096, 4096]    |   [32]    |      1.27e-06      |      1.74e-06      |      2.62e-06       |  1.65e+04  |       0.00%        |       0.00%        |        0.00%        |    0.24%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   4    |     [[1, 4, 3, 1, 64]]     |  bf16  |       6.74       |       6.76        |       6.78       |       2.00        |   [7]    |     [128, 128]     |    [1]    |      4.12e-08      |      5.65e-08      |      8.48e-08       |  6.40e+02  |       0.00%        |       0.00%        |        0.00%        |    0.01%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   4    |     [[2, 4, 3, 1, 64]]     |  bf16  |       7.02       |       7.04        |       7.04       |       2.00        |   [14]   |     [256, 256]     |    [2]    |      7.92e-08      |      1.08e-07      |      1.63e-07       |  1.15e+03  |       0.00%        |       0.00%        |        0.00%        |    0.02%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   4    |     [[4, 4, 3, 1, 64]]     |  bf16  |       6.96       |       6.97        |       6.98       |       2.00        |   [28]   |     [512, 512]     |    [4]    |      1.60e-07      |      2.19e-07      |      3.29e-07       |  2.18e+03  |       0.00%        |       0.00%        |        0.00%        |    0.03%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   4    |     [[8, 4, 3, 1, 64]]     |  bf16  |       7.06       |       7.09        |       7.11       |       2.01        |   [56]   |    [1024, 1024]    |    [8]    |      3.15e-07      |      4.32e-07      |      6.48e-07       |  4.22e+03  |       0.00%        |       0.00%        |        0.00%        |    0.06%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   4    |    [[16, 4, 3, 1, 64]]     |  bf16  |       7.09       |       7.11        |       7.13       |       2.01        |  [112]   |    [2048, 2048]    |   [16]    |      6.27e-07      |      8.59e-07      |      1.29e-06       |  8.32e+03  |       0.00%        |       0.00%        |        0.00%        |    0.12%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   4    |    [[32, 4, 3, 1, 64]]     |  bf16  |       7.29       |       7.30        |       7.32       |       2.02        |  [224]   |    [4096, 4096]    |   [32]    |      1.22e-06      |      1.67e-06      |      2.51e-06       |  1.65e+04  |       0.00%        |       0.00%        |        0.00%        |    0.23%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   8    |     [[1, 8, 3, 1, 64]]     |  bf16  |       6.74       |       6.77        |       6.79       |       2.00        |   [7]    |     [128, 128]     |    [1]    |      4.12e-08      |      5.65e-08      |      8.48e-08       |  6.40e+02  |       0.00%        |       0.00%        |        0.00%        |    0.01%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   8    |     [[2, 8, 3, 1, 64]]     |  bf16  |       7.03       |       7.05        |       7.07       |       2.00        |   [14]   |     [256, 256]     |    [2]    |      7.91e-08      |      1.08e-07      |      1.63e-07       |  1.15e+03  |       0.00%        |       0.00%        |        0.00%        |    0.02%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   8    |     [[4, 8, 3, 1, 64]]     |  bf16  |       6.98       |       7.01        |       7.03       |       2.00        |   [28]   |     [512, 512]     |    [4]    |      1.59e-07      |      2.18e-07      |      3.28e-07       |  2.18e+03  |       0.00%        |       0.00%        |        0.00%        |    0.03%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   8    |     [[8, 8, 3, 1, 64]]     |  bf16  |       7.11       |       7.13        |       7.15       |       2.01        |   [56]   |    [1024, 1024]    |    [8]    |      3.13e-07      |      4.29e-07      |      6.43e-07       |  4.22e+03  |       0.00%        |       0.00%        |        0.00%        |    0.06%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   8    |    [[16, 8, 3, 1, 64]]     |  bf16  |       7.09       |       7.13        |       7.18       |       2.01        |  [112]   |    [2048, 2048]    |   [16]    |      6.27e-07      |      8.59e-07      |      1.29e-06       |  8.32e+03  |       0.00%        |       0.00%        |        0.00%        |    0.12%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   8    |    [[32, 8, 3, 1, 64]]     |  bf16  |       7.28       |       7.30        |       7.32       |       2.02        |  [224]   |    [4096, 4096]    |   [32]    |      1.22e-06      |      1.67e-06      |      2.51e-06       |  1.65e+04  |       0.00%        |       0.00%        |        0.00%        |    0.23%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   16   |    [[1, 16, 3, 1, 64]]     |  bf16  |       6.81       |       6.82        |       6.83       |       2.00        |   [7]    |     [128, 128]     |    [1]    |      4.08e-08      |      5.60e-08      |      8.40e-08       |  6.40e+02  |       0.00%        |       0.00%        |        0.00%        |    0.01%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   16   |    [[2, 16, 3, 1, 64]]     |  bf16  |       7.03       |       7.04        |       7.05       |       2.00        |   [14]   |     [256, 256]     |    [2]    |      7.90e-08      |      1.08e-07      |      1.63e-07       |  1.15e+03  |       0.00%        |       0.00%        |        0.00%        |    0.02%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   16   |    [[4, 16, 3, 1, 64]]     |  bf16  |       7.00       |       7.01        |       7.02       |       2.00        |   [28]   |     [512, 512]     |    [4]    |      1.59e-07      |      2.18e-07      |      3.27e-07       |  2.18e+03  |       0.00%        |       0.00%        |        0.00%        |    0.03%     |
