Test Case: H100PCIE_apex_fused_layer_norm_cuda.forward
|   M   |   N   |  _val   | _val(1) |   input_shape    | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) | flops_1D | flops_SFU |    io    | flops_efficiency_1D | flops_efficiency_SFU | io_efficiency |
|   1   |  32   |  [32]   | 0.0001  |    [[1, 32]]     | bf16  |       3.33       |       3.36        |       3.41       |        2.0         | 2.56e+02 | 3.20e+01  | 6.40e+01 |        0.0%         |         0.0%         |     0.0%      |
|   2   |  32   |  [32]   | 0.0001  |    [[2, 32]]     | bf16  |       3.37       |       3.39        |       3.4        |        2.0         | 5.12e+02 | 6.40e+01  | 1.28e+02 |        0.0%         |         0.0%         |     0.0%      |
|   4   |  32   |  [32]   | 0.0001  |    [[4, 32]]     | bf16  |       3.37       |       3.38        |       3.4        |        2.0         | 1.02e+03 | 1.28e+02  | 2.56e+02 |        0.0%         |         0.0%         |     0.01%     |
|   8   |  32   |  [32]   | 0.0001  |    [[8, 32]]     | bf16  |       3.59       |        3.6        |       3.62       |        2.0         | 2.05e+03 | 2.56e+02  | 5.12e+02 |        0.0%         |         0.0%         |     0.01%     |
|  16   |  32   |  [32]   | 0.0001  |    [[16, 32]]    | bf16  |       3.6        |       3.66        |       3.81       |        2.0         | 4.10e+03 | 5.12e+02  | 1.02e+03 |        0.0%         |         0.0%         |     0.03%     |
|  32   |  32   |  [32]   | 0.0001  |    [[32, 32]]    | bf16  |       3.62       |       3.64        |       3.67       |        2.0         | 8.19e+03 | 1.02e+03  | 2.05e+03 |        0.0%         |         0.0%         |     0.06%     |
|  64   |  32   |  [32]   | 0.0001  |    [[64, 32]]    | bf16  |       3.64       |       3.66        |       3.7        |        2.01        | 1.64e+04 | 2.05e+03  | 4.10e+03 |        0.01%        |        0.01%         |     0.11%     |
|  128  |  32   |  [32]   | 0.0001  |   [[128, 32]]    | bf16  |       3.73       |       3.74        |       3.76       |        2.01        | 3.28e+04 | 4.10e+03  | 8.19e+03 |        0.02%        |        0.02%         |     0.22%     |
|  256  |  32   |  [32]   | 0.0001  |   [[256, 32]]    | bf16  |       3.8        |       3.82        |       3.83       |        2.02        | 6.55e+04 | 8.19e+03  | 1.64e+04 |        0.03%        |        0.03%         |     0.43%     |
|  512  |  32   |  [32]   | 0.0001  |   [[512, 32]]    | bf16  |       4.96       |       5.08        |       5.17       |        2.04        | 1.31e+05 | 1.64e+04  | 3.28e+04 |        0.05%        |        0.05%         |     0.66%     |
| 1024  |  32   |  [32]   | 0.0001  |   [[1024, 32]]   | bf16  |       4.49       |       4.51        |       4.53       |        2.08        | 2.62e+05 | 3.28e+04  | 6.55e+04 |        0.11%        |        0.11%         |     1.46%     |
| 2048  |  32   |  [32]   | 0.0001  |   [[2048, 32]]   | bf16  |       6.25       |       6.27        |       6.29       |        2.16        | 5.24e+05 | 6.55e+04  | 1.31e+05 |        0.16%        |        0.16%         |     2.1%      |
| 4096  |  32   |  [32]   | 0.0001  |   [[4096, 32]]   | bf16  |       9.48       |       9.51        |       9.54       |        2.33        | 1.05e+06 | 1.31e+05  | 2.62e+05 |        0.22%        |        0.22%         |     2.77%     |
| 8192  |  32   |  [32]   | 0.0001  |   [[8192, 32]]   | bf16  |      15.82       |       15.84       |      15.87       |        2.66        | 2.10e+06 | 2.62e+05  | 5.24e+05 |        0.26%        |        0.26%         |     3.31%     |
| 16384 |  32   |  [32]   | 0.0001  |  [[16384, 32]]   | bf16  |      28.23       |       28.25       |      28.27       |        3.31        | 4.19e+06 | 5.24e+05  | 1.05e+06 |        0.29%        |        0.29%         |     3.71%     |
| 32768 |  32   |  [32]   | 0.0001  |  [[32768, 32]]   | bf16  |      53.07       |       53.09       |      53.14       |        4.62        | 8.39e+06 | 1.05e+06  | 2.10e+06 |        0.31%        |        0.31%         |     3.95%     |
| 65536 |  32   |  [32]   | 0.0001  |  [[65536, 32]]   | bf16  |      102.93      |      102.97       |      103.09      |        7.24        | 1.68e+07 | 2.10e+06  | 4.19e+06 |        0.32%        |        0.32%         |     4.07%     |
|   1   |  64   |  [64]   | 0.0001  |    [[1, 64]]     | bf16  |       3.54       |       3.56        |       3.59       |        2.0         | 5.12e+02 | 6.40e+01  | 1.28e+02 |        0.0%         |         0.0%         |     0.0%      |
|   2   |  64   |  [64]   | 0.0001  |    [[2, 64]]     | bf16  |       3.57       |       3.59        |       3.6        |        2.0         | 1.02e+03 | 1.28e+02  | 2.56e+02 |        0.0%         |         0.0%         |     0.01%     |
|   4   |  64   |  [64]   | 0.0001  |    [[4, 64]]     | bf16  |       3.57       |       3.59        |       3.6        |        2.0         | 2.05e+03 | 2.56e+02  | 5.12e+02 |        0.0%         |         0.0%         |     0.01%     |
|   8   |  64   |  [64]   | 0.0001  |    [[8, 64]]     | bf16  |       3.59       |        3.6        |       3.61       |        2.0         | 4.10e+03 | 5.12e+02  | 1.02e+03 |        0.0%         |         0.0%         |     0.03%     |
|  16   |  64   |  [64]   | 0.0001  |    [[16, 64]]    | bf16  |       3.6        |       3.62        |       3.63       |        2.0         | 8.19e+03 | 1.02e+03  | 2.05e+03 |        0.0%         |         0.0%         |     0.06%     |
|  32   |  64   |  [64]   | 0.0001  |    [[32, 64]]    | bf16  |       3.62       |       3.64        |       3.65       |        2.01        | 1.64e+04 | 2.05e+03  | 4.10e+03 |        0.01%        |        0.01%         |     0.11%     |
|  64   |  64   |  [64]   | 0.0001  |    [[64, 64]]    | bf16  |       3.65       |       3.67        |       3.69       |        2.01        | 3.28e+04 | 4.10e+03  | 8.19e+03 |        0.02%        |        0.02%         |     0.22%     |
|  128  |  64   |  [64]   | 0.0001  |   [[128, 64]]    | bf16  |       3.73       |       3.75        |       3.77       |        2.02        | 6.55e+04 | 8.19e+03  | 1.64e+04 |        0.03%        |        0.03%         |     0.44%     |
|  256  |  64   |  [64]   | 0.0001  |   [[256, 64]]    | bf16  |       3.8        |       3.81        |       3.82       |        2.04        | 1.31e+05 | 1.64e+04  | 3.28e+04 |        0.07%        |        0.07%         |     0.86%     |
|  512  |  64   |  [64]   | 0.0001  |   [[512, 64]]    | bf16  |       4.01       |       4.02        |       4.04       |        2.08        | 2.62e+05 | 3.28e+04  | 6.55e+04 |        0.13%        |        0.13%         |     1.63%     |
| 1024  |  64   |  [64]   | 0.0001  |   [[1024, 64]]   | bf16  |       4.48       |       4.49        |       4.5        |        2.16        | 5.24e+05 | 6.55e+04  | 1.31e+05 |        0.23%        |        0.23%         |     2.93%     |
| 2048  |  64   |  [64]   | 0.0001  |   [[2048, 64]]   | bf16  |       6.29       |       6.31        |       6.33       |        2.33        | 1.05e+06 | 1.31e+05  | 2.62e+05 |        0.33%        |        0.33%         |     4.17%     |
| 4096  |  64   |  [64]   | 0.0001  |   [[4096, 64]]   | bf16  |       9.6        |       9.62        |       9.65       |        2.66        | 2.10e+06 | 2.62e+05  | 5.24e+05 |        0.43%        |        0.43%         |     5.46%     |
| 8192  |  64   |  [64]   | 0.0001  |   [[8192, 64]]   | bf16  |      15.99       |       16.04       |      16.07       |        3.31        | 4.19e+06 | 5.24e+05  | 1.05e+06 |        0.51%        |        0.51%         |     6.56%     |
| 16384 |  64   |  [64]   | 0.0001  |  [[16384, 64]]   | bf16  |      28.55       |       28.57       |       28.6       |        4.62        | 8.39e+06 | 1.05e+06  | 2.10e+06 |        0.58%        |        0.58%         |     7.35%     |
| 32768 |  64   |  [64]   | 0.0001  |  [[32768, 64]]   | bf16  |      53.74       |       53.77       |       53.8       |        7.24        | 1.68e+07 | 2.10e+06  | 4.19e+06 |        0.61%        |        0.61%         |     7.8%      |
