Test Case: H100PCIE_apex_fused_layer_norm_cuda.rms_forward
|   M   |   N   |  _val   | _val(1) |   input_shape    | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) | flops_1D | flops_SFU |    io    | flops_efficiency_1D | flops_efficiency_SFU | io_efficiency |
|   1   |  32   |  [32]   | 0.0001  |    [[1, 32]]     | bf16  |       2.83       |       2.85        |       2.86       |        2.0         | 2.56e+02 | 3.20e+01  | 6.40e+01 |        0.0%         |         0.0%         |     0.0%      |
|   2   |  32   |  [32]   | 0.0001  |    [[2, 32]]     | bf16  |       2.85       |       2.86        |       2.88       |        2.0         | 5.12e+02 | 6.40e+01  | 1.28e+02 |        0.0%         |         0.0%         |     0.0%      |
|   4   |  32   |  [32]   | 0.0001  |    [[4, 32]]     | bf16  |       2.87       |       2.88        |       2.89       |        2.0         | 1.02e+03 | 1.28e+02  | 2.56e+02 |        0.0%         |         0.0%         |     0.01%     |
|   8   |  32   |  [32]   | 0.0001  |    [[8, 32]]     | bf16  |       3.08       |       3.11        |       3.12       |        2.0         | 2.05e+03 | 2.56e+02  | 5.12e+02 |        0.0%         |         0.0%         |     0.02%     |
|  16   |  32   |  [32]   | 0.0001  |    [[16, 32]]    | bf16  |       3.09       |       3.11        |       3.15       |        2.0         | 4.10e+03 | 5.12e+02  | 1.02e+03 |        0.0%         |         0.0%         |     0.03%     |
|  32   |  32   |  [32]   | 0.0001  |    [[32, 32]]    | bf16  |       3.08       |       3.11        |       3.14       |        2.0         | 8.19e+03 | 1.02e+03  | 2.05e+03 |        0.01%        |        0.01%         |     0.07%     |
|  64   |  32   |  [32]   | 0.0001  |    [[64, 32]]    | bf16  |       3.1        |       3.12        |       3.14       |        2.01        | 1.64e+04 | 2.05e+03  | 4.10e+03 |        0.01%        |        0.01%         |     0.13%     |
|  128  |  32   |  [32]   | 0.0001  |   [[128, 32]]    | bf16  |       3.16       |       3.18        |       3.2        |        2.01        | 3.28e+04 | 4.10e+03  | 8.19e+03 |        0.02%        |        0.02%         |     0.26%     |
|  256  |  32   |  [32]   | 0.0001  |   [[256, 32]]    | bf16  |       3.22       |       3.24        |       3.26       |        2.02        | 6.55e+04 | 8.19e+03  | 1.64e+04 |        0.04%        |        0.04%         |     0.51%     |
|  512  |  32   |  [32]   | 0.0001  |   [[512, 32]]    | bf16  |       3.46       |       3.47        |       3.5        |        2.04        | 1.31e+05 | 1.64e+04  | 3.28e+04 |        0.07%        |        0.07%         |     0.95%     |
| 1024  |  32   |  [32]   | 0.0001  |   [[1024, 32]]   | bf16  |       3.87       |       3.89        |       3.93       |        2.08        | 2.62e+05 | 3.28e+04  | 6.55e+04 |        0.13%        |        0.13%         |     1.69%     |
| 2048  |  32   |  [32]   | 0.0001  |   [[2048, 32]]   | bf16  |       4.86       |       4.88        |       4.9        |        2.16        | 5.24e+05 | 6.55e+04  | 1.31e+05 |        0.21%        |        0.21%         |     2.7%      |
| 4096  |  32   |  [32]   | 0.0001  |   [[4096, 32]]   | bf16  |       6.71       |       6.74        |       6.77       |        2.33        | 1.05e+06 | 1.31e+05  | 2.62e+05 |        0.31%        |        0.31%         |     3.91%     |
| 8192  |  32   |  [32]   | 0.0001  |   [[8192, 32]]   | bf16  |      10.44       |       10.46       |      10.48       |        2.66        | 2.10e+06 | 2.62e+05  | 5.24e+05 |        0.39%        |        0.39%         |     5.02%     |
| 16384 |  32   |  [32]   | 0.0001  |  [[16384, 32]]   | bf16  |      17.81       |       17.85       |      17.87       |        3.31        | 4.19e+06 | 5.24e+05  | 1.05e+06 |        0.46%        |        0.46%         |     5.89%     |
| 32768 |  32   |  [32]   | 0.0001  |  [[32768, 32]]   | bf16  |       32.6       |       32.63       |      32.68       |        4.62        | 8.39e+06 | 1.05e+06  | 2.10e+06 |        0.5%         |         0.5%         |     6.43%     |
| 65536 |  32   |  [32]   | 0.0001  |  [[65536, 32]]   | bf16  |      62.28       |       62.29       |      62.32       |        7.24        | 1.68e+07 | 2.10e+06  | 4.19e+06 |        0.53%        |        0.53%         |     6.73%     |
|   1   |  64   |  [64]   | 0.0001  |    [[1, 64]]     | bf16  |       3.01       |       3.03        |       3.05       |        2.0         | 5.12e+02 | 6.40e+01  | 1.28e+02 |        0.0%         |         0.0%         |     0.0%      |
|   2   |  64   |  [64]   | 0.0001  |    [[2, 64]]     | bf16  |       3.02       |       3.04        |       3.06       |        2.0         | 1.02e+03 | 1.28e+02  | 2.56e+02 |        0.0%         |         0.0%         |     0.01%     |
|   4   |  64   |  [64]   | 0.0001  |    [[4, 64]]     | bf16  |       3.04       |       3.06        |       3.07       |        2.0         | 2.05e+03 | 2.56e+02  | 5.12e+02 |        0.0%         |         0.0%         |     0.02%     |
|   8   |  64   |  [64]   | 0.0001  |    [[8, 64]]     | bf16  |       3.07       |       3.08        |       3.08       |        2.0         | 4.10e+03 | 5.12e+02  | 1.02e+03 |        0.0%         |         0.0%         |     0.03%     |
|  16   |  64   |  [64]   | 0.0001  |    [[16, 64]]    | bf16  |       3.07       |        3.1        |       3.12       |        2.0         | 8.19e+03 | 1.02e+03  | 2.05e+03 |        0.01%        |        0.01%         |     0.07%     |
|  32   |  64   |  [64]   | 0.0001  |    [[32, 64]]    | bf16  |       3.09       |       3.12        |       3.13       |        2.01        | 1.64e+04 | 2.05e+03  | 4.10e+03 |        0.01%        |        0.01%         |     0.13%     |
|  64   |  64   |  [64]   | 0.0001  |    [[64, 64]]    | bf16  |       3.12       |       3.13        |       3.14       |        2.01        | 3.28e+04 | 4.10e+03  | 8.19e+03 |        0.02%        |        0.02%         |     0.26%     |
|  128  |  64   |  [64]   | 0.0001  |   [[128, 64]]    | bf16  |       3.16       |       3.17        |       3.19       |        2.02        | 6.55e+04 | 8.19e+03  | 1.64e+04 |        0.04%        |        0.04%         |     0.52%     |
|  256  |  64   |  [64]   | 0.0001  |   [[256, 64]]    | bf16  |       3.24       |       3.25        |       3.26       |        2.04        | 1.31e+05 | 1.64e+04  | 3.28e+04 |        0.08%        |        0.08%         |     1.01%     |
|  512  |  64   |  [64]   | 0.0001  |   [[512, 64]]    | bf16  |       3.45       |       3.47        |       3.49       |        2.08        | 2.62e+05 | 3.28e+04  | 6.55e+04 |        0.15%        |        0.15%         |     1.9%      |
| 1024  |  64   |  [64]   | 0.0001  |   [[1024, 64]]   | bf16  |       3.86       |       3.87        |       3.89       |        2.16        | 5.24e+05 | 6.55e+04  | 1.31e+05 |        0.27%        |        0.27%         |     3.4%      |
| 2048  |  64   |  [64]   | 0.0001  |   [[2048, 64]]   | bf16  |       4.9        |       4.92        |       4.96       |        2.33        | 1.05e+06 | 1.31e+05  | 2.62e+05 |        0.42%        |        0.42%         |     5.35%     |
| 4096  |  64   |  [64]   | 0.0001  |   [[4096, 64]]   | bf16  |       6.73       |       6.75        |       6.76       |        2.66        | 2.10e+06 | 2.62e+05  | 5.24e+05 |        0.61%        |        0.61%         |     7.79%     |
| 8192  |  64   |  [64]   | 0.0001  |   [[8192, 64]]   | bf16  |      10.57       |       10.59       |       10.6       |        3.31        | 4.19e+06 | 5.24e+05  | 1.05e+06 |        0.78%        |        0.78%         |     9.92%     |
| 16384 |  64   |  [64]   | 0.0001  |  [[16384, 64]]   | bf16  |      18.06       |       18.09       |      18.11       |        4.62        | 8.39e+06 | 1.05e+06  | 2.10e+06 |        0.91%        |        0.91%         |    11.61%     |
| 32768 |  64   |  [64]   | 0.0001  |  [[32768, 64]]   | bf16  |      33.17       |       33.2        |      33.23       |        7.24        | 1.68e+07 | 2.10e+06  | 4.19e+06 |        0.99%        |        0.99%         |    12.64%     |
| 65536 |  64   |  [64]   | 0.0001  |  [[65536, 64]]   | bf16  |      63.48       |       63.51       |      63.56       |       12.49        | 3.36e+07 | 4.19e+06  | 8.39e+06 |        1.04%        |        1.04%         |    13.21%     |
|   1   |  128  |  [128]  | 0.0001  |    [[1, 128]]    | bf16  |       3.0        |       3.02        |       3.05       |        2.0         | 1.02e+03 | 1.28e+02  | 2.56e+02 |        0.0%         |         0.0%         |     0.01%     |
|   2   |  128  |  [128]  | 0.0001  |    [[2, 128]]    | bf16  |       3.01       |       3.02        |       3.04       |        2.0         | 2.05e+03 | 2.56e+02  | 5.12e+02 |        0.0%         |         0.0%         |     0.02%     |
|   4   |  128  |  [128]  | 0.0001  |    [[4, 128]]    | bf16  |       3.04       |       3.05        |       3.06       |        2.0         | 4.10e+03 | 5.12e+02  | 1.02e+03 |        0.0%         |         0.0%         |     0.03%     |
|   8   |  128  |  [128]  | 0.0001  |    [[8, 128]]    | bf16  |       3.06       |       3.07        |       3.1        |        2.0         | 8.19e+03 | 1.02e+03  | 2.05e+03 |        0.01%        |        0.01%         |     0.07%     |
|  16   |  128  |  [128]  | 0.0001  |   [[16, 128]]    | bf16  |       3.08       |       3.09        |       3.11       |        2.01        | 1.64e+04 | 2.05e+03  | 4.10e+03 |        0.01%        |        0.01%         |     0.13%     |
|  32   |  128  |  [128]  | 0.0001  |   [[32, 128]]    | bf16  |       3.1        |       3.12        |       3.14       |        2.01        | 3.28e+04 | 4.10e+03  | 8.19e+03 |        0.02%        |        0.02%         |     0.26%     |
|  64   |  128  |  [128]  | 0.0001  |   [[64, 128]]    | bf16  |       3.09       |       3.11        |       3.14       |        2.02        | 6.55e+04 | 8.19e+03  | 1.64e+04 |        0.04%        |        0.04%         |     0.53%     |
|  128  |  128  |  [128]  | 0.0001  |   [[128, 128]]   | bf16  |       3.16       |       3.18        |       3.19       |        2.04        | 1.31e+05 | 1.64e+04  | 3.28e+04 |        0.08%        |        0.08%         |     1.04%     |
|  256  |  128  |  [128]  | 0.0001  |   [[256, 128]]   | bf16  |       3.22       |       3.25        |       3.32       |        2.08        | 2.62e+05 | 3.28e+04  | 6.55e+04 |        0.16%        |        0.16%         |     2.04%     |
|  512  |  128  |  [128]  | 0.0001  |   [[512, 128]]   | bf16  |       3.43       |       3.45        |       3.46       |        2.16        | 5.24e+05 | 6.55e+04  | 1.31e+05 |        0.3%         |         0.3%         |     3.82%     |
| 1024  |  128  |  [128]  | 0.0001  |  [[1024, 128]]   | bf16  |       3.86       |       3.87        |       3.89       |        2.33        | 1.05e+06 | 1.31e+05  | 2.62e+05 |        0.53%        |        0.53%         |     6.79%     |
