Test Case: H100PCIE_apex_fused_rotary_positional_embedding.forward
|  M  |  N  |      _tensor       | _val  |      input_shape       | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|  2  | 16  |   [1, 1, 1, 16]    | True  |    [[1, 1, 2, 16]]     | bf16  |       2.63       |       2.65        |       2.68       |        2.0         | 5.12e+02 | 6.40e+01 |       0.0%       |     0.0%      |
|  2  | 16  |   [2, 1, 1, 16]    | True  |    [[2, 1, 2, 16]]     | bf16  |       3.59       |       3.63        |       3.68       |        2.0         | 1.02e+03 | 1.28e+02 |       0.0%       |     0.0%      |
|  2  | 16  |   [4, 1, 1, 16]    | True  |    [[4, 1, 2, 16]]     | bf16  |       2.64       |       2.67        |       2.69       |        2.0         | 2.05e+03 | 2.56e+02 |       0.0%       |     0.01%     |
|  2  | 16  |  [256, 1, 1, 16]   | True  |   [[256, 1, 2, 16]]    | bf16  |       2.99       |       3.01        |       3.03       |        2.02        | 1.31e+05 | 1.64e+04 |      0.09%       |     0.55%     |
|  2  | 16  |  [512, 1, 1, 16]   | True  |   [[512, 1, 2, 16]]    | bf16  |       3.2        |       3.22        |       3.24       |        2.04        | 2.62e+05 | 3.28e+04 |      0.16%       |     1.02%     |
|  2  | 16  |  [1024, 1, 1, 16]  | True  |   [[1024, 1, 2, 16]]   | bf16  |       3.57       |       3.59        |       3.62       |        2.08        | 5.24e+05 | 6.55e+04 |      0.29%       |     1.84%     |
|  2  | 16  |  [2048, 1, 1, 16]  | True  |   [[2048, 1, 2, 16]]   | bf16  |       4.28       |        4.3        |       4.32       |        2.16        | 1.05e+06 | 1.31e+05 |      0.48%       |     3.06%     |
|  2  | 16  |  [4096, 1, 1, 16]  | True  |   [[4096, 1, 2, 16]]   | bf16  |       5.59       |        5.6        |       5.62       |        2.33        | 2.10e+06 | 2.62e+05 |      0.74%       |     4.69%     |
|  2  | 16  |  [8192, 1, 1, 16]  | True  |   [[8192, 1, 2, 16]]   | bf16  |       8.23       |       8.25        |       8.26       |        2.66        | 4.19e+06 | 5.24e+05 |       1.0%       |     6.37%     |
|  2  | 16  | [16384, 1, 1, 16]  | True  |  [[16384, 1, 2, 16]]   | bf16  |      13.47       |       13.49       |      13.52       |        3.31        | 8.39e+06 | 1.05e+06 |      1.22%       |     7.78%     |
|  2  | 16  | [32768, 1, 1, 16]  | True  |  [[32768, 1, 2, 16]]   | bf16  |      24.02       |       24.06       |      24.09       |        4.62        | 1.68e+07 | 2.10e+06 |      1.37%       |     8.73%     |
|  2  | 16  | [65536, 1, 1, 16]  | True  |  [[65536, 1, 2, 16]]   | bf16  |      45.06       |       45.11       |      45.18       |        7.24        | 3.36e+07 | 4.19e+06 |      1.46%       |     9.31%     |
|  4  | 16  |   [1, 1, 1, 16]    | True  |    [[1, 1, 4, 16]]     | bf16  |       2.8        |       2.83        |       2.85       |        2.0         | 1.02e+03 | 1.28e+02 |       0.0%       |     0.0%      |
|  4  | 16  |   [2, 1, 1, 16]    | True  |    [[2, 1, 4, 16]]     | bf16  |       3.74       |       3.78        |       3.82       |        2.0         | 2.05e+03 | 2.56e+02 |       0.0%       |     0.01%     |
|  4  | 16  |   [4, 1, 1, 16]    | True  |    [[4, 1, 4, 16]]     | bf16  |       2.84       |       2.88        |       2.94       |        2.0         | 4.10e+03 | 5.12e+02 |       0.0%       |     0.02%     |
|  4  | 16  |  [256, 1, 1, 16]   | True  |   [[256, 1, 4, 16]]    | bf16  |       3.03       |       3.04        |       3.05       |        2.04        | 2.62e+05 | 3.28e+04 |      0.17%       |     1.08%     |
|  4  | 16  |  [512, 1, 1, 16]   | True  |   [[512, 1, 4, 16]]    | bf16  |       3.23       |       3.25        |       3.28       |        2.08        | 5.24e+05 | 6.55e+04 |      0.32%       |     2.03%     |
|  4  | 16  |  [1024, 1, 1, 16]  | True  |   [[1024, 1, 4, 16]]   | bf16  |       3.6        |       3.63        |       3.66       |        2.16        | 1.05e+06 | 1.31e+05 |      0.57%       |     3.64%     |
