Test Case: H100PCIE_aten_baddbmm
|  B  |  M  |  K   |  N   |                       input_shape                       | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|  1  |  1  |  32  |  32  |          [[1, 1, 32], [1, 1, 32], [1, 32, 32]]          | bf16  |       35.4       |       35.65       |      35.99       |        2.0         | 2.05e+03 | 1.09e+03 |       0.0%       |     0.0%      |
|  2  |  1  |  32  |  32  |          [[2, 1, 32], [2, 1, 32], [2, 32, 32]]          | bf16  |      30.58       |       30.78       |      31.04       |        2.0         | 4.10e+03 | 2.18e+03 |       0.0%       |     0.01%     |
|  4  |  1  |  32  |  32  |          [[4, 1, 32], [4, 1, 32], [4, 32, 32]]          | bf16  |       30.4       |       30.54       |      30.72       |        2.01        | 8.19e+03 | 4.35e+03 |       0.0%       |     0.01%     |
|  8  |  1  |  32  |  32  |          [[8, 1, 32], [8, 1, 32], [8, 32, 32]]          | bf16  |      30.32       |       30.52       |      30.85       |        2.01        | 1.64e+04 | 8.70e+03 |       0.0%       |     0.03%     |
| 16  |  1  |  32  |  32  |        [[16, 1, 32], [16, 1, 32], [16, 32, 32]]         | bf16  |       30.1       |       30.38       |       30.7       |        2.02        | 3.28e+04 | 1.74e+04 |       0.0%       |     0.06%     |
| 32  |  1  |  32  |  32  |        [[32, 1, 32], [32, 1, 32], [32, 32, 32]]         | bf16  |      30.49       |       30.7        |      30.94       |        2.04        | 6.55e+04 | 3.48e+04 |       0.0%       |     0.11%     |
| 64  |  1  |  32  |  32  |        [[64, 1, 32], [64, 1, 32], [64, 32, 32]]         | bf16  |       30.6       |       30.77       |      30.98       |        2.09        | 1.31e+05 | 6.96e+04 |       0.0%       |     0.23%     |
| 128 |  1  |  32  |  32  |       [[128, 1, 32], [128, 1, 32], [128, 32, 32]]       | bf16  |       30.4       |       30.53       |      30.71       |        2.17        | 2.62e+05 | 1.39e+05 |       0.0%       |     0.46%     |
|  1  |  2  |  32  |  32  |          [[1, 2, 32], [1, 2, 32], [1, 32, 32]]          | bf16  |      35.56       |       35.76       |      35.93       |        2.0         | 4.10e+03 | 1.15e+03 |       0.0%       |     0.0%      |
|  2  |  2  |  32  |  32  |          [[2, 2, 32], [2, 2, 32], [2, 32, 32]]          | bf16  |      35.84       |       36.04       |      36.27       |        2.0         | 8.19e+03 | 2.30e+03 |       0.0%       |     0.01%     |
