Test Case: H100PCIE_aten_bmm
|  B  |  M  |  K   |  N   |              input_shape              | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|  1  |  1  |  32  |  32  |       [[1, 1, 32], [1, 32, 32]]       | bf16  |      25.41       |       25.6        |      25.83       |        2.0         | 2.05e+03 | 1.09e+03 |       0.0%       |     0.0%      |
|  2  |  1  |  32  |  32  |       [[2, 1, 32], [2, 32, 32]]       | bf16  |      21.24       |       21.35       |      21.49       |        2.0         | 4.10e+03 | 2.18e+03 |       0.0%       |     0.01%     |
|  4  |  1  |  32  |  32  |       [[4, 1, 32], [4, 32, 32]]       | bf16  |      21.18       |       21.26       |       21.4       |        2.01        | 8.19e+03 | 4.35e+03 |       0.0%       |     0.02%     |
|  8  |  1  |  32  |  32  |       [[8, 1, 32], [8, 32, 32]]       | bf16  |      21.16       |       21.26       |       21.4       |        2.01        | 1.64e+04 | 8.70e+03 |       0.0%       |     0.04%     |
| 16  |  1  |  32  |  32  |      [[16, 1, 32], [16, 32, 32]]      | bf16  |      21.12       |       21.28       |      21.37       |        2.02        | 3.28e+04 | 1.74e+04 |       0.0%       |     0.08%     |
| 32  |  1  |  32  |  32  |      [[32, 1, 32], [32, 32, 32]]      | bf16  |       21.0       |       21.17       |      21.29       |        2.04        | 6.55e+04 | 3.48e+04 |       0.0%       |     0.17%     |
|  1  |  2  |  32  |  32  |       [[1, 2, 32], [1, 32, 32]]       | bf16  |      25.36       |       25.5        |      25.68       |        2.0         | 4.10e+03 | 1.15e+03 |       0.0%       |     0.0%      |
|  2  |  2  |  32  |  32  |       [[2, 2, 32], [2, 32, 32]]       | bf16  |      25.42       |       25.62       |      25.84       |        2.0         | 8.19e+03 | 2.30e+03 |       0.0%       |     0.01%     |
|  4  |  2  |  32  |  32  |       [[4, 2, 32], [4, 32, 32]]       | bf16  |      25.41       |       25.51       |      25.68       |        2.01        | 1.64e+04 | 4.61e+03 |       0.0%       |     0.02%     |
|  8  |  2  |  32  |  32  |       [[8, 2, 32], [8, 32, 32]]       | bf16  |      25.69       |       25.79       |      25.89       |        2.01        | 3.28e+04 | 9.22e+03 |       0.0%       |     0.04%     |
