Test Case: H100PCIE_aten_contiguous
|   M   |  N   |  B  |    input_shape     | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|  32   |  32  | N/A |     [[32, 32]]     | bf16  |       1.52       |       1.55        |       1.59       |        2.0         | 0.00e+00 | 2.05e+03 |        0%        |     0.13%     |
|  64   |  32  | N/A |     [[64, 32]]     | bf16  |       1.48       |        1.5        |       1.52       |        2.01        | 0.00e+00 | 4.10e+03 |        0%        |     0.28%     |
|  128  |  32  | N/A |    [[128, 32]]     | bf16  |       1.49       |       1.52        |       1.54       |        2.01        | 0.00e+00 | 8.19e+03 |        0%        |     0.55%     |
|  256  |  32  | N/A |    [[256, 32]]     | bf16  |       1.49       |        1.5        |       1.52       |        2.02        | 0.00e+00 | 1.64e+04 |        0%        |     1.1%      |
|  512  |  32  | N/A |    [[512, 32]]     | bf16  |       2.98       |        3.0        |       3.02       |        2.04        | 0.00e+00 | 3.28e+04 |        0%        |     1.1%      |
| 1024  |  32  | N/A |    [[1024, 32]]    | bf16  |       1.51       |       1.52        |       1.53       |        2.08        | 0.00e+00 | 6.55e+04 |        0%        |     4.34%     |
| 2048  |  32  | N/A |    [[2048, 32]]    | bf16  |       1.51       |       1.54        |       1.57       |        2.16        | 0.00e+00 | 1.31e+05 |        0%        |     8.68%     |
| 4096  |  32  | N/A |    [[4096, 32]]    | bf16  |       1.49       |       1.52        |       1.56       |        2.33        | 0.00e+00 | 2.62e+05 |        0%        |    17.59%     |
| 8192  |  32  | N/A |    [[8192, 32]]    | bf16  |       1.51       |       1.52        |       1.53       |        2.66        | 0.00e+00 | 5.24e+05 |        0%        |    34.72%     |
| 16384 |  32  | N/A |   [[16384, 32]]    | bf16  |       2.94       |        3.0        |       3.05       |        3.31        | 0.00e+00 | 1.05e+06 |        0%        |    35.67%     |
| 32768 |  32  | N/A |   [[32768, 32]]    | bf16  |       1.5        |       1.52        |       1.53       |        4.62        | 0.00e+00 | 2.10e+06 |        0%        |    139.81%    |
|  32   |  64  | N/A |     [[32, 64]]     | bf16  |       1.49       |       1.52        |       1.54       |        2.01        | 0.00e+00 | 4.10e+03 |        0%        |     0.27%     |
|  64   |  64  | N/A |     [[64, 64]]     | bf16  |       1.48       |       1.52        |       1.56       |        2.01        | 0.00e+00 | 8.19e+03 |        0%        |     0.55%     |
|  128  |  64  | N/A |    [[128, 64]]     | bf16  |       1.5        |       1.52        |       1.54       |        2.02        | 0.00e+00 | 1.64e+04 |        0%        |     1.09%     |
|  256  |  64  | N/A |    [[256, 64]]     | bf16  |       1.49       |       1.52        |       1.54       |        2.04        | 0.00e+00 | 3.28e+04 |        0%        |     2.2%      |
