Test Case: H100PCIE_aten_copy_
|   M   |  N   |  B  |             input_shape              | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|  32   |  32  | N/A |         [[32, 32], [32, 32]]         | bf16  |       2.23       |       2.25        |       2.27       |        2.0         | 1.02e+03 | 2.05e+03 |       0.0%       |     0.09%     |
|  64   |  32  | N/A |         [[64, 32], [64, 32]]         | bf16  |       2.47       |       2.59        |       2.69       |        2.01        | 2.05e+03 | 4.10e+03 |       0.0%       |     0.17%     |
|  128  |  32  | N/A |        [[128, 32], [128, 32]]        | bf16  |       2.45       |        2.5        |       2.56       |        2.01        | 4.10e+03 | 8.19e+03 |       0.0%       |     0.33%     |
|  256  |  32  | N/A |        [[256, 32], [256, 32]]        | bf16  |       2.29       |       2.31        |       2.32       |        2.02        | 8.19e+03 | 1.64e+04 |      0.01%       |     0.72%     |
|  512  |  32  | N/A |        [[512, 32], [512, 32]]        | bf16  |       2.3        |       2.33        |       2.37       |        2.04        | 1.64e+04 | 3.28e+04 |      0.01%       |     1.42%     |
| 1024  |  32  | N/A |       [[1024, 32], [1024, 32]]       | bf16  |       2.32       |       2.35        |       2.37       |        2.08        | 3.28e+04 | 6.55e+04 |      0.03%       |     2.82%     |
| 2048  |  32  | N/A |       [[2048, 32], [2048, 32]]       | bf16  |       2.5        |       2.56        |       2.64       |        2.16        | 6.55e+04 | 1.31e+05 |      0.05%       |     5.24%     |
| 4096  |  32  | N/A |       [[4096, 32], [4096, 32]]       | bf16  |       2.57       |       2.61        |       2.64       |        2.33        | 1.31e+05 | 2.62e+05 |       0.1%       |     10.2%     |
| 8192  |  32  | N/A |       [[8192, 32], [8192, 32]]       | bf16  |       2.76       |       2.78        |       2.81       |        2.66        | 2.62e+05 | 5.24e+05 |      0.19%       |     19.0%     |
| 16384 |  32  | N/A |      [[16384, 32], [16384, 32]]      | bf16  |       2.73       |       2.75        |       2.77       |        3.31        | 5.24e+05 | 1.05e+06 |      0.38%       |    38.41%     |
| 32768 |  32  | N/A |      [[32768, 32], [32768, 32]]      | bf16  |       2.91       |       2.93        |       2.95       |        4.62        | 1.05e+06 | 2.10e+06 |      0.71%       |    72.07%     |
|  32   |  64  | N/A |         [[32, 64], [32, 64]]         | bf16  |       2.43       |       2.46        |       2.49       |        2.01        | 2.05e+03 | 4.10e+03 |       0.0%       |     0.17%     |
|  64   |  64  | N/A |         [[64, 64], [64, 64]]         | bf16  |       2.43       |       2.44        |       2.45       |        2.01        | 4.10e+03 | 8.19e+03 |       0.0%       |     0.34%     |
|  128  |  64  | N/A |        [[128, 64], [128, 64]]        | bf16  |       2.45       |       2.48        |       2.51       |        2.02        | 8.19e+03 | 1.64e+04 |      0.01%       |     0.67%     |
|  256  |  64  | N/A |        [[256, 64], [256, 64]]        | bf16  |       2.48       |       2.49        |       2.5        |        2.04        | 1.64e+04 | 3.28e+04 |      0.01%       |     1.32%     |
|  512  |  64  | N/A |        [[512, 64], [512, 64]]        | bf16  |       2.5        |       2.52        |       2.54       |        2.08        | 3.28e+04 | 6.55e+04 |      0.03%       |     2.62%     |
| 1024  |  64  | N/A |       [[1024, 64], [1024, 64]]       | bf16  |       2.51       |       2.53        |       2.56       |        2.16        | 6.55e+04 | 1.31e+05 |      0.05%       |     5.22%     |
| 2048  |  64  | N/A |       [[2048, 64], [2048, 64]]       | bf16  |       2.58       |       2.59        |       2.61       |        2.33        | 1.31e+05 | 2.62e+05 |       0.1%       |    10.16%     |
| 4096  |  64  | N/A |       [[4096, 64], [4096, 64]]       | bf16  |       2.76       |       2.82        |       2.9        |        2.66        | 2.62e+05 | 5.24e+05 |      0.19%       |     19.0%     |
| 8192  |  64  | N/A |       [[8192, 64], [8192, 64]]       | bf16  |       2.71       |       2.73        |       2.75       |        3.31        | 5.24e+05 | 1.05e+06 |      0.38%       |    38.69%     |
| 16384 |  64  | N/A |      [[16384, 64], [16384, 64]]      | bf16  |       2.92       |       2.94        |       2.95       |        4.62        | 1.05e+06 | 2.10e+06 |       0.7%       |    71.82%     |
| 32768 |  64  | N/A |      [[32768, 64], [32768, 64]]      | bf16  |       3.76       |       3.78        |       3.81       |        7.24        | 2.10e+06 | 4.19e+06 |      1.09%       |    111.55%    |
|  32   | 128  | N/A |        [[32, 128], [32, 128]]        | bf16  |       2.25       |       2.27        |       2.29       |        2.01        | 4.10e+03 | 8.19e+03 |       0.0%       |     0.36%     |
|  64   | 128  | N/A |        [[64, 128], [64, 128]]        | bf16  |       2.25       |       2.27        |       2.29       |        2.02        | 8.19e+03 | 1.64e+04 |      0.01%       |     0.73%     |
|  128  | 128  | N/A |       [[128, 128], [128, 128]]       | bf16  |       2.45       |       2.47        |       2.49       |        2.04        | 1.64e+04 | 3.28e+04 |      0.01%       |     1.34%     |
|  256  | 128  | N/A |       [[256, 128], [256, 128]]       | bf16  |       2.5        |       2.52        |       2.55       |        2.08        | 3.28e+04 | 6.55e+04 |      0.03%       |     2.62%     |
|  512  | 128  | N/A |       [[512, 128], [512, 128]]       | bf16  |       2.51       |       2.54        |       2.57       |        2.16        | 6.55e+04 | 1.31e+05 |      0.05%       |     5.22%     |
| 1024  | 128  | N/A |      [[1024, 128], [1024, 128]]      | bf16  |       2.56       |       2.59        |       2.62       |        2.33        | 1.31e+05 | 2.62e+05 |       0.1%       |    10.24%     |
| 2048  | 128  | N/A |      [[2048, 128], [2048, 128]]      | bf16  |       2.76       |       2.78        |       2.8        |        2.66        | 2.62e+05 | 5.24e+05 |      0.19%       |     19.0%     |
| 4096  | 128  | N/A |      [[4096, 128], [4096, 128]]      | bf16  |       2.72       |       2.73        |       2.75       |        3.31        | 5.24e+05 | 1.05e+06 |      0.38%       |    38.55%     |
| 8192  | 128  | N/A |      [[8192, 128], [8192, 128]]      | bf16  |       2.93       |       2.95        |       2.96       |        4.62        | 1.05e+06 | 2.10e+06 |       0.7%       |    71.58%     |
| 16384 | 128  | N/A |     [[16384, 128], [16384, 128]]     | bf16  |       3.96       |       3.98        |       4.0        |        7.24        | 2.10e+06 | 4.19e+06 |      1.04%       |    105.92%    |
| 32768 | 128  | N/A |     [[32768, 128], [32768, 128]]     | bf16  |       5.28       |        5.3        |       5.31       |       12.49        | 4.19e+06 | 8.39e+06 |      1.56%       |    158.88%    |
