Test Case: H100PCIE_aten_fill_
|   M   |   N   |  B  | _val |    input_shape     | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|   1   |  32   | N/A |  1   |     [[1, 32]]      | bf16  |       2.11       |       2.13        |       2.14       |        2.0         | 0.00e+00 | 3.20e+01 |        0%        |     0.0%      |
|   2   |  32   | N/A |  1   |     [[2, 32]]      | bf16  |       2.1        |       2.12        |       2.13       |        2.0         | 0.00e+00 | 6.40e+01 |        0%        |     0.0%      |
|   4   |  32   | N/A |  1   |     [[4, 32]]      | bf16  |       2.31       |       2.33        |       2.36       |        2.0         | 0.00e+00 | 1.28e+02 |        0%        |     0.01%     |
|   8   |  32   | N/A |  1   |     [[8, 32]]      | bf16  |       2.31       |       2.34        |       2.36       |        2.0         | 0.00e+00 | 2.56e+02 |        0%        |     0.01%     |
|  16   |  32   | N/A |  1   |     [[16, 32]]     | bf16  |       2.28       |       2.29        |       2.3        |        2.0         | 0.00e+00 | 5.12e+02 |        0%        |     0.02%     |
|  32   |  32   | N/A |  1   |     [[32, 32]]     | bf16  |       2.29       |        2.3        |       2.32       |        2.0         | 0.00e+00 | 1.02e+03 |        0%        |     0.04%     |
|  64   |  32   | N/A |  1   |     [[64, 32]]     | bf16  |       2.31       |       2.33        |       2.36       |        2.0         | 0.00e+00 | 2.05e+03 |        0%        |     0.09%     |
|  128  |  32   | N/A |  1   |    [[128, 32]]     | bf16  |       2.33       |       2.35        |       2.36       |        2.01        | 0.00e+00 | 4.10e+03 |        0%        |     0.18%     |
|  256  |  32   | N/A |  1   |    [[256, 32]]     | bf16  |       2.34       |       2.35        |       2.37       |        2.01        | 0.00e+00 | 8.19e+03 |        0%        |     0.35%     |
|  512  |  32   | N/A |  1   |    [[512, 32]]     | bf16  |       2.36       |       2.38        |       2.39       |        2.02        | 0.00e+00 | 1.64e+04 |        0%        |     0.69%     |
| 1024  |  32   | N/A |  1   |    [[1024, 32]]    | bf16  |       2.36       |       2.39        |       2.42       |        2.04        | 0.00e+00 | 3.28e+04 |        0%        |     1.39%     |
| 2048  |  32   | N/A |  1   |    [[2048, 32]]    | bf16  |       2.4        |       2.42        |       2.44       |        2.08        | 0.00e+00 | 6.55e+04 |        0%        |     2.73%     |
| 4096  |  32   | N/A |  1   |    [[4096, 32]]    | bf16  |       2.48       |        2.5        |       2.52       |        2.16        | 0.00e+00 | 1.31e+05 |        0%        |     5.29%     |
| 8192  |  32   | N/A |  1   |    [[8192, 32]]    | bf16  |       2.65       |       2.67        |       2.7        |        2.33        | 0.00e+00 | 2.62e+05 |        0%        |     9.89%     |
| 16384 |  32   | N/A |  1   |   [[16384, 32]]    | bf16  |       2.98       |       2.99        |       2.99       |        2.66        | 0.00e+00 | 5.24e+05 |        0%        |    17.59%     |
| 32768 |  32   | N/A |  1   |   [[32768, 32]]    | bf16  |       3.62       |       3.64        |       3.65       |        3.31        | 0.00e+00 | 1.05e+06 |        0%        |    28.97%     |
|   1   |  64   | N/A |  1   |     [[1, 64]]      | bf16  |       2.27       |       2.29        |       2.3        |        2.0         | 0.00e+00 | 6.40e+01 |        0%        |     0.0%      |
|   2   |  64   | N/A |  1   |     [[2, 64]]      | bf16  |       2.29       |       2.31        |       2.34       |        2.0         | 0.00e+00 | 1.28e+02 |        0%        |     0.01%     |
|   4   |  64   | N/A |  1   |     [[4, 64]]      | bf16  |       2.31       |       2.32        |       2.33       |        2.0         | 0.00e+00 | 2.56e+02 |        0%        |     0.01%     |
|   8   |  64   | N/A |  1   |     [[8, 64]]      | bf16  |       2.29       |        2.3        |       2.31       |        2.0         | 0.00e+00 | 5.12e+02 |        0%        |     0.02%     |
|  16   |  64   | N/A |  1   |     [[16, 64]]     | bf16  |       2.28       |       2.33        |       2.38       |        2.0         | 0.00e+00 | 1.02e+03 |        0%        |     0.04%     |
|  32   |  64   | N/A |  1   |     [[32, 64]]     | bf16  |       2.31       |       2.33        |       2.34       |        2.0         | 0.00e+00 | 2.05e+03 |        0%        |     0.09%     |
|  64   |  64   | N/A |  1   |     [[64, 64]]     | bf16  |       2.33       |       2.34        |       2.36       |        2.01        | 0.00e+00 | 4.10e+03 |        0%        |     0.18%     |
|  128  |  64   | N/A |  1   |    [[128, 64]]     | bf16  |       2.33       |       2.35        |       2.38       |        2.01        | 0.00e+00 | 8.19e+03 |        0%        |     0.35%     |
|  256  |  64   | N/A |  1   |    [[256, 64]]     | bf16  |       2.35       |       2.36        |       2.37       |        2.02        | 0.00e+00 | 1.64e+04 |        0%        |     0.7%      |
|  512  |  64   | N/A |  1   |    [[512, 64]]     | bf16  |       2.38       |        2.4        |       2.41       |        2.04        | 0.00e+00 | 3.28e+04 |        0%        |     1.38%     |
| 1024  |  64   | N/A |  1   |    [[1024, 64]]    | bf16  |       2.37       |        2.4        |       2.42       |        2.08        | 0.00e+00 | 6.55e+04 |        0%        |     2.77%     |
| 2048  |  64   | N/A |  1   |    [[2048, 64]]    | bf16  |       2.49       |        2.5        |       2.51       |        2.16        | 0.00e+00 | 1.31e+05 |        0%        |     5.26%     |
| 4096  |  64   | N/A |  1   |    [[4096, 64]]    | bf16  |       2.65       |       2.68        |       2.71       |        2.33        | 0.00e+00 | 2.62e+05 |        0%        |     9.89%     |
| 8192  |  64   | N/A |  1   |    [[8192, 64]]    | bf16  |       2.98       |       2.99        |       3.01       |        2.66        | 0.00e+00 | 5.24e+05 |        0%        |    17.59%     |
| 16384 |  64   | N/A |  1   |   [[16384, 64]]    | bf16  |       3.61       |       3.63        |       3.64       |        3.31        | 0.00e+00 | 1.05e+06 |        0%        |    29.05%     |
| 32768 |  64   | N/A |  1   |   [[32768, 64]]    | bf16  |       4.94       |       4.95        |       4.97       |        4.62        | 0.00e+00 | 2.10e+06 |        0%        |    42.45%     |
|   1   |  128  | N/A |  1   |     [[1, 128]]     | bf16  |       2.29       |       2.31        |       2.33       |        2.0         | 0.00e+00 | 1.28e+02 |        0%        |     0.01%     |
|   2   |  128  | N/A |  1   |     [[2, 128]]     | bf16  |       2.32       |       2.33        |       2.34       |        2.0         | 0.00e+00 | 2.56e+02 |        0%        |     0.01%     |
|   4   |  128  | N/A |  1   |     [[4, 128]]     | bf16  |       2.29       |        2.3        |       2.32       |        2.0         | 0.00e+00 | 5.12e+02 |        0%        |     0.02%     |
|   8   |  128  | N/A |  1   |     [[8, 128]]     | bf16  |       2.28       |        2.3        |       2.32       |        2.0         | 0.00e+00 | 1.02e+03 |        0%        |     0.04%     |
|  16   |  128  | N/A |  1   |    [[16, 128]]     | bf16  |       2.32       |       2.33        |       2.34       |        2.0         | 0.00e+00 | 2.05e+03 |        0%        |     0.09%     |
|  32   |  128  | N/A |  1   |    [[32, 128]]     | bf16  |       2.35       |       2.38        |       2.42       |        2.01        | 0.00e+00 | 4.10e+03 |        0%        |     0.17%     |
|  64   |  128  | N/A |  1   |    [[64, 128]]     | bf16  |       2.34       |       2.36        |       2.37       |        2.01        | 0.00e+00 | 8.19e+03 |        0%        |     0.35%     |
|  128  |  128  | N/A |  1   |    [[128, 128]]    | bf16  |       2.37       |       2.38        |       2.4        |        2.02        | 0.00e+00 | 1.64e+04 |        0%        |     0.69%     |
|  256  |  128  | N/A |  1   |    [[256, 128]]    | bf16  |       2.38       |        2.4        |       2.42       |        2.04        | 0.00e+00 | 3.28e+04 |        0%        |     1.38%     |
|  512  |  128  | N/A |  1   |    [[512, 128]]    | bf16  |       2.38       |        2.4        |       2.41       |        2.08        | 0.00e+00 | 6.55e+04 |        0%        |     2.75%     |
| 1024  |  128  | N/A |  1   |   [[1024, 128]]    | bf16  |       2.49       |        2.5        |       2.52       |        2.16        | 0.00e+00 | 1.31e+05 |        0%        |     5.26%     |
| 2048  |  128  | N/A |  1   |   [[2048, 128]]    | bf16  |       2.65       |       2.67        |       2.68       |        2.33        | 0.00e+00 | 2.62e+05 |        0%        |     9.89%     |
| 4096  |  128  | N/A |  1   |   [[4096, 128]]    | bf16  |       2.98       |        3.0        |       3.02       |        2.66        | 0.00e+00 | 5.24e+05 |        0%        |    17.59%     |
| 8192  |  128  | N/A |  1   |   [[8192, 128]]    | bf16  |       3.63       |       3.64        |       3.65       |        3.31        | 0.00e+00 | 1.05e+06 |        0%        |    28.89%     |
| 16384 |  128  | N/A |  1   |   [[16384, 128]]   | bf16  |       4.94       |       4.95        |       4.96       |        4.62        | 0.00e+00 | 2.10e+06 |        0%        |    42.45%     |
| 32768 |  128  | N/A |  1   |   [[32768, 128]]   | bf16  |       7.57       |       7.59        |       7.61       |        7.24        | 0.00e+00 | 4.19e+06 |        0%        |    55.41%     |
|   1   |  512  | N/A |  1   |     [[1, 512]]     | bf16  |       2.29       |        2.3        |       2.3        |        2.0         | 0.00e+00 | 5.12e+02 |        0%        |     0.02%     |
|   2   |  512  | N/A |  1   |     [[2, 512]]     | bf16  |       2.29       |        2.3        |       2.3        |        2.0         | 0.00e+00 | 1.02e+03 |        0%        |     0.04%     |
|   4   |  512  | N/A |  1   |     [[4, 512]]     | bf16  |       2.32       |       2.34        |       2.36       |        2.0         | 0.00e+00 | 2.05e+03 |        0%        |     0.09%     |
|   8   |  512  | N/A |  1   |     [[8, 512]]     | bf16  |       2.34       |       2.36        |       2.38       |        2.01        | 0.00e+00 | 4.10e+03 |        0%        |     0.18%     |
|  16   |  512  | N/A |  1   |    [[16, 512]]     | bf16  |       2.33       |       2.36        |       2.4        |        2.01        | 0.00e+00 | 8.19e+03 |        0%        |     0.35%     |
|  32   |  512  | N/A |  1   |    [[32, 512]]     | bf16  |       2.35       |       2.36        |       2.38       |        2.02        | 0.00e+00 | 1.64e+04 |        0%        |     0.7%      |
|  64   |  512  | N/A |  1   |    [[64, 512]]     | bf16  |       2.38       |       2.39        |       2.4        |        2.04        | 0.00e+00 | 3.28e+04 |        0%        |     1.38%     |
|  128  |  512  | N/A |  1   |    [[128, 512]]    | bf16  |       2.39       |       2.41        |       2.44       |        2.08        | 0.00e+00 | 6.55e+04 |        0%        |     2.74%     |
|  256  |  512  | N/A |  1   |    [[256, 512]]    | bf16  |       2.49       |        2.5        |       2.51       |        2.16        | 0.00e+00 | 1.31e+05 |        0%        |     5.26%     |
|  512  |  512  | N/A |  1   |    [[512, 512]]    | bf16  |       2.66       |       2.67        |       2.69       |        2.33        | 0.00e+00 | 2.62e+05 |        0%        |     9.86%     |
| 1024  |  512  | N/A |  1   |   [[1024, 512]]    | bf16  |       2.97       |        3.0        |       3.03       |        2.66        | 0.00e+00 | 5.24e+05 |        0%        |    17.65%     |
| 2048  |  512  | N/A |  1   |   [[2048, 512]]    | bf16  |       3.61       |       3.63        |       3.66       |        3.31        | 0.00e+00 | 1.05e+06 |        0%        |    29.05%     |
| 4096  |  512  | N/A |  1   |   [[4096, 512]]    | bf16  |       4.94       |       4.96        |       4.98       |        4.62        | 0.00e+00 | 2.10e+06 |        0%        |    42.45%     |
| 8192  |  512  | N/A |  1   |   [[8192, 512]]    | bf16  |       7.59       |        7.6        |       7.62       |        7.24        | 0.00e+00 | 4.19e+06 |        0%        |    55.26%     |
| 16384 |  512  | N/A |  1   |   [[16384, 512]]   | bf16  |      12.86       |       12.87       |      12.88       |       12.49        | 0.00e+00 | 8.39e+06 |        0%        |    65.23%     |
| 32768 |  512  | N/A |  1   |   [[32768, 512]]   | bf16  |      23.59       |       23.62       |      23.66       |       22.97        | 0.00e+00 | 1.68e+07 |        0%        |    71.12%     |
|   1   |  768  | N/A |  1   |     [[1, 768]]     | bf16  |       2.33       |       2.34        |       2.36       |        2.0         | 0.00e+00 | 7.68e+02 |        0%        |     0.03%     |
|   2   |  768  | N/A |  1   |     [[2, 768]]     | bf16  |       2.29       |        2.3        |       2.31       |        2.0         | 0.00e+00 | 1.54e+03 |        0%        |     0.07%     |
|   4   |  768  | N/A |  1   |     [[4, 768]]     | bf16  |       2.33       |       2.34        |       2.36       |        2.0         | 0.00e+00 | 3.07e+03 |        0%        |     0.13%     |
|   8   |  768  | N/A |  1   |     [[8, 768]]     | bf16  |       2.35       |       2.36        |       2.37       |        2.01        | 0.00e+00 | 6.14e+03 |        0%        |     0.26%     |
|  16   |  768  | N/A |  1   |    [[16, 768]]     | bf16  |       2.36       |        2.4        |       2.44       |        2.02        | 0.00e+00 | 1.23e+04 |        0%        |     0.52%     |
|  32   |  768  | N/A |  1   |    [[32, 768]]     | bf16  |       2.36       |        2.4        |       2.45       |        2.03        | 0.00e+00 | 2.46e+04 |        0%        |     1.04%     |
|  64   |  768  | N/A |  1   |    [[64, 768]]     | bf16  |       2.4        |       2.42        |       2.43       |        2.06        | 0.00e+00 | 4.92e+04 |        0%        |     2.05%     |
|  128  |  768  | N/A |  1   |    [[128, 768]]    | bf16  |       2.44       |       2.46        |       2.49       |        2.12        | 0.00e+00 | 9.83e+04 |        0%        |     4.03%     |
|  256  |  768  | N/A |  1   |    [[256, 768]]    | bf16  |       2.56       |       2.58        |       2.61       |        2.25        | 0.00e+00 | 1.97e+05 |        0%        |     7.68%     |
|  512  |  768  | N/A |  1   |    [[512, 768]]    | bf16  |       2.82       |       2.84        |       2.87       |        2.49        | 0.00e+00 | 3.93e+05 |        0%        |    13.94%     |
| 1024  |  768  | N/A |  1   |   [[1024, 768]]    | bf16  |       3.29       |       3.31        |       3.32       |        2.98        | 0.00e+00 | 7.86e+05 |        0%        |     23.9%     |
| 2048  |  768  | N/A |  1   |   [[2048, 768]]    | bf16  |       4.29       |       4.32        |       4.34       |        3.97        | 0.00e+00 | 1.57e+06 |        0%        |    36.66%     |
| 4096  |  768  | N/A |  1   |   [[4096, 768]]    | bf16  |       6.26       |       6.28        |       6.3        |        5.93        | 0.00e+00 | 3.15e+06 |        0%        |    50.25%     |
| 8192  |  768  | N/A |  1   |   [[8192, 768]]    | bf16  |      10.19       |       10.22       |      10.26       |        9.86        | 0.00e+00 | 6.29e+06 |        0%        |    61.74%     |
| 16384 |  768  | N/A |  1   |   [[16384, 768]]   | bf16  |      18.11       |       18.13       |      18.14       |       17.73        | 0.00e+00 | 1.26e+07 |        0%        |    69.48%     |
| 32768 |  768  | N/A |  1   |   [[32768, 768]]   | bf16  |      34.14       |       34.16       |      34.18       |       33.46        | 0.00e+00 | 2.52e+07 |        0%        |    73.71%     |
|   1   | 2048  | N/A |  1   |    [[1, 2048]]     | bf16  |       2.33       |       2.34        |       2.36       |        2.0         | 0.00e+00 | 2.05e+03 |        0%        |     0.09%     |
|   2   | 2048  | N/A |  1   |    [[2, 2048]]     | bf16  |       2.33       |       2.35        |       2.37       |        2.01        | 0.00e+00 | 4.10e+03 |        0%        |     0.18%     |
|   4   | 2048  | N/A |  1   |    [[4, 2048]]     | bf16  |       2.32       |       2.34        |       2.37       |        2.01        | 0.00e+00 | 8.19e+03 |        0%        |     0.35%     |
|   8   | 2048  | N/A |  1   |    [[8, 2048]]     | bf16  |       2.36       |       2.38        |       2.41       |        2.02        | 0.00e+00 | 1.64e+04 |        0%        |     0.69%     |
|  16   | 2048  | N/A |  1   |    [[16, 2048]]    | bf16  |       2.38       |        2.4        |       2.42       |        2.04        | 0.00e+00 | 3.28e+04 |        0%        |     1.38%     |
|  32   | 2048  | N/A |  1   |    [[32, 2048]]    | bf16  |       2.38       |       2.42        |       2.47       |        2.08        | 0.00e+00 | 6.55e+04 |        0%        |     2.75%     |
|  64   | 2048  | N/A |  1   |    [[64, 2048]]    | bf16  |       2.5        |       2.52        |       2.56       |        2.16        | 0.00e+00 | 1.31e+05 |        0%        |     5.24%     |
|  128  | 2048  | N/A |  1   |   [[128, 2048]]    | bf16  |       2.36       |       2.53        |       2.66       |        2.33        | 0.00e+00 | 2.62e+05 |        0%        |    11.11%     |
|  256  | 2048  | N/A |  1   |   [[256, 2048]]    | bf16  |       2.66       |       2.89        |       3.08       |        2.66        | 0.00e+00 | 5.24e+05 |        0%        |    19.71%     |
