Test Case: H100PCIE_aten_gelu
|   M   |   N   |  B  |    input_shape     | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|   1   |  32   | N/A |     [[1, 32]]      | bf16  |       2.87       |       2.91        |       2.95       |        2.0         | 4.16e+02 | 6.40e+01 |       0.0%       |     0.0%      |
|   2   |  32   | N/A |     [[2, 32]]      | bf16  |       2.42       |       2.44        |       2.45       |        2.0         | 8.32e+02 | 1.28e+02 |       0.0%       |     0.01%     |
|   4   |  32   | N/A |     [[4, 32]]      | bf16  |       2.63       |       2.67        |       2.71       |        2.0         | 1.66e+03 | 2.56e+02 |       0.0%       |     0.01%     |
|   8   |  32   | N/A |     [[8, 32]]      | bf16  |       2.7        |       2.72        |       2.75       |        2.0         | 3.33e+03 | 5.12e+02 |       0.0%       |     0.02%     |
|  16   |  32   | N/A |     [[16, 32]]     | bf16  |       2.54       |       2.56        |       2.59       |        2.0         | 6.66e+03 | 1.02e+03 |      0.01%       |     0.04%     |
|  32   |  32   | N/A |     [[32, 32]]     | bf16  |       2.57       |       2.58        |       2.6        |        2.0         | 1.33e+04 | 2.05e+03 |      0.01%       |     0.08%     |
|  64   |  32   | N/A |     [[64, 32]]     | bf16  |       2.56       |       2.59        |       2.61       |        2.01        | 2.66e+04 | 4.10e+03 |      0.02%       |     0.16%     |
|  128  |  32   | N/A |    [[128, 32]]     | bf16  |       2.6        |       2.61        |       2.62       |        2.01        | 5.32e+04 | 8.19e+03 |      0.04%       |     0.32%     |
|  256  |  32   | N/A |    [[256, 32]]     | bf16  |       2.59       |       2.62        |       2.64       |        2.02        | 1.06e+05 | 1.64e+04 |      0.08%       |     0.63%     |
|  512  |  32   | N/A |    [[512, 32]]     | bf16  |       2.62       |       2.64        |       2.66       |        2.04        | 2.13e+05 | 3.28e+04 |      0.16%       |     1.25%     |
| 1024  |  32   | N/A |    [[1024, 32]]    | bf16  |       2.64       |       2.66        |       2.67       |        2.08        | 4.26e+05 | 6.55e+04 |      0.32%       |     2.48%     |
| 2048  |  32   | N/A |    [[2048, 32]]    | bf16  |       2.68       |       2.69        |       2.71       |        2.16        | 8.52e+05 | 1.31e+05 |      0.62%       |     4.89%     |
| 4096  |  32   | N/A |    [[4096, 32]]    | bf16  |       2.83       |       2.88        |       2.94       |        2.33        | 1.70e+06 | 2.62e+05 |      1.18%       |     9.26%     |
| 8192  |  32   | N/A |    [[8192, 32]]    | bf16  |       3.0        |       3.02        |       3.04       |        2.66        | 3.41e+06 | 5.24e+05 |      2.23%       |    17.48%     |
| 16384 |  32   | N/A |   [[16384, 32]]    | bf16  |       3.43       |       3.46        |       3.48       |        3.31        | 6.82e+06 | 1.05e+06 |       3.9%       |    30.57%     |
| 32768 |  32   | N/A |   [[32768, 32]]    | bf16  |       4.41       |       4.46        |       4.53       |        4.62        | 1.36e+07 | 2.10e+06 |      6.06%       |    47.55%     |
|   1   |  64   | N/A |     [[1, 64]]      | bf16  |       2.6        |       2.62        |       2.63       |        2.0         | 8.32e+02 | 1.28e+02 |       0.0%       |     0.0%      |
|   2   |  64   | N/A |     [[2, 64]]      | bf16  |       2.6        |       2.62        |       2.63       |        2.0         | 1.66e+03 | 2.56e+02 |       0.0%       |     0.01%     |
