Test Case: H100PCIE_aten_mm
| B |  M   |  K   |  N   |         input_shape          | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
| 1 |  1   |  32  |  32  |     [[1, 32], [32, 32]]      | bf16  |      25.15       |       25.4        |      25.66       |        2.0         | 2.05e+03 | 1.09e+03 |       0.0%       |     0.0%      |
| 1 |  2   |  32  |  32  |     [[2, 32], [32, 32]]      | bf16  |      25.04       |       25.28       |      25.45       |        2.0         | 4.10e+03 | 1.15e+03 |       0.0%       |     0.0%      |
| 1 |  4   |  32  |  32  |     [[4, 32], [32, 32]]      | bf16  |      25.11       |       25.26       |      25.52       |        2.0         | 8.19e+03 | 1.28e+03 |       0.0%       |     0.01%     |
| 1 |  8   |  32  |  32  |     [[8, 32], [32, 32]]      | bf16  |      25.24       |       25.38       |      25.52       |        2.0         | 1.64e+04 | 1.54e+03 |       0.0%       |     0.01%     |
| 1 |  32  |  32  |  32  |     [[32, 32], [32, 32]]     | bf16  |      25.35       |       25.54       |      25.75       |        2.0         | 6.55e+04 | 3.07e+03 |       0.0%       |     0.01%     |
| 1 |  64  |  32  |  32  |     [[64, 32], [32, 32]]     | bf16  |      25.56       |       25.62       |      25.75       |        2.01        | 1.31e+05 | 5.12e+03 |       0.0%       |     0.02%     |
| 1 | 128  |  32  |  32  |    [[128, 32], [32, 32]]     | bf16  |      25.47       |       25.61       |      25.87       |        2.01        | 2.62e+05 | 9.22e+03 |       0.0%       |     0.04%     |
| 1 | 256  |  32  |  32  |    [[256, 32], [32, 32]]     | bf16  |      25.59       |       25.74       |       26.0       |        2.02        | 5.24e+05 | 1.74e+04 |       0.0%       |     0.07%     |
| 1 | 512  |  32  |  32  |    [[512, 32], [32, 32]]     | bf16  |      25.51       |       25.66       |       25.9       |        2.04        | 1.05e+06 | 3.38e+04 |      0.01%       |     0.13%     |
| 1 | 1024 |  32  |  32  |    [[1024, 32], [32, 32]]    | bf16  |       25.5       |       25.63       |      25.75       |        2.08        | 2.10e+06 | 6.66e+04 |      0.01%       |     0.26%     |
| 1 | 2048 |  32  |  32  |    [[2048, 32], [32, 32]]    | bf16  |      25.46       |       25.56       |      25.61       |        2.17        | 4.19e+06 | 1.32e+05 |      0.02%       |     0.52%     |
| 1 |  1   |  64  |  32  |     [[1, 64], [64, 32]]      | bf16  |      25.12       |       25.26       |      25.45       |        2.0         | 4.10e+03 | 2.14e+03 |       0.0%       |     0.01%     |
| 1 |  2   |  64  |  32  |     [[2, 64], [64, 32]]      | bf16  |      25.06       |       25.22       |      25.49       |        2.0         | 8.19e+03 | 2.24e+03 |       0.0%       |     0.01%     |
| 1 |  4   |  64  |  32  |     [[4, 64], [64, 32]]      | bf16  |      25.17       |       25.35       |      25.59       |        2.0         | 1.64e+04 | 2.43e+03 |       0.0%       |     0.01%     |
| 1 |  8   |  64  |  32  |     [[8, 64], [64, 32]]      | bf16  |      25.03       |       25.22       |       25.8       |        2.0         | 3.28e+04 | 2.82e+03 |       0.0%       |     0.01%     |
| 1 |  32  |  64  |  32  |     [[32, 64], [64, 32]]     | bf16  |      25.41       |       25.46       |      25.53       |        2.01        | 1.31e+05 | 5.12e+03 |       0.0%       |     0.02%     |
| 1 |  64  |  64  |  32  |     [[64, 64], [64, 32]]     | bf16  |      25.26       |       25.47       |      25.71       |        2.01        | 2.62e+05 | 8.19e+03 |       0.0%       |     0.03%     |
| 1 | 128  |  64  |  32  |    [[128, 64], [64, 32]]     | bf16  |      25.05       |       25.27       |      25.41       |        2.02        | 5.24e+05 | 1.43e+04 |       0.0%       |     0.06%     |
| 1 | 256  |  64  |  32  |    [[256, 64], [64, 32]]     | bf16  |      25.36       |       25.59       |      25.83       |        2.03        | 1.05e+06 | 2.66e+04 |      0.01%       |     0.1%      |
| 1 | 512  |  64  |  32  |    [[512, 64], [64, 32]]     | bf16  |      25.23       |       25.45       |      25.83       |        2.06        | 2.10e+06 | 5.12e+04 |      0.01%       |     0.2%      |
| 1 | 1024 |  64  |  32  |    [[1024, 64], [64, 32]]    | bf16  |      25.36       |       25.62       |       25.9       |        2.13        | 4.19e+06 | 1.00e+05 |      0.02%       |     0.4%      |
| 1 | 2048 |  64  |  32  |    [[2048, 64], [64, 32]]    | bf16  |      25.45       |       25.66       |      25.89       |        2.25        | 8.39e+06 | 1.99e+05 |      0.04%       |     0.78%     |
| 1 |  1   | 128  |  32  |    [[1, 128], [128, 32]]     | bf16  |      25.04       |       25.27       |      25.45       |        2.01        | 8.19e+03 | 4.26e+03 |       0.0%       |     0.02%     |
| 1 |  2   | 128  |  32  |    [[2, 128], [128, 32]]     | bf16  |      25.04       |       25.16       |      25.32       |        2.01        | 1.64e+04 | 4.42e+03 |       0.0%       |     0.02%     |
| 1 |  4   | 128  |  32  |    [[4, 128], [128, 32]]     | bf16  |      24.81       |       24.9        |      25.02       |        2.01        | 3.28e+04 | 4.74e+03 |       0.0%       |     0.02%     |
| 1 |  8   | 128  |  32  |    [[8, 128], [128, 32]]     | bf16  |      25.14       |       25.26       |      25.56       |        2.01        | 6.55e+04 | 5.38e+03 |       0.0%       |     0.02%     |
| 1 |  32  | 128  |  32  |    [[32, 128], [128, 32]]    | bf16  |      25.17       |       25.31       |      25.57       |        2.01        | 2.62e+05 | 9.22e+03 |       0.0%       |     0.04%     |
| 1 |  64  | 128  |  32  |    [[64, 128], [128, 32]]    | bf16  |      25.33       |       25.44       |       25.6       |        2.02        | 5.24e+05 | 1.43e+04 |       0.0%       |     0.06%     |
| 1 | 128  | 128  |  32  |   [[128, 128], [128, 32]]    | bf16  |      25.07       |       25.47       |       25.7       |        2.03        | 1.05e+06 | 2.46e+04 |      0.01%       |     0.1%      |
| 1 | 256  | 128  |  32  |   [[256, 128], [128, 32]]    | bf16  |      25.25       |       25.33       |      25.44       |        2.06        | 2.10e+06 | 4.51e+04 |      0.01%       |     0.18%     |
| 1 | 512  | 128  |  32  |   [[512, 128], [128, 32]]    | bf16  |      25.23       |       25.39       |      25.53       |        2.11        | 4.19e+06 | 8.60e+04 |      0.02%       |     0.34%     |
