Test Case: H100PCIE_aten_mul
|   M   |   N   |  B  |             input_shape              | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|   1   |  32   | N/A |           [[1, 32], [32]]            | bf16  |       2.77       |       2.79        |       2.81       |        2.0         | 3.20e+01 | 9.60e+01 |       0.0%       |     0.0%      |
|   2   |  32   | N/A |           [[2, 32], [32]]            | bf16  |       2.44       |       2.46        |       2.49       |        2.0         | 6.40e+01 | 1.92e+02 |       0.0%       |     0.01%     |
|   4   |  32   | N/A |           [[4, 32], [32]]            | bf16  |       2.65       |       2.67        |       2.68       |        2.0         | 1.28e+02 | 3.84e+02 |       0.0%       |     0.01%     |
|   8   |  32   | N/A |           [[8, 32], [32]]            | bf16  |       2.92       |       2.94        |       2.96       |        2.0         | 2.56e+02 | 7.68e+02 |       0.0%       |     0.03%     |
|  16   |  32   | N/A |           [[16, 32], [32]]           | bf16  |       3.44       |       3.47        |       3.52       |        2.0         | 5.12e+02 | 1.54e+03 |       0.0%       |     0.04%     |
|  32   |  32   | N/A |           [[32, 32], [32]]           | bf16  |       3.46       |       3.48        |       3.5        |        2.0         | 1.02e+03 | 3.07e+03 |       0.0%       |     0.09%     |
|  64   |  32   | N/A |           [[64, 32], [32]]           | bf16  |       3.44       |       3.46        |       3.47       |        2.01        | 2.05e+03 | 6.14e+03 |       0.0%       |     0.18%     |
|  128  |  32   | N/A |          [[128, 32], [32]]           | bf16  |       3.5        |       3.51        |       3.53       |        2.02        | 4.10e+03 | 1.23e+04 |       0.0%       |     0.35%     |
|  256  |  32   | N/A |          [[256, 32], [32]]           | bf16  |       3.53       |       3.55        |       3.56       |        2.03        | 8.19e+03 | 2.46e+04 |       0.0%       |     0.7%      |
|  512  |  32   | N/A |          [[512, 32], [32]]           | bf16  |       3.56       |       3.57        |       3.59       |        2.06        | 1.64e+04 | 4.92e+04 |      0.01%       |     1.38%     |
| 1024  |  32   | N/A |          [[1024, 32], [32]]          | bf16  |       4.02       |       4.05        |       4.09       |        2.12        | 3.28e+04 | 9.83e+04 |      0.02%       |     2.45%     |
| 2048  |  32   | N/A |          [[2048, 32], [32]]          | bf16  |       3.6        |       3.62        |       3.64       |        2.25        | 6.55e+04 | 1.97e+05 |      0.04%       |     5.46%     |
