Test Case: H100PCIE_aten_silu
|   M   |   N   |  B  |    input_shape     | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|   1   |  32   | N/A |     [[1, 32]]      | bf16  |       3.31       |       3.37        |       3.43       |        2.0         | 4.16e+02 | 6.40e+01 |       0.0%       |     0.0%      |
|   2   |  32   | N/A |     [[2, 32]]      | bf16  |       2.65       |       2.66        |       2.68       |        2.0         | 8.32e+02 | 1.28e+02 |       0.0%       |     0.0%      |
|   4   |  32   | N/A |     [[4, 32]]      | bf16  |       2.79       |       2.81        |       2.82       |        2.0         | 1.66e+03 | 2.56e+02 |       0.0%       |     0.01%     |
|   8   |  32   | N/A |     [[8, 32]]      | bf16  |       2.74       |       2.76        |       2.78       |        2.0         | 3.33e+03 | 5.12e+02 |       0.0%       |     0.02%     |
|  16   |  32   | N/A |     [[16, 32]]     | bf16  |       2.72       |       2.74        |       2.76       |        2.0         | 6.66e+03 | 1.02e+03 |       0.0%       |     0.04%     |
|  32   |  32   | N/A |     [[32, 32]]     | bf16  |       3.12       |       3.13        |       3.15       |        2.0         | 1.33e+04 | 2.05e+03 |      0.01%       |     0.07%     |
|  64   |  32   | N/A |     [[64, 32]]     | bf16  |       2.96       |        3.0        |       3.03       |        2.01        | 2.66e+04 | 4.10e+03 |      0.02%       |     0.14%     |
|  128  |  32   | N/A |    [[128, 32]]     | bf16  |       3.01       |       3.02        |       3.04       |        2.01        | 5.32e+04 | 8.19e+03 |      0.03%       |     0.27%     |
|  256  |  32   | N/A |    [[256, 32]]     | bf16  |       3.04       |       3.07        |       3.1        |        2.02        | 1.06e+05 | 1.64e+04 |      0.07%       |     0.54%     |
|  512  |  32   | N/A |    [[512, 32]]     | bf16  |       3.15       |       3.16        |       3.18       |        2.04        | 2.13e+05 | 3.28e+04 |      0.13%       |     1.04%     |
| 1024  |  32   | N/A |    [[1024, 32]]    | bf16  |       3.2        |       3.21        |       3.22       |        2.08        | 4.26e+05 | 6.55e+04 |      0.26%       |     2.05%     |
| 2048  |  32   | N/A |    [[2048, 32]]    | bf16  |       3.34       |       3.36        |       3.38       |        2.16        | 8.52e+05 | 1.31e+05 |       0.5%       |     3.92%     |
| 4096  |  32   | N/A |    [[4096, 32]]    | bf16  |       3.24       |       3.26        |       3.28       |        2.33        | 1.70e+06 | 2.62e+05 |      1.03%       |     8.09%     |
| 8192  |  32   | N/A |    [[8192, 32]]    | bf16  |       3.33       |       3.35        |       3.37       |        2.66        | 3.41e+06 | 5.24e+05 |      2.01%       |    15.74%     |
| 16384 |  32   | N/A |   [[16384, 32]]    | bf16  |       3.74       |       3.76        |       3.77       |        3.31        | 6.82e+06 | 1.05e+06 |      3.57%       |    28.04%     |
| 32768 |  32   | N/A |   [[32768, 32]]    | bf16  |       4.46       |       4.48        |       4.49       |        4.62        | 1.36e+07 | 2.10e+06 |      5.99%       |    47.02%     |
|   1   |  64   | N/A |     [[1, 64]]      | bf16  |       2.62       |       2.65        |       2.67       |        2.0         | 8.32e+02 | 1.28e+02 |       0.0%       |     0.0%      |
|   2   |  64   | N/A |     [[2, 64]]      | bf16  |       2.81       |       2.82        |       2.84       |        2.0         | 1.66e+03 | 2.56e+02 |       0.0%       |     0.01%     |
|   4   |  64   | N/A |     [[4, 64]]      | bf16  |       3.04       |       3.05        |       3.06       |        2.0         | 3.33e+03 | 5.12e+02 |       0.0%       |     0.02%     |
|   8   |  64   | N/A |     [[8, 64]]      | bf16  |       2.85       |       2.86        |       2.87       |        2.0         | 6.66e+03 | 1.02e+03 |       0.0%       |     0.04%     |
|  16   |  64   | N/A |     [[16, 64]]     | bf16  |       3.0        |       3.01        |       3.03       |        2.0         | 1.33e+04 | 2.05e+03 |      0.01%       |     0.07%     |
|  32   |  64   | N/A |     [[32, 64]]     | bf16  |       3.02       |       3.03        |       3.05       |        2.01        | 2.66e+04 | 4.10e+03 |      0.02%       |     0.14%     |
|  64   |  64   | N/A |     [[64, 64]]     | bf16  |       3.02       |       3.03        |       3.04       |        2.01        | 5.32e+04 | 8.19e+03 |      0.03%       |     0.27%     |
|  128  |  64   | N/A |    [[128, 64]]     | bf16  |       3.03       |       3.05        |       3.06       |        2.02        | 1.06e+05 | 1.64e+04 |      0.07%       |     0.54%     |
|  256  |  64   | N/A |    [[256, 64]]     | bf16  |       3.18       |       3.19        |       3.2        |        2.04        | 2.13e+05 | 3.28e+04 |      0.13%       |     1.03%     |
