Test Case: H100PCIE_aten_slice
|   M   |  N   |  B  | dim | end | start | step |    input_shape     | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|  32   |  32  | N/A |  0  |  8  |   0   |  1   |     [[32, 32]]     | bf16  |       1.51       |       1.53        |       1.54       |        2.0         | 0.00e+00 | 1.02e+03 |        0%        |     0.07%     |
|  64   |  32  | N/A |  0  |  8  |   0   |  1   |     [[64, 32]]     | bf16  |       1.52       |       1.53        |       1.56       |        2.0         | 0.00e+00 | 2.05e+03 |        0%        |     0.13%     |
|  128  |  32  | N/A |  0  |  8  |   0   |  1   |    [[128, 32]]     | bf16  |       1.5        |       1.51        |       1.52       |        2.01        | 0.00e+00 | 4.10e+03 |        0%        |     0.27%     |
|  256  |  32  | N/A |  0  |  8  |   0   |  1   |    [[256, 32]]     | bf16  |       1.51       |       1.53        |       1.56       |        2.01        | 0.00e+00 | 8.19e+03 |        0%        |     0.54%     |
|  512  |  32  | N/A |  0  |  8  |   0   |  1   |    [[512, 32]]     | bf16  |       1.51       |       1.52        |       1.54       |        2.02        | 0.00e+00 | 1.64e+04 |        0%        |     1.09%     |
| 1024  |  32  | N/A |  0  |  8  |   0   |  1   |    [[1024, 32]]    | bf16  |       1.5        |       1.53        |       1.57       |        2.04        | 0.00e+00 | 3.28e+04 |        0%        |     2.18%     |
| 2048  |  32  | N/A |  0  |  8  |   0   |  1   |    [[2048, 32]]    | bf16  |       1.51       |       1.53        |       1.55       |        2.08        | 0.00e+00 | 6.55e+04 |        0%        |     4.34%     |
| 4096  |  32  | N/A |  0  |  8  |   0   |  1   |    [[4096, 32]]    | bf16  |       1.52       |       1.53        |       1.55       |        2.16        | 0.00e+00 | 1.31e+05 |        0%        |     8.62%     |
| 8192  |  32  | N/A |  0  |  8  |   0   |  1   |    [[8192, 32]]    | bf16  |       1.49       |       1.52        |       1.57       |        2.33        | 0.00e+00 | 2.62e+05 |        0%        |    17.59%     |
| 16384 |  32  | N/A |  0  |  8  |   0   |  1   |   [[16384, 32]]    | bf16  |       1.49       |       1.52        |       1.56       |        2.66        | 0.00e+00 | 5.24e+05 |        0%        |    35.19%     |
| 32768 |  32  | N/A |  0  |  8  |   0   |  1   |   [[32768, 32]]    | bf16  |       1.49       |       1.53        |       1.56       |        3.31        | 0.00e+00 | 1.05e+06 |        0%        |    70.37%     |
|  32   |  64  | N/A |  0  |  8  |   0   |  1   |     [[32, 64]]     | bf16  |       1.48       |       1.52        |       1.55       |        2.0         | 0.00e+00 | 2.05e+03 |        0%        |     0.14%     |
|  64   |  64  | N/A |  0  |  8  |   0   |  1   |     [[64, 64]]     | bf16  |       1.51       |       1.52        |       1.55       |        2.01        | 0.00e+00 | 4.10e+03 |        0%        |     0.27%     |
|  128  |  64  | N/A |  0  |  8  |   0   |  1   |    [[128, 64]]     | bf16  |       1.51       |       1.53        |       1.57       |        2.01        | 0.00e+00 | 8.19e+03 |        0%        |     0.54%     |
|  256  |  64  | N/A |  0  |  8  |   0   |  1   |    [[256, 64]]     | bf16  |       1.51       |       1.52        |       1.53       |        2.02        | 0.00e+00 | 1.64e+04 |        0%        |     1.09%     |
|  512  |  64  | N/A |  0  |  8  |   0   |  1   |    [[512, 64]]     | bf16  |       1.51       |       1.54        |       1.59       |        2.04        | 0.00e+00 | 3.28e+04 |        0%        |     2.17%     |
| 1024  |  64  | N/A |  0  |  8  |   0   |  1   |    [[1024, 64]]    | bf16  |       1.47       |        1.5        |       1.52       |        2.08        | 0.00e+00 | 6.55e+04 |        0%        |     4.46%     |
| 2048  |  64  | N/A |  0  |  8  |   0   |  1   |    [[2048, 64]]    | bf16  |       1.51       |       1.57        |       1.81       |        2.16        | 0.00e+00 | 1.31e+05 |        0%        |     8.68%     |
| 4096  |  64  | N/A |  0  |  8  |   0   |  1   |    [[4096, 64]]    | bf16  |       1.49       |       1.51        |       1.52       |        2.33        | 0.00e+00 | 2.62e+05 |        0%        |    17.59%     |
| 8192  |  64  | N/A |  0  |  8  |   0   |  1   |    [[8192, 64]]    | bf16  |       1.49       |       1.53        |       1.54       |        2.66        | 0.00e+00 | 5.24e+05 |        0%        |    35.19%     |
| 16384 |  64  | N/A |  0  |  8  |   0   |  1   |   [[16384, 64]]    | bf16  |       1.49       |       1.51        |       1.53       |        3.31        | 0.00e+00 | 1.05e+06 |        0%        |    70.37%     |
| 32768 |  64  | N/A |  0  |  8  |   0   |  1   |   [[32768, 64]]    | bf16  |       1.52       |       1.53        |       1.54       |        4.62        | 0.00e+00 | 2.10e+06 |        0%        |    137.97%    |
|  32   | 128  | N/A |  0  |  8  |   0   |  1   |    [[32, 128]]     | bf16  |       1.5        |       1.51        |       1.53       |        2.01        | 0.00e+00 | 4.10e+03 |        0%        |     0.27%     |
|  64   | 128  | N/A |  0  |  8  |   0   |  1   |    [[64, 128]]     | bf16  |       1.47       |       1.51        |       1.52       |        2.01        | 0.00e+00 | 8.19e+03 |        0%        |     0.56%     |
|  128  | 128  | N/A |  0  |  8  |   0   |  1   |    [[128, 128]]    | bf16  |       1.51       |       1.52        |       1.55       |        2.02        | 0.00e+00 | 1.64e+04 |        0%        |     1.09%     |
|  256  | 128  | N/A |  0  |  8  |   0   |  1   |    [[256, 128]]    | bf16  |       1.52       |       1.54        |       1.57       |        2.04        | 0.00e+00 | 3.28e+04 |        0%        |     2.16%     |
|  512  | 128  | N/A |  0  |  8  |   0   |  1   |    [[512, 128]]    | bf16  |       1.48       |       1.51        |       1.54       |        2.08        | 0.00e+00 | 6.55e+04 |        0%        |     4.43%     |
| 1024  | 128  | N/A |  0  |  8  |   0   |  1   |   [[1024, 128]]    | bf16  |       1.5        |       1.52        |       1.55       |        2.16        | 0.00e+00 | 1.31e+05 |        0%        |     8.74%     |
| 2048  | 128  | N/A |  0  |  8  |   0   |  1   |   [[2048, 128]]    | bf16  |       1.5        |       1.53        |       1.54       |        2.33        | 0.00e+00 | 2.62e+05 |        0%        |    17.48%     |
| 4096  | 128  | N/A |  0  |  8  |   0   |  1   |   [[4096, 128]]    | bf16  |       1.52       |       1.53        |       1.55       |        2.66        | 0.00e+00 | 5.24e+05 |        0%        |    34.49%     |
| 8192  | 128  | N/A |  0  |  8  |   0   |  1   |   [[8192, 128]]    | bf16  |       1.49       |        1.5        |       1.52       |        3.31        | 0.00e+00 | 1.05e+06 |        0%        |    70.37%     |
| 16384 | 128  | N/A |  0  |  8  |   0   |  1   |   [[16384, 128]]   | bf16  |       1.52       |       1.53        |       1.55       |        4.62        | 0.00e+00 | 2.10e+06 |        0%        |    137.97%    |
| 32768 | 128  | N/A |  0  |  8  |   0   |  1   |   [[32768, 128]]   | bf16  |       1.52       |       1.54        |       1.56       |        7.24        | 0.00e+00 | 4.19e+06 |        0%        |    275.94%    |
|  32   | 512  | N/A |  0  |  8  |   0   |  1   |    [[32, 512]]     | bf16  |       1.5        |       1.51        |       1.52       |        2.02        | 0.00e+00 | 1.64e+04 |        0%        |     1.09%     |
|  64   | 512  | N/A |  0  |  8  |   0   |  1   |    [[64, 512]]     | bf16  |       1.52       |       1.53        |       1.54       |        2.04        | 0.00e+00 | 3.28e+04 |        0%        |     2.16%     |
|  128  | 512  | N/A |  0  |  8  |   0   |  1   |    [[128, 512]]    | bf16  |       1.52       |       1.54        |       1.56       |        2.08        | 0.00e+00 | 6.55e+04 |        0%        |     4.31%     |
|  256  | 512  | N/A |  0  |  8  |   0   |  1   |    [[256, 512]]    | bf16  |       1.48       |        1.5        |       1.52       |        2.16        | 0.00e+00 | 1.31e+05 |        0%        |     8.86%     |
|  512  | 512  | N/A |  0  |  8  |   0   |  1   |    [[512, 512]]    | bf16  |       1.5        |       1.53        |       1.56       |        2.33        | 0.00e+00 | 2.62e+05 |        0%        |    17.48%     |
| 1024  | 512  | N/A |  0  |  8  |   0   |  1   |   [[1024, 512]]    | bf16  |       1.5        |       1.51        |       1.52       |        2.66        | 0.00e+00 | 5.24e+05 |        0%        |    34.95%     |
| 2048  | 512  | N/A |  0  |  8  |   0   |  1   |   [[2048, 512]]    | bf16  |       1.53       |       1.54        |       1.55       |        3.31        | 0.00e+00 | 1.05e+06 |        0%        |    68.53%     |
| 4096  | 512  | N/A |  0  |  8  |   0   |  1   |   [[4096, 512]]    | bf16  |       1.49       |       1.51        |       1.53       |        4.62        | 0.00e+00 | 2.10e+06 |        0%        |    140.75%    |
| 8192  | 512  | N/A |  0  |  8  |   0   |  1   |   [[8192, 512]]    | bf16  |       1.49       |       1.53        |       1.59       |        7.24        | 0.00e+00 | 4.19e+06 |        0%        |    281.5%     |
| 16384 | 512  | N/A |  0  |  8  |   0   |  1   |   [[16384, 512]]   | bf16  |       1.48       |        1.5        |       1.51       |       12.49        | 0.00e+00 | 8.39e+06 |        0%        |    566.8%     |
| 32768 | 512  | N/A |  0  |  8  |   0   |  1   |   [[32768, 512]]   | bf16  |       1.49       |       1.51        |       1.52       |       22.97        | 0.00e+00 | 1.68e+07 |        0%        |   1125.99%    |
|  32   | 768  | N/A |  0  |  8  |   0   |  1   |    [[32, 768]]     | bf16  |       1.48       |        1.5        |       1.54       |        2.03        | 0.00e+00 | 2.46e+04 |        0%        |     1.66%     |
|  64   | 768  | N/A |  0  |  8  |   0   |  1   |    [[64, 768]]     | bf16  |       1.48       |       1.49        |       1.51       |        2.06        | 0.00e+00 | 4.92e+04 |        0%        |     3.32%     |
|  128  | 768  | N/A |  0  |  8  |   0   |  1   |    [[128, 768]]    | bf16  |       1.51       |       1.52        |       1.53       |        2.12        | 0.00e+00 | 9.83e+04 |        0%        |     6.51%     |
|  256  | 768  | N/A |  0  |  8  |   0   |  1   |    [[256, 768]]    | bf16  |       1.49       |       1.51        |       1.52       |        2.25        | 0.00e+00 | 1.97e+05 |        0%        |     13.2%     |
|  512  | 768  | N/A |  0  |  8  |   0   |  1   |    [[512, 768]]    | bf16  |       1.5        |       1.51        |       1.53       |        2.49        | 0.00e+00 | 3.93e+05 |        0%        |    26.21%     |
| 1024  | 768  | N/A |  0  |  8  |   0   |  1   |   [[1024, 768]]    | bf16  |       1.5        |       1.52        |       1.55       |        2.98        | 0.00e+00 | 7.86e+05 |        0%        |    52.43%     |
| 2048  | 768  | N/A |  0  |  8  |   0   |  1   |   [[2048, 768]]    | bf16  |       1.5        |       1.52        |       1.54       |        3.97        | 0.00e+00 | 1.57e+06 |        0%        |    104.86%    |
| 4096  | 768  | N/A |  0  |  8  |   0   |  1   |   [[4096, 768]]    | bf16  |       1.49       |       1.51        |       1.52       |        5.93        | 0.00e+00 | 3.15e+06 |        0%        |    211.12%    |
| 8192  | 768  | N/A |  0  |  8  |   0   |  1   |   [[8192, 768]]    | bf16  |       1.48       |       1.51        |       1.54       |        9.86        | 0.00e+00 | 6.29e+06 |        0%        |    425.1%     |
| 16384 | 768  | N/A |  0  |  8  |   0   |  1   |   [[16384, 768]]   | bf16  |       1.43       |       1.46        |       1.49       |       17.73        | 0.00e+00 | 1.26e+07 |        0%        |    879.92%    |
| 32768 | 768  | N/A |  0  |  8  |   0   |  1   |   [[32768, 768]]   | bf16  |       1.52       |       1.53        |       1.56       |       33.46        | 0.00e+00 | 2.52e+07 |        0%        |   1655.65%    |
|  32   | 2048 | N/A |  0  |  8  |   0   |  1   |    [[32, 2048]]    | bf16  |       1.51       |       1.52        |       1.54       |        2.08        | 0.00e+00 | 6.55e+04 |        0%        |     4.34%     |
|  64   | 2048 | N/A |  0  |  8  |   0   |  1   |    [[64, 2048]]    | bf16  |       1.5        |       1.52        |       1.54       |        2.16        | 0.00e+00 | 1.31e+05 |        0%        |     8.74%     |
|  128  | 2048 | N/A |  0  |  8  |   0   |  1   |   [[128, 2048]]    | bf16  |       1.49       |       1.51        |       1.53       |        2.33        | 0.00e+00 | 2.62e+05 |        0%        |    17.59%     |
|  256  | 2048 | N/A |  0  |  8  |   0   |  1   |   [[256, 2048]]    | bf16  |       1.5        |       1.53        |       1.54       |        2.66        | 0.00e+00 | 5.24e+05 |        0%        |    34.95%     |
|  512  | 2048 | N/A |  0  |  8  |   0   |  1   |   [[512, 2048]]    | bf16  |       1.5        |       1.52        |       1.55       |        3.31        | 0.00e+00 | 1.05e+06 |        0%        |    69.91%     |
