Test Case: H100PCIE_aten_sub
|   M   |   N   |  B  |             input_shape              | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|   1   |  32   | N/A |           [[1, 32], [32]]            | bf16  |       2.27       |       2.29        |       2.31       |        2.0         | 3.20e+01 | 9.60e+01 |       0.0%       |     0.0%      |
|   2   |  32   | N/A |           [[2, 32], [32]]            | bf16  |       2.44       |       2.46        |       2.47       |        2.0         | 6.40e+01 | 1.92e+02 |       0.0%       |     0.01%     |
|   4   |  32   | N/A |           [[4, 32], [32]]            | bf16  |       2.65       |       2.67        |       2.69       |        2.0         | 1.28e+02 | 3.84e+02 |       0.0%       |     0.01%     |
|   8   |  32   | N/A |           [[8, 32], [32]]            | bf16  |       2.9        |       2.92        |       2.94       |        2.0         | 2.56e+02 | 7.68e+02 |       0.0%       |     0.03%     |
|  16   |  32   | N/A |           [[16, 32], [32]]           | bf16  |       3.44       |       3.46        |       3.49       |        2.0         | 5.12e+02 | 1.54e+03 |       0.0%       |     0.04%     |
|  32   |  32   | N/A |           [[32, 32], [32]]           | bf16  |       3.49       |        3.5        |       3.52       |        2.0         | 1.02e+03 | 3.07e+03 |       0.0%       |     0.09%     |
|  64   |  32   | N/A |           [[64, 32], [32]]           | bf16  |       3.45       |       3.47        |       3.49       |        2.01        | 2.05e+03 | 6.14e+03 |       0.0%       |     0.18%     |
|  128  |  32   | N/A |          [[128, 32], [32]]           | bf16  |       3.48       |       3.51        |       3.54       |        2.02        | 4.10e+03 | 1.23e+04 |       0.0%       |     0.35%     |
|  256  |  32   | N/A |          [[256, 32], [32]]           | bf16  |       3.52       |       3.54        |       3.56       |        2.03        | 8.19e+03 | 2.46e+04 |       0.0%       |     0.7%      |
|  512  |  32   | N/A |          [[512, 32], [32]]           | bf16  |       3.55       |       3.56        |       3.56       |        2.06        | 1.64e+04 | 4.92e+04 |      0.01%       |     1.38%     |
| 1024  |  32   | N/A |          [[1024, 32], [32]]          | bf16  |       3.58       |       3.59        |       3.6        |        2.12        | 3.28e+04 | 9.83e+04 |      0.02%       |     2.75%     |
| 2048  |  32   | N/A |          [[2048, 32], [32]]          | bf16  |       3.61       |       3.63        |       3.65       |        2.25        | 6.55e+04 | 1.97e+05 |      0.04%       |     5.45%     |
| 4096  |  32   | N/A |          [[4096, 32], [32]]          | bf16  |       3.71       |       3.73        |       3.75       |        2.49        | 1.31e+05 | 3.93e+05 |      0.07%       |     10.6%     |
| 8192  |  32   | N/A |          [[8192, 32], [32]]          | bf16  |       3.84       |       3.85        |       3.87       |        2.98        | 2.62e+05 | 7.86e+05 |      0.13%       |    20.48%     |
| 16384 |  32   | N/A |         [[16384, 32], [32]]          | bf16  |       4.26       |       4.29        |       4.32       |        3.97        | 5.24e+05 | 1.57e+06 |      0.24%       |    36.92%     |
| 32768 |  32   | N/A |         [[32768, 32], [32]]          | bf16  |       5.96       |        6.0        |       6.04       |        5.93        | 1.05e+06 | 3.15e+06 |      0.34%       |    52.78%     |
|   1   |  64   | N/A |           [[1, 64], [64]]            | bf16  |       2.49       |       2.51        |       2.54       |        2.0         | 6.40e+01 | 1.92e+02 |       0.0%       |     0.01%     |
|   2   |  64   | N/A |           [[2, 64], [64]]            | bf16  |       2.59       |       2.62        |       2.64       |        2.0         | 1.28e+02 | 3.84e+02 |       0.0%       |     0.01%     |
|   4   |  64   | N/A |           [[4, 64], [64]]            | bf16  |       2.89       |       2.91        |       2.94       |        2.0         | 2.56e+02 | 7.68e+02 |       0.0%       |     0.03%     |
|   8   |  64   | N/A |           [[8, 64], [64]]            | bf16  |       3.44       |       3.45        |       3.47       |        2.0         | 5.12e+02 | 1.54e+03 |       0.0%       |     0.04%     |
|  16   |  64   | N/A |           [[16, 64], [64]]           | bf16  |       3.44       |       3.46        |       3.47       |        2.0         | 1.02e+03 | 3.07e+03 |       0.0%       |     0.09%     |
|  32   |  64   | N/A |           [[32, 64], [64]]           | bf16  |       3.44       |       3.46        |       3.48       |        2.01        | 2.05e+03 | 6.14e+03 |       0.0%       |     0.18%     |
|  64   |  64   | N/A |           [[64, 64], [64]]           | bf16  |       3.49       |       3.51        |       3.53       |        2.02        | 4.10e+03 | 1.23e+04 |       0.0%       |     0.35%     |
|  128  |  64   | N/A |          [[128, 64], [64]]           | bf16  |       3.49       |       3.52        |       3.54       |        2.03        | 8.19e+03 | 2.46e+04 |       0.0%       |     0.7%      |
|  256  |  64   | N/A |          [[256, 64], [64]]           | bf16  |       3.52       |       3.54        |       3.56       |        2.06        | 1.64e+04 | 4.92e+04 |      0.01%       |     1.4%      |
|  512  |  64   | N/A |          [[512, 64], [64]]           | bf16  |       3.57       |       3.58        |       3.6        |        2.12        | 3.28e+04 | 9.83e+04 |      0.02%       |     2.75%     |
| 1024  |  64   | N/A |          [[1024, 64], [64]]          | bf16  |       3.59       |        3.6        |       3.61       |        2.25        | 6.55e+04 | 1.97e+05 |      0.04%       |     5.48%     |
| 2048  |  64   | N/A |          [[2048, 64], [64]]          | bf16  |       3.7        |       3.71        |       3.72       |        2.49        | 1.31e+05 | 3.93e+05 |      0.07%       |    10.63%     |
| 4096  |  64   | N/A |          [[4096, 64], [64]]          | bf16  |       3.83       |       3.85        |       3.87       |        2.98        | 2.62e+05 | 7.86e+05 |      0.13%       |    20.53%     |
| 8192  |  64   | N/A |          [[8192, 64], [64]]          | bf16  |       4.26       |        4.3        |       4.35       |        3.97        | 5.24e+05 | 1.57e+06 |      0.24%       |    36.92%     |
| 16384 |  64   | N/A |         [[16384, 64], [64]]          | bf16  |       5.95       |       5.98        |       6.02       |        5.93        | 1.05e+06 | 3.15e+06 |      0.35%       |    52.87%     |
| 32768 |  64   | N/A |         [[32768, 64], [64]]          | bf16  |       8.48       |        8.5        |       8.52       |        9.86        | 2.10e+06 | 6.29e+06 |      0.48%       |    74.19%     |
|   1   |  128  | N/A |          [[1, 128], [128]]           | bf16  |       2.49       |       2.51        |       2.53       |        2.0         | 1.28e+02 | 3.84e+02 |       0.0%       |     0.02%     |
|   2   |  128  | N/A |          [[2, 128], [128]]           | bf16  |       2.87       |       2.89        |       2.91       |        2.0         | 2.56e+02 | 7.68e+02 |       0.0%       |     0.03%     |
|   4   |  128  | N/A |          [[4, 128], [128]]           | bf16  |       3.39       |       3.41        |       3.42       |        2.0         | 5.12e+02 | 1.54e+03 |       0.0%       |     0.05%     |
|   8   |  128  | N/A |          [[8, 128], [128]]           | bf16  |       3.44       |       3.46        |       3.49       |        2.0         | 1.02e+03 | 3.07e+03 |       0.0%       |     0.09%     |
|  16   |  128  | N/A |          [[16, 128], [128]]          | bf16  |       3.45       |       3.47        |       3.48       |        2.01        | 2.05e+03 | 6.14e+03 |       0.0%       |     0.18%     |
|  32   |  128  | N/A |          [[32, 128], [128]]          | bf16  |       3.49       |        3.5        |       3.51       |        2.02        | 4.10e+03 | 1.23e+04 |       0.0%       |     0.35%     |
|  64   |  128  | N/A |          [[64, 128], [128]]          | bf16  |       3.51       |       3.52        |       3.53       |        2.03        | 8.19e+03 | 2.46e+04 |       0.0%       |     0.7%      |
|  128  |  128  | N/A |         [[128, 128], [128]]          | bf16  |       3.54       |       3.58        |       3.63       |        2.06        | 1.64e+04 | 4.92e+04 |      0.01%       |     1.39%     |
|  256  |  128  | N/A |         [[256, 128], [128]]          | bf16  |       3.56       |       3.57        |       3.58       |        2.12        | 3.28e+04 | 9.83e+04 |      0.02%       |     2.76%     |
|  512  |  128  | N/A |         [[512, 128], [128]]          | bf16  |       3.63       |       3.64        |       3.66       |        2.25        | 6.55e+04 | 1.97e+05 |      0.04%       |     5.42%     |
| 1024  |  128  | N/A |         [[1024, 128], [128]]         | bf16  |       3.69       |        3.7        |       3.72       |        2.49        | 1.31e+05 | 3.93e+05 |      0.07%       |    10.66%     |
| 2048  |  128  | N/A |         [[2048, 128], [128]]         | bf16  |       3.83       |       3.85        |       3.88       |        2.98        | 2.62e+05 | 7.86e+05 |      0.13%       |    20.53%     |
| 4096  |  128  | N/A |         [[4096, 128], [128]]         | bf16  |       4.28       |       4.29        |       4.31       |        3.97        | 5.24e+05 | 1.57e+06 |      0.24%       |    36.75%     |
| 8192  |  128  | N/A |         [[8192, 128], [128]]         | bf16  |       5.97       |        6.0        |       6.04       |        5.93        | 1.05e+06 | 3.15e+06 |      0.34%       |    52.69%     |
| 16384 |  128  | N/A |        [[16384, 128], [128]]         | bf16  |       8.5        |       8.52        |       8.55       |        9.86        | 2.10e+06 | 6.29e+06 |      0.48%       |    74.02%     |
| 32768 |  128  | N/A |        [[32768, 128], [128]]         | bf16  |      13.87       |       13.89       |      13.91       |       17.73        | 4.19e+06 | 1.26e+07 |      0.59%       |    90.72%     |
|   1   |  512  | N/A |          [[1, 512], [512]]           | bf16  |       2.46       |       2.48        |       2.49       |        2.0         | 5.12e+02 | 1.54e+03 |       0.0%       |     0.06%     |
|   2   |  512  | N/A |          [[2, 512], [512]]           | bf16  |       3.47       |       3.49        |       3.5        |        2.0         | 1.02e+03 | 3.07e+03 |       0.0%       |     0.09%     |
|   4   |  512  | N/A |          [[4, 512], [512]]           | bf16  |       3.45       |       3.48        |       3.52       |        2.01        | 2.05e+03 | 6.14e+03 |       0.0%       |     0.18%     |
|   8   |  512  | N/A |          [[8, 512], [512]]           | bf16  |       3.48       |        3.5        |       3.53       |        2.02        | 4.10e+03 | 1.23e+04 |       0.0%       |     0.35%     |
|  16   |  512  | N/A |          [[16, 512], [512]]          | bf16  |       3.51       |       3.52        |       3.54       |        2.03        | 8.19e+03 | 2.46e+04 |       0.0%       |     0.7%      |
|  32   |  512  | N/A |          [[32, 512], [512]]          | bf16  |       3.56       |       3.58        |       3.59       |        2.06        | 1.64e+04 | 4.92e+04 |      0.01%       |     1.38%     |
|  64   |  512  | N/A |          [[64, 512], [512]]          | bf16  |       3.56       |       3.57        |       3.59       |        2.12        | 3.28e+04 | 9.83e+04 |      0.02%       |     2.76%     |
|  128  |  512  | N/A |         [[128, 512], [512]]          | bf16  |       3.63       |       3.65        |       3.68       |        2.25        | 6.55e+04 | 1.97e+05 |      0.04%       |     5.42%     |
|  256  |  512  | N/A |         [[256, 512], [512]]          | bf16  |       3.72       |       3.75        |       3.78       |        2.49        | 1.31e+05 | 3.93e+05 |      0.07%       |    10.57%     |
|  512  |  512  | N/A |         [[512, 512], [512]]          | bf16  |       3.88       |       3.89        |       3.9        |        2.98        | 2.62e+05 | 7.86e+05 |      0.13%       |    20.27%     |
| 1024  |  512  | N/A |         [[1024, 512], [512]]         | bf16  |       4.27       |       4.29        |       4.32       |        3.97        | 5.24e+05 | 1.57e+06 |      0.24%       |    36.84%     |
| 2048  |  512  | N/A |         [[2048, 512], [512]]         | bf16  |       6.0        |       6.04        |       6.09       |        5.93        | 1.05e+06 | 3.15e+06 |      0.34%       |    52.43%     |
| 4096  |  512  | N/A |         [[4096, 512], [512]]         | bf16  |       8.49       |       8.53        |       8.56       |        9.86        | 2.10e+06 | 6.29e+06 |      0.48%       |     74.1%     |
| 8192  |  512  | N/A |         [[8192, 512], [512]]         | bf16  |      13.88       |       13.91       |      13.93       |       17.73        | 4.19e+06 | 1.26e+07 |      0.59%       |    90.65%     |
| 16384 |  512  | N/A |        [[16384, 512], [512]]         | bf16  |      26.96       |       27.0        |      27.04       |       33.46        | 8.39e+06 | 2.52e+07 |      0.61%       |    93.35%     |
| 32768 |  512  | N/A |        [[32768, 512], [512]]         | bf16  |       57.9       |       57.94       |      57.97       |       64.91        | 1.68e+07 | 5.03e+07 |      0.57%       |    86.93%     |
|   1   |  768  | N/A |          [[1, 768], [768]]           | bf16  |       2.55       |       2.57        |       2.58       |        2.0         | 7.68e+02 | 2.30e+03 |       0.0%       |     0.09%     |
|   2   |  768  | N/A |          [[2, 768], [768]]           | bf16  |       3.48       |       3.51        |       3.53       |        2.01        | 1.54e+03 | 4.61e+03 |       0.0%       |     0.13%     |
|   4   |  768  | N/A |          [[4, 768], [768]]           | bf16  |       3.49       |       3.51        |       3.53       |        2.01        | 3.07e+03 | 9.22e+03 |       0.0%       |     0.26%     |
|   8   |  768  | N/A |          [[8, 768], [768]]           | bf16  |       3.52       |       3.54        |       3.56       |        2.02        | 6.14e+03 | 1.84e+04 |       0.0%       |     0.52%     |
|  16   |  768  | N/A |          [[16, 768], [768]]          | bf16  |       3.56       |       3.57        |       3.59       |        2.05        | 1.23e+04 | 3.69e+04 |      0.01%       |     1.04%     |
|  32   |  768  | N/A |          [[32, 768], [768]]          | bf16  |       3.57       |       3.62        |       3.67       |        2.09        | 2.46e+04 | 7.37e+04 |      0.01%       |     2.07%     |
|  64   |  768  | N/A |          [[64, 768], [768]]          | bf16  |       3.61       |       3.63        |       3.65       |        2.18        | 4.92e+04 | 1.47e+05 |      0.03%       |     4.08%     |
|  128  |  768  | N/A |         [[128, 768], [768]]          | bf16  |       3.69       |        3.7        |       3.72       |        2.37        | 9.83e+04 | 2.95e+05 |      0.05%       |     7.99%     |
|  256  |  768  | N/A |         [[256, 768], [768]]          | bf16  |       3.77       |       3.79        |       3.81       |        2.74        | 1.97e+05 | 5.90e+05 |       0.1%       |    15.65%     |
|  512  |  768  | N/A |         [[512, 768], [768]]          | bf16  |       4.04       |       4.06        |       4.07       |        3.47        | 3.93e+05 | 1.18e+06 |      0.19%       |     29.2%     |
| 1024  |  768  | N/A |         [[1024, 768], [768]]         | bf16  |       5.11       |       5.14        |       5.17       |        4.95        | 7.86e+05 | 2.36e+06 |       0.3%       |    46.17%     |
| 2048  |  768  | N/A |         [[2048, 768], [768]]         | bf16  |       7.1        |       7.13        |       7.16       |        7.9         | 1.57e+06 | 4.72e+06 |      0.43%       |    66.46%     |
| 4096  |  768  | N/A |         [[4096, 768], [768]]         | bf16  |      11.17       |       11.21       |      11.24       |        13.8        | 3.15e+06 | 9.44e+06 |      0.55%       |    84.49%     |
| 8192  |  768  | N/A |         [[8192, 768], [768]]         | bf16  |      20.68       |       20.72       |      20.76       |       25.59        | 6.29e+06 | 1.89e+07 |       0.6%       |    91.27%     |
| 16384 |  768  | N/A |        [[16384, 768], [768]]         | bf16  |      44.58       |       44.6        |      44.62       |       49.19        | 1.26e+07 | 3.77e+07 |      0.55%       |    84.68%     |
| 32768 |  768  | N/A |        [[32768, 768], [768]]         | bf16  |      84.51       |       84.55       |      84.59       |       96.37        | 2.52e+07 | 7.55e+07 |      0.58%       |    89.34%     |
|   1   | 2048  | N/A |         [[1, 2048], [2048]]          | bf16  |       2.5        |       2.52        |       2.54       |        2.01        | 2.05e+03 | 6.14e+03 |       0.0%       |     0.25%     |
