test case : H20SXM_flash_attn::flash_attn.flash_attn_func
|  causal  |  deterministic  |  dropout_p  |  softmax_scale  |   window_size   |                            input_shape                            | dtype  | duration_min(us) | duration_mean(us) | duration_max(us) | latency_value(us) |  flops_1D   |          flops_2D          | flops_SFU  | flops_efficient_1D | flops_efficient_2D | flops_efficient_SFU |     io     | flops_efficient_1D | flops_efficient_2D | flops_efficient_SFU | io_efficient |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |     [[1, 2048, 8, 128], [1, 2048, 8, 128], [1, 2048, 8, 128]]     |  bf16  |      227.70      |      227.84       |      227.96      |       2.01        | [234881024] |  [8589934592, 8589934592]  | [33554432] |      4.75e-02      |      5.74e-01      |      9.77e-02       |  1.73e+07  |       4.75%        |       57.35%       |        9.77%        |    3.80%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |     [[2, 2048, 8, 128], [2, 2048, 8, 128], [2, 2048, 8, 128]]     |  bf16  |      307.08      |      313.30       |      317.49      |       2.02        | [469762048] | [17179869184, 17179869184] | [67108864] |      7.04e-02      |      8.51e-01      |      1.45e-01       |  3.41e+07  |       7.04%        |       85.05%       |       14.48%        |    5.55%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |     [[4, 2048, 8, 128], [4, 2048, 8, 128], [4, 2048, 8, 128]]     |  bf16  |      527.71      |      530.79       |      533.50      |       2.04        | [939524096] | [34359738368, 34359738368] | [134217... |      8.19e-02      |      9.90e-01      |      1.69e-01       |  6.76e+07  |       8.19%        |       98.99%       |       16.86%        |    6.41%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |     [[8, 2048, 8, 128], [8, 2048, 8, 128], [8, 2048, 8, 128]]     |  bf16  |      938.72      |      941.54       |      944.81      |       2.08        | [1879048... | [68719476736, 68719476736] | [268435... |      9.21e-02      |      1.11e+00      |      1.90e-01       |  1.35e+08  |       9.21%        |      111.29%       |       18.95%        |    7.18%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |     [[1, 4096, 8, 128], [1, 4096, 8, 128], [1, 4096, 8, 128]]     |  bf16  |      603.93      |      611.08       |      615.76      |       2.01        | [939524096] | [34359738368, 34359738368] | [134217... |      7.16e-02      |      8.65e-01      |      1.47e-01       |  3.46e+07  |       7.16%        |       86.49%       |       14.73%        |    2.86%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |     [[2, 4096, 8, 128], [2, 4096, 8, 128], [2, 4096, 8, 128]]     |  bf16  |     1011.33      |      1015.26      |     1020.25      |       2.02        | [1879048... | [68719476736, 68719476736] | [268435... |      8.55e-02      |      1.03e+00      |      1.76e-01       |  6.82e+07  |       8.55%        |      103.30%       |       17.59%        |    3.37%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |     [[4, 4096, 8, 128], [4, 4096, 8, 128], [4, 4096, 8, 128]]     |  bf16  |     1805.13      |      1809.40      |     1812.61      |       2.04        | [3758096... | [137438953472, 13743895... | [536870... |      9.58e-02      |      1.16e+00      |      1.97e-01       |  1.35e+08  |       9.58%        |      115.75%       |       19.71%        |    3.75%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |     [[8, 4096, 8, 128], [8, 4096, 8, 128], [8, 4096, 8, 128]]     |  bf16  |     3390.01      |      3393.26      |     3397.31      |       2.08        | [7516192... | [274877906944, 27487790... | [107374... |      1.02e-01      |      1.23e+00      |      2.10e-01       |  2.69e+08  |       10.20%       |      123.27%       |       20.99%        |    3.97%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |     [[1, 8192, 8, 128], [1, 8192, 8, 128], [1, 8192, 8, 128]]     |  bf16  |     2004.87      |      2016.62      |     2024.67      |       2.01        | [3758096... | [137438953472, 13743895... | [536870... |      8.63e-02      |      1.04e+00      |      1.77e-01       |  6.92e+07  |       8.63%        |      104.22%       |       17.75%        |    1.73%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |     [[2, 8192, 8, 128], [2, 8192, 8, 128], [2, 8192, 8, 128]]     |  bf16  |     3557.08      |      3568.61      |     3579.22      |       2.02        | [7516192... | [274877906944, 27487790... | [107374... |      9.72e-02      |      1.17e+00      |      2.00e-01       |  1.36e+08  |       9.72%        |      117.48%       |       20.01%        |    1.92%     |
