test case : H20SXM_flash_attn::flash_attn.flash_attn_qkvpacked_func
|  causal  |  deterministic  |  dropout_p  |  softmax_scale  |   window_size   |   M    |         input_shape         | dtype  | duration_min(us) | duration_mean(us) | duration_max(us) | latency_value(us) | flops_1D |      flops_2D      | flops_SFU | flops_efficient_1D | flops_efficient_2D | flops_efficient_SFU |     io     | flops_efficient_1D | flops_efficient_2D | flops_efficient_SFU | io_efficient |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  2048  |   [[1, 2048, 3, 8, 128]]    |  bf16  |      227.77      |      227.86       |      227.95      |       2.01        |  [448]   |   [16384, 16384]   |   [64]    |      9.05e-08      |      1.09e-06      |      1.86e-07       |  1.02e+04  |       0.00%        |       0.00%        |        0.00%        |    0.00%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  2048  |   [[2, 2048, 3, 8, 128]]    |  bf16  |      311.81      |      313.58       |      315.00      |       2.01        |  [896]   |   [32768, 32768]   |   [128]   |      1.32e-07      |      1.60e-06      |      2.72e-07       |  1.84e+04  |       0.00%        |       0.00%        |        0.00%        |    0.00%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  2048  |   [[4, 2048, 3, 8, 128]]    |  bf16  |      526.52      |      529.10       |      531.02      |       2.02        |  [1792]  |   [65536, 65536]   |   [256]   |      1.57e-07      |      1.89e-06      |      3.22e-07       |  3.48e+04  |       0.00%        |       0.00%        |        0.00%        |    0.00%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  2048  |   [[8, 2048, 3, 8, 128]]    |  bf16  |      934.61      |      940.58       |      943.22      |       2.04        |  [3584]  |  [131072, 131072]  |   [512]   |      1.76e-07      |      2.13e-06      |      3.63e-07       |  6.76e+04  |       0.00%        |       0.00%        |        0.00%        |    0.00%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  4096  |   [[1, 4096, 3, 8, 128]]    |  bf16  |      608.52      |      613.45       |      619.16      |       2.01        |  [448]   |   [16384, 16384]   |   [64]    |      3.39e-08      |      4.09e-07      |      6.97e-08       |  1.02e+04  |       0.00%        |       0.00%        |        0.00%        |    0.00%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  4096  |   [[2, 4096, 3, 8, 128]]    |  bf16  |     1007.49      |      1015.06      |     1020.17      |       2.01        |  [896]   |   [32768, 32768]   |   [128]   |      4.09e-08      |      4.94e-07      |      8.42e-08       |  1.84e+04  |       0.00%        |       0.00%        |        0.00%        |    0.00%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  4096  |   [[4, 4096, 3, 8, 128]]    |  bf16  |     1794.45      |      1810.89      |     1817.53      |       2.02        |  [1792]  |   [65536, 65536]   |   [256]   |      4.60e-08      |      5.55e-07      |      9.45e-08       |  3.48e+04  |       0.00%        |       0.00%        |        0.00%        |    0.00%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  4096  |   [[8, 4096, 3, 8, 128]]    |  bf16  |     3390.84      |      3396.38      |     3400.58      |       2.04        |  [3584]  |  [131072, 131072]  |   [512]   |      4.86e-08      |      5.88e-07      |      1.00e-07       |  6.76e+04  |       0.00%        |       0.00%        |        0.00%        |    0.00%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  8192  |   [[1, 8192, 3, 8, 128]]    |  bf16  |     1995.20      |      2008.46      |     2016.06      |       2.01        |  [448]   |   [16384, 16384]   |   [64]    |      1.03e-08      |      1.25e-07      |      2.13e-08       |  1.02e+04  |       0.00%        |       0.00%        |        0.00%        |    0.00%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  8192  |   [[2, 8192, 3, 8, 128]]    |  bf16  |     3550.64      |      3567.92      |     3579.81      |       2.01        |  [896]   |   [32768, 32768]   |   [128]   |      1.16e-08      |      1.40e-07      |      2.39e-08       |  1.84e+04  |       0.00%        |       0.00%        |        0.00%        |    0.00%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  8192  |   [[4, 8192, 3, 8, 128]]    |  bf16  |     6651.31      |      6665.95      |     6674.14      |       2.02        |  [1792]  |   [65536, 65536]   |   [256]   |      1.24e-08      |      1.50e-07      |      2.55e-08       |  3.48e+04  |       0.00%        |       0.00%        |        0.00%        |    0.00%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  8192  |   [[8, 8192, 3, 8, 128]]    |  bf16  |     12886.01     |     12899.10      |     12908.36     |       2.04        |  [3584]  |  [131072, 131072]  |   [512]   |      1.28e-08      |      1.55e-07      |      2.63e-08       |  6.76e+04  |       0.00%        |       0.00%        |        0.00%        |    0.00%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     | 16384  |   [[1, 16384, 3, 8, 128]]   |  bf16  |     7059.68      |      7075.72      |     7089.30      |       2.01        |  [448]   |   [16384, 16384]   |   [64]    |      2.92e-09      |      3.53e-08      |      6.01e-09       |  1.02e+04  |       0.00%        |       0.00%        |        0.00%        |    0.00%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     | 16384  |   [[2, 16384, 3, 8, 128]]   |  bf16  |     13202.12     |     13227.24      |     13250.02     |       2.01        |  [896]   |   [32768, 32768]   |   [128]   |      3.12e-09      |      3.77e-08      |      6.43e-09       |  1.84e+04  |       0.00%        |       0.00%        |        0.00%        |    0.00%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     | 16384  |   [[4, 16384, 3, 8, 128]]   |  bf16  |     25554.96     |     25564.75      |     25581.78     |       2.02        |  [1792]  |   [65536, 65536]   |   [256]   |      3.23e-09      |      3.90e-08      |      6.64e-09       |  3.48e+04  |       0.00%        |       0.00%        |        0.00%        |    0.00%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     | 16384  |   [[8, 16384, 3, 8, 128]]   |  bf16  |     50172.68     |     50183.55      |     50195.50     |       2.04        |  [3584]  |  [131072, 131072]  |   [512]   |      3.29e-09      |      3.97e-08      |      6.76e-09       |  6.76e+04  |       0.00%        |       0.00%        |        0.00%        |    0.00%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     | 32768  |   [[1, 32768, 3, 8, 128]]   |  bf16  |     26209.53     |     26244.16      |     26259.90     |       2.01        |  [448]   |   [16384, 16384]   |   [64]    |      7.87e-10      |      9.50e-09      |      1.62e-09       |  1.02e+04  |       0.00%        |       0.00%        |        0.00%        |    0.00%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     | 32768  |   [[2, 32768, 3, 8, 128]]   |  bf16  |     50741.39     |     50763.70      |     50783.31     |       2.01        |  [896]   |   [32768, 32768]   |   [128]   |      8.13e-10      |      9.82e-09      |      1.67e-09       |  1.84e+04  |       0.00%        |       0.00%        |        0.00%        |    0.00%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     | 32768  |   [[4, 32768, 3, 8, 128]]   |  bf16  |     99004.45     |     99481.91      |     99823.03     |       2.02        |  [1792]  |   [65536, 65536]   |   [256]   |      8.33e-10      |      1.01e-08      |      1.71e-09       |  3.48e+04  |       0.00%        |       0.00%        |        0.00%        |    0.00%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     | 32768  |   [[8, 32768, 3, 8, 128]]   |  bf16  |    196193.08     |     196239.05     |    196259.75     |       2.04        |  [3584]  |  [131072, 131072]  |   [512]   |      8.41e-10      |      1.02e-08      |      1.73e-09       |  6.76e+04  |       0.00%        |       0.00%        |        0.00%        |    0.00%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     | 65536  |   [[1, 65536, 3, 8, 128]]   |  bf16  |     99286.79     |     99342.95      |     99384.77     |       2.01        |  [448]   |   [16384, 16384]   |   [64]    |      2.08e-10      |      2.51e-09      |      4.27e-10       |  1.02e+04  |       0.00%        |       0.00%        |        0.00%        |    0.00%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     | 65536  |   [[2, 65536, 3, 8, 128]]   |  bf16  |    196334.81     |     196379.34     |    196418.16     |       2.01        |  [896]   |   [32768, 32768]   |   [128]   |      2.10e-10      |      2.54e-09      |      4.32e-10       |  1.84e+04  |       0.00%        |       0.00%        |        0.00%        |    0.00%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     | 65536  |   [[4, 65536, 3, 8, 128]]   |  bf16  |    390393.44     |     390433.53     |    390473.88     |       2.02        |  [1792]  |   [65536, 65536]   |   [256]   |      2.11e-10      |      2.55e-09      |      4.35e-10       |  3.48e+04  |       0.00%        |       0.00%        |        0.00%        |    0.00%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     | 65536  |   [[8, 65536, 3, 8, 128]]   |  bf16  |    778487.50     |     778510.94     |    778538.81     |       2.04        |  [3584]  |  [131072, 131072]  |   [512]   |      2.12e-10      |      2.56e-09      |      4.36e-10       |  6.76e+04  |       0.00%        |       0.00%        |        0.00%        |    0.00%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     | 131072 |  [[1, 131072, 3, 8, 128]]   |  bf16  |    391799.41     |     391820.06     |    391830.31     |       2.01        |  [448]   |   [16384, 16384]   |   [64]    |      5.26e-11      |      6.36e-10      |      1.08e-10       |  1.02e+04  |       0.00%        |       0.00%        |        0.00%        |    0.00%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     | 131072 |  [[2, 131072, 3, 8, 128]]   |  bf16  |    779388.19     |     779416.88     |    779437.19     |       2.01        |  [896]   |   [32768, 32768]   |   [128]   |      5.29e-11      |      6.39e-10      |      1.09e-10       |  1.84e+04  |       0.00%        |       0.00%        |        0.00%        |    0.00%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     | 131072 |  [[4, 131072, 3, 8, 128]]   |  bf16  |    1554612.25    |    1554652.12     |    1554686.62    |       2.02        |  [1792]  |   [65536, 65536]   |   [256]   |      5.31e-11      |      6.41e-10      |      1.09e-10       |  3.48e+04  |       0.00%        |       0.00%        |        0.00%        |    0.00%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     | 131072 |  [[8, 131072, 3, 8, 128]]   |  bf16  |    3104783.75    |    3104810.50     |    3104835.75    |       2.04        |  [3584]  |  [131072, 131072]  |   [512]   |      5.31e-11      |      6.42e-10      |      1.09e-10       |  6.76e+04  |       0.00%        |       0.00%        |        0.00%        |    0.00%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  2048  |   [[1, 2048, 3, 32, 128]]   |  bf16  |      521.20      |      524.24       |      527.43      |       2.03        |  [7168]  |  [262144, 262144]  |  [1024]   |      6.33e-07      |      7.65e-06      |      1.30e-06       |  4.10e+04  |       0.00%        |       0.00%        |        0.00%        |    0.00%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  2048  |   [[2, 2048, 3, 32, 128]]   |  bf16  |      934.33      |      935.73       |      937.31      |       2.05        | [14336]  |  [524288, 524288]  |  [2048]   |      7.06e-07      |      8.53e-06      |      1.45e-06       |  7.37e+04  |       0.00%        |       0.00%        |        0.00%        |    0.00%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  2048  |   [[4, 2048, 3, 32, 128]]   |  bf16  |     1745.89      |      1749.58      |     1752.93      |       2.09        | [28672]  | [1048576, 1048576] |  [4096]   |      7.56e-07      |      9.13e-06      |      1.55e-06       |  1.39e+05  |       0.00%        |       0.00%        |        0.00%        |    0.00%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  2048  |   [[8, 2048, 3, 32, 128]]   |  bf16  |     3378.30      |      3380.70      |     3385.10      |       2.17        | [57344]  | [2097152, 2097152] |  [8192]   |      7.81e-07      |      9.44e-06      |      1.61e-06       |  2.70e+05  |       0.00%        |       0.00%        |        0.00%        |    0.00%     |
