test case : H20SXM_aten::scaled_dot_product_attention
|  is_causal  |  scale   |                            input_shape                            | dtype  | duration_min(us) | duration_mean(us) | duration_max(us) | latency_value(us) |  flops_1D   |          flops_2D          |  flops_SFU  | flops_efficient_1D | flops_efficient_2D | flops_efficient_SFU |     io     | flops_efficient_1D | flops_efficient_2D | flops_efficient_SFU | io_efficient |
|    True     |   0.08   |           [[1, 1, 1, 64], [1, 1, 1, 64], [1, 1, 1, 64]]           |  bf16  |       7.19       |       7.24        |       7.30       |       2.00        |     [7]     |         [128, 128]         |     [1]     |      4.48e-08      |      2.71e-07      |      9.22e-08       |  6.40e+02  |       0.00%        |       0.00%        |        0.00%        |    0.00%     |
|    True     |   0.08   |           [[2, 1, 1, 64], [2, 1, 1, 64], [2, 1, 1, 64]]           |  bf16  |       7.23       |       7.25        |       7.28       |       2.00        |    [14]     |         [256, 256]         |     [2]     |      8.92e-08      |      5.39e-07      |      1.83e-07       |  1.15e+03  |       0.00%        |       0.00%        |        0.00%        |    0.01%     |
|    True     |   0.08   |           [[4, 1, 1, 64], [4, 1, 1, 64], [4, 1, 1, 64]]           |  bf16  |       7.22       |       7.25        |       7.30       |       2.00        |    [28]     |         [512, 512]         |     [4]     |      1.78e-07      |      1.08e-06      |      3.67e-07       |  2.18e+03  |       0.00%        |       0.00%        |        0.00%        |    0.02%     |
|    True     |   0.08   |           [[8, 1, 1, 64], [8, 1, 1, 64], [8, 1, 1, 64]]           |  bf16  |       7.46       |       7.50        |       7.52       |       2.00        |    [56]     |        [1024, 1024]        |     [8]     |      3.45e-07      |      2.09e-06      |      7.10e-07       |  4.22e+03  |       0.00%        |       0.00%        |        0.00%        |    0.03%     |
|    True     |   0.08   |         [[16, 1, 1, 64], [16, 1, 1, 64], [16, 1, 1, 64]]          |  bf16  |       7.44       |       7.48        |       7.52       |       2.01        |    [112]    |        [2048, 2048]        |    [16]     |      6.93e-07      |      4.19e-06      |      1.43e-06       |  8.32e+03  |       0.00%        |       0.00%        |        0.00%        |    0.06%     |
|    True     |   0.08   |         [[32, 1, 1, 64], [32, 1, 1, 64], [32, 1, 1, 64]]          |  bf16  |       7.48       |       7.51        |       7.53       |       2.01        |    [224]    |        [4096, 4096]        |    [32]     |      1.38e-06      |      8.32e-06      |      2.83e-06       |  1.65e+04  |       0.00%        |       0.00%        |        0.00%        |    0.11%     |
|    True     |   0.08   |           [[1, 1, 4, 64], [1, 1, 4, 64], [1, 1, 4, 64]]           |  bf16  |       7.74       |       7.78        |       7.80       |       2.00        |    [28]     |         [512, 512]         |     [4]     |      1.66e-07      |      1.01e-06      |      3.42e-07       |  2.18e+03  |       0.00%        |       0.00%        |        0.00%        |    0.01%     |
|    True     |   0.08   |           [[2, 1, 4, 64], [2, 1, 4, 64], [2, 1, 4, 64]]           |  bf16  |       7.94       |       7.97        |       8.00       |       2.00        |    [56]     |        [1024, 1024]        |     [8]     |      3.24e-07      |      1.96e-06      |      6.67e-07       |  4.22e+03  |       0.00%        |       0.00%        |        0.00%        |    0.03%     |
|    True     |   0.08   |           [[4, 1, 4, 64], [4, 1, 4, 64], [4, 1, 4, 64]]           |  bf16  |       7.97       |       8.00        |       8.05       |       2.01        |    [112]    |        [2048, 2048]        |    [16]     |      6.47e-07      |      3.91e-06      |      1.33e-06       |  8.32e+03  |       0.00%        |       0.00%        |        0.00%        |    0.05%     |
|    True     |   0.08   |           [[8, 1, 4, 64], [8, 1, 4, 64], [8, 1, 4, 64]]           |  bf16  |       8.25       |       8.27        |       8.29       |       2.01        |    [224]    |        [4096, 4096]        |    [32]     |      1.25e-06      |      7.55e-06      |      2.57e-06       |  1.65e+04  |       0.00%        |       0.00%        |        0.00%        |    0.10%     |
