test case : H20SXM_flash_attn::flash_attn.flash_attn_func
|  causal  |  deterministic  |  dropout_p  |  softmax_scale  |   window_size   |                            input_shape                            | dtype  | duration_min(us) | duration_mean(us) | duration_max(us) | latency_value(us) | flops_1D  |        flops_2D        | flops_SFU | flops_efficient_1D | flops_efficient_2D | flops_efficient_SFU |     io     | flops_efficient_1D | flops_efficient_2D | flops_efficient_SFU | io_efficient |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |           [[1, 1, 1, 64], [1, 1, 1, 64], [1, 1, 1, 64]]           |  bf16  |       8.11       |       8.14        |       8.18       |       2.00        |    [7]    |       [128, 128]       |    [1]    |      3.97e-08      |      2.40e-07      |      8.17e-08       |  6.40e+02  |       0.00%        |       0.00%        |        0.00%        |    0.00%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |           [[2, 1, 1, 64], [2, 1, 1, 64], [2, 1, 1, 64]]           |  bf16  |       8.12       |       8.15        |       8.21       |       2.00        |   [14]    |       [256, 256]       |    [2]    |      7.93e-08      |      4.79e-07      |      1.63e-07       |  1.15e+03  |       0.00%        |       0.00%        |        0.00%        |    0.01%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |           [[4, 1, 1, 64], [4, 1, 1, 64], [4, 1, 1, 64]]           |  bf16  |       8.14       |       8.18        |       8.27       |       2.00        |   [28]    |       [512, 512]       |    [4]    |      1.58e-07      |      9.57e-07      |      3.26e-07       |  2.18e+03  |       0.00%        |       0.00%        |        0.00%        |    0.01%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |           [[8, 1, 1, 64], [8, 1, 1, 64], [8, 1, 1, 64]]           |  bf16  |       8.34       |       8.37        |       8.40       |       2.00        |   [56]    |      [1024, 1024]      |    [8]    |      3.09e-07      |      1.87e-06      |      6.35e-07       |  4.22e+03  |       0.00%        |       0.00%        |        0.00%        |    0.03%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |         [[16, 1, 1, 64], [16, 1, 1, 64], [16, 1, 1, 64]]          |  bf16  |       8.31       |       8.34        |       8.36       |       2.01        |   [112]   |      [2048, 2048]      |   [16]    |      6.20e-07      |      3.75e-06      |      1.28e-06       |  8.32e+03  |       0.00%        |       0.00%        |        0.00%        |    0.05%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |         [[32, 1, 1, 64], [32, 1, 1, 64], [32, 1, 1, 64]]          |  bf16  |       8.39       |       8.44        |       8.52       |       2.01        |   [224]   |      [4096, 4096]      |   [32]    |      1.23e-06      |      7.42e-06      |      2.53e-06       |  1.65e+04  |       0.00%        |       0.00%        |        0.00%        |    0.10%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |           [[1, 4, 1, 64], [1, 4, 1, 64], [1, 4, 1, 64]]           |  bf16  |       8.29       |       8.33        |       8.35       |       2.00        |   [28]    |       [512, 512]       |    [4]    |      1.55e-07      |      9.38e-07      |      3.20e-07       |  2.18e+03  |       0.00%        |       0.00%        |        0.00%        |    0.01%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |           [[2, 4, 1, 64], [2, 4, 1, 64], [2, 4, 1, 64]]           |  bf16  |       8.36       |       8.43        |       8.47       |       2.00        |   [56]    |      [1024, 1024]      |    [8]    |      3.08e-07      |      1.86e-06      |      6.34e-07       |  4.22e+03  |       0.00%        |       0.00%        |        0.00%        |    0.03%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |           [[4, 4, 1, 64], [4, 4, 1, 64], [4, 4, 1, 64]]           |  bf16  |       8.41       |       8.45        |       8.54       |       2.01        |   [112]   |      [2048, 2048]      |   [16]    |      6.13e-07      |      3.70e-06      |      1.26e-06       |  8.32e+03  |       0.00%        |       0.00%        |        0.00%        |    0.05%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |           [[8, 4, 1, 64], [8, 4, 1, 64], [8, 4, 1, 64]]           |  bf16  |       8.61       |       8.65        |       8.72       |       2.01        |   [224]   |      [4096, 4096]      |   [32]    |      1.20e-06      |      7.23e-06      |      2.46e-06       |  1.65e+04  |       0.00%        |       0.00%        |        0.00%        |    0.10%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |         [[16, 4, 1, 64], [16, 4, 1, 64], [16, 4, 1, 64]]          |  bf16  |       8.55       |       8.57        |       8.61       |       2.02        |   [448]   |      [8192, 8192]      |   [64]    |      2.41e-06      |      1.46e-05      |      4.96e-06       |  3.29e+04  |       0.00%        |       0.00%        |        0.00%        |    0.19%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |         [[32, 4, 1, 64], [32, 4, 1, 64], [32, 4, 1, 64]]          |  bf16  |       8.67       |       8.70        |       8.74       |       2.04        |   [896]   |     [16384, 16384]     |   [128]   |      4.76e-06      |      2.87e-05      |      9.79e-06       |  6.57e+04  |       0.00%        |       0.00%        |        0.00%        |    0.38%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |           [[1, 8, 1, 64], [1, 8, 1, 64], [1, 8, 1, 64]]           |  bf16  |       8.27       |       8.31        |       8.35       |       2.00        |   [56]    |      [1024, 1024]      |    [8]    |      3.12e-07      |      1.88e-06      |      6.41e-07       |  4.22e+03  |       0.00%        |       0.00%        |        0.00%        |    0.03%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |           [[2, 8, 1, 64], [2, 8, 1, 64], [2, 8, 1, 64]]           |  bf16  |       8.38       |       8.41        |       8.47       |       2.01        |   [112]   |      [2048, 2048]      |   [16]    |      6.15e-07      |      3.72e-06      |      1.27e-06       |  8.32e+03  |       0.00%        |       0.00%        |        0.00%        |    0.05%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |           [[4, 8, 1, 64], [4, 8, 1, 64], [4, 8, 1, 64]]           |  bf16  |       8.38       |       8.41        |       8.46       |       2.01        |   [224]   |      [4096, 4096]      |   [32]    |      1.23e-06      |      7.43e-06      |      2.53e-06       |  1.65e+04  |       0.00%        |       0.00%        |        0.00%        |    0.10%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |           [[8, 8, 1, 64], [8, 8, 1, 64], [8, 8, 1, 64]]           |  bf16  |       8.60       |       8.63        |       8.69       |       2.02        |   [448]   |      [8192, 8192]      |   [64]    |      2.40e-06      |      1.45e-05      |      4.93e-06       |  3.29e+04  |       0.00%        |       0.00%        |        0.00%        |    0.19%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |         [[16, 8, 1, 64], [16, 8, 1, 64], [16, 8, 1, 64]]          |  bf16  |       8.53       |       8.58        |       8.65       |       2.04        |   [896]   |     [16384, 16384]     |   [128]   |      4.83e-06      |      2.92e-05      |      9.94e-06       |  6.57e+04  |       0.00%        |       0.00%        |        0.00%        |    0.38%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |         [[32, 8, 1, 64], [32, 8, 1, 64], [32, 8, 1, 64]]          |  bf16  |       8.62       |       8.65        |       8.67       |       2.08        |  [1792]   |     [32768, 32768]     |   [256]   |      9.57e-06      |      5.78e-05      |      1.97e-05       |  1.31e+05  |       0.00%        |       0.01%        |        0.00%        |    0.76%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |         [[1, 16, 1, 64], [1, 16, 1, 64], [1, 16, 1, 64]]          |  bf16  |       8.29       |       8.35        |       8.43       |       2.01        |   [112]   |      [2048, 2048]      |   [16]    |      6.22e-07      |      3.76e-06      |      1.28e-06       |  8.32e+03  |       0.00%        |       0.00%        |        0.00%        |    0.05%     |
