test case : H20SXM_flash_attn::flash_attn.flash_attn_qkvpacked_func
|  causal  |  deterministic  |  dropout_p  |  softmax_scale  |   window_size   |   M    |        input_shape         | dtype  | duration_min(us) | duration_mean(us) | duration_max(us) | latency_value(us) | flops_1D |      flops_2D      | flops_SFU | flops_efficient_1D | flops_efficient_2D | flops_efficient_SFU |     io     | flops_efficient_1D | flops_efficient_2D | flops_efficient_SFU | io_efficient |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   1    |     [[1, 1, 3, 1, 64]]     |  bf16  |       7.97       |       7.99        |       8.03       |       2.00        |   [7]    |     [128, 128]     |    [1]    |      4.04e-08      |      2.44e-07      |      8.32e-08       |  6.40e+02  |       0.00%        |       0.00%        |        0.00%        |    0.00%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   1    |     [[2, 1, 3, 1, 64]]     |  bf16  |       7.96       |       8.00        |       8.04       |       2.00        |   [14]   |     [256, 256]     |    [2]    |      8.09e-08      |      4.89e-07      |      1.66e-07       |  1.15e+03  |       0.00%        |       0.00%        |        0.00%        |    0.01%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   1    |     [[4, 1, 3, 1, 64]]     |  bf16  |       8.00       |       8.08        |       8.34       |       2.00        |   [28]   |     [512, 512]     |    [4]    |      1.61e-07      |      9.74e-07      |      3.32e-07       |  2.18e+03  |       0.00%        |       0.00%        |        0.00%        |    0.01%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   1    |     [[8, 1, 3, 1, 64]]     |  bf16  |       8.16       |       8.18        |       8.19       |       2.00        |   [56]   |    [1024, 1024]    |    [8]    |      3.16e-07      |      1.91e-06      |      6.50e-07       |  4.22e+03  |       0.00%        |       0.00%        |        0.00%        |    0.03%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   1    |    [[16, 1, 3, 1, 64]]     |  bf16  |       8.11       |       8.16        |       8.21       |       2.01        |  [112]   |    [2048, 2048]    |   [16]    |      6.36e-07      |      3.84e-06      |      1.31e-06       |  8.32e+03  |       0.00%        |       0.00%        |        0.00%        |    0.05%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   1    |    [[32, 1, 3, 1, 64]]     |  bf16  |       8.17       |       8.21        |       8.23       |       2.01        |  [224]   |    [4096, 4096]    |   [32]    |      1.26e-06      |      7.62e-06      |      2.60e-06       |  1.65e+04  |       0.00%        |       0.00%        |        0.00%        |    0.10%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   4    |     [[1, 4, 3, 1, 64]]     |  bf16  |       8.12       |       8.16        |       8.22       |       2.00        |   [7]    |     [128, 128]     |    [1]    |      3.97e-08      |      2.40e-07      |      8.16e-08       |  6.40e+02  |       0.00%        |       0.00%        |        0.00%        |    0.00%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   4    |     [[2, 4, 3, 1, 64]]     |  bf16  |       8.31       |       8.36        |       8.40       |       2.00        |   [14]   |     [256, 256]     |    [2]    |      7.75e-08      |      4.68e-07      |      1.59e-07       |  1.15e+03  |       0.00%        |       0.00%        |        0.00%        |    0.01%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   4    |     [[4, 4, 3, 1, 64]]     |  bf16  |       8.34       |       8.35        |       8.37       |       2.00        |   [28]   |     [512, 512]     |    [4]    |      1.55e-07      |      9.34e-07      |      3.18e-07       |  2.18e+03  |       0.00%        |       0.00%        |        0.00%        |    0.01%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   4    |     [[8, 4, 3, 1, 64]]     |  bf16  |       8.52       |       8.55        |       8.60       |       2.00        |   [56]   |    [1024, 1024]    |    [8]    |      3.03e-07      |      1.83e-06      |      6.23e-07       |  4.22e+03  |       0.00%        |       0.00%        |        0.00%        |    0.02%     |
