Test Case: H20SXM_apex_fused_layer_norm_cuda.forward
|   M   |   N   |  _val   | _val(1) |   input_shape    | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) | flops_1D | flops_SFU |    io    | flops_efficiency_1D | flops_efficiency_SFU | io_efficiency |
|   1   |  32   |  [32]   | 0.0001  |    [[1, 32]]     | bf16  |       2.54       |       2.56        |       2.59       |        2.0         | 2.56e+02 | 3.20e+01  | 6.40e+01 |        0.0%         |         0.0%         |     0.0%      |
|   2   |  32   |  [32]   | 0.0001  |    [[2, 32]]     | bf16  |       2.56       |       2.59        |       2.61       |        2.0         | 5.12e+02 | 6.40e+01  | 1.28e+02 |        0.0%         |         0.0%         |     0.0%      |
|   4   |  32   |  [32]   | 0.0001  |    [[4, 32]]     | bf16  |       2.61       |       2.64        |       2.66       |        2.0         | 1.02e+03 | 1.28e+02  | 2.56e+02 |        0.0%         |         0.0%         |     0.0%      |
|   8   |  32   |  [32]   | 0.0001  |    [[8, 32]]     | bf16  |       2.62       |       2.64        |       2.68       |        2.0         | 2.05e+03 | 2.56e+02  | 5.12e+02 |        0.0%         |         0.0%         |     0.01%     |
|  16   |  32   |  [32]   | 0.0001  |    [[16, 32]]    | bf16  |       2.63       |       2.67        |       2.72       |        2.0         | 4.10e+03 | 5.12e+02  | 1.02e+03 |        0.0%         |         0.0%         |     0.02%     |
|  32   |  32   |  [32]   | 0.0001  |    [[32, 32]]    | bf16  |       2.66       |       2.69        |       2.73       |        2.0         | 8.19e+03 | 1.02e+03  | 2.05e+03 |        0.01%        |        0.01%         |     0.04%     |
|  64   |  32   |  [32]   | 0.0001  |    [[64, 32]]    | bf16  |       2.73       |       2.77        |       2.79       |        2.0         | 1.64e+04 | 2.05e+03  | 4.10e+03 |        0.01%        |        0.01%         |     0.08%     |
|  128  |  32   |  [32]   | 0.0001  |   [[128, 32]]    | bf16  |       2.96       |       2.99        |       3.04       |        2.01        | 3.28e+04 | 4.10e+03  | 8.19e+03 |        0.03%        |        0.03%         |     0.14%     |
|  256  |  32   |  [32]   | 0.0001  |   [[256, 32]]    | bf16  |       3.06       |       3.08        |       3.11       |        2.01        | 6.55e+04 | 8.19e+03  | 1.64e+04 |        0.05%        |        0.05%         |     0.27%     |
|  512  |  32   |  [32]   | 0.0001  |   [[512, 32]]    | bf16  |       3.25       |       3.29        |       3.31       |        2.02        | 1.31e+05 | 1.64e+04  | 3.28e+04 |        0.09%        |        0.09%         |     0.5%      |
| 1024  |  32   |  [32]   | 0.0001  |   [[1024, 32]]   | bf16  |       4.77       |        4.8        |       4.82       |        2.04        | 2.62e+05 | 3.28e+04  | 6.55e+04 |        0.12%        |        0.12%         |     0.69%     |
| 2048  |  32   |  [32]   | 0.0001  |   [[2048, 32]]   | bf16  |       6.73       |       6.75        |       6.77       |        2.08        | 5.24e+05 | 6.55e+04  | 1.31e+05 |        0.18%        |        0.18%         |     0.97%     |
| 4096  |  32   |  [32]   | 0.0001  |   [[4096, 32]]   | bf16  |      11.33       |       11.36       |       11.4       |        2.16        | 1.05e+06 | 1.31e+05  | 2.62e+05 |        0.21%        |        0.21%         |     1.16%     |
| 8192  |  32   |  [32]   | 0.0001  |   [[8192, 32]]   | bf16  |      19.89       |       19.93       |      19.98       |        2.33        | 2.10e+06 | 2.62e+05  | 5.24e+05 |        0.24%        |        0.24%         |     1.32%     |
| 16384 |  32   |  [32]   | 0.0001  |  [[16384, 32]]   | bf16  |      37.14       |       37.19       |      37.25       |        2.66        | 4.19e+06 | 5.24e+05  | 1.05e+06 |        0.26%        |        0.26%         |     1.41%     |
| 32768 |  32   |  [32]   | 0.0001  |  [[32768, 32]]   | bf16  |      71.83       |       71.87       |       71.9       |        3.31        | 8.39e+06 | 1.05e+06  | 2.10e+06 |        0.27%        |        0.27%         |     1.46%     |
| 65536 |  32   |  [32]   | 0.0001  |  [[65536, 32]]   | bf16  |      141.2       |      141.26       |      141.3       |        4.62        | 1.68e+07 | 2.10e+06  | 4.19e+06 |        0.27%        |        0.27%         |     1.49%     |
